vertex.names	candidate	tissue_general
OSR1	TF	NA
AEBP1	TF	Blood Vessel
PRRX2	TF	Blood Vessel
ATOH8	TF	NA
TBX18	TF	Blood Vessel
MKX	TF	Blood Vessel
PRDM6	TF	Blood Vessel
OSR2	TF	Uterus
EBF1	TF	Adipose Tissue
HOXA2	TF	Esophagus
ELF5	TF	NA
TSHZ2	TF	Adipose Tissue
ASCL3	TF	NA
GSC	TF	Adipose Tissue
FOXA2	TF	Pancreas
NR1H3	TF	Adipose Tissue
HHEX	TF	Thyroid
ONECUT1	TF	Pancreas
HNF4A	TF	Liver
MLXIPL	TF	Liver
PROX1	TF	Liver
NR1H4	TF	Liver
CREB3L3	TF	Liver
HNF1A	TF	Liver
ARID3C	TF	Liver
VTN	Candidate Protein	NA
IGFBP2	Candidate Protein	NA
IGFALS	Candidate Protein	NA
IGF1	Candidate Protein	NA
C2	Candidate Protein	NA
C1S	Candidate Protein	NA
SOD3	Candidate Protein	NA
JCHAIN	Candidate Protein	NA
