Query Name	Rank	TF	Score	Library	Overlapping_Genes
adipose - hibernation, down	1	PREB	7.667	ARCHS4 Coexpression,5;Enrichr Queries,3;GTEx Coexpression,15	EIF4A1,ECI1,ECI2,ARAF,KEAP1,ENO1,PHB2,PSMD8,CIAO2A,GAMT,ENDOG,ACSL1,OXSM,ECH1,MRPS18A,SND1,SLC5A6,GNPAT,CDC34,ARMC6,ORAI1,JTB,CCDC86,TTLL12,ATP6V0D1,AURKAIP1,RWDD2B,RPN2,SAR1B,MRPL14,TRMT2A,MRPL15,MRPL12,MRPL11,PRKAR2A,PRDX1,SERPINH1,MLEC,RCE1,TRAP1,PRELID1,SURF4,PYCR1,MRPL28,MRPL24,CS,FASN,CALR,FARSA,MRPS15,FEN1,MRPS12,MRPL38,TMEM52,MRPL37,THTPA,GYS1,MCEE,MRPL40,MLX,SDF4,ACADS,CCT3,ATP6V0B,CLUH,TPI1,PRMT1,MRPS22,PABPC4,PGAM1,ANXA5,MRPS2,TFB2M,MRPS5,RPUSD4,HADHA,PSMA3,MRPS9,TCP1,PABPC1,ALDOA,CSTB,ECHS1,GPS1,MRPS34,MRPS31,DERL1,MRPL58,MALSU1,PSMA7,ATP5F1A,SAMM50,PSMB5,ATP5F1B,LMAN2,CLPTM1,EMC6,CCT7,CCT5,CCT4,BCAP31,NPM1,MDH2,PTGES2,ATP5F1D,PPP1CA,NMNAT1,PSMC4,TCEA3,NUCB1,ESYT1,MTCH1,SPPL2A,APEH,ACTG1,CHCHD2,CHCHD3,TMEM147,CFL1,MACROD1,FADS1,PCYT2,USP5,PGD,SDHB,TUFM,PDIA4,ACLY,TMEM259,PFKFB1,NDUFB11,INSIG1,AK2,SLC1A5,MTLN,ACAT1,DPP3,EIF4EBP3,NDUFV2,NDUFV1,ISOC2,ESRRA,HSPA9,FDPS,HSPA8,EIF2B3,SLC52A2,IDH2,TIMM44,EEF2,COQ5,ACO2,DHCR7,SLC25A1,SLC25A3,ACADVL,HSP90AB1,PRKCSH,ETFA,FUNDC2,SEC61A1,MRPL2,SPR,CPT2,PGM1,ADSL,HMGCS1,GPX4,RAD23A,TRAF7,HAX1,SARS2,NDUFS2,SLC25A10,SLC25A5,SLC25A11,STOML2,SMARCD2,SMIM26,POLDIP2,GTF3C5,DNAH8,HM13,GLRX,MTIF2,SLC3A2,HSD17B10,AGPAT2,HSPD1,GANAB,NCLN,MKNK2,LRIG1,EIF4H,POLR2E,RALY,PCBD2,SEC11C,MMAA,NAA10,SGTA,BCKDK,SLC25A39,DNAJA3,EIF3I,CDK2AP2,STUB1,P4HB,RAN
adipose - hibernation, down	2	MTERF3	11.0	ARCHS4 Coexpression,18;GTEx Coexpression,4	NDUFA12,CISD1,PARK7,NUDT5,SRP14,IPO7,BZW1,NFU1,GCSH,LSM12,CHCHD3,CFL2,MLYCD,CIAO2A,HMGN3,PDHX,ENDOG,MRPS18A,SDHD,SDHB,THAP1,MRPS18C,DPM1,GNPAT,AFG3L2,TMEM259,BOLA3,VDAC3,PLAA,SRSF3,VDAC2,VDAC1,SNRPC,FKBP3,MMADHC,ANAPC13,RWDD2B,ENY2,TXNDC9,NDUFB10,PSMD14,MRPL18,GLO1,MRPL19,MRPL16,MRPL15,MRPL12,AK6,MTLN,MRPL13,PRDX3,MRPL20,BCL2L13,LDHB,BTBD1,PRDX1,NDUFV2,DNAJC19,EIF2B3,PDHA1,APOOL,IDH1,GOT2,TIMM44,PARVB,FAM136A,MRPL24,PAICS,COQ6,COQ5,CS,CCT6A,COQ3,NDUFAF4,OSTC,GNB1,ECHDC1,NDUFAF1,CALM2,FARSB,MRS2,GFM1,ASNSD1,MRPS10,MRPL39,ETFA,MRPL37,ADAL,DTWD2,FUNDC2,GYS1,MRPL3,MRPL2,LASP1,MRPL40,NNT,TIMM17A,ACADM,DLAT,METTL15,PGM1,IDH3A,MRPS28,CCT2,ADSL,TPI1,GLRX3,MRPS22,MRPS2,MRPL47,TFB2M,MRPS5,NIPSNAP2,HADHB,VWA8,RPUSD4,HADHA,PSMA6,PSMA3,MRPL50,MRPS9,MRPL51,PSMA1,PSMA2,NDUFS4,TCP1,NDUFS2,NDUFS1,SLC25A5,DLD,SLC25A4,NDUFB9,STOML2,FH,SMIM26,POLDIP2,NDUFB6,MRPS36,NDUFB5,MRPS33,NDUFB3,MRPS31,ETFDH,MRPL58,MTIF2,MRPS30,PDHB,MALSU1,PSMA7,HSPD1,UGP2,PSMB5,SAMM50,PSMB1,EMC6,CCT8,CCT5,NDUFA9,ATP5PF,SPAG7,NPM1,TIMMDC1,MMAA,MDH2,NUBPL,ATP5PB,IMMT,ATP5F1C,SUCLA2,NMNAT1,DNAJA3,RPA3,NDUFAB1,PSMC2,ATP5PO,NUCB1,ABCE1,RAN
adipose - hibernation, down	3	THAP4	14.33	ARCHS4 Coexpression,39;Enrichr Queries,1;GTEx Coexpression,3	ERRFI1,ECI1,CISD1,KEAP1,ENO1,PHB2,PSMD8,AP1S1,RCC1,MLYCD,PDHX,ENDOG,ECH1,MRPS18A,SND1,GNPAT,AFG3L2,VDAC3,VDAC2,CCDC86,VDAC1,TTLL12,AURKAIP1,MGST1,MRPL14,MRPL15,MRPL12,MRPL13,MRPL20,PRDX2,PRDX5,LARP1,TRAP1,MRPL27,MRPL28,PYCR1,MRPL21,CS,FASN,TRIP6,HRC,FARSA,CDK16,MRPS15,FAF1,MRPS12,PRKAG1,MRPL38,MRPS10,MRPL37,MRPL34,ECSIT,ANKRD9,GYS1,MRPL40,TSPO,SDF4,CCT3,TPI1,CLUH,PRMT1,MRPS2,ELOVL6,NME4,HADHB,RPUSD4,HADHA,MRPS9,MRPL51,PABPC1,ALDOA,TKT,PRKN,CSTB,FH,MRPS36,MRPS33,MRPS34,TIMM13,MRPL58,MRPS30,MALSU1,PSMA7,ATP5F1A,PSMB5,SAMM50,ATP5F1B,CLPTM1,EMC6,CCT7,ATP5PF,ATP5PD,TIMMDC1,PTGES2,MDH2,ATP5F1C,ATP5F1D,PSMC1,NDUFAB1,ATP5PO,NDUFA13,NDUFA12,NDUFA10,PEBP1,PARK7,RPL10A,APEH,FBL,HHAT,CHCHD3,TMEM147,FAM162A,MPC2,MACROD1,FADS1,PCYT2,USP5,GPT2,SDHA,SDHB,TUFM,EEF1A1,TMEM259,FKBP4,FKBP5,NDUFB10,NDUFB11,AK1,ATP5MC2,ATP5MC3,SLC1A5,MTLN,ATP5MC1,BCL2L13,BTBD1,NDUFV2,NDUFV1,ATP5MF,ATP5ME,ISOC2,ESRRA,DNAJC19,HSPA9,HSPA8,EIF2B3,PDHA1,IDH1,SLC52A2,IDH2,GOT2,CHCHD10,TIMM44,COQ9,EEF2,HIGD2A,GRHPR,STK25,GNAS,ACO2,EIF4G1,SLC25A3,HSP90AB1,PRKCSH,SLC2A4,ETFB,YBX1,ADAL,KBTBD12,FUNDC2,SEC61A1,MRPL2,MLST8,PGM1,SGCG,ADSL,GPX4,NDUFC1,RAD23A,NIPSNAP2,TRAF7,HAX1,NDUFS8,NDUFS7,NDUFS4,NDUFS3,NDUFS2,NDUFS1,SLC25A10,SLC25A5,SLC25A11,SLC25A4,THOP1,SLC25A6,NDUFB9,STOML2,SMARCD2,SMIM26,POLDIP2,NDUFB5,NDUFB3,NDUFB2,PDHB,HSPD1,GANAB,NCLN,MKNK2,LRIG1,EIF4H,RALY,NDUFA9,NDUFA8,NDUFA7,SPAG7,NDUFA2,SGTA,IMMT,SLC25A39,MYO1C,DNAJA3,TSPAN17,STUB1,P4HB,RAN
adipose - hibernation, down	4	SNAPC5	15.0	ARCHS4 Coexpression,11;GTEx Coexpression,19	NDUFA13,NDUFA11,NDUFA12,CISD1,PARK7,GHITM,SRP14,NFU1,ATP5IF1,CHCHD3,TMEM147,LAMP1,CFL2,MPC2,TRAPPC13,ATP6V1E1,PSPH,EPM2A,PDHX,ENDOG,CACNA2D1,CMC2,ECH1,ACYP2,MRPS18C,TMEM259,BOLA3,VDAC3,SNRPC,PHPT1,FKBP3,NDUFB10,PSMD14,MRPL18,AK1,UBR3,CD99L2,SNU13,MRPL15,MTLN,MRPL13,TMEM242,MRPL11,ATP5MC1,APOO,MRPL20,BTBD1,PRDX1,NDUFV2,ATP5MG,ATP5MF,SERF2,ATP5ME,DNAJC19,EIF2B3,PRELID1,MRPL27,EEF2,MRPL21,SEM1,COQ3,NDUFAF4,GNB1,ACO2,NDUFAF1,ASNSD1,PRKCSH,MRPS11,DIS3L,MRPL34,MRPL35,ADAL,FUNDC2,LASP1,MRPL40,UFD1,IDH3A,MRPS28,TPI1,NDUFC2,NDUFC1,RAD23A,MRPL47,NIPSNAP2,MRPL52,MRPS9,HAX1,MRPL51,NDUFS7,PSMA1,PSMA2,NDUFS4,NDUFS3,ERGIC1,PRKN,NDUFB9,NDUFB8,SMIM26,NDUFB6,MRPS36,NDUFB5,MRPS33,NDUFB3,NDUFB2,NDUFB1,DLST,PDHB,MALSU1,MRPL57,HSD17B10,PSMA7,PSMB7,GANAB,PSMB5,PSMB2,PSMB1,ETFRF1,PTCHD3,EMC6,RPL15,PAIP2,NDUFA9,ATP5PF,NDUFA8,NDUFA7,SPAG7,NDUFA5,PTGES2,NDUFA4,ATP5PB,NDUFA2,TTC1,ELP3,ATP5F1C,PPP1CA,SUCLA2,DNAJA2,NDUFAB1,PSMC2,ATP5PO,CDK2AP2,NUCB1,STUB1,TRIP12,LAMTOR5,TOMM6
adipose - hibernation, down	5	ZNF511	16.0	ARCHS4 Coexpression,1;Enrichr Queries,34;GTEx Coexpression,13	JPT1,ECI1,ARAF,ENO1,MKI67,PHB2,PSMD8,GCSH,RCC1,MLYCD,GAMT,ENDOG,ECH1,THAP1,GNPAT,MTHFD2,BOLA3,HMBS,CCDC86,JTB,AURKAIP1,ANAPC16,MRPL18,MRPL16,MRPL14,SNU13,MRPL12,MRPL13,MRPL10,MRPL11,MRPL20,PRDX1,RCE1,SERF2,PRELID1,MRPL28,PARVB,FAM136A,MRPL24,OCEL1,MRPL21,PTRHD1,FASN,FARSA,ITPA,MRPS15,FEN1,MRPS12,MRPL38,CLTA,SGF29,MRPL37,MRPL34,ECSIT,MED11,GYS1,HINT2,ACADS,ATPAF2,TPI1,PRMT1,MRPS2,NME4,TOMM40L,MRPS5,GCHFR,MRPL52,MRPS9,MRPL51,ALDOA,CSTB,ECHS1,MRPS36,SSNA1,MRPS34,MRPS31,TIMM13,MRPL58,MALSU1,MRPL57,PSMA7,PSMB7,PSMB5,ATP5F1B,PSMB2,LMAN2,DGLUCY,PSMB1,AP2S1,EMC6,RPL15,CCT7,AAMDC,SVIL,ATP5PF,MTX1,MDH2,ATP5F1D,PPP1CA,NUDT8,NMNAT1,RPA3,APEX1,NDUFAB1,ATP5PO,TOMM6,MTCH2,NDUFA13,NDUFA11,NDUFA12,HIKESHI,PARK7,FBL,CHCHD2,CHCHD3,TMEM147,CFL2,MPC2,CFL1,MACROD1,BANF1,FADS1,PSPH,RPS9,SDHB,TUFM,FKBP4,PHPT1,SNRPC,CARS2,FKBP5,NDUFB10,PSMD14,NDUFB11,INSIG1,AK1,ATP5MC2,HMMR,SLC1A5,MTLN,ATP5MC1,NDUFV2,NDUFV1,ZNF784,ATP5MF,ISOC2,ESRRA,DNAJC19,HSPA8,EIF2B3,IDH2,GOT2,PYM1,CHCHD10,TIMM44,COQ9,EEF2,COQ7,COQ6,HIGD2A,COQ5,COQ3,SLC25A1,ETFA,SLC2A4,YBX1,FUNDC2,MRPL2,SPR,IDH3B,PGM1,SGCG,ADSL,GPX4,NDUFC2,RAD23A,HAX1,NDUFS8,NDUFS7,NDUFS2,SLC25A10,SLC25A11,CHMP7,STOML2,NDUFB8,SMIM26,POLDIP2,NDUFB6,CCDC69,HSD17B10,MCRIP2,MKNK2,LRIG1,POLR2E,POLR2L,RBM38,NDUFA8,NDUFA7,SPAG7,NAA10,NDUFA2,POLE4,BCKDK,PRC1,CDK2AP2,POLR3K,RAN
adipose - hibernation, down	6	CHCHD3	17.5	ARCHS4 Coexpression,24;GTEx Coexpression,11	CCDC167,NDUFA13,NDUFA11,NDUFA12,CISD1,HIKESHI,SRP14,RPL10A,KLHL31,NFU1,CHCHD5,FAM162A,CFL2,MACROD1,BANF1,MLYCD,CIAO2A,EPM2A,PDHX,WDR83OS,ENDOG,MRPS18A,SDHD,SDHA,SDHB,EEF1A1,DPM1,GNPAT,AFG3L2,BOLA3,VDAC3,PLAA,VDAC2,VDAC1,SNRPC,PHPT1,FKBP3,RWDD2B,ENY2,SMIM4,NDUFB10,MRPL18,AK1,ATP5MC2,UBR3,SNU13,MRPL15,MTLN,MRPL13,ATP5MC1,BCL2L13,LDHB,BTBD1,NDUFV2,ATP5MG,ATP5MF,SERF2,ATP5ME,DNAJC19,BTF3,EIF2B3,PDHA1,IDH2,GOT2,PARVB,COQ9,COQ7,PAICS,PRDX6,COQ6,COQ5,CS,SEM1,COQ3,OSTC,HRC,ACO2,NDUFAF1,MRS2,CLIC5,PRKAG1,HSPB2,MRPS10,ETFA,TMEM182,SLC2A4,ETFB,ADAL,DTWD2,KBTBD12,FUNDC2,GYS1,MRPL2,CSRP2,NNT,ACADM,DLAT,PGM1,SGCG,IDH3A,MRPS28,CCT2,ADSL,TPI1,MRPS22,RAD23A,NDUFC1,NIPSNAP2,HADHB,VWA8,RPUSD4,HADHA,MRPS9,MRPL51,NDUFS7,PSMA1,PSMA2,NDUFS4,NDUFS2,NDUFS1,DLD,SLC25A11,SLC25A4,PRKN,NDUFB9,FH,STOML2,SMIM26,NDUFB6,MRPS36,NDUFB5,MRPS33,NDUFB3,TIMM13,NDUFB1,MRPL58,MRPS30,PDHB,MALSU1,PSMB7,SAMM50,PSMB5,PSMB2,PSMB1,EMC6,PCBD2,RPL15,HNRNPA1,AAMDC,POLR2L,NDUFA9,ATP5PF,NDUFA8,NDUFA7,SPAG7,NPM1,TIMMDC1,ATP5PD,MDH2,NUBPL,ATP5PB,NDUFA4,NDUFA2,IMMT,ATP5F1C,SUCLA2,NMNAT1,PSMC1,APEX1,NDUFAB1,ATP5PO,RAN,LAMTOR5,TOMM6
adipose - hibernation, down	7	PPARG	22.0	Literature ChIP-seq,5;ARCHS4 Coexpression,14;Enrichr Queries,41;ReMap ChIP-seq,20;GTEx Coexpression,30	ERRFI1,SPARC,AQP7,F11R,LIPE,FLAD1,AP1S1,LONP2,MLYCD,GSTK1,ACSL1,SERPINF1,ECH1,EBF2,TALDO1,ZFYVE21,ACSL3,HSPG2,SLC5A6,RBP7,RBP4,RRAGC,PPA1,AGTR1,VDAC2,SIK2,ATF6,CES1,EXD1,SAR1A,MGST1,LPAR1,MRPL16,WDR61,ABCB8,PIK3R1,ADAMTS12,PLA2G6,HACD2,PRDX2,PRDX5,COMMD9,PRKAR2B,EPB41L1,BLOC1S1,PRKAR2A,APOE,PPARGC1A,PRELID3B,DECR1,TRPM4,MCAM,CIDEA,FN1,TYSND1,NR1D2,PRDX6,MRPL24,CIDEC,DCLK1,EXT1,EHD1,COL1A1,CS,EHD2,PPP1R1A,PRXL2A,FASN,ECHDC1,PRRT4,NRP1,SRPX,ECM2,GBE1,MRPL38,MRPS10,AKR1B1,GPT,PYGL,CSAD,ACADL,AIFM2,FFAR4,FLVCR2,TSPO,CD36,DLAT,ACADM,ACADS,TOMM70,ATPAF2,ACAD8,PRMT7,MME,ELOVL5,TSC22D3,ANXA5,ELOVL6,PTGR1,SUMF2,NAALADL2,F5,HADHB,GCHFR,HADHA,TMEM37,MRAS,MMP19,PPARG,PLIN1,PPARA,ALDOA,MOCS1,SGK2,ERGIC1,PCYOX1,CSTB,ASAH1,SELPLG,ECHS1,PTGER3,DERL1,HSD17B4,PSMA7,NT5E,UCP3,ORMDL3,AP2S1,PTCHD3,GPAT3,LDLR,BCAP31,AOC3,SVIL,NQO1,PEX19,CDKN2C,SORT1,CAVIN2,NUBPL,SORBS1,FAH,DHRS3,ATP5F1E,YIF1B,LYRM1,COL3A1,GPAM,SMOC1,ESYT1,CAMK1,PNPLA2,KLB,SCARB2,SCARB1,ALDH1L1,F13A1,YEATS4,BZW1,KLHL31,TXN2,DOCK11,FADS2,CCND2,HCFC1R1,ENPP2,CHP1,HADH,FADS1,SLC16A5,DGAT2,CD93,FST,ADIPOQ,ALG14,SDHC,PLA2G15,RAB30,COL4A2,COL4A1,GPD1,ERP29,SRSF3,PLA2R1,KPNB1,NSMAF,PFKFB1,GCM1,INSIG2,NOTCH4,INSIG1,AK2,LPL,ATP5MC3,AK3,SLC1A5,DTX4,FBLN2,ACAT2,HCAR2,BCL2L13,GRK3,HCAR1,IGFBP6,NDUFV1,MPDU1,BTNL9,ESRRA,VCAM1,LVRN,ZBTB16,TMEM120A,IDH1,DOLK,COQ7,TMEM230,QKI,ACSF2,ABHD15,COQ5,RCL1,CDK5,COL5A1,COPS2,PXMP2,LCN2,CNTN1,ACO1,DEGS1,ACO2,NIT1,LRP11,NFE2L2,SLC25A1,ITGB1,RNF10,ABCD2,ACADVL,PRKCSH,PTEN,ETFA,DBI,LDB2,ETFB,TSPAN12,GHR,ALAD,LASP1,CPT2,SPR,ALDH2,ME1,MAN1A1,YWHAG,GPX4,GLRX5,TGFBR3,RCN3,ASPH,NDUFS7,ACOX1,CAT,ITGA7,METTL27,TNFRSF21,BCAT2,TRARG1,COL15A1,ACSS2,MVK,LAMA4,SEMA3G,ETFDH,SLC3A2,GLRX,AGPAT2,ACVR1C,RAB20,PALMD,MKNK2,POLR2E,LRIG1,MAL2,LRRC8D,ASCC2,RFFL,HNRNPA1,SEC11A,POLR2L,NTRK2,NDUFA7,LAMB3,FEM1B,MMAB,NDUFA2,IMMT,MYO1C,PC,TEN1,SCD,DNAJA3,APOC1,SPRY1,CHPT1,NECTIN4,SNTB1,NECTIN2
adipose - hibernation, down	8	GTF3A	27.67	ARCHS4 Coexpression,77;Enrichr Queries,4;GTEx Coexpression,2	EIF4A2,EIF4A1,CISD1,ENO1,PHB2,NFU1,MLYCD,PDHX,GSTK1,ENDOG,ECH1,GNPAT,MTHFD2,PPA1,BOLA3,VDAC3,JTB,PSME2,VDAC1,AURKAIP1,ANAPC16,MRPL16,SNU13,MRPL15,MRPL12,MRPL13,MRPL11,MRPL20,LDHB,PRDX1,SARAF,SERF2,BTF3,PRELID1,PARVB,MRPL24,PAICS,MRPL21,CS,CCT6A,NDUFAF4,HRC,NDUFAF1,CALM2,ITM2B,MRS2,FEN1,MRPS11,MRPS12,PRKAG1,MRPS10,TMEM182,MRPL37,ECSIT,MRPL34,PTPRG,GYS1,MRPL40,HINT2,NNT,TSPO,DLAT,MRPS28,CCT3,CCT2,TPI1,PRMT1,TSC22D3,DYNLL1,TOMM40L,HADHB,RPUSD4,GCHFR,VAMP8,HADHA,MRPS9,PABPC1,ALDOA,PRKN,CSTB,FH,MRPS36,MRPS33,SSNA1,MRPS34,MRPL58,MRPS30,MALSU1,MRPL57,PSMA7,MRPL54,PSMB7,ATP5F1A,SAMM50,ATP5F1B,LMAN2,PSMB1,EMC6,CCT8,RPL15,CCT7,CCT5,ATP5PF,NPM1,ATP5PD,TIMMDC1,PTGES2,MDH2,ATP5PB,TTC1,ATP5F1C,ATP5F1D,PPP1CA,FABP3,APEX1,NDUFAB1,SERBP1,ATP5PO,TOMM6,NDUFA12,PDCD6,PEBP1,PARK7,SRP14,RPL10A,ACTG1,FBL,CHCHD2,CHCHD3,TMEM147,CFL1,MACROD1,RPS9,SDHA,SDHB,TUFM,EEF1A1,SRSF3,FKBP3,NDUFB10,NDUFB11,AK1,AK2,MTLN,ATP5MC1,DPP7,BTBD1,UBB,NDUFV2,ATP5MG,MPDZ,ATP5MF,ATP5ME,ESRRA,DNAJC19,HSPA9,HSPA8,EIF2B3,PDHA1,GOT1,IDH2,GOT2,CHCHD10,COQ9,EEF2,HIGD2A,COQ5,COQ3,ARPC3,GNAS,ACO2,ZNF532,SLC25A3,HSP90AB1,TRADD,ETFA,YBX1,ADAL,DTWD2,KBTBD12,FUNDC2,MRPL3,MRPL2,YWHAQ,TIMM17A,IDH3B,MRPL9,PGM1,SGCG,ADSL,GPX4,NDUFC1,RAD23A,YWHAZ,NIPSNAP2,HAX1,NDUFS8,NDUFS7,NDUFS4,NDUFS3,NDUFS1,SLC25A5,SLC25A11,SLC25A4,TRABD,NDUFB9,SMIM26,NDUFB6,POLDIP2,NDUFB5,NDUFB3,NDUFB2,NDUFB1,PDHB,MTIF3,HSD17B10,HSPD1,P2RY8,LEPROTL1,LRIG1,RALY,HNRNPA1,NDUFA9,NDUFA8,NDUFA7,SPAG7,NAA10,NDUFA4,NDUFA2,IMMT,POLE4,EIF3L,EIF3I,CDK2AP2,EIF3E,EIF3D,RAN
adipose - hibernation, down	9	MLX	35.67	ARCHS4 Coexpression,59;Enrichr Queries,11;GTEx Coexpression,37	EIF4A1,ERRFI1,JPT1,SPPL2A,ARAF,CISD1,PARK7,ENO1,APEH,ACTG1,TXN2,PSMD8,LSM12,CHCHD3,FLAD1,CFL1,CHP1,BANF1,MLYCD,CIAO2A,GLUL,FADS1,GTF2I,ABT1,GSTK1,OXSM,MRPS18A,TALDO1,SDHC,SDHD,MFSD11,PGD,SDHB,TUFM,AFG3L2,ACLY,HMBS,PLAA,SUCLG2,CCDC86,PSME2,SUCLG1,FKBP4,AURKAIP1,MMADHC,PLGRKT,BRI3,INSIG1,AK2,SNU13,MRPL15,SLC1A5,MRPL12,CIAO1,DPP3,ATP5MC1,RRP7A,MRPL20,PRDX5,GRPEL1,PRDX1,EIF4EBP3,MPDZ,DECR1,ESRRA,CTSA,STAT5B,FDPS,HSPA8,PRELID1,MRPL24,IGF2R,QKI,DCLK1,HIGD2A,CS,COQ2,PRXL2A,ARPC3,FASN,CALR,CALM2,ZNF532,NFE2L2,SLC25A3,HSP90AB1,PTPRS,PRKCSH,MRPS12,CTSZ,CLTC,PRKAG1,ETFA,MRPL37,YBX1,BRCA1,PEPD,FARS2,MED11,AIFM1,CPT2,SPR,SCRN1,PSD3,TIMM17A,TSPO,TNPO2,ACADS,HTATIP2,ATPAF2,BCKDHA,ATP6V0B,TPI1,GPX4,PRMT1,MRPS22,ANXA5,MRPL49,MRPS2,TFB2M,NIPA2,DYNLL1,TGFBR3,HADHA,HAX1,SDHAF2,IRF8,TMBIM6,SLC25A5,ALDOA,PAFAH1B1,DDX28,CSTB,ECHS1,MRPS36,HM13,DERL1,MRPL58,MTIF2,SLC3A2,GLRX,MALSU1,AGPAT2,HSD17B10,PSMA7,HSPD1,SAMM50,PSMB5,MIEN1,ATP5F1B,SV2A,LMAN2,EMC3,POLR2E,AP2S1,LRIG1,GPAT3,EMC6,BID,LDLR,NDUFA9,BCAP31,NPM1,NAA10,MDH2,IMMT,ATP5F1D,PPP1CA,BCKDK,PSMC5,SLC25A39,NMNAT1,EIF3I,SHLD1,SERBP1,P4HB,RAN,MSRB1
adipose - hibernation, down	10	GLMP	38.5	ARCHS4 Coexpression,25;GTEx Coexpression,52	IPO13,NDUFA13,TXNDC12,PLOD1,NUDT5,PSMD8,LAPTM4A,TMEM147,LAMP1,PSMD5,MPC2,STK16,CMKLR1,CLEC11A,ECH1,RBP4,ERP29,ADAM9,ATP6V0D1,PHPT1,AURKAIP1,RPN2,BRI3,MRPL11,PRDX1,APOE,RCE1,ATG7,NADK,SERF2,MPDU1,CTSA,VAT1,PRELID1,TOR1A,TMEM50A,IDH1,SURF4,ERLIN1,MRPL24,TMEM115,TCN2,ARPC3,OSTC,ZNF813,TPP1,MAN2B1,ITPA,TMEM35B,LGMN,SLC25A1,TRADD,HEXA,CTSZ,CLTA,PEPD,ATRAID,SCPEP1,LASP1,ADAMTS2,SPR,GM2A,AIFM2,C1QTNF6,STAB1,TSPO,SDF4,FLVCR2,VKORC1,USP47,MANBA,ATP6V0B,MME,ATP6AP1,GPX4,ANXA5,GPX8,GPX7,RHOC,SUMF2,SUMF1,RCN3,GCHFR,TMEM37,RP2,LDAH,ERGIC1,PAFAH1B1,ASAH1,ECHS1,GMPR2,HM13,FUOM,HSD17B10,PSMA7,GANAB,PSMB5,OS9,LMAN2,PSMB1,AP2S1,MGAT2,BID,SEC11A,POLR2L,BCAP31,NQO1,MTX1,CARD6,PPP1CA,BCKDK,ERP44,TEN1,GLB1,APOC1,NUCB1,GALM,P4HB,CAMK1,NECTIN2,C1QC
