Query Name	Rank	TF	Score	Library	Overlapping_Genes
adipose - hibernation, up	1	SPEN	3.5	ARCHS4 Coexpression,3;GTEx Coexpression,4	MDC1,CRTC3,RIF1,ICE1,CRAMP1,PRDM2,PHRF1,SOGA1,GPATCH8,ARHGAP35,IGF1R,ZNF609,CAPN7,FBRSL1,UBAP2L,NUP214,SRRM2,TLE3,SMARCC1,NGDN,PRPF4B,PPP4R3A,SRRM1,RAD54L2,PRR12,SF1,KMT2E,ZCCHC8,KMT2D,NOTCH3,INO80D,KMT2A,YTHDC1,KMT2C,ANKRD11,ANKRD12,KMT2B,BAZ2A,RNPC3,NUP160,RAI1,POM121C,ZKSCAN8,UBR5,EP400,PIP5K1A,TNRC18,GCN1,ZFHX3,NOP14,ZNF142,CPSF6,SMURF1,SETD1B,SEC16A,PRRC2C,FOXN3,PHC3,ANKHD1,PRRC2B,PRRC2A,STAG1,PAN3,GON4L,WNK1,CDK12,RERE,PHF2,SETD5,RBM25,CALCOCO1,ZNF250,CHD8,CHD6,MTR,ADAR,CHD2,SMG7,MED12,TRIM4,SIN3A,CIC,SUN1,RBM15,REXO1,ASH1L,SMC1A,SAFB,PATL1,SFPQ,NCOR1,SETBP1,AEBP2,ARHGEF2,BDP1,AHDC1,VGLL4,KDM3B,SRRT,TULP3,FOXK1,MLLT6,EXOSC10,PRR14L,POLR2A,SRSF11,NKTR,BRD4,HNRNPA3,TRAPPC10,FOXJ3,FOXJ2,ZFC3H1,HUWE1,MYO9B,GATAD2B,MIB1,NEURL4,BCOR,PAXBP1,TAF1
adipose - hibernation, up	2	SRCAP	8.667	ARCHS4 Coexpression,5;Enrichr Queries,6;GTEx Coexpression,15	MDC1,MIDN,INPPL1,CRAMP1,PHRF1,SOGA1,ARHGAP35,IGF1R,PNN,ZNF609,WDR90,FBRSL1,UBAP2L,CMTR1,SOX4,SRRM2,SLC38A1,SECISBP2,ACTN1,ARID5B,PRPF4B,PPP4R3A,DLEC1,ACTN4,FBXO11,MAPK8IP3,GTPBP4,DDIT4,ZNF316,WDFY3,SRSF5,PRR12,ARL8A,SF1,ATF4,EPHA2,CUL9,KMT2E,KMT2D,KMT2A,SDC4,DHX8,KMT2C,ANKRD11,KMT2B,BAZ2A,ITPR3,NDRG1,ZFP36L1,ABR,RAI1,POM121C,UBR5,EP400,ABL1,PIP5K1A,E4F1,TNRC18,GCN1,WDTC1,CTC1,PRPF38B,ZFHX3,ZNF142,SEC16A,SETD1B,HMGA1,LTO1,PRRC2C,ANKHD1,PRRC2B,PRRC2A,SETX,WNK1,GOLGB1,BHLHE40,MDM2,TUBGCP6,CDK12,TCF3,RERE,TOP2A,SETD5,PHF2,RBM25,CDKN1A,BTG2,RBM26,BTG1,LDB1,CHD8,CHD7,CHD6,SLC2A1,PTPN23,CHD2,SMG7,MED15,MED12,PTBP1,AKAP13,DGCR8,CIC,JARID2,KDM6B,ARHGEF11,PARP6,BRD1,REXO1,NCOA3,ASH1L,SMC1A,SAFB,PATL1,PTP4A1,SFPQ,NCOR1,TRAF3,ELF4,RAPGEF1,ARHGEF2,PPP1R12C,AHDC1,PLEC,PPP1R15A,GTF3C2,SMARCD1,MGRN1,BRAT1,SRRT,DDX23,FOXK1,THBS1,MLLT6,NXF1,UNK,NFIL3,POLR2A,RBBP6,MEF2D,SRSF11,NKTR,BRD4,SPEN,HNRNPA3,MBD6,MBD1,STAT3,HUWE1,MYO9B,HIPK1,SCAF1,NEURL4,HNRNPA2B1,ZYX,BCOR
adipose - hibernation, up	3	PRR12	10.67	ARCHS4 Coexpression,13;Enrichr Queries,1;GTEx Coexpression,18	MIDN,RIPOR1,NAB2,INPPL1,JADE2,PHRF1,SOGA1,CELSR3,ARHGAP35,IGF1R,STK11,FBRSL1,LZTS2,SOX4,SRRM2,TLE3,CTNNBIP1,UBALD1,ARID5B,SOX12,ACTN4,FOXP4,MAPK8IP3,EML3,BCR,MAU2,HNRNPUL2,MAP7D1,MADD,DDIT4,ULK3,SRSF5,FLYWCH1,TSNARE1,MAML3,LLGL1,SF1,CUL9,KMT2D,NOTCH3,CUL7,KMT2A,ANKRD11,KMT2C,KMT2B,CACNA1A,BAZ2A,ITPR3,LTBP2,ZFP36L1,RAI1,KLC2,POM121C,KIAA1522,EP400,ABL1,E4F1,TNRC18,PIP5K1C,GCN1,WDTC1,JAG2,ZNF142,ZFHX3,CPSF6,AUTS2,SETD1B,TNK2,SEC16A,HMGA1,LTO1,PRRC2C,NR1D1,PRRC2B,PUM2,PRRC2A,WNK1,BHLHE40,ATG2A,TUBGCP6,TCF3,RERE,PHF2,SETD5,CALCOCO1,CDKN1A,CCDC120,ZNF250,LDB1,CHD8,CHD7,CHD6,PTPN23,IRF2BPL,CEP170B,DGCR8,QSOX2,CIC,GIT1,DLGAP4,KDM6B,ARHGEF11,SUN1,BRD1,REXO1,PLEKHG5,NCOA3,INF2,PITPNM1,TRAF3,PITPNM2,RAPGEF1,ARHGEF2,ZNF358,PPP1R12C,AHDC1,PLEC,SMIM29,MGRN1,SRRT,FOXK1,MLLT6,NXF1,MNT,UNK,POLR2A,MEF2D,NKTR,BRD4,SPEN,ZNF462,KDM4C,MBD6,CDC42BPG,NCKAP5L,AHNAK2,HUWE1,MYO9B,SCAF1,SORBS3,GATAD2B,TTC39B,NEURL4,CROCC,SGSM2,ZYX,ESYT3,BCOR,TNRC6A,GRINA
adipose - hibernation, up	4	BAZ2A	11.67	ARCHS4 Coexpression,14;Enrichr Queries,4;GTEx Coexpression,17	MDC1,ANKLE2,MIDN,CCNT1,ZNF292,INPPL1,DNHD1,CRAMP1,JADE2,PHRF1,IGF1R,PNN,ZNF609,WDR90,FBRSL1,TRIM25,UBAP2L,CMTR1,NUP214,SRRM2,TLE3,SLC38A1,SMARCC1,WSB2,KHNYN,SECISBP2,ARID5B,PPP4R3A,ACTN4,SRRM1,EML3,HNRNPUL2,DDIT4,FAM76B,WDFY3,PRR12,SF1,KMT2E,KMT2D,AKNA,KMT2A,KMT2C,ANKRD11,KMT2B,MYCBP2,ITPR3,NUP160,ZFP36L1,TGOLN2,RAI1,RNF213,ATXN1,POM121C,UBR5,EP400,TNRC18,SUDS3,GCN1,WDTC1,CTC1,ZFHX3,SETD1B,SEC16A,HMGA1,PRRC2C,ANKHD1,PRRC2B,PRRC2A,PUM2,SETX,MOV10,SLC6A6,PAN3,GON4L,WNK1,BHLHE40,CCDC88C,MDM2,TCF3,CDK12,LRCH4,BRWD3,LMBR1L,RERE,SETD5,RBM25,CDKN1A,BTG2,AHCTF1,BTG1,LDB1,CHD8,CHD7,CHD6,ADAR,PTPN23,CHD2,SMG7,MED15,PHF8,MED12,AKAP13,PTBP1,SIN3A,XPO6,UIMC1,KIF1B,JARID2,CIC,KDM6B,BRD1,ARHGEF12,REXO1,NCOA3,ASH1L,PATL1,SFPQ,NCOR1,PITPNM1,TRAF3,ELF4,MTF2,ZNF516,RAPGEF1,FAM193B,ARHGEF2,AHDC1,PLEC,SF3B2,KDM3B,STAU2,SRRT,FOXK1,MLLT6,MNT,POLR2A,RBBP6,MEF2D,SRSF11,NKTR,BRD4,SPEN,HNRNPA3,MBD6,MBD1,STAT3,FBXL17,ZFC3H1,HUWE1,MYO9B,SCAF1,GATAD2B,NEURL4,HNRNPA2B1
adipose - hibernation, up	5	KMT2A	12.0	ARCHS4 Coexpression,6;ReMap ChIP-seq,3;GTEx Coexpression,27	ATF2,ZNF292,SOGA1,ZDHHC2,TXNDC16,GPATCH8,ELK4,HOXA9,ZNF609,TBK1,HERC1,BBX,CCNL1,HOXA7,HOXA6,SOX4,TMPO,MEF2A,SRRM2,SMARCC1,WSB1,PRKCE,STARD9,MAPK8IP3,FNDC7,WDR76,SRRM1,BCR,EML5,MARF1,PPP1R3B,RUFY3,RRAGD,PRR12,KIF20B,L3MBTL3,ZNF395,PAXIP1,STXBP3,TSHZ1,MYCBP2,TRANK1,ENDOD1,BAZ2A,RPAP2,MTMR6,POM121C,CHST15,TP53BP2,ZNF821,TNRC18,TP53BP1,PRPF38B,EIF2AK2,TMEM192,PRRC2C,EIF2AK4,STAM,PRRC2B,POU6F1,PUM2,MLLT10,LAS1L,STRC,WNK1,GOLGB1,CDK12,ATR,PHF2,SETD5,C2CD5,CDKN1A,ZNF250,PIGN,TUT4,HEXB,ING1,SHF,AKAP13,RSRC1,REV3L,KIF1B,ANKRD6,APPL1,OFD1,TCF12,ASH1L,ZEB2,NCOR1,PITPNM2,PLEKHO1,FAM193A,VAMP4,SFI1,HBEGF,NEXN,NOL8,SNX30,RBM15B,EXOSC10,PRR14L,METTL6,MAP4K5,SRSF11,NKTR,RUNX1T1,EGLN1,RPA1,HUWE1,RANBP9,PLEKHA3,HIPK1,GATAD2B,MIB1,PLEKHA8,PER3,ZNFX1,ABI2,NEDD4,MPHOSPH8,DGKE,CCNT2,CRTC3,DGKD,CRAMP1,PRDM2,TMEM131L,ETS2,CELSR3,ARHGAP35,IGF1R,ARID5B,PRPF4B,TBC1D2B,FBXO11,ANKS6,WDFY3,KMT2E,CD274,KMT2D,KMT2A,YTHDC1,KMT2C,ANKRD11,ANKRD12,CUL1,CACNA1A,TNFRSF11A,ZFP36L1,BCL2L11,ZKSCAN8,STK38,UBR5,EP400,MAP2K5,QSER1,CPSF6,ANKRD27,PHF10,SYT1,AUTS2,PTCH1,OGA,ANKHD1,AFDN,PAN3,NBEA,BCL2,SPIRE1,MXD1,UBE2K,BRWD3,BCAR3,LMBR1L,RERE,RBM25,RBM26,CHD8,CHD7,CHD6,CHD2,BICD1,MYSM1,PITPNC1,LBH,SENP5,SUN1,ARHGEF12,USP45,TTC31,PTBP3,SFPQ,PEAK1,ZNF638,BDP1,SFT2D2,CAMK2D,KDM3B,RAP1GDS1,FOXK1,ATAD2B,MLLT6,NXF1,IGF2BP3,RBBP6,SPEN,ATE1,KDM4C,ZFC3H1,PITHD1,CROCC,ERCC8,BCOR,PAXBP1,OTUD1,TNRC6A,TAF1
adipose - hibernation, up	6	BPTF	18.0	ARCHS4 Coexpression,34;GTEx Coexpression,2	CCNT2,RIF1,ZNF292,CRAMP1,SMC3,SOGA1,GPATCH8,CCAR1,ZNF609,HERC1,SRRM2,SMARCC1,ANXA11,FBXO11,SRRM1,EML5,ZC2HC1A,KIAA2026,WDFY3,SRSF5,PPIG,PRR12,KMT2E,PAXIP1,KMT2A,YTHDC1,KMT2C,ANKRD11,MYCBP2,RPAP2,NUP160,UBR5,EP400,SEC31B,QSER1,CPSF6,AUTS2,PTCH1,OGA,PRRC2C,PRRC2B,PUM2,MLLT10,AFDN,PAN3,LAS1L,NBEA,STRC,WNK1,GOLGB1,CDK12,BRWD3,PHF2,SETD5,RBM28,RBM25,C2CD5,RBM26,DDX46,TUT4,CHD8,HEXB,CHD7,CHD6,ZC3H6,BICD1,MYSM1,REV3L,CIC,JARID2,TTC37,SUN1,BRD1,USP49,PLEKHG5,USP45,ASH1L,SFPQ,PEAK1,ZNF638,FAM193A,ZNF236,BDP1,SFT2D2,SFI1,UNK,EXOSC10,PRR14L,RBBP6,SRSF11,NKTR,RUNX1T1,SPEN,HNRNPA3,KDM4C,ATAD5,HUWE1,GATAD2B,RAD50,ABI2,NEDD4,RBM42,PAXBP1,TNRC6A,TAF1
adipose - hibernation, up	7	ZNF609	21.0	ARCHS4 Coexpression,22;Enrichr Queries,12;GTEx Coexpression,29	MDC1,INPPL1,DNHD1,CRAMP1,PRDM2,SMC3,SOGA1,GPATCH8,ARHGAP35,IGF1R,DCAF1,HERC1,WDR90,SAP130,BBX,FBRSL1,UBAP2L,SUPT20H,CMTR1,SRRM2,NUP214,SLC38A1,SMARCC1,PRKCE,STARD9,ARID5B,SRRM1,BCR,EID3,IFT81,HNRNPUL2,SPECC1L,DDIT4,WDFY3,ZNF677,RAD54L2,PRR12,LLGL1,SF1,KMT2D,KMT2A,KMT2C,ABHD2,ANKRD11,MYCBP2,ANKRD12,KMT2B,BAZ2A,PDS5B,SPATA6,PHF21A,CAMSAP1,CAMSAP2,ZFP36L1,RAI1,RNF213,ATXN1,POM121C,UBR5,EP400,ABL1,TNRC18,TP53BP1,ZC3H14,GCN1,SEC31A,MGAM,ZFHX3,ODF2,SEC16A,PRRC2C,FOXN3,MEX3D,PHC3,PRRC2B,NFATC4,PRRC2A,PUM2,SETX,MLLT10,AFDN,TBL2,WNK1,BHLHE40,PHF13,STRN,CDK12,TCF3,LMBR1L,RERE,SETD5,AHCTF1,LDB1,PHF1,CHD8,CEP164,CHD7,CHD6,PTPN23,CHD2,SMG7,PHF8,ZCCHC14,PIK3C2B,MED12,AKAP13,SIPA1L1,SIN3A,UIMC1,KIF1B,JARID2,CIC,ARHGEF11,ARHGEF12,REXO1,NCOA3,TCF12,ASH1L,WDR35,SFPQ,NCOR1,TRAF3,ZNF638,ZNF516,RAPGEF1,FAM193A,ARHGEF2,ZNF236,PLEC,SF3B2,KDM3B,STX19,SRRT,RNF38,FOXK1,ASAP1,THBS1,MLLT6,KIAA0753,RBBP6,BRD4,SPEN,ZNF462,ARFGEF2,HNRNPA3,MBD1,ZFC3H1,HUWE1,MYO9B,SCAF1,GATAD2B,AGBL5,SLC4A7,TTLL5,ABI2,TAF1
adipose - hibernation, up	8	CIC	27.33	ARCHS4 Coexpression,9;Enrichr Queries,14;GTEx Coexpression,59	MDC1,MIDN,IFT172,INPPL1,DNHD1,CRAMP1,JADE2,PHRF1,SOGA1,CELSR3,ARHGAP35,IGF1R,ZFYVE28,RAB43,STK11,WDR90,FBRSL1,LZTS2,CMTR1,SOX4,TSPYL2,SRRM2,TLE3,ACTN1,LMTK3,ARID5B,UBALD1,ACTN4,GTF2F1,FOXP4,MAPK8IP3,EML3,BCR,MAU2,HNRNPUL2,MAP7D1,MADD,DDIT4,PRR12,SF1,EPHA2,ZBED9,KMT2D,KMT2A,KMT2C,ANKRD11,FBF1,KMT2B,MYCBP2,CACNA1A,BAZ2A,NDRG1,ZFP36L1,ABR,RAI1,KLC2,EP400,ABL1,ZNF821,TNRC18,PIP5K1C,IP6K1,SEC31B,WDTC1,CBX7,ZFHX3,TGFB1,SETD1B,TNK2,SEC16A,HMGA1,PRRC2B,PRRC2A,ARHGAP23,LAS1L,STRC,WNK1,BHLHE40,TUBGCP6,RADIL,MAFK,LRCH4,LMBR1L,RERE,CSRNP2,CDKN1A,BTG2,LDB1,PHF1,AKAP8L,CEP164,CHD7,CHD6,PTPN23,SMG7,MED15,PHF8,ZCCHC14,IRF2BPL,CEP170B,DGCR8,JARID2,GIT1,DLGAP4,ARHGEF11,KDM6B,PARP6,BRD1,REXO1,ZER1,STRADA,CHPF2,NCOA3,GNL1,NCOR1,INF2,PITPNM1,TRAF3,RAPGEF1,FAM193B,FAM193A,ARHGEF2,ZNF358,SFI1,PPP1R12C,AHDC1,PLEC,SF3B2,MGRN1,BRAT1,SRRT,FOXK1,MLLT6,MNT,POLR2A,MEF2D,BRD4,SPEN,MBD6,MBD1,MBOAT7,HUWE1,MYO9B,SCAF1,CABLES2,MYO1E,NEURL4,SGSM2,ZYX,ATP13A2,BCOR,BCAR1,GRINA
adipose - hibernation, up	9	FOXK1	31.25	ARCHS4 Coexpression,36;Enrichr Queries,5;ReMap ChIP-seq,23;GTEx Coexpression,61	ANKLE2,IFT172,PKD2L1,SOGA1,GOLGA3,HOXA9,ZNF609,DHX57,WDR90,SAP130,HOXA1,DIP2C,CCNL1,HOXA7,HOXA6,CDK5RAP2,TMPO,TSPYL2,NUP214,SRRM2,DDX18,ACTN1,PRKCE,DAPK3,ZNF10,FLT3LG,DLEC1,SOX12,ACTN4,HCFC2,MAPK8IP3,EML3,DHX40,IFT81,DDIT4,FLYWCH1,MAML3,PRR12,LLGL1,ATF4,EPHA2,SF1,ZNF395,DHX8,CTBP2,SLC35D2,STXBP2,CWF19L2,BAZ2A,RPAP2,ZNF26,TTBK2,GHRHR,ABR,RNF216,PDCD11,POM121C,PIP5K1A,TNRC18,TP53BP1,ST3GAL1,CTC1,ZNF142,ZRANB1,SETD1B,PRRC2C,NR1D1,PRRC2B,PRRC2A,CPEB1,RPS27,WNK1,AGO1,GTF2IRD1,CSRNP2,BTG2,C2CD5,CDKN1A,TUT7,CCDC120,ZNF250,TUT4,PHF1,AKAP12,AKAP13,MAP1LC3B,C1QTNF5,XPO5,REV3L,KIF1B,QSOX2,JARID2,CIC,DLGAP4,NUDC,ZER1,NCOA3,PRPF40B,AEN,FAM126B,PITPNM2,RAPGEF1,PLEKHO1,ZNF236,VGLL4,COL11A2,TUBD1,MNT,PLAGL1,EXOSC9,SHOC2,MEF2D,SRSF11,RIBC2,BRD4,BRF1,STAT3,HUWE1,SCAF1,GATAD2B,NEDD4,SGSM2,UBAP2,TACC1,FAU,EEF1AKMT3,ANKRD39,ZNF331,MIDN,RTKN,NAB2,INPPL1,ARID4A,JADE2,PHRF1,ETS1,ETS2,ARHGAP35,IGF1R,STK11,SCMH1,CEP250,FBRSL1,TLE3,UBALD1,ARID5B,MITF,PPP4R3A,LMO7,RPGRIP1L,LARP4B,TANC1,CHMP4A,RTN2,ZCCHC8,CUL9,KMT2D,CUL7,KMT2A,ANKRD11,ABHD2,KMT2B,CUL1,CACNA1A,ITPR3,ESS2,NDRG1,ZFP36L1,RAI1,ASIC4,HMBOX1,BCL2L11,ATXN1,EP400,PLXNA2,ABL1,ZNF667,IP6K1,MORC2,GCN1,KLHL29,NOP14,ZFHX3,AUTS2,SEC16A,KLHL21,TRPV2,CRIM1,HMGA1,SREK1IP1,FOXN3,SSH1,AHI1,MAVS,SYNJ1,BHLHE40,PHF13,MAFK,PLEKHM3,RERE,RBM28,DOCK4,CHD7,CHD6,SLC2A1,PTPN23,CHD2,RPGR,IRF2BPL,UBE2Q1,CEP170B,DACT3,POLH,KDM6B,USP49,REXO1,RBM18,TTC31,URB2,SMC1A,REXO4,RBL1,RASA3,TRAF3,PEAK1,SFT2D2,PPP1R12C,AHDC1,RBM22,PLEC,TRIM56,PPP1R15A,GTF3C2,CAMK2D,KDM3B,SMIM29,MGRN1,ASAP1,CYGB,MLLT6,NXF1,SLC25A28,POLR2A,FCHO2,TRIM47,RBBP6,SPEN,PTPN18,POLN,NCKAP5L,FOXJ3,ZFC3H1,PTPN14,PNRC1,NEURL4,PIK3IP1,RBM42,OTUD1
adipose - hibernation, up	10	ZKSCAN8	33.5	ARCHS4 Coexpression,45;GTEx Coexpression,22	MDC1,CCNT2,CRTC3,ICE1,PRDM5,DNHD1,DCAF8,ARHGAP35,CRKL,PTAR1,ZNF609,CAPN7,UBAP2L,LZTS2,CMTR1,NUP214,SRRM2,SMARCC1,WSB1,KHNYN,PRPF4B,TBC1D2B,ATP11B,SRRM1,FAM76B,RAD54L2,PPIG,ANAPC1,TSPYL4,SF1,KMT2E,KMT2D,INO80D,KMT2A,KMT2C,ANKRD12,BAZ2A,RNPC3,NUP160,TGOLN2,POM121C,UBR5,ABL1,NPHP3,TNRC18,GCN1,CNTLN,WWTR1,CPSF6,RBPMS,PHF10,SETD1B,PHC3,PRRC2B,PRRC2A,PAN3,GON4L,WNK1,GOLGB1,STRN,CDK12,PHF2,SETD5,RBM25,LDB1,HP1BP3,CHD6,MTR,ZC3H6,CHD2,SMG7,MYSM1,TTC28,MED12,TRMT112,SIN3A,XPO5,SUN1,ASH1L,SMC1A,PARD3B,SFPQ,SETBP1,RBMS3,SMARCD1,KDM3A,KDM3B,POLR2A,SRSF11,NKTR,SPEN,HNRNPA3,FOXJ3,ZFC3H1,HUWE1,ELP1,GATAD2B,MIB1,SLC4A7,TACC1,BCOR,FAU,PAXBP1,RBM43,TNRC6A,TAF1
