Query Name	Rank	TF	Score	Library	Overlapping_Genes
adipose - post-fed reversed, down	1	CC2D1A	7.0	ARCHS4 Coexpression,1;GTEx Coexpression,13	NEURL4,CDC42BPG,WDR90,MLLT6
adipose - post-fed reversed, down	2	ZNF783	25.0	ARCHS4 Coexpression,18;Enrichr Queries,47;GTEx Coexpression,10	CCDC88B,SECISBP2,WDR90,EML3,NFATC4,MLLT6
adipose - post-fed reversed, down	3	MBD6	30.0	ARCHS4 Coexpression,44;GTEx Coexpression,16	CCDC88B,SECISBP2,WDR90,EML3,MLLT6
adipose - post-fed reversed, down	4	EBF4	31.33	ARCHS4 Coexpression,23;Enrichr Queries,37;GTEx Coexpression,34	NEURL4,KIAA0753,LLGL1,NFATC4
adipose - post-fed reversed, down	5	ZNF76	33.67	ARCHS4 Coexpression,13;Enrichr Queries,77;GTEx Coexpression,11	CCDC88B,NEURL4,WDR90,MLLT6,EML3
adipose - post-fed reversed, down	6	E4F1	36.75	Literature ChIP-seq,4;ARCHS4 Coexpression,20;Enrichr Queries,111;GTEx Coexpression,12	NEURL4,CDC42BPG,WDR90,EML3,MLLT6
adipose - post-fed reversed, down	7	PHF1	38.5	ARCHS4 Coexpression,35;GTEx Coexpression,42	CCDC88B,ATP8B3,WDR90,EML3,MLLT6
adipose - post-fed reversed, down	8	PRR12	39.67	ARCHS4 Coexpression,6;Enrichr Queries,80;GTEx Coexpression,33	NEURL4,CDC42BPG,LLGL1,MLLT6,EML3
adipose - post-fed reversed, down	9	MZF1	45.67	ARCHS4 Coexpression,9;Enrichr Queries,45;GTEx Coexpression,83	NEURL4,WDR90,EML3,MLLT6
adipose - post-fed reversed, down	10	SAFB2	51.5	ARCHS4 Coexpression,7;GTEx Coexpression,96	CCDC88B,NEURL4,EML3,MLLT6
adipose - post-fed reversed, down	11	RBCK1	55.0	ARCHS4 Coexpression,29;GTEx Coexpression,81	CCDC88B,EML3,MLLT6
adipose - post-fed reversed, down	12	ZNF692	57.33	ARCHS4 Coexpression,14;Enrichr Queries,64;GTEx Coexpression,94	NEURL4,WDR90,EML3,MLLT6
adipose - post-fed reversed, down	13	TOPORS	57.5	ARCHS4 Coexpression,97;GTEx Coexpression,18	AHCTF1,NEURL4,PIGV,MLLT6
adipose - post-fed reversed, down	14	JRK	58.0	ARCHS4 Coexpression,73;GTEx Coexpression,43	NEURL4,WDR90,REXO4,MLLT6
adipose - post-fed reversed, down	15	ZNF507	64.67	ARCHS4 Coexpression,148;Enrichr Queries,17;GTEx Coexpression,29	AHCTF1,SECISBP2
adipose - post-fed reversed, down	16	CIC	66.33	ARCHS4 Coexpression,27;Enrichr Queries,116;GTEx Coexpression,56	NEURL4,WDR90,MLLT6,EML3
adipose - post-fed reversed, down	17	ZNF276	68.33	ARCHS4 Coexpression,48;Enrichr Queries,6;GTEx Coexpression,151	CCDC88B,WDR90,MLLT6,EML3
