Query Name	Rank	TF	Score	Library	Overlapping_Genes
liver - hibernation, down	1	MLXIPL	3.0	ARCHS4 Coexpression,1;Enrichr Queries,3;GTEx Coexpression,5	KLB,ALDH1L1,SPARC,ABAT,SLC4A4,TM7SF2,SCP2,TDO2,SEPHS2,FADS1,AGFG2,TGM2,ABCG8,DGAT2,SDS,HGD,GPT2,ADIPOQ,MAT1A,CMBL,UPB1,RBP4,COL4A1,GPD1,FETUB,IGFALS,NUPR1,HPD,SLC27A2,SLC27A5,ACOT4,CES1,CFD,SLC26A1,ABCB1,MAOB,SHMT1,INSIG1,HPN,MGST1,KNG1,ACMSD,DPP4,AMDHD1,AGMO,TSPAN7,RDH16,APOF,HMOX1,ASL,SLC38A3,PPARGC1A,PCK2,GCKR,SMLR1,SLC10A1,AGXT2,ADHFE1,EPHX1,ACADSB,COL1A1,GJB2,BHMT,CPS1,PAH,FASN,ECHDC2,ALPL,HRG,TAT,SLC2A2,GPT,PYGL,DHTKD1,ALDH2,CA5A,CD36,HGFAC,MBL2,TTC36,ABCC2,MME,AHSG,GPX3,ARG1,MST1,ABCC6,SORD,PRODH2,TTC38,GCHFR,TGFBR3,ACOX2,EHHADH,COL6A2,CHDH,CAT,RGN,SLC25A10,AGXT,MGLL,ECHS1,ACSS2,SERPINC1,NR1I3,HAAO,HSD17B6,AGPAT2,SLC7A2,PAPSS2,HMGCL,RIDA,ORMDL3,LRIG1,ASPDH,CKB,PKLR,F12,GLYCTK,APOC3,FMO3,ASS1,AGT,GSTZ1,ALDH4A1,UROC1,GPAM,KLF9,CFHR5,NAGS,COQ8A,ALDH8A1,OTC
liver - hibernation, down	2	ARID3C	6.5	ARCHS4 Coexpression,5;GTEx Coexpression,8	ALDH1L1,TAT,SLC2A2,GPT,DHTKD1,SCP2,TDO2,CA5A,SEPHS2,HGFAC,MBL2,TTC36,ABCG8,ABCC2,SDS,HGD,AHSG,ARG1,MST1,ABCC6,MAT1A,UPB1,PRODH2,GCHFR,RBP4,ACOX2,EHHADH,RGN,FETUB,SLC25A10,IGFALS,IDO2,AGXT,HPD,SLC27A2,SLC27A5,SLC26A1,SERPINC1,GLS2,SHMT1,NR1I3,HAAO,HPN,LCAT,HSD17B6,KNG1,ACMSD,HMGCL,RIDA,AMDHD1,AGMO,RDH16,APOF,ASPDH,SLC38A3,GCKR,PKLR,SMLR1,SLC10A1,AGXT2,F12,GLYCTK,EPHX1,APOC3,FMO3,ACADSB,GSTZ1,ALDH4A1,BHMT,ALDH6A1,UROC1,CPS1,PAH,CFHR5,NAGS,HRG,ALDH8A1,OTC
liver - hibernation, down	3	NR1H4	10.33	ARCHS4 Coexpression,9;Enrichr Queries,6;GTEx Coexpression,16	KLB,SPARC,MSMO1,ABAT,SLC4A4,SCP2,TDO2,SEPHS2,FADS1,TGM2,ABCG8,PCYT2,HGD,MAT1A,UPB1,GCAT,RBP4,GPD1,FETUB,HECA,IGFALS,NUPR1,HPD,SLC27A2,SLC27A5,CES2,FTL,SLC26A1,ABCB1,NNMT,MAOB,SHMT1,HPN,SLC1A1,MGST1,KNG1,ACAT2,ACMSD,DPP4,KLC4,TKFC,ADGRG7,AMDHD1,AGMO,PRDX1,RDH16,APOF,HMOX1,ASL,SLC38A3,PPARGC1A,PCK2,GCKR,SMLR1,AGXT2,SLC10A1,EPHX1,FUCA2,ACADSB,COL1A1,BHMT,DAB2,HAL,CPS1,PAH,HRG,SLC25A1,PIGR,MOGAT3,TAT,SLC2A2,ETFA,ETFB,PEPD,CA5A,KYNU,CD36,HGFAC,MBL2,TTC36,ABCC2,MME,AHSG,GPX3,ARG1,MST1,ABCC6,SORD,TTC38,GCHFR,CEACAM1,ACOX2,EHHADH,DPYD,RGN,AGXT,MGLL,ECHS1,SERPINC1,NR1I3,HAAO,SLC43A1,HSD17B6,AGPAT2,PAPSS2,HMGCL,RIDA,NT5E,LRIG1,PKLR,F12,GLYCTK,MOCOS,APOC3,FMO3,ASS1,AGT,CFHR5,NAGS,ALDH8A1,OTC,FOXA2
liver - hibernation, down	4	CREB3L3	11.33	ARCHS4 Coexpression,17;Enrichr Queries,2;GTEx Coexpression,15	ALDH1L1,SPARC,GDA,ABAT,SLC4A4,SCP2,TDO2,SEPHS2,FADS1,TGM2,ABCG8,SDS,DGAT2,HGD,SLC35C1,MAT1A,CMBL,UPB1,RBP4,GPD1,FETUB,HECA,IGFALS,NUPR1,HPD,SLC27A2,SLC27A5,ACOT4,CES2,CES1,ABCB1,MAOB,SHMT1,HPN,SLC1A1,SDSL,KNG1,ACMSD,DPP4,TKFC,ADGRG7,AMDHD1,AGMO,RDH16,APOF,HMOX1,ASL,SLC38A3,PCK2,GCKR,MGAM,SMLR1,AGXT2,EPHX1,EFNA1,COL1A1,IL22RA1,HAL,BHMT,GJB2,CPS1,PAH,HRG,TAT,MIA2,SLC2A2,GPT,TMEM53,PEPD,CA5A,SLC22A18,CD36,OIT3,HGFAC,MBL2,ABCC2,MME,ARG1,AHSG,GPX3,MST1,ABCC6,TTC38,GCHFR,CEACAM1,ACOX2,EHHADH,CAT,RGN,AGXT,MGLL,OAT,SERPINC1,NR1I3,HAAO,HSD17B6,AGPAT2,HMGCL,RIDA,LRIG1,PKLR,F12,GLYCTK,MOCOS,APOC3,FMO3,AGT,ASS1,ALDH4A1,CFHR5,NAGS,ALDH8A1,OTC
liver - hibernation, down	5	HNF4A	14.33	Literature ChIP-seq,3;ARCHS4 Coexpression,21;ENCODE ChIP-seq,14;Enrichr Queries,22;ReMap ChIP-seq,3;GTEx Coexpression,23	DCAF8,ABAT,GHITM,ALKBH7,ENO3,ZFYVE1,GCSH,NDST1,AS3MT,SCP2,TDO2,FDXR,CEP97,CMKLR1,ZNF165,STARD4,STARD5,DNAAF5,UPB1,HSPG2,CLPX,SCAMP2,RBP4,WDR81,ETHE1,ORAI3,FDX1,HPD,ZNF398,PIF1,ABCB1,SYCP2L,SHMT1,HPN,TPRG1L,AGAP3,MTMR4,SDSL,HACD2,PLA2G7,PRKCZ,ACMSD,PRDX3,EPB41L5,HLCS,AGMO,PRDX1,PRKAR2A,RDH16,PLCG2,HMOX1,PPARGC1A,SLC19A2,CADM1,ABCA6,EIF2AK1,STARD10,FUCA2,ABCA9,RMDN3,MRPL28,SLC16A10,PRDX6,PBX1,IL22RA1,COL1A1,GLUD1,GJB2,BHMT,UCK2,EIF5,PAH,FASN,ATG2A,SFXN1,HBP1,HRG,MYOM1,PIGR,SMG1,ADK,PRKAG2,GPT,PYGL,TMEM53,WDR45,LITAF,MS4A4A,SHF,EEA1,C1QTNF3,GLT1D1,CHAF1A,CSRP1,RFK,TRIM2,ANXA6,IKBKG,JARID2,GARNL3,LRRC47,MYBPC1,CLUH,GSTO2,AHSG,SPHK2,ARG1,ELMOD2,SLC39A11,TACR1,GCHFR,PHF20L1,RNF167,MMP15,CDC42EP4,IVD,SDHAF1,DPYD,PLSCR4,RAPGEF1,RGN,GAS2,TMEM106B,MOCS1,MGLL,PCYOX1,TRUB2,FH,ECHS1,SGMS1,SERPINC1,NR1I3,PELI2,DLST,FAM214B,RNF135,DHRSX,ASPDH,CLPTM1,HS1BP3,STX3,FLNC,BID,ATAD1,PKLR,AADAT,PCGF5,F12,GLYCTK,MOCOS,GSR,DHRS1,AGT,LETM1,TMEM59,XAB2,TTLL4,ETNK2,ZNF217,COQ8A,MSRB1,YPEL2,ERO1A,MTCH1,ALDH1L1,RORA,PLOD1,TMEM131L,CDC14A,CDC14B,FADS2,PPP1CC,NAGLU,LAMP1,CDH1,FADS6,PHYHD1,PIM1,CHP1,SLC25A43,SLC25A44,FADS1,LAG3,SLC38A1,DGAT2,PCYT2,AREL1,GPT2,ANKRD44,MITF,ATP11A,CNPY3,POLRMT,TEX2,FAM91A1,FBXW2,ACLY,ACAP3,TPST1,PKP4,SLC27A2,SLC27A5,FTL,PFKFB2,CSF1R,SHC2,SLC26A1,FOXO3,AK7,KNG1,ACAT2,KLC4,TKFC,AMDHD1,SMYD2,SAFB2,SLC38A3,MPDZ,NADK,TMEM120B,GOT1,AGXT2,GOT2,OGA,DHCR24,FBXO31,DAB2,P4HA1,CPD,COPS2,SLCO1A2,PLXNB2,ACO1,DHCR7,OSBPL1A,TMEM19,NFE2L1,SLC25A1,CALCOCO1,RNF13,RASGRF2,ECE1,ETFA,ETFB,ATP7B,PSD4,ACP6,IDH3B,PHACTR2,OIT3,HGFAC,PGM1,MBL2,CCDC38,CERS4,BCAS3,GPX4,HMGCS1,VWF,VPS13C,SORD,SLC25A15,NSMCE4A,PCCA,NPC2,PCCB,SLC25A10,ITGA6,TMBIM6,BPI,AGXT,SLC25A11,GAPDH,SMARCD2,ACSS2,SMPX,UNC93B1,SEMA3A,GLRX,PHKG2,PCBD1,DCAF11,RFFL,CNNM2,SPAG7,COL26A1,SEMA4B,APOC3,FBXL15,ASS1,SLC25A38,DNAJA1,MAB21L4,MYO1B,UROC1,PTPN9,TRIM37,NAGS,ALDH8A1,PFKM,SPG21,EIF4A2,SLC23A2,AHCYL2,SPARC,TMEM183A,CCNI,CPNE7,CISD1,GDE1,RASSF4,ZNF606,TRIM25,ACAD11,SEPHS2,AGFG2,PDK2,ENTPD7,SLC6A12,SLC6A11,MYO7A,GCAT,SHTN1,CDC34,SUCLG2,VDAC1,SUCLG1,TP53,ALDH7A1,CES2,CES1,TBCEL,MAOB,TMEM63B,EPB41,IGSF1,SDC3,TSHZ2,ZNHIT1,TSPAN9,NEU1,APOF,ASL,SNX5,RAB11FIP4,PCK2,DECR1,ATP6V0A1,CTSA,TRAP1,XBP1,SMLR1,SLC10A1,INSR,INTS3,ACADSB,ALDH6A1,HAL,KYAT3,ECHDC2,TMCC3,KYAT1,CDS2,PTPRR,MRPS15,SYNM,MOGAT3,FKBP15,SLC44A2,TECR,MIA2,PTPRK,PEPD,AP2A2,LARP1B,HINT2,ACADL,SLC22A18,KIF1B,CD36,AASS,HTATIP2,TOP3B,ATP6V0B,PABPC4,MST1,GAB1,AKR1A1,KREMEN1,RHOF,RHOC,CEACAM1,ALDOA,DEPDC5,DNASE1L3,MPND,KIZ,AHCY,SLC43A2,HAAO,SLC43A1,MRPS31,HSD17B4,HSD17B6,TRAK2,NT5E,RELN,ORMDL3,GPBP1L1,SLC22A31,BCAP31,SLC31A1,SORT1,PTGES2,LHFPL2,ETNPPL,ALDH4A1,NUDT7,TTC6,NEDD4,CAMK4,KLHL8,NBR1,ESYT1,OTC,FOXA2,MEGF9,KLB,CRTC2,GDA,NDUFA10,PEBP1,MSMO1,SDR9C7,COMT,CCDC28A,BMPER,WWC3,GGT1,ENPP6,TGM2,SH3GL1,ABCG8,HGD,APLP2,ATG9A,MAT1A,CCNB1IP1,PRPF6,COL4A2,COL4A1,GPD1,CMPK1,FETUB,NUPR1,CARS2,PXK,NNMT,SLC41A3,SLC1A2,FBLN1,CACNA1D,LTBP2,ACACA,DPP4,GRK3,ADGRG7,COBLL1,DMAP1,TBC1D16,EEFSEC,CBX7,ITPRID2,GCKR,ACBD5,EPHX1,ASPSCR1,KLHL21,DNAJC12,CNOT10,BFAR,COQ9,ACSF2,EFNA1,TP53I3,AMACR,GNAL,CPS1,CCPG1,PXMP2,MKRN1,PI4KA,MAN2B1,ZSCAN2,LRP11,CUEDC2,USP32,TAT,SLC2A2,YBX1,TENT4B,PITPNC1,AFF1,SLC2A8,TMEM101,CPT2,ALDH2,CA5A,KYNU,MYO18A,ABCD1,SUN2,ABCC4,ABCC2,GLRX5,ABCC5,ABCC6,TBC1D8,PRODH2,TTC38,EPN1,RBL2,TGFBR3,LMBRD1,ACOX2,ACOX1,THRAP3,EHHADH,CHDH,PEX6,ELF5,CAT,PEX5,BLVRB,IRF6,HAGH,COLEC12,MVK,RAP1GDS1,LCAT,HMGCR,AGPAT2,UACA,USP19,HSPD1,HMGCL,PDLIM2,MCRIP2,CBS,LRIG1,LAMB2,BNIP3,SUOX,SOD2,PNKD,TNIP1,PIK3IP1,SCD,CHPT1,SCLY
liver - hibernation, down	6	ATF5	15.0	ARCHS4 Coexpression,6;Enrichr Queries,25;GTEx Coexpression,14	MTCH1,SPARC,ENO1,SCP2,TDO2,LAMP1,LONP1,TRIM25,SEPHS2,FADS1,TGM2,ABCG8,SLC38A1,SDS,HGD,MAT1A,UPB1,RBP4,COL4A2,COL4A1,FETUB,IGFALS,NUPR1,HPD,SLC27A2,SLC27A5,ACOT4,CES1,SHMT1,INSIG1,HPN,MGST1,SLC1A5,KNG1,ACMSD,AMDHD1,AGMO,RDH16,APOF,HMOX1,ASL,SLC38A3,PCK2,GCKR,SMLR1,AGXT2,SLC10A1,EPHX1,ACADSB,COL1A1,SQLE,BHMT,CPS1,PAH,FASN,PXMP2,MAN2B1,HRG,LGMN,TAT,MRPS12,SLC2A2,GPT,LITAF,DHTKD1,CSRP1,ALDH2,CA5A,TSPO,SDF4,ABCD1,HGFAC,MBL2,TTC36,ABCC2,GPX1,CLUH,HMGCS1,ARG1,AHSG,GPX3,MST1,ABCC6,PRODH2,TTC38,GCHFR,EHHADH,CAT,AKT1S1,RAPGEF1,AGXT,ALDOA,GAPDH,MGLL,SERPINC1,UNC93B1,NR1I3,HAAO,GLRX,HSD17B6,HMGCL,RIDA,MKNK2,LRIG1,CKB,PKLR,F12,GLYCTK,BNIP3,APOC3,FMO3,AGT,ASS1,ALDH4A1,CLCN7,GNPDA1,UROC1,TNIP1,KLF9,CFHR5,NUCB1,NAGS,SIGLEC1,ALDH8A1,C1QC
liver - hibernation, down	7	NR1I2	15.5	Literature ChIP-seq,13;ARCHS4 Coexpression,12;Enrichr Queries,26;GTEx Coexpression,11	KLB,ALDH1L1,AQP9,PEBP1,RORA,ABAT,STK19,AHR,ALKBH7,COMT,TXN2,SCP2,TDO2,BMPER,RASSF4,CDH1,RGS8,SEPHS2,AGFG2,ABCG8,HGD,SDHC,MAT1A,CMBL,PGD,UPB1,TUFM,ACAP3,RBP4,GPD1,ORAI3,MXRA8,FETUB,SUCLG2,HECA,IGFALS,HPD,SLC27A2,TP53,SLC27A5,CES2,SLC26A1,ABCB1,NNMT,MAOB,SHMT1,HPN,FOXO3,HACD2,PRKCZ,KNG1,DPP4,KLC4,ADGRG7,AGMO,COBLL1,RDH16,APOF,ASL,SLC38A3,PPARGC1A,PCK2,GSTM3,CDK18,GCKR,MGAM,SMLR1,SLC10A1,AGXT2,INSR,EPHX1,STARD10,PARVA,ACADSB,SMARCA2,BHMT,HAL,CPS1,PAH,FASN,PXMP2,ALPL,ECHDC2,HRG,OSBPL1A,GRSF1,NFE2L1,PIGR,MYOM1,MOGAT3,TAT,ADK,SLC2A2,PRKAG2,GPT,PTPRK,PYGL,PITPNC1,DHTKD1,GLT1D1,CA5A,SLC22A18,ACP6,ANXA6,CD36,HGFAC,MBL2,TTC36,ABCC2,MME,GPX4,AHSG,ARG1,VPS13C,GAA,GLRX5,MST1,ABCC6,ARHGEF18,RHOC,PRODH2,TTC38,EPN1,GCHFR,CEACAM1,ACOX2,ACOX1,EHHADH,CHDH,DPYD,CAT,SLC25A10,AGXT,MGLL,OAT,SERPINC1,NR1I3,HAAO,ATP10D,HSD17B6,HMGCR,PAPSS2,EXOSC7,HMGCL,RIDA,NT5E,LRIG1,HS1BP3,RFFL,PKLR,ATRNL1,F12,GLYCTK,GSR,APOC3,FMO3,GNMT,ALDH4A1,MYO1B,MPHOSPH9,UROC1,CFHR5,NAGS,SCLY,ALDH8A1,OTC,FOXA2
liver - hibernation, down	8	NR1I3	16.67	ARCHS4 Coexpression,40;Enrichr Queries,1;GTEx Coexpression,9	ALDH1L1,FADS2,HYKK,SCP2,TDO2,FADS6,SEPHS2,FADS1,ABCG8,DGAT2,HGD,SLC6A12,MAT1A,CMBL,HOGA1,UPB1,RBP4,GPD1,FETUB,HECA,IGFALS,IDO2,HPD,SLC27A2,SLC27A5,ACOT4,SLC26A1,NNMT,MAOB,SHMT1,HPN,SLC1A2,KNG1,ACMSD,AMDHD1,AGMO,RDH16,APOF,HMOX1,ASL,SLC38A3,PPARGC1A,GCKR,SMLR1,SLC10A1,EPHX1,ACADSB,EFNA1,BHMT,GJB2,HAL,ALDH6A1,CPS1,PAH,FASN,PXMP2,ALPL,HRG,PIGR,MOGAT3,TAT,SLC2A2,DHTKD1,CA5A,CD36,HGFAC,MBL2,TTC36,ABCC2,MME,AHSG,MST1,ABCC6,SORD,PRODH2,TTC38,GCHFR,ACOX2,EHHADH,CAT,RGN,IRF6,AGXT,MGLL,SERPINC1,HAAO,HSD17B6,HMGCL,RIDA,NT5E,ASPDH,PKLR,F12,GLYCTK,APOC3,FMO3,ASS1,GNMT,ETNPPL,UROC1,ETNK2,CFHR5,NAGS,ALDH8A1,OTC
liver - hibernation, down	9	CREBL2	21.0	ARCHS4 Coexpression,15;Enrichr Queries,8;GTEx Coexpression,40	SLC23A2,MTCH1,CYFIP1,CD81,PEBP1,RORA,ABAT,TM7SF2,KIAA0930,FADS2,DOCK11,AS3MT,CHCHD2,LAMP1,FDXR,LONP1,ENPP5,FADS1,CMKLR1,GABARAPL1,MITF,MYO7A,MPEG1,WDR81,FDX1,CMPK1,HECA,NUPR1,PLBD2,LRRC58,CSF1R,RAB5B,ABCB1,INSIG1,SDC3,MGST1,TPRG1L,CACNA1D,FOXO3,PLA2G7,PRDX3,DPP4,UGCG,TKFC,COBLL1,NEU1,HMOX1,KCNN2,CTSA,CBX7,CADM1,EPHX1,DNAJC12,DHCR24,ADA2,KLHL24,FBXO32,SMARCA2,ACSF2,LACC1,MAP3K15,ALDH6A1,CCPG1,CREBRF,TPP1,SERINC1,HBP1,FBXL3,MAN2B1,NIT1,LGMN,MCFD2,RNF13,LITAF,PITPNC1,AFF1,MS4A4A,PCMTD2,SCPEP1,ALDH2,MRC1,STAB1,PHACTR2,TCP11L2,IDS,GAA,TGFBR3,KAT2B,LMBRD1,PCCA,NPC2,PLSCR4,CAT,DPYD,RGN,RAPGEF1,TMEM106B,ITGA6,MGLL,C1QB,C1QA,SGMS1,NPL,PAPSS2,HSPD1,CLPTM1,LRIG1,SPTSSA,CNNM2,GPR155,SLC31A2,SORT1,PCGF5,SQOR,LHFPL2,GNPDA1,PIK3IP1,TNIP1,CCNG2,KLF9,NBR1,NUCB1,SIGLEC1,YPEL5,YPEL2,C1QC
liver - hibernation, down	10	CEBPA	24.2	Literature ChIP-seq,33;ARCHS4 Coexpression,4;Enrichr Queries,38;ReMap ChIP-seq,12;GTEx Coexpression,34	EIF4A2,SPARC,CCNI,ENO1,KIAA0930,PSMD9,SCP2,RASSF4,ZXDC,ZC3H12A,LONP1,ACAD11,SLC12A6,SEPHS2,AGFG2,ATG3,STARD5,TALDO1,UPB1,RBP4,WDR81,PLBD1,HECA,HPD,ACOT4,CES1,CFD,GCDH,SHMT1,MGST1,PRDX3,PRDX1,AGMO,HMOX1,MAP9,SNX5,PCK2,TMEM86A,XBP1,FZD4,SLC10A1,STARD10,TMEM192,ACADSB,COL1A1,HAL,EIF5,FASN,PAH,ECHDC2,SFXN1,KYAT1,HRG,CDS2,LGMN,CD320,MRPS15,GPT,PYGL,TMEM53,SGF29,PTPRK,LITAF,AACS,STBD1,TRIM2,STAB1,TSPO,IDS,CD36,ZHX3,SYK,ARG1,AHSG,SPHK2,GAA,MST1,RHOF,GCHFR,CDC42EP4,RAPGEF1,DNASE1L3,MGLL,PCYOX1,C1QB,C1QA,SERPINC1,HSD17B7,SLC7A2,RNF135,OS9,ORMDL3,CLPTM1,BCAP31,SLC31A2,SLC31A1,GLYCTK,GSR,AGT,GNMT,ALDH4A1,NUDT7,GPAM,ZNF217,NUCB1,RPL22L1,ESYT1,GPR146,YPEL2,C1QC,FOXA2,KLB,ERO1A,ZBTB25,CD81,SDR9C7,TM7SF2,SLC25A48,LAMP1,PIM1,OSTF1,SLC25A44,FADS1,TGM2,ABCG8,SLC38A1,DGAT2,PCYT2,HGD,GPT2,ADIPOQ,ATP11A,CNPY3,MAT1A,SDHD,PGD,MPEG1,ACLY,GPD1,FETUB,NUPR1,TTPAL,FTL,CSF1R,PXK,NNMT,NPR1,INSIG1,SLC1A5,FOXO3,PRPF8,ACAT2,KNG1,COBLL1,THEM4,NADK,CPSF4,GCKR,GOT1,AGXT2,EPHX1,DHCR24,FBXO32,ABHD15,FBXO31,GGCT,EFNA1,RGCC,CPS1,CPD,ACO1,MAN2B1,SLC25A1,TAT,SLC2A2,ETFB,AFF1,ALDH2,NAPRT,KYNU,ABCD1,PGM1,TTC36,SUN2,GPX1,GPX4,GPX3,GLRX5,ABCC5,WIPI1,LMBRD1,ACOX2,ACOX1,CAT,SLC25A10,AGXT,ACSS2,UNC93B1,GLRX,AGPAT2,CLEC3B,TMEM205,LRIG1,PCBD1,DCAF11,POLR2M,APOC3,DNAJA1,CLCN7,TNIP1,IMPDH1,CTH,CLEC2D
