Query Name	Rank	TF	Score	Library	Overlapping_Genes
liver - post-fed reversed, down	1	IRX6	7.0	ARCHS4 Coexpression,10;Enrichr Queries,3;GTEx Coexpression,8	PC,RPLP2,INHBB,TNS1
liver - post-fed reversed, down	2	HNF4A	33.5	Literature ChIP-seq,11;ARCHS4 Coexpression,6;ENCODE ChIP-seq,10;Enrichr Queries,23;ReMap ChIP-seq,1;GTEx Coexpression,150	FABP1,GCLC,COL27A1,PC,RPLP2,BBOX1,RRBP1,HSD17B13,TNS1
liver - post-fed reversed, down	3	GLIS1	46.0	ARCHS4 Coexpression,91;Enrichr Queries,2;GTEx Coexpression,45	COL27A1,RRBP1,TNS1
liver - post-fed reversed, down	4	MEOX1	61.33	ARCHS4 Coexpression,7;Enrichr Queries,82;GTEx Coexpression,95	PC,INHBB,TNS1
liver - post-fed reversed, down	5	TBX3	71.5	Literature ChIP-seq,127;ARCHS4 Coexpression,110;Enrichr Queries,31;GTEx Coexpression,18	INHBB,RRBP1,FBXO9,TNS1
liver - post-fed reversed, down	6	CREB3L1	72.5	ARCHS4 Coexpression,35;Enrichr Queries,122;ReMap ChIP-seq,67;GTEx Coexpression,66	RPLP2,RRBP1,TNS1
liver - post-fed reversed, down	7	CEBPA	76.8	Literature ChIP-seq,10;ARCHS4 Coexpression,18;Enrichr Queries,340;ReMap ChIP-seq,6;GTEx Coexpression,10	GCLC,PC,RPLP2,RRBP1,HSD17B13,TNS1,FBXO9
liver - post-fed reversed, down	8	MLXIPL	77.0	ARCHS4 Coexpression,2;Enrichr Queries,220;GTEx Coexpression,9	FABP1,PC,COL27A1,HSD17B13,TNS1
liver - post-fed reversed, down	9	PGR	79.75	ARCHS4 Coexpression,102;Enrichr Queries,13;ReMap ChIP-seq,143;GTEx Coexpression,61	COL27A1,RPLP2,INHBB,TNS1
liver - post-fed reversed, down	10	ESR1	81.83	Literature ChIP-seq,3;ARCHS4 Coexpression,114;ENCODE ChIP-seq,37;Enrichr Queries,230;ReMap ChIP-seq,80;GTEx Coexpression,27	GCLC,COL27A1,RPLP2,BBOX1,RRBP1,INHBB,TNS1
liver - post-fed reversed, down	11	BHLHA15	85.0	ARCHS4 Coexpression,24;GTEx Coexpression,146	PC,RRBP1
liver - post-fed reversed, down	12	NR5A2	90.25	ARCHS4 Coexpression,148;Enrichr Queries,12;ReMap ChIP-seq,49;GTEx Coexpression,152	RRBP1,INHBB,HSD17B13,TNS1
liver - post-fed reversed, down	13	RBPJL	95.0	ARCHS4 Coexpression,142;Enrichr Queries,5;GTEx Coexpression,138	COL27A1,RRBP1,TNS1
liver - post-fed reversed, down	14	PRDM6	96.33	ARCHS4 Coexpression,57;Enrichr Queries,128;GTEx Coexpression,104	TNS1
liver - post-fed reversed, down	15	ZBTB16	99.5	ARCHS4 Coexpression,168;Enrichr Queries,115;ReMap ChIP-seq,42;GTEx Coexpression,73	RRBP1,TNS1
liver - post-fed reversed, down	16	BCL6B	102.3	ARCHS4 Coexpression,39;Enrichr Queries,162;GTEx Coexpression,106	INHBB,TNS1
liver - post-fed reversed, down	17	NKX63	109.5	ARCHS4 Coexpression,42;GTEx Coexpression,177	COL27A1,RRBP1
liver - post-fed reversed, down	18	SIX5	114.2	ARCHS4 Coexpression,194;ENCODE ChIP-seq,27;Enrichr Queries,205;ReMap ChIP-seq,103;GTEx Coexpression,42	RPLP2,RRBP1,TNS1,FBXO9
liver - post-fed reversed, down	19	CREB3L3	114.3	ARCHS4 Coexpression,170;Enrichr Queries,29;GTEx Coexpression,144	FABP1,PC,HSD17B13
liver - post-fed reversed, down	20	EBF1	115.2	ARCHS4 Coexpression,160;ENCODE ChIP-seq,89;Enrichr Queries,136;ReMap ChIP-seq,168;GTEx Coexpression,23	RPLP2,INHBB,TNS1
liver - post-fed reversed, down	21	MXI1	123.6	ARCHS4 Coexpression,140;ENCODE ChIP-seq,71;Enrichr Queries,189;ReMap ChIP-seq,187;GTEx Coexpression,31	RPLP2,TNS1,FBXO9
liver - post-fed reversed, down	22	TEAD3	126.0	ARCHS4 Coexpression,97;Enrichr Queries,176;GTEx Coexpression,105	RRBP1,TNS1
liver - post-fed reversed, down	23	NR1I3	127.0	ARCHS4 Coexpression,210;Enrichr Queries,34;GTEx Coexpression,137	FABP1,BBOX1,HSD17B13
liver - post-fed reversed, down	24	FOXP4	127.0	ARCHS4 Coexpression,20;Enrichr Queries,320;GTEx Coexpression,41	COL27A1,RRBP1,TNS1
liver - post-fed reversed, down	25	KLF15	133.3	ARCHS4 Coexpression,158;Enrichr Queries,227;GTEx Coexpression,15	PC,TNS1
liver - post-fed reversed, down	26	KLF9	134.0	ARCHS4 Coexpression,45;Enrichr Queries,301;ReMap ChIP-seq,16;GTEx Coexpression,174	RPLP2,TNS1
liver - post-fed reversed, down	27	SOX13	137.5	ARCHS4 Coexpression,173;Enrichr Queries,296;ReMap ChIP-seq,2;GTEx Coexpression,79	FABP1,COL27A1,PC,RRBP1,INHBB,TNS1
liver - post-fed reversed, down	28	FOXA1	138.0	Literature ChIP-seq,9;ARCHS4 Coexpression,203;ENCODE ChIP-seq,86;Enrichr Queries,177;ReMap ChIP-seq,239;GTEx Coexpression,114	FABP1,GCLC,COL27A1,BBOX1,INHBB
liver - post-fed reversed, down	29	ZNF581	139.0	ARCHS4 Coexpression,152;Enrichr Queries,48;GTEx Coexpression,217	RPLP2
liver - post-fed reversed, down	30	NR1I2	141.0	Literature ChIP-seq,15;ARCHS4 Coexpression,30;Enrichr Queries,350;GTEx Coexpression,169	FABP1,COL27A1,HSD17B13,TNS1
liver - post-fed reversed, down	31	TSHZ2	144.3	ARCHS4 Coexpression,138;Enrichr Queries,231;GTEx Coexpression,64	INHBB,TNS1
liver - post-fed reversed, down	32	ZBTB42	147.5	ARCHS4 Coexpression,166;GTEx Coexpression,129	RRBP1,INHBB
liver - post-fed reversed, down	33	NR0B1	154.3	Literature ChIP-seq,120;ARCHS4 Coexpression,399;Enrichr Queries,81;GTEx Coexpression,17	INHBB,FBXO9
liver - post-fed reversed, down	34	CENPX	158.0	GTEx Coexpression,158	FABP1
liver - post-fed reversed, down	35	TFCP2L1	159.3	ARCHS4 Coexpression,188;Enrichr Queries,20;GTEx Coexpression,270	GCLC,INHBB,TNS1
liver - post-fed reversed, down	36	NR3C2	161.3	ARCHS4 Coexpression,156;Enrichr Queries,92;GTEx Coexpression,236	FABP1,TNS1
liver - post-fed reversed, down	37	TFAP2C	165.7	Literature ChIP-seq,80;ARCHS4 Coexpression,154;ENCODE ChIP-seq,96;Enrichr Queries,191;ReMap ChIP-seq,119;GTEx Coexpression,354	PC,RPLP2,INHBB
liver - post-fed reversed, down	38	CREBL2	166.3	ARCHS4 Coexpression,54;Enrichr Queries,382;GTEx Coexpression,63	FBXO9,TNS1
liver - post-fed reversed, down	39	MEF2A	169.0	Literature ChIP-seq,67;ARCHS4 Coexpression,119;ENCODE ChIP-seq,107;Enrichr Queries,344;ReMap ChIP-seq,254;GTEx Coexpression,123	INHBB,TNS1
liver - post-fed reversed, down	40	ARID3C	169.5	ARCHS4 Coexpression,206;GTEx Coexpression,133	HSD17B13
