condition_1	condition_2
Fat_PDExp_Hib	Fat_PDExp_Fed
Fat_PDExp_NotFed	Fat_PDExp_Fed
Fat_PDExp_Hib	Fat_PDExp_NotFed
Liver_PDExp_NotFed	Liver_PDExp_Fed
Liver_PDExp_Hib	Liver_PDExp_Fed
Liver_PDExp_Hib	Liver_PDExp_NotFed
Muscle_PDExp_Hib	Muscle_PDExp_Fed
Muscle_PDExp_Hib	Muscle_PDExp_NotFed
Muscle_PDExp_NotFed	Muscle_PDExp_Fed
Fat_Jansen2019_Hib	Fat_Jansen2019_Hyp
Fat_Jansen2019_Hib	Fat_Jansen2019_Act
Fat_Jansen2019_Hyp	Fat_Jansen2019_Act
Liver_Jansen2019_Hib	Liver_Jansen2019_Act
Liver_Jansen2019_Act	Liver_Jansen2019_Hyp
Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp
Muscle_Jansen2019_Hib	Muscle_Jansen2019_Act
Muscle_Jansen2019_Act	Muscle_Jansen2019_Hyp
Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp
