gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	switchConsequencesGene	Rank
geneComp_00055480	gene-PC	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	4.0306877302271195e-13	TRUE	1
geneComp_00012895	gene-MAPKAP1	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	3.0554504618043445e-12	TRUE	2
geneComp_00009701	gene-LOC113267808	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	1.666318012204222e-9	TRUE	3
geneComp_00045915	gene-GLCE	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	2.661290613651095e-9	TRUE	4
geneComp_00021838	gene-BRD8	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hyp	3.005957371684673e-9	TRUE	5
geneComp_00017383	gene-SLC7A2	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	6.355045770296051e-9	TRUE	6
geneComp_00049800	gene-LOC113260385	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	1.510835325111076e-8	TRUE	7
geneComp_00044700	gene-EGFR	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	2.0677801552790567e-8	TRUE	8
geneComp_00003788	gene-EGFR	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	2.6796715443475505e-8	TRUE	9
geneComp_00008888	gene-LOC113260385	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	1.1796050092589479e-7	TRUE	10
geneComp_00093939	gene-LOC125283088	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	1.345347245839156e-7	TRUE	11
geneComp_00000764	gene-ARG1	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	5.346730521999887e-7	TRUE	12
geneComp_00007845	gene-LOC113250377	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	1.1774299692711356e-6	TRUE	13
geneComp_00014913	gene-PIK3R1	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	1.4514436883650893e-6	TRUE	14
geneComp_00085674	gene-EIF4G2	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	2.401576138090033e-6	TRUE	15
geneComp_00014568	gene-PC	NA	Liver_Jansen2019_Act	Liver_Jansen2019_Hib	3.010431123969357e-6	TRUE	16
geneComp_00103304	gene-ATP11B	NA	Liver_PDExp_NotFed	Liver_PDExp_Hib	3.0128685537423907e-6	TRUE	17
geneComp_00096638	gene-PHC2	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	3.1619848501157808e-6	TRUE	18
geneComp_00055147	gene-NUDT4	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	4.572585328146455e-6	TRUE	19
geneComp_00096519	gene-PDP2	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	4.7051474909708355e-6	TRUE	20
geneComp_00052887	gene-LOC125282808	NA	Liver_Jansen2019_Hib	Liver_Jansen2019_Hyp	6.092866307667909e-6	TRUE	21
geneComp_00101924	gene-ZGPAT	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	6.139896096997738e-6	TRUE	22
geneComp_00087204	gene-H6PD	NA	Liver_PDExp_Fed	Liver_PDExp_NotFed	7.369550133778697e-6	TRUE	23
