gene_ref	gene_id	gene_name	condition_1	condition_2	gene_switch_q_value	switchConsequencesGene	Rank
geneComp_00086411	gene-CACNB1	NA	Muscle_PDExp_Hib	Muscle_PDExp_Fed	3.455880180083484e-12	TRUE	1
geneComp_00036831	gene-PLPP7	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hyp	1.628920917338349e-11	TRUE	2
geneComp_00027073	gene-HP1BP3	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hyp	2.429610857343046e-11	TRUE	3
geneComp_00067398	gene-DUSP29	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	2.4929473962875098e-9	TRUE	4
geneComp_00067540	gene-EFR3A	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	1.185302987278903e-8	TRUE	5
geneComp_00079614	gene-PRKRA	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	1.6957278795032637e-7	TRUE	6
geneComp_00026851	gene-HDAC3	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hyp	9.57371100248004e-7	TRUE	7
geneComp_00060175	gene-SLC18B1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	2.387746424057799e-6	TRUE	8
geneComp_00014418	gene-NICN1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	8.231357801835336e-6	TRUE	9
geneComp_00001953	gene-CCPG1	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	8.572271522552011e-6	TRUE	10
geneComp_00068937	gene-GPATCH11	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	9.180856742966517e-6	TRUE	11
geneComp_00080024	gene-RABGEF1	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	3.406266064586501e-5	TRUE	12
geneComp_00065206	gene-CACNB1	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	6.467397142062245e-5	TRUE	13
geneComp_00064583	gene-ASB8	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	1.1925868489364203e-4	TRUE	14
geneComp_00067820	gene-ERI3	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	1.1925868489364203e-4	TRUE	15
geneComp_00048578	gene-ILRUN	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	1.4756892890891725e-4	TRUE	16
geneComp_00065070	gene-BROX	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	1.539274904138915e-4	TRUE	17
geneComp_00107105	gene-ATP2B1	NA	Muscle_PDExp_Hib	Muscle_PDExp_NotFed	1.9522527928087798e-4	TRUE	18
geneComp_00046580	gene-EPS15L1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	1.9687302317287868e-4	TRUE	19
geneComp_00056828	gene-NICN1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	3.562980912104815e-4	TRUE	20
geneComp_00020739	gene-ZC3H11A	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	4.465803040724103e-4	TRUE	21
geneComp_00069433	gene-HNRNPUL1	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	5.091266514756038e-4	TRUE	22
geneComp_00062537	gene-UBE3A	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	5.289914634453572e-4	TRUE	23
geneComp_00014057	gene-MYL6B	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	5.851640110159359e-4	TRUE	24
geneComp_00042828	gene-AIG1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	6.245432703095876e-4	TRUE	25
geneComp_00062405	gene-TTN	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	7.67009099974663e-4	TRUE	26
geneComp_00109808	gene-DUSP29	NA	Muscle_PDExp_Hib	Muscle_PDExp_NotFed	9.8589536536078e-4	TRUE	27
geneComp_00043161	gene-APOOL	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.001064149689741596	TRUE	28
geneComp_00055881	gene-MED18	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.001064149689741596	TRUE	29
geneComp_00001550	gene-C9orf72	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.0010755762745169983	TRUE	30
geneComp_00012381	gene-LOC125282833	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.0010755762745169983	TRUE	31
geneComp_00013216	gene-MAGED2	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.0010755762745169983	TRUE	32
geneComp_00006618	gene-KIAA1191	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.0013358969633880655	TRUE	33
geneComp_00019669	gene-TP53I3	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.0013358969633880655	TRUE	34
geneComp_00006644	gene-KIF1B	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.0013659212341026077	TRUE	35
geneComp_00058036	gene-PLPP7	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0013800546886042048	TRUE	36
geneComp_00049054	gene-KIF1B	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0015028180297894207	TRUE	37
geneComp_00050651	gene-LOC113250450	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0015028180297894207	TRUE	38
geneComp_00056467	gene-MYL6B	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0015028180297894207	TRUE	39
geneComp_00049337	gene-LDB3	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0015392993209873184	TRUE	40
geneComp_00062378	gene-TTC4	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0015392993209873184	TRUE	41
geneComp_00048800	gene-JAK1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.001614878199045059	TRUE	42
geneComp_00013429	gene-MCRIP2	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.0017554843696945975	TRUE	43
geneComp_00042441	gene-ABCA5	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0018238847703069497	TRUE	44
geneComp_00063768	gene-ACOT9	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.001978853194761916	TRUE	45
geneComp_00084252	gene-YARS2	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.0021735409312273377	TRUE	46
geneComp_00084205	gene-WWTR1	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.0021794461945009364	TRUE	47
geneComp_00045533	gene-CUNH2orf76	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0023769826981179833	TRUE	48
geneComp_00055839	gene-MCRIP2	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0023769826981179833	TRUE	49
geneComp_00010891	gene-LOC123001300	NA	Muscle_Jansen2019_Act	Muscle_Jansen2019_Hib	0.002678849210425918	TRUE	50
geneComp_00047628	gene-GLS	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0028730743111878287	TRUE	51
geneComp_00062287	gene-TSC22D1	NA	Muscle_Jansen2019_Hib	Muscle_Jansen2019_Hyp	0.0030245130176968604	TRUE	52
geneComp_00070614	gene-LIN54	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.003227735855549094	TRUE	53
geneComp_00083973	gene-VEZF1	NA	Muscle_PDExp_Fed	Muscle_PDExp_NotFed	0.003227735855549094	TRUE	54
