orig_name	sample	tissue	bear	sex	treatment	combined
A1_S1	KF2N	Fat	Kio	Female	PDExp_Fed	KF2N:Fat:Kio:Female:PDExp_Fed
A3_S3	WF1N	Fat	Willow	Female	PDExp_Hib	WF1N:Fat:Willow:Female:PDExp_Hib
A4_S4	KL2N	Liver	Kio	Female	PDExp_Fed	KL2N:Liver:Kio:Female:PDExp_Fed
A5_S5	JL2N	Liver	John	Male	PDExp_NotFed	JL2N:Liver:John:Male:PDExp_NotFed
A6_S6	JL1N	Liver	John	Male	PDExp_Hib	JL1N:Liver:John:Male:PDExp_Hib
A7_S7	KF1N	Fat	Kio	Female	PDExp_Hib	KF1N:Fat:Kio:Female:PDExp_Hib
A8_S8	AF2N	Fat	Adak	Male	PDExp_Fed	AF2N:Fat:Adak:Male:PDExp_Fed
Adak_CCGTCC	Adak	Fat	Adak	Male	PDExp_50Per	Adak:Fat:Adak:Male:PDExp_50Per
B1_S9	ZF1N	Fat	Zuri	Female	PDExp_Hib	ZF1N:Fat:Zuri:Female:PDExp_Hib
B2_S10	DF2N	Fat	Dodge	Male	PDExp_Fed	DF2N:Fat:Dodge:Male:PDExp_Fed
B3_S11	WF2N	Fat	Willow	Female	PDExp_Fed	WF2N:Fat:Willow:Female:PDExp_Fed
B4	WM1N	Muscle	Willow	Female	PDExp_Hib	WM1N:Muscle:Willow:Female:PDExp_Hib
B5_S13	FL2N	Liver	Frank	Male	PDExp_NotFed	FL2N:Liver:Frank:Male:PDExp_NotFed
B6_S14	AM1N	Muscle	Adak	Male	PDExp_Hib	AM1N:Muscle:Adak:Male:PDExp_Hib
B7_S15	KM1N	Muscle	Kio	Female	PDExp_Hib	KM1N:Muscle:Kio:Female:PDExp_Hib
B8_S16	AL2N	Liver	Adak	Male	PDExp_Fed	AL2N:Liver:Adak:Male:PDExp_Fed
C1_S17	ZF2N	Fat	Zuri	Female	PDExp_Fed	ZF2N:Fat:Zuri:Female:PDExp_Fed
C3_S19	FF1N	Fat	Frank	Male	PDExp_Hib	FF1N:Fat:Frank:Male:PDExp_Hib
C4_S20	DL2N	Liver	Dodge	Male	PDExp_Fed	DL2N:Liver:Dodge:Male:PDExp_Fed
C5_S21	LF1N	Fat	Luna	Female	PDExp_Hib	LF1N:Fat:Luna:Female:PDExp_Hib
C6_S22	WM2N	Muscle	Willow	Female	PDExp_Fed	WM2N:Muscle:Willow:Female:PDExp_Fed
C7_S23	LL1N	Liver	Luna	Female	PDExp_Hib	LL1N:Liver:Luna:Female:PDExp_Hib
C8_S24	CM2N	Muscle	Cooke	Female	PDExp_NotFed	CM2N:Muscle:Cooke:Female:PDExp_NotFed
CFHi	CFHi	Fat	Cooke	Female	Jansen2019_Hib	CFHi:Fat:Cooke:Female:Jansen2019_Hib
CFHy	CFHy	Fat	Cooke	Female	Jansen2019_Hyp	CFHy:Fat:Cooke:Female:Jansen2019_Hyp
CLA	CLA	Liver	Cooke	Female	Jansen2019_Act	CLA:Liver:Cooke:Female:Jansen2019_Act
CLHi	CLHi	Liver	Cooke	Female	Jansen2019_Hib	CLHi:Liver:Cooke:Female:Jansen2019_Hib
CLHy	CLHy	Liver	Cooke	Female	Jansen2019_Hyp	CLHy:Liver:Cooke:Female:Jansen2019_Hyp
CMA	CMA	Muscle	Cooke	Female	Jansen2019_Act	CMA:Muscle:Cooke:Female:Jansen2019_Act
CMHi	CMHi	Muscle	Cooke	Female	Jansen2019_Hib	CMHi:Muscle:Cooke:Female:Jansen2019_Hib
CMHy	CMHy	Muscle	Cooke	Female	Jansen2019_Hyp	CMHy:Muscle:Cooke:Female:Jansen2019_Hyp
D1_S25	ZM2N	Muscle	Zuri	Female	PDExp_Fed	ZM2N:Muscle:Zuri:Female:PDExp_Fed
D3_S27	OM1N	Muscle	Oakley	Female	PDExp_Hib	OM1N:Muscle:Oakley:Female:PDExp_Hib
D4_S28	FM2N	Muscle	Frank	Male	PDExp_NotFed	FM2N:Muscle:Frank:Male:PDExp_NotFed
D5_S29	OF2N	Fat	Oakley	Female	PDExp_NotFed	OF2N:Fat:Oakley:Female:PDExp_NotFed
D6_S30	CM1N	Muscle	Cooke	Female	PDExp_Hib	CM1N:Muscle:Cooke:Female:PDExp_Hib
D8_S32	OL1N	Liver	Oakley	Female	PDExp_Hib	OL1N:Liver:Oakley:Female:PDExp_Hib
Dodge_GTGAAA	Dodge	Fat	Dodge	Male	PDExp_50Per	Dodge:Fat:Dodge:Male:PDExp_50Per
E1_S33	AM2N	Muscle	Adak	Male	PDExp_Fed	AM2N:Muscle:Adak:Male:PDExp_Fed
E4_S36	KL1N	Liver	Kio	Female	PDExp_Hib	KL1N:Liver:Kio:Female:PDExp_Hib
E5_S37	CL2N	Liver	Cooke	Female	PDExp_NotFed	CL2N:Liver:Cooke:Female:PDExp_NotFed
E6_S38	ZL2N	Liver	Zuri	Female	PDExp_Fed	ZL2N:Liver:Zuri:Female:PDExp_Fed
E7_S39	DM1N	Muscle	Dodge	Male	PDExp_Hib	DM1N:Muscle:Dodge:Male:PDExp_Hib
E8_S40	OM2N	Muscle	Oakley	Female	PDExp_NotFed	OM2N:Muscle:Oakley:Female:PDExp_NotFed
F1_S41	DM2N	Muscle	Dodge	Male	PDExp_Fed	DM2N:Muscle:Dodge:Male:PDExp_Fed
F4_S44	AL1N	Liver	Adak	Male	PDExp_Hib	AL1N:Liver:Adak:Male:PDExp_Hib
F5_S45	LM2N	Muscle	Luna	Female	PDExp_Fed	LM2N:Muscle:Luna:Female:PDExp_Fed
F6_S46	FL1N	Liver	Frank	Male	PDExp_Hib	FL1N:Liver:Frank:Male:PDExp_Hib
F7_S47	FF2N	Fat	Frank	Male	PDExp_NotFed	FF2N:Fat:Frank:Male:PDExp_NotFed
F8_S48	JM1N	Muscle	John	Male	PDExp_Hib	JM1N:Muscle:John:Male:PDExp_Hib
FFA	FFA	Fat	Frank	Male	Jansen2019_Act	FFA:Fat:Frank:Male:Jansen2019_Act
FFHi	FFHi	Fat	Frank	Male	Jansen2019_Hib	FFHi:Fat:Frank:Male:Jansen2019_Hib
FFHy	FFHy	Fat	Frank	Male	Jansen2019_Hyp	FFHy:Fat:Frank:Male:Jansen2019_Hyp
FLHi	FLHi	Liver	Frank	Male	Jansen2019_Hib	FLHi:Liver:Frank:Male:Jansen2019_Hib
FLHy	FLHy	Liver	Frank	Male	Jansen2019_Hyp	FLHy:Liver:Frank:Male:Jansen2019_Hyp
FMA	FMA	Muscle	Frank	Male	Jansen2019_Act	FMA:Muscle:Frank:Male:Jansen2019_Act
FMHi	FMHi	Muscle	Frank	Male	Jansen2019_Hib	FMHi:Muscle:Frank:Male:Jansen2019_Hib
FMHy	FMHy	Muscle	Frank	Male	Jansen2019_Hyp	FMHy:Muscle:Frank:Male:Jansen2019_Hyp
G1_S49	CF1N	Fat	Cooke	Female	PDExp_Hib	CF1N:Fat:Cooke:Female:PDExp_Hib
G2_S50	PF1N	Fat	Peeka	Female	PDExp_Hib	PF1N:Fat:Peeka:Female:PDExp_Hib
G3_S51	DL1N	Liver	Dodge	Male	PDExp_Hib	DL1N:Liver:Dodge:Male:PDExp_Hib
G4_S52	WL1N	Liver	Willow	Female	PDExp_Hib	WL1N:Liver:Willow:Female:PDExp_Hib
G5_S53	LM1N	Muscle	Luna	Female	PDExp_Hib	LM1N:Muscle:Luna:Female:PDExp_Hib
G6_S54	FM1N	Muscle	Frank	Male	PDExp_Hib	FM1N:Muscle:Frank:Male:PDExp_Hib
G7_S55	JF2N	Fat	John	Male	PDExp_NotFed	JF2N:Fat:John:Male:PDExp_NotFed
H1_S56	JF1N	Fat	John	Male	PDExp_Hib	JF1N:Fat:John:Male:PDExp_Hib
H3_S58	OF1N	Fat	Oakley	Female	PDExp_Hib	OF1N:Fat:Oakley:Female:PDExp_Hib
H4_S59	CF2N	Fat	Cooke	Female	PDExp_NotFed	CF2N:Fat:Cooke:Female:PDExp_NotFed
H5_S60	PM1N	Muscle	Peeka	Female	PDExp_Hib	PM1N:Muscle:Peeka:Female:PDExp_Hib
JFA	JFA	Fat	John	Male	Jansen2019_Act	JFA:Fat:John:Male:Jansen2019_Act
JFHi	JFHi	Fat	John	Male	Jansen2019_Hib	JFHi:Fat:John:Male:Jansen2019_Hib
JFHy	JFHy	Fat	John	Male	Jansen2019_Hyp	JFHy:Fat:John:Male:Jansen2019_Hyp
JLA	JLA	Liver	John	Male	Jansen2019_Act	JLA:Liver:John:Male:Jansen2019_Act
JLHi	JLHi	Liver	John	Male	Jansen2019_Hib	JLHi:Liver:John:Male:Jansen2019_Hib
JLHy	JLHy	Liver	John	Male	Jansen2019_Hyp	JLHy:Liver:John:Male:Jansen2019_Hyp
JMA	JMA	Muscle	John	Male	Jansen2019_Act	JMA:Muscle:John:Male:Jansen2019_Act
JMHi	JMHi	Muscle	John	Male	Jansen2019_Hib	JMHi:Muscle:John:Male:Jansen2019_Hib
JMHy	JMHy	Muscle	John	Male	Jansen2019_Hyp	JMHy:Muscle:John:Male:Jansen2019_Hyp
Kio_ATGTCA	Kio	Fat	Kio	Female	PDExp_50Per	Kio:Fat:Kio:Female:PDExp_50Per
OFA	OFA	Fat	Oakley	Female	Jansen2019_Act	OFA:Fat:Oakley:Female:Jansen2019_Act
