target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1431.34	115.397	12.0609
XM_026478080.3	6046	5868.34	4.70031	0.119823
XM_026478083.3	2509	2331.34	0	0
XM_026478085.3	2434	2256.34	0	0
XM_026478086.3	2425	2247.34	581.536	38.7112
XM_026478087.3	2288	2110.34	12.1802	0.863439
XM_026478088.3	2224	2046.34	50.2839	3.67604
XM_026478089.3	3098	2920.34	105.537	5.40629
XM_026478090.3	1357	1179.34	10.9268	1.38607
XM_026478091.3	1312	1134.34	0	0
XM_026478092.3	1300	1122.34	44.0732	5.87462
XM_026478094.3	1697	1519.34	42.6934	4.20373
XM_026478095.3	3596	3418.34	80.6911	3.53134
XM_026478097.3	993	815.337	0	0
XM_026478098.3	10841	10663.3	0	0
XM_026478099.3	2079	1901.34	0	0
XM_026478100.3	7847	7669.34	479.612	9.35537
XM_026478101.3	6255	6077.34	223.388	5.49889
XM_026478102.3	4900	4722.34	5.73621	0.181718
XM_026478103.3	1628	1450.34	3.76894e-07	3.88758e-08
XM_026478105.3	4341	4163.34	14	0.503055
XM_026478106.1	1359	1181.34	0	0
XM_026478107.1	1359	1181.34	0	0
XM_026478108.3	4405	4227.34	40.2292	1.42365
XM_026478109.3	4078	3900.34	24.4996	0.939691
XM_026478110.3	4041	3863.34	74.2712	2.87599
XM_026478114.3	3144	2966.34	14.1164	0.711923
XM_026478122.3	5800	5622.34	0	0
XM_026478124.3	5185	5007.34	3.48419	0.104094
XM_026478126.3	4573	4395.34	18	0.612645
XM_026478127.3	1566	1388.34	260	28.0161
XM_026478128.3	1294	1116.34	485.988	65.1267
XM_026478129.3	1343	1165.34	105.306	13.5186
XM_026478130.3	1386	1208.34	27.6936	3.42863
XM_026478131.3	1762	1584.34	159.269	15.0387
XM_026478132.3	1759	1581.34	314.731	29.7745
XM_026478133.2	3175	2997.34	9236.38	460.994
XM_026478135.3	3662	3484.34	6	0.257608
XM_026478136.3	3554	3376.34	463	20.5146
XM_026478139.3	2722	2544.34	27.0417	1.58997
XM_026478140.3	2348	2170.34	43.8592	3.02317
XM_026478142.3	4236	4058.34	0	0
XM_026478143.3	338	163.601	121	110.644
XM_026478144.3	8601	8423.34	1.76664	0.0313756
XM_026478146.3	3833	3655.34	10.6741	0.436848
XM_026478150.3	2311	2133.34	226	15.8481
XM_026478151.3	6755	6577.34	0	0
XM_026478153.3	7000	6822.34	0	0
XM_026478159.3	2152	1974.34	0	0
XM_026478163.3	9279	9101.34	0	0
XM_026478165.3	2434	2256.34	812.008	53.8376
XM_026478167.3	1687	1509.34	2	0.198231
XM_026478168.3	2138	1960.34	125	9.53911
XM_026478169.3	9315	9137.34	939	15.3736
XM_026478170.3	3852	3674.34	20.3979	0.830491
XM_026478173.3	4464	4286.34	17.0003	0.593334
XM_026478174.3	5197	5019.34	9.62219	0.286785
XM_026478175.3	8598	8420.34	271.195	4.81815
XM_026478176.3	11857	11679.3	93.4477	1.19696
XM_026478179.3	8427	8249.34	946.225	17.1595
XM_026478180.3	843	665.337	0	0
XM_026478181.3	2987	2809.34	131	6.97584
XM_026478182.3	8430	8252.34	57.915	1.04989
XM_026478183.3	10477	10299.3	308	4.47374
XM_026478185.3	3015	2837.34	0	0
XM_026478189.3	2391	2213.34	72.5684	4.90489
XM_026478191.3	6588	6410.34	50.6247	1.18144
XM_026478192.3	6767	6589.34	5.76116	0.130797
XM_026478193.3	6597	6419.34	2.09934e-08	4.89239e-10
XM_026478194.3	6585	6407.34	153.68	3.58814
XM_026478195.3	5023	4845.34	33.8835	1.04615
XM_026478196.3	6484	6306.34	0	0
XM_026478199.3	4589	4411.34	1202.39	40.7759
XM_026478200.3	4000	3822.34	305	11.9371
XM_026478202.3	21305	21127.3	0	0
XM_026478203.3	4061	3883.34	218.668	8.42383
XM_026478206.2	939	761.337	2	0.39299
XM_026478207.3	1835	1657.34	0	0
XM_026478208.3	1465	1287.34	9010	1047.04
