target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1471.73	0	0
XM_026478080.3	6046	5908.73	0	0
XM_026478083.3	2509	2371.73	5	0.869023
XM_026478085.3	2434	2296.73	0	0
XM_026478086.3	2425	2287.73	22	3.9641
XM_026478087.3	2288	2150.73	0	0
XM_026478088.3	2224	2086.73	0	0
XM_026478089.3	3098	2960.73	26.2723	3.65785
XM_026478090.3	1357	1219.73	0	0
XM_026478091.3	1312	1174.73	0	0
XM_026478092.3	1300	1162.73	18	6.38147
XM_026478094.3	1697	1559.73	3.71464	0.981734
XM_026478095.3	3596	3458.73	7.28536	0.868283
XM_026478097.3	993	855.726	0	0
XM_026478098.3	10841	10703.7	3.15374	0.121456
XM_026478099.3	2079	1941.73	0.17157	0.0364233
XM_026478100.3	7847	7709.73	32.8013	1.75379
XM_026478101.3	6255	6117.73	24.1987	1.63053
XM_026478102.3	4900	4762.73	2.89264	0.25036
XM_026478103.3	1628	1490.73	0	0
XM_026478105.3	4341	4203.73	3	0.29418
XM_026478106.1	1359	1221.73	0	0
XM_026478107.1	1359	1221.73	0	0
XM_026478108.3	4405	4267.73	5.00542	0.483471
XM_026478109.3	4078	3940.73	14.9946	1.5685
XM_026478110.3	4041	3903.73	0	0
XM_026478114.3	3144	3006.73	0.386055	0.0529275
XM_026478122.3	5800	5662.73	0	0
XM_026478124.3	5185	5047.73	3.58575	0.292826
XM_026478126.3	4573	4435.73	15.2508	1.41728
XM_026478127.3	1566	1428.73	107	30.8717
XM_026478128.3	1294	1156.73	45	16.0364
XM_026478129.3	1343	1205.73	42	14.3591
XM_026478130.3	1386	1248.73	0	0
XM_026478131.3	1762	1624.73	0	0
XM_026478132.3	1759	1621.73	0	0
XM_026478133.2	3175	3037.73	827.203	112.251
XM_026478135.3	3662	3524.73	0	0
XM_026478136.3	3554	3416.73	49	5.91169
XM_026478139.3	2722	2584.73	20.2563	3.23051
XM_026478140.3	2348	2210.73	12.2947	2.2925
XM_026478142.3	4236	4098.73	0	0
XM_026478143.3	338	202.128	72	146.836
XM_026478144.3	8601	8463.73	5.32533	0.259365
XM_026478146.3	3833	3695.73	21.0104	2.34348
XM_026478150.3	2311	2173.73	179	33.9449
XM_026478151.3	6755	6617.73	0	0
XM_026478153.3	7000	6862.73	0	0
XM_026478159.3	2152	2014.73	0	0
XM_026478163.3	9279	9141.73	0	0
XM_026478165.3	2434	2296.73	137.188	24.6225
XM_026478167.3	1687	1549.73	0	0
XM_026478168.3	2138	2000.73	18	3.70861
XM_026478169.3	9315	9177.73	176	7.90503
XM_026478170.3	3852	3714.73	17.8725	1.98328
XM_026478173.3	4464	4326.73	7	0.666906
XM_026478174.3	5197	5059.73	3.97458	0.32381
XM_026478175.3	8598	8460.73	417.17	20.325
XM_026478176.3	11857	11719.7	30.1966	1.0621
XM_026478179.3	8427	8289.73	909.887	45.2453
XM_026478180.3	843	705.726	0	0
XM_026478181.3	2987	2849.73	59	8.53444
XM_026478182.3	8430	8292.73	301.05	14.9647
XM_026478183.3	10477	10339.7	313	12.4785
XM_026478185.3	3015	2877.73	0	0
XM_026478189.3	2391	2253.73	42	7.682
XM_026478191.3	6588	6450.73	1.85047e-07	1.18249e-08
XM_026478192.3	6767	6629.73	0	0
XM_026478193.3	6597	6459.73	2.53771e-08	1.6194e-09
XM_026478194.3	6585	6447.73	3.59056e-07	2.29552e-08
XM_026478195.3	5023	4885.73	4.65899	0.393087
XM_026478196.3	6484	6346.73	0	0
XM_026478199.3	4589	4451.73	204.356	18.9228
XM_026478200.3	4000	3862.73	298	31.8016
XM_026478202.3	21305	21167.7	0	0
XM_026478203.3	4061	3923.73	11.566	1.2151
XM_026478206.2	939	801.726	0	0
XM_026478207.3	1835	1697.73	8	1.94244
XM_026478208.3	1465	1327.73	328	101.834
XM_026478212.3	5507	5369.73	5	0.383834
XM_026478213.3	1113	975.726	0	0
XM_026478215.3	1955	1817.73	0	0
XM_026478216.3	3721	3583.73	55.8235	6.42108
XM_026478217.3	1659	1521.73	0	0
XM_026478218.3	4039	3901.73	2	0.2113
XM_026478219.3	6333	6195.73	127	8.44963
XM_026478220.3	4558	4420.73	0	0
XM_026478221.1	1824	1686.73	0	0
XM_026478223.3	7229	7091.73	216.407	12.579
