target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1440.14	0	0
XM_026478080.3	6046	5877.14	36.4744	2.94166
XM_026478083.3	2509	2340.14	0	0
XM_026478085.3	2434	2265.14	0	0
XM_026478086.3	2425	2256.14	0	0
XM_026478087.3	2288	2119.14	0	0
XM_026478088.3	2224	2055.14	0	0
XM_026478089.3	3098	2929.14	136.015	22.0098
XM_026478090.3	1357	1188.14	0	0
XM_026478091.3	1312	1143.14	9.78856e-06	4.05872e-06
XM_026478092.3	1300	1131.14	0.99999	0.419033
XM_026478094.3	1697	1528.14	0	0
XM_026478095.3	3596	3427.14	14.6668	2.02849
XM_026478097.3	993	824.142	0	0
XM_026478098.3	10841	10672.1	0	0
XM_026478099.3	2079	1910.14	0.212155	0.052645
XM_026478100.3	7847	7678.14	89.7539	5.54074
XM_026478101.3	6255	6086.14	6.24606	0.486445
XM_026478102.3	4900	4731.14	5	0.500927
XM_026478103.3	1628	1459.14	0	0
XM_026478105.3	4341	4172.14	7	0.79526
XM_026478106.1	1359	1190.14	0	0
XM_026478107.1	1359	1190.14	0	0
XM_026478108.3	4405	4236.14	0	0
XM_026478109.3	4078	3909.14	0.000152996	1.8551e-05
XM_026478110.3	4041	3872.14	4.99985	0.612034
XM_026478114.3	3144	2975.14	0	0
XM_026478122.3	5800	5631.14	0	0
XM_026478124.3	5185	5016.14	29.8689	2.82241
XM_026478126.3	4573	4404.14	17.6782	1.90259
XM_026478127.3	1566	1397.14	32	10.8562
XM_026478128.3	1294	1125.14	49.9767	21.0538
XM_026478129.3	1343	1174.14	17	6.86275
XM_026478130.3	1386	1217.14	0	0
XM_026478131.3	1762	1593.14	0	0
XM_026478132.3	1759	1590.14	0	0
XM_026478133.2	3175	3006.14	1637.46	258.185
XM_026478135.3	3662	3493.14	0	0
XM_026478136.3	3554	3385.14	137	19.1829
XM_026478139.3	2722	2553.14	31.3593	5.82186
XM_026478140.3	2348	2179.14	0	0
XM_026478142.3	4236	4067.14	0	0
XM_026478143.3	338	172.678	6	16.4697
XM_026478144.3	8601	8432.14	4.49181	0.252495
XM_026478146.3	3833	3664.14	0	0
XM_026478150.3	2311	2142.14	35	7.74444
XM_026478151.3	6755	6586.14	5.67984	0.408766
XM_026478153.3	7000	6831.14	29.9709	2.07959
XM_026478159.3	2152	1983.14	3.12289	0.746402
XM_026478163.3	9279	9110.14	0.0212187	0.00110398
XM_026478165.3	2434	2265.14	83.1312	17.3956
XM_026478167.3	1687	1518.14	21.6539	6.76074
XM_026478168.3	2138	1969.14	31	7.46199
XM_026478169.3	9315	9146.14	406.586	21.071
XM_026478170.3	3852	3683.14	0	0
XM_026478173.3	4464	4295.14	5.02118	0.554113
XM_026478174.3	5197	5028.14	61.3533	5.78363
XM_026478175.3	8598	8429.14	0	0
XM_026478176.3	11857	11688.1	4.47126	0.181324
XM_026478179.3	8427	8258.14	341.491	19.6005
XM_026478180.3	843	674.214	581	408.459
XM_026478181.3	2987	2818.14	19	3.19566
XM_026478182.3	8430	8261.14	0.173581	0.00995937
XM_026478183.3	10477	10308.1	39	1.79331
XM_026478185.3	3015	2846.14	0	0
XM_026478189.3	2391	2222.14	95.0697	20.2787
XM_026478191.3	6588	6419.14	0	0
XM_026478192.3	6767	6598.14	0	0
XM_026478193.3	6597	6428.14	0	0
XM_026478194.3	6585	6416.14	7.89882e-08	5.83523e-09
XM_026478195.3	5023	4854.14	19.1141	1.86643
XM_026478196.3	6484	6315.14	0	0
XM_026478199.3	4589	4420.14	125.793	13.4894
XM_026478200.3	4000	3831.14	168	20.7851
XM_026478202.3	21305	21136.1	32.2131	0.7224
XM_026478203.3	4061	3892.14	69	8.40293
XM_026478206.2	939	770.142	0	0
XM_026478207.3	1835	1666.14	1	0.284484
XM_026478208.3	1465	1296.14	904	330.587
XM_026478212.3	5507	5338.14	19.0946	1.69547
XM_026478213.3	1113	944.142	0	0
XM_026478215.3	1955	1786.14	0	0
XM_026478216.3	3721	3552.14	0	0
XM_026478217.3	1659	1490.14	13.1591	4.18571
XM_026478218.3	4039	3870.14	18.736	2.29467
XM_026478219.3	6333	6164.14	161	12.3801
XM_026478220.3	4558	4389.14	6	0.64795
XM_026478221.1	1824	1655.14	0	0
XM_026478223.3	7229	7060.14	26.0645	1.74987
XM_026478225.3	4249	4080.14	24.4318	2.83824
XM_026478230.1	882	713.214	0	0
XM_026478231.3	2913	2744.14	3.66111	0.632377
XM_026478232.3	4392	4223.14	266.186	29.8758
XM_026478237.3	4071	3902.14	0.000196755	2.38997e-05
XM_026478240.3	2392	2223.14	0	0
XM_026478241.3	4790	4621.14	14.7007	1.50785
XM_026478243.3	7888	7719.14	44.4148	2.72727
XM_026478244.3	2279	2110.14	0	0
XM_026478256.3	15206	15037.1	0	0
XM_026478257.3	2506	2337.14	45.6532	9.25884
XM_026478258.3	2525	2356.14	82.249	16.5462
XM_026478259.3	6504	6335.14	64.2157	4.80457
XM_026478260.3	2509	2340.14	7.24502	1.46746
XM_026478261.3	2458	2289.14	103.494	21.4295
XM_026478262.3	3255	3086.14	0	0
XM_026478263.3	2242	2073.14	4	0.914536
XM_026478265.3	5688	5519.14	30.1585	2.59005
XM_026478267.3	6675	6506.14	0	0
XM_026478270.3	1033	864.142	42	23.0374
XM_026478271.3	1861	1692.14	50.5945	14.1722
XM_026478272.3	4162	3993.14	63.7312	7.56497
XM_026478273.3	930	761.142	755	470.166
XM_026478274.3	1809	1640.14	4.97039	1.43641
XM_026478276.3	5005	4836.14	0	0
XM_026478278.3	5047	4878.14	0	0
XM_026478279.3	5035	4866.14	0	0
XM_026478280.3	4894	4725.14	0.000100586	1.009e-05
XM_026478282.3	8406	8237.14	1.48292e-07	8.53318e-09
XM_026478283.3	8394	8225.14	0	0
XM_026478284.3	8294	8125.14	0.467359	0.027264
XM_026478285.3	8279	8110.14	0.000176376	1.03082e-05
XM_026478290.3	4690	4521.14	15	1.57258
XM_026478291.3	7074	6905.14	0	0
XM_026478292.3	6933	6764.14	0	0
XM_026478293.3	6961	6792.14	50	3.48926
XM_026478295.3	6712	6543.14	0	0
XM_026478296.3	9714	9545.14	0	0
XM_026478297.3	4637	4468.14	0	0
XM_026478298.3	4580	4411.14	56.3542	6.05543
XM_026478299.3	9699	9530.14	28.0868	1.39692
XM_026478300.3	4622	4453.14	0	0
XM_026478303.3	9076	8907.14	27.515	1.4642
XM_026478308.3	9177	9008.14	19.7036	1.03677
XM_026478309.3	1777	1608.14	81	23.8743
XM_026478311.3	1579	1410.14	35	11.7645
XM_026478312.3	2647	2478.14	9	1.72142
XM_026478313.3	513	344.404	0	0
XM_026478317.3	5855	5686.14	82.3806	6.86716
XM_026478318.3	3547	3378.14	20.7227	2.90762
XM_026478320.3	8741	8572.14	0	0
XM_026478321.3	3804	3635.14	506	65.978
XM_026478322.3	2471	2302.14	0	0
XM_026478323.3	2809	2640.14	0	0
XM_026478326.3	5940	5771.14	37.4694	3.07741
XM_026478327.3	2519	2350.14	2.53336	0.510944
XM_026478328.3	9165	8996.14	0	0
XM_026478329.3	6861	6692.14	0	0
XM_026478331.3	1885	1716.14	32.6594	9.02038
XM_026478335.3	2818	2649.14	623	111.469
XM_026478337.3	3820	3651.14	1	0.12982
XM_026478339.3	11121	10952.1	0	0
XM_026478340.3	11278	11109.1	0	0
XM_026478341.3	6045	5876.14	0	0
XM_026478347.3	3434	3265.14	0	0
XM_026478348.3	907	738.142	124	79.6254
XM_026478350.3	3299	3130.14	0	0
XM_026478352.3	1414	1245.14	1.27054e-08	4.83659e-09
XM_026478353.3	1391	1222.14	9	3.49053
XM_026478355.3	1613	1444.14	21.992	7.21814
XM_026478356.3	1219	1050.14	6.00799	2.71176
XM_026478358.3	1976	1807.14	33.9279	8.89887
XM_026478361.3	335	169.799	0	0
XM_026478362.3	1440	1271.14	2840	1059
XM_026478365.3	1806	1637.14	0	0
XM_026478366.3	2953	2784.14	25	4.25617
XM_026478368.3	1990	1821.14	11.9908	3.12086
XM_026478371.3	2783	2614.14	62.1804	11.2744
XM_026478372.3	2782	2613.14	17.8196	3.23225
XM_026478373.3	3090	2921.14	0	0
XM_026478374.3	2298	2129.14	0	0
XM_026478375.3	2175	2006.14	0	0
XM_026478376.3	1983	1814.14	0	0
XM_026478377.2	1899	1730.14	0	0
XM_026478378.2	1782	1613.14	0	0
XM_026478379.3	1764	1595.14	0	0
XM_026478380.3	605	436.259	10	10.8649
XM_026478382.3	1944	1775.14	33.0127	8.8149
XM_026478383.3	1914	1745.14	0	0
XM_026478386.3	2059	1890.14	45.335	11.3687
XM_026478387.3	5606	5437.14	31.0066	2.70304
XM_026478388.3	5437	5268.14	2.99343	0.269328
XM_026478389.3	4186	4017.14	13	1.5339
XM_026478391.3	7161	6992.14	221	14.9814
XM_026478392.3	4871	4702.14	1	0.100803
XM_026478393.3	2107	1938.14	0	0
XM_026478394.3	3354	3185.14	1.16017	0.172649
XM_026478396.3	1980	1811.14	71	18.5813
XM_026478397.3	1470	1301.14	1	0.364288
XM_026478400.3	5098	4929.14	51.1303	4.91674
XM_026478401.3	4206	4037.14	13	1.5263
XM_026478403.2	1315	1146.14	0	0
XM_026478413.3	527	358.368	1636	2163.83
XM_026478414.3	5797	5628.14	0.000271023	2.2825e-05
XM_026478415.3	5787	5618.14	0.00189307	0.000159714
XM_026478417.3	5782	5613.14	0.00500969	0.000423034
XM_026478418.3	5772	5603.14	0.0351747	0.00297556
XM_026478419.3	5766	5597.14	0.113451	0.00960752
XM_026478420.3	5757	5588.14	0.658713	0.0558726
XM_026478421.3	5752	5583.14	1.75231	0.148765
XM_026478422.3	5742	5573.14	12.4332	1.05743
XM_026478423.3	14639	14470.1	20.5099	0.671832
XM_026478424.3	12168	11999.1	40.5114	1.60028
XM_026478426.3	2725	2556.14	4	0.741729
XM_026478427.3	3132	2963.14	0	0
XM_026478429.3	2934	2765.14	0	0
XM_026478431.2	1706	1537.14	0	0
XM_026478432.3	4236	4067.14	277.236	32.3096
XM_026478433.3	9958	9789.14	20.2982	0.982843
XM_026478435.3	11864	11695.1	43.3966	1.75882
