target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1460.23	369.471	141.923
XM_026478080.3	6046	5897.23	1.0346	0.098405
XM_026478083.3	2509	2360.23	0	0
XM_026478085.3	2434	2285.23	13	3.19085
XM_026478086.3	2425	2276.23	33.3252	8.21202
XM_026478087.3	2288	2139.23	15.6748	4.10995
XM_026478088.3	2224	2075.23	0	0
XM_026478089.3	3098	2949.23	66.7454	12.6942
XM_026478090.3	1357	1208.23	7.33119	3.40343
XM_026478091.3	1312	1163.23	0	0
XM_026478092.3	1300	1151.23	12.6688	6.17257
XM_026478094.3	1697	1548.23	3.19676	1.15815
XM_026478095.3	3596	3447.23	18.8032	3.05954
XM_026478097.3	993	844.233	0	0
XM_026478098.3	10841	10692.2	0	0
XM_026478099.3	2079	1930.23	0	0
XM_026478100.3	7847	7698.23	175.181	12.7641
XM_026478101.3	6255	6106.23	7.81854	0.7182
XM_026478102.3	4900	4751.23	18.3006	2.16049
XM_026478103.3	1628	1479.23	28.6994	10.8825
XM_026478105.3	4341	4192.23	8	1.07038
XM_026478106.1	1359	1210.23	0	0
XM_026478107.1	1359	1210.23	0	0
XM_026478108.3	4405	4256.23	0	0
XM_026478109.3	4078	3929.23	0.000309844	4.42312e-05
XM_026478110.3	4041	3892.23	15.9997	2.30572
XM_026478114.3	3144	2995.23	0	0
XM_026478122.3	5800	5651.23	0	0
XM_026478124.3	5185	5036.23	8.69831	0.968774
XM_026478126.3	4573	4424.23	221.799	28.1199
XM_026478127.3	1566	1417.23	71	28.1003
XM_026478128.3	1294	1145.23	117	57.3041
XM_026478129.3	1343	1194.23	23.7595	11.1594
XM_026478130.3	1386	1237.23	17.2405	7.81612
XM_026478131.3	1762	1613.23	0.105744	0.0367665
XM_026478132.3	1759	1610.23	0.894256	0.311506
XM_026478133.2	3175	3026.23	4674.86	866.482
XM_026478135.3	3662	3513.23	11	1.75622
XM_026478136.3	3554	3405.23	197	32.4499
XM_026478139.3	2722	2573.23	67.6989	14.7569
XM_026478140.3	2348	2199.23	0.874442	0.223025
XM_026478142.3	4236	4087.23	3.24029	0.444681
XM_026478143.3	338	193.096	41	119.098
XM_026478144.3	8601	8452.23	15.3688	1.01991
XM_026478146.3	3833	3684.23	0	0
XM_026478150.3	2311	2162.23	73	18.9371
XM_026478151.3	6755	6606.23	17.5166	1.48727
XM_026478153.3	7000	6851.23	0	0
XM_026478159.3	2152	2003.23	0	0
XM_026478163.3	9279	9130.23	0	0
XM_026478165.3	2434	2285.23	341.904	83.9203
XM_026478167.3	1687	1538.23	0	0
XM_026478168.3	2138	1989.23	4	1.12789
XM_026478169.3	9315	9166.23	575.883	35.2401
XM_026478170.3	3852	3703.23	13.6949	2.0743
XM_026478173.3	4464	4315.23	13.0018	1.69002
XM_026478174.3	5197	5048.23	20.947	2.32742
XM_026478175.3	8598	8449.23	32.3153	2.14529
XM_026478176.3	11857	11708.2	0.683192	0.0327299
XM_026478179.3	8427	8278.23	366.042	24.802
XM_026478180.3	843	694.303	0	0
XM_026478181.3	2987	2838.23	73	14.4267
XM_026478182.3	8430	8281.23	0.000361665	2.44966e-05
XM_026478183.3	10477	10328.2	401	21.7777
XM_026478185.3	3015	2866.23	0	0
XM_026478189.3	2391	2242.23	110.274	27.5857
XM_026478191.3	6588	6439.23	429.655	37.4265
XM_026478192.3	6767	6618.23	11.2895	0.956808
XM_026478193.3	6597	6448.23	40.7951	3.54863
XM_026478194.3	6585	6436.23	520.044	45.3212
XM_026478195.3	5023	4874.23	11.0062	1.26655
XM_026478196.3	6484	6335.23	0	0
XM_026478199.3	4589	4440.23	742.006	93.7336
XM_026478200.3	4000	3851.23	83	12.0885
XM_026478202.3	21305	21156.2	5.09349e-06	1.35042e-07
XM_026478203.3	4061	3912.23	47	6.73855
XM_026478206.2	939	790.233	0	0
XM_026478207.3	1835	1686.23	8.08199	2.6884
XM_026478208.3	1465	1316.23	1123	478.564
XM_026478212.3	5507	5358.23	8	0.837456
XM_026478213.3	1113	964.233	0	0
XM_026478215.3	1955	1806.23	0	0
XM_026478216.3	3721	3572.23	11.6467	1.82877
XM_026478217.3	1659	1510.23	3.22139	1.19645
XM_026478218.3	4039	3890.23	8.68121	1.25169
XM_026478219.3	6333	6184.23	118	10.7026
XM_026478220.3	4558	4409.23	7	0.890489
XM_026478221.1	1824	1675.23	0	0
XM_026478223.3	7229	7080.23	878.629	69.6068
XM_026478225.3	4249	4100.23	23.2561	3.18143
XM_026478230.1	882	733.233	0	0
XM_026478231.3	2913	2764.23	0	0
XM_026478232.3	4392	4243.23	311.037	41.1158
XM_026478237.3	4071	3922.23	0	0
XM_026478240.3	2392	2243.23	0	0
XM_026478241.3	4790	4641.23	13.9385	1.68452
XM_026478243.3	7888	7739.23	43.8574	3.17862
XM_026478244.3	2279	2130.23	2.14676	0.565263
XM_026478256.3	15206	15057.2	0.0313459	0.00116769
XM_026478257.3	2506	2357.23	0	0
XM_026478258.3	2525	2376.23	3.05821	0.721892
XM_026478259.3	6504	6355.23	378.745	33.4279
XM_026478260.3	2509	2360.23	0	0
XM_026478261.3	2458	2309.23	145.323	35.2987
XM_026478262.3	3255	3106.23	0	0
XM_026478263.3	2242	2093.23	5	1.33982
XM_026478265.3	5688	5539.23	14.2077	1.43869
XM_026478267.3	6675	6526.23	1.81121e-05	1.55668e-06
XM_026478270.3	1033	884.233	37	23.4708
XM_026478271.3	1861	1712.23	111.267	36.4501
XM_026478272.3	4162	4013.23	93.4808	13.0654
XM_026478273.3	930	781.233	704	505.459
XM_026478274.3	1809	1660.23	15	5.06776
XM_026478276.3	5005	4856.23	1.47591e-08	1.70473e-09
XM_026478278.3	5047	4898.23	2.08821e-06	2.39127e-07
XM_026478279.3	5035	4886.23	0	0
XM_026478280.3	4894	4745.23	1.84702e-08	2.18327e-09
XM_026478282.3	8406	8257.23	0.057985	0.0039389
XM_026478283.3	8394	8245.23	4.8332	0.328795
XM_026478284.3	8294	8145.23	0.0830933	0.00572211
XM_026478285.3	8279	8130.23	11.1194	0.767132
XM_026478290.3	4690	4541.23	92	11.3634
XM_026478291.3	7074	6925.23	71.5577	5.79583
XM_026478292.3	6933	6784.23	15.4332	1.27599
XM_026478293.3	6961	6812.23	0.00914659	0.000753118
XM_026478295.3	6712	6563.23	0	0
XM_026478296.3	9714	9565.23	2.76335e-07	1.62044e-08
XM_026478297.3	4637	4488.23	3.27694e-05	4.09531e-06
XM_026478298.3	4580	4431.23	76.251	9.65193
XM_026478299.3	9699	9550.23	0	0
XM_026478300.3	4622	4473.23	1.01393e-07	1.27139e-08
XM_026478303.3	9076	8927.23	18.7523	1.17823
XM_026478308.3	9177	9028.23	76.4433	4.74931
XM_026478309.3	1777	1628.23	88	30.3151
XM_026478311.3	1579	1430.23	35.7558	14.0228
XM_026478312.3	2647	2498.23	14	3.14332
XM_026478313.3	513	364.566	0	0
XM_026478317.3	5855	5706.23	47	4.62
XM_026478318.3	3547	3398.23	31	5.11684
XM_026478320.3	8741	8592.23	155.316	10.1392
XM_026478321.3	3804	3655.23	225	34.5272
XM_026478322.3	2471	2322.23	0	0
XM_026478323.3	2809	2660.23	3.27329	0.690174
XM_026478326.3	5940	5791.23	0	0
XM_026478327.3	2519	2370.23	0	0
XM_026478328.3	9165	9016.23	0	0
XM_026478329.3	6861	6712.23	23.5881	1.97115
XM_026478331.3	1885	1736.23	28.2638	9.13094
XM_026478335.3	2818	2669.23	69	14.4996
XM_026478337.3	3820	3671.23	2	0.305571
XM_026478339.3	11121	10972.2	62.3334	3.18654
XM_026478340.3	11278	11129.2	70.8939	3.57303
XM_026478341.3	6045	5896.23	0	0
XM_026478347.3	3434	3285.23	0	0
XM_026478348.3	907	758.233	187	138.335
XM_026478350.3	3299	3150.23	33.5835	5.97967
XM_026478352.3	1414	1265.23	0	0
XM_026478353.3	1391	1242.23	8	3.61227
XM_026478355.3	1613	1464.23	83.3369	31.9242
XM_026478356.3	1219	1070.23	38.6631	20.2634
XM_026478358.3	1976	1827.23	30.7271	9.43237
XM_026478361.3	335	190.232	1.54937	4.5684
XM_026478362.3	1440	1291.23	4055	1761.49
XM_026478365.3	1806	1657.23	0	0
XM_026478366.3	2953	2804.23	61	12.2014
XM_026478368.3	1990	1841.23	24.2755	7.39526
XM_026478371.3	2783	2634.23	73.9476	15.7457
XM_026478372.3	2782	2633.23	93.0524	19.8213
XM_026478373.3	3090	2941.23	1	0.190706
XM_026478374.3	2298	2149.23	0	0
XM_026478375.3	2175	2026.23	0	0
XM_026478376.3	1983	1834.23	0	0
XM_026478377.2	1899	1750.23	0	0
XM_026478378.2	1782	1633.23	0	0
XM_026478379.3	1764	1615.23	0	0
XM_026478380.3	605	456.528	16	19.6583
XM_026478382.3	1944	1795.23	33.3293	10.4135
XM_026478383.3	1914	1765.23	9.93493	3.15687
XM_026478386.3	2059	1910.23	89.7255	26.3465
XM_026478387.3	5606	5457.23	0	0
XM_026478388.3	5437	5288.23	0	0
XM_026478389.3	4186	4037.23	39	5.41844
XM_026478391.3	7161	7012.23	187	14.9582
XM_026478392.3	4871	4722.23	422	50.1255
XM_026478393.3	2107	1958.23	0	0
XM_026478394.3	3354	3205.23	56.5666	9.89906
