target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1429.37	372.386	28.9269
XM_026478080.3	6046	5866.37	4.02005	0.0760877
XM_026478083.3	2509	2329.37	0	0
XM_026478085.3	2434	2254.37	0	0
XM_026478086.3	2425	2245.37	345.942	17.1068
XM_026478087.3	2288	2108.37	5.3141	0.279857
XM_026478088.3	2224	2044.37	29.744	1.61545
XM_026478089.3	3098	2918.37	123.992	4.71744
XM_026478090.3	1357	1177.37	8.83143	0.832859
XM_026478091.3	1312	1132.37	0	0
XM_026478092.3	1300	1120.37	176.169	17.4591
XM_026478094.3	1697	1517.37	41.4363	3.03209
XM_026478095.3	3596	3416.37	129.847	4.22007
XM_026478097.3	993	813.365	0	0
XM_026478098.3	10841	10661.4	0	0
XM_026478099.3	2079	1899.37	0.0400258	0.00233982
XM_026478100.3	7847	7667.37	348.323	5.04416
XM_026478101.3	6255	6075.37	36.6767	0.670301
XM_026478102.3	4900	4720.37	19.2188	0.452067
XM_026478103.3	1628	1448.37	34.7812	2.66636
XM_026478105.3	4341	4161.37	127	3.3886
XM_026478106.1	1359	1179.37	0	0
XM_026478107.1	1359	1179.37	0	0
XM_026478108.3	4405	4225.37	57.9446	1.52265
XM_026478109.3	4078	3898.37	90.3219	2.57254
XM_026478110.3	4041	3861.37	38.7335	1.11378
XM_026478114.3	3144	2964.37	17.2708	0.646892
XM_026478122.3	5800	5620.37	0	0
XM_026478124.3	5185	5005.37	2.30805	0.0511989
XM_026478126.3	4573	4393.37	19.803	0.50048
XM_026478127.3	1566	1386.37	363	29.0724
XM_026478128.3	1294	1114.37	559.801	55.7774
XM_026478129.3	1343	1163.37	122.511	11.6926
XM_026478130.3	1386	1206.37	61.4894	5.65944
XM_026478131.3	1762	1582.37	72.3138	5.07418
XM_026478132.3	1759	1579.37	115.686	8.13301
XM_026478133.2	3175	2995.37	32704.3	1212.29
XM_026478135.3	3662	3482.37	23	0.73334
XM_026478136.3	3554	3374.37	913	30.0421
XM_026478139.3	2722	2542.37	105.468	4.6061
XM_026478140.3	2348	2168.37	74.9817	3.8395
XM_026478142.3	4236	4056.37	9.26519	0.253612
XM_026478143.3	338	165.956	421	281.67
XM_026478144.3	8601	8421.37	5.27028	0.069487
XM_026478146.3	3833	3653.37	104.961	3.18996
XM_026478150.3	2311	2131.37	374	19.4834
XM_026478151.3	6755	6575.37	0	0
XM_026478153.3	7000	6820.37	0	0
XM_026478159.3	2152	1972.37	0	0
XM_026478163.3	9279	9099.37	1.18086	0.0144092
XM_026478165.3	2434	2254.37	969.64	47.7572
XM_026478167.3	1687	1507.37	0	0
XM_026478168.3	2138	1958.37	9	0.510271
XM_026478169.3	9315	9135.37	3795.58	46.1322
XM_026478170.3	3852	3672.37	17.6687	0.534208
XM_026478173.3	4464	4284.37	14.0111	0.363109
XM_026478174.3	5197	5017.37	18.1267	0.401138
XM_026478175.3	8598	8418.37	407.017	5.36831
XM_026478176.3	11857	11677.4	111.556	1.06072
XM_026478179.3	8427	8247.37	1650.21	22.2165
XM_026478180.3	843	663.441	0	0
XM_026478181.3	2987	2807.37	202	7.98922
XM_026478182.3	8430	8250.37	354.465	4.77037
XM_026478183.3	10477	10297.4	1761	18.9883
XM_026478185.3	3015	2835.37	0	0
XM_026478189.3	2391	2211.37	210	10.5441
XM_026478191.3	6588	6408.37	87.7611	1.52057
XM_026478192.3	6767	6587.37	3.91655	0.0660153
XM_026478193.3	6597	6417.37	13.6228	0.235702
XM_026478194.3	6585	6405.37	434.615	7.53379
XM_026478195.3	5023	4843.37	33.8697	0.776455
XM_026478196.3	6484	6304.37	0	0
XM_026478199.3	4589	4409.37	2793.05	70.3324
XM_026478200.3	4000	3820.37	325	9.44562
XM_026478202.3	21305	21125.4	0	0
XM_026478203.3	4061	3881.37	108.485	3.10338
XM_026478206.2	939	759.365	1	0.146218
XM_026478207.3	1835	1655.37	0	0
XM_026478208.3	1465	1285.37	7523	649.855
XM_026478212.3	5507	5327.37	5.00223	0.104257
XM_026478213.3	1113	933.365	0	0
