target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1483.32	0	0
XM_026478080.3	6046	5920.32	19.1986	1.99934
XM_026478083.3	2509	2383.32	0	0
XM_026478085.3	2434	2308.32	2	0.53419
XM_026478086.3	2425	2299.32	0	0
XM_026478087.3	2288	2162.32	1	0.285129
XM_026478088.3	2224	2098.32	0	0
XM_026478089.3	3098	2972.32	91.6397	19.0086
XM_026478090.3	1357	1231.32	0	0
XM_026478091.3	1312	1186.32	0	0
XM_026478092.3	1300	1174.32	2	1.05004
XM_026478094.3	1697	1571.32	2.81836	1.10584
XM_026478095.3	3596	3470.32	3.63906	0.646518
XM_026478097.3	993	867.318	4.07466	2.89651
XM_026478098.3	10841	10715.3	0	0
XM_026478099.3	2079	1953.32	0.412015	0.130047
XM_026478100.3	7847	7721.32	44.1284	3.52361
XM_026478101.3	6255	6129.32	11.8716	1.19414
XM_026478102.3	4900	4774.32	1.44984	0.187227
XM_026478103.3	1628	1502.32	1.14411e-06	4.69533e-07
XM_026478105.3	4341	4215.32	1	0.146262
XM_026478106.1	1359	1233.32	0	0
XM_026478107.1	1359	1233.32	0	0
XM_026478108.3	4405	4279.32	0	0
XM_026478109.3	4078	3952.32	0.000479759	7.48398e-05
XM_026478110.3	4041	3915.32	5.99952	0.944737
XM_026478114.3	3144	3018.32	0	0
XM_026478122.3	5800	5674.32	0	0
XM_026478124.3	5185	5059.32	21.7616	2.65192
XM_026478126.3	4573	4447.32	17.0494	2.3636
XM_026478127.3	1566	1440.32	19	8.13311
XM_026478128.3	1294	1168.32	32	16.8869
XM_026478129.3	1343	1217.32	4	2.0259
XM_026478130.3	1386	1260.32	0	0
XM_026478131.3	1762	1636.32	0	0
XM_026478132.3	1759	1633.32	0	0
XM_026478133.2	3175	3049.32	1422.97	287.709
XM_026478135.3	3662	3536.32	1	0.174345
XM_026478136.3	3554	3428.32	81	14.5668
XM_026478139.3	2722	2596.32	5.93611	1.40963
XM_026478140.3	2348	2222.32	0	0
XM_026478142.3	4236	4110.32	0	0
XM_026478143.3	338	212.844	9	26.0701
XM_026478144.3	8601	8475.32	12.995	0.945329
XM_026478146.3	3833	3707.32	0	0
XM_026478150.3	2311	2185.32	14	3.9498
XM_026478151.3	6755	6629.32	0	0
XM_026478153.3	7000	6874.32	1.67142e-08	1.49906e-09
XM_026478159.3	2152	2026.32	4.00134	1.21747
XM_026478163.3	9279	9153.32	85.1159	5.73315
XM_026478165.3	2434	2308.32	0	0
XM_026478167.3	1687	1561.32	21	8.29257
XM_026478168.3	2138	2012.32	19	5.82128
XM_026478169.3	9315	9189.32	127.199	8.5342
XM_026478170.3	3852	3726.32	0.00446819	0.000739287
XM_026478173.3	4464	4338.32	6.00062	0.852777
XM_026478174.3	5197	5071.32	49.0336	5.96121
XM_026478175.3	8598	8472.32	99.7472	7.25872
XM_026478176.3	11857	11731.3	28.3533	1.49011
XM_026478179.3	8427	8301.32	21.731	1.61397
XM_026478180.3	843	717.4	1074	923.006
XM_026478181.3	2987	2861.32	9	1.93927
XM_026478182.3	8430	8304.32	15.1248	1.12291
XM_026478183.3	10477	10351.3	28	1.66772
XM_026478185.3	3015	2889.32	0	0
XM_026478189.3	2391	2265.32	230	62.5979
XM_026478191.3	6588	6462.32	0	0
XM_026478192.3	6767	6641.32	0	0
XM_026478193.3	6597	6471.32	0	0
XM_026478194.3	6585	6459.32	2.06382	0.196991
XM_026478195.3	5023	4897.32	6.32457	0.796221
XM_026478196.3	6484	6358.32	0	0
XM_026478199.3	4589	4463.32	97.8508	13.5166
XM_026478200.3	4000	3874.32	83.8011	13.3357
XM_026478202.3	21305	21179.3	0	0
