target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1482.86	307.586	114.61
XM_026478080.3	6046	5919.86	3.35518	0.313157
XM_026478083.3	2509	2382.86	0	0
XM_026478085.3	2434	2307.86	11	2.63355
XM_026478086.3	2425	2298.86	0	0
XM_026478087.3	2288	2161.86	16.4142	4.19518
XM_026478088.3	2224	2097.86	10.5858	2.78807
XM_026478089.3	3098	2971.86	31.8686	5.92505
XM_026478090.3	1357	1230.86	27.4213	12.3094
XM_026478091.3	1312	1185.86	7.6218e-08	3.55125e-08
XM_026478092.3	1300	1173.86	9.57875	4.50868
XM_026478094.3	1697	1570.86	11.0812	3.89769
XM_026478095.3	3596	3469.86	14.9727	2.38422
XM_026478097.3	993	866.862	6.57961	4.1938
XM_026478098.3	10841	10714.9	6.32406	0.326112
XM_026478099.3	2079	1952.86	0.0767656	0.0217197
XM_026478100.3	7847	7720.86	86.9022	6.21904
XM_026478101.3	6255	6128.86	9.74171	0.878241
XM_026478102.3	4900	4773.86	11.7223	1.35675
XM_026478103.3	1628	1501.86	15.2777	5.62065
XM_026478105.3	4341	4214.86	4	0.524366
XM_026478106.1	1359	1232.86	0	0
XM_026478107.1	1359	1232.86	0	0
XM_026478108.3	4405	4278.86	13.0252	1.68195
XM_026478109.3	4078	3951.86	11.9748	1.67427
XM_026478110.3	4041	3914.86	0	0
XM_026478114.3	3144	3017.86	18.5104	3.38902
XM_026478122.3	5800	5673.86	0	0
XM_026478124.3	5185	5058.86	9.7181	1.06142
XM_026478126.3	4573	4446.86	242.091	30.0804
XM_026478127.3	1566	1439.86	27	10.361
XM_026478128.3	1294	1167.86	44.7629	21.178
XM_026478129.3	1343	1216.86	0	0
XM_026478130.3	1386	1259.86	31	13.5956
XM_026478131.3	1762	1635.86	0.125827	0.0424996
XM_026478132.3	1759	1632.86	0.874173	0.295805
XM_026478133.2	3175	3048.86	2786.08	504.91
XM_026478135.3	3662	3535.86	14	2.18772
XM_026478136.3	3554	3427.86	164	26.435
XM_026478139.3	2722	2595.86	2.75108e-05	5.85571e-06
XM_026478140.3	2348	2221.86	20.8743	5.19103
XM_026478142.3	4236	4109.86	14.5736	1.95928
XM_026478143.3	338	212.158	12	31.2522
XM_026478144.3	8601	8474.86	8.19931	0.534568
XM_026478146.3	3833	3706.86	0	0
XM_026478150.3	2311	2184.86	48	12.1388
XM_026478151.3	6755	6628.86	5.26551e-08	4.38894e-09
XM_026478153.3	7000	6873.86	0	0
XM_026478159.3	2152	2025.86	1	0.27274
XM_026478163.3	9279	9152.86	0	0
XM_026478165.3	2434	2307.86	421.199	100.841
XM_026478167.3	1687	1560.86	0	0
XM_026478168.3	2138	2011.86	18	4.94348
XM_026478169.3	9315	9188.86	725.38	43.6176
XM_026478170.3	3852	3725.86	29.6961	4.40383
XM_026478173.3	4464	4337.86	11.8246	1.50616
XM_026478174.3	5197	5070.86	35.7599	3.89648
XM_026478175.3	8598	8471.86	36.5399	2.38312
XM_026478176.3	11857	11730.9	0	0
XM_026478179.3	8427	8300.86	272.779	18.1571
XM_026478180.3	843	716.862	0	0
XM_026478181.3	2987	2860.86	122	23.5625
XM_026478182.3	8430	8303.86	0.0367462	0.00244506
XM_026478183.3	10477	10350.9	308	16.4412
XM_026478185.3	3015	2888.86	0	0
XM_026478189.3	2391	2264.86	95.8928	23.3939
XM_026478191.3	6588	6461.86	157.05	13.4288
XM_026478192.3	6767	6640.86	49.6177	4.12829
XM_026478193.3	6597	6470.86	196.571	16.7848
XM_026478194.3	6585	6458.86	54.8028	4.68819
XM_026478195.3	5023	4896.86	7.15542	0.807376
XM_026478196.3	6484	6357.86	0.244556	0.0212533
XM_026478199.3	4589	4462.86	310.456	38.4366
XM_026478200.3	4000	3873.86	115	16.4026
XM_026478202.3	21305	21178.9	1.32127	0.0344704
XM_026478203.3	4061	3934.86	42.2086	5.92693
XM_026478206.2	939	812.862	0	0
XM_026478207.3	1835	1708.86	0	0
XM_026478208.3	1465	1338.86	859	354.499
XM_026478212.3	5507	5380.86	12.1633	1.24898
XM_026478213.3	1113	986.862	0	0
XM_026478215.3	1955	1828.86	2.77741	0.839106
XM_026478216.3	3721	3594.86	10.1665	1.5626
XM_026478217.3	1659	1532.86	4.22884	1.52432
XM_026478218.3	4039	3912.86	5.05864	0.714328
XM_026478219.3	6333	6206.86	122	10.8604
XM_026478220.3	4558	4431.86	2	0.249346
XM_026478221.1	1824	1697.86	0	0
XM_026478223.3	7229	7102.86	577.511	44.9247
XM_026478225.3	4249	4122.86	10.7926	1.44639
XM_026478230.1	882	755.862	0	0
XM_026478231.3	2913	2786.86	0	0
XM_026478232.3	4392	4265.86	207.618	26.8916
XM_026478237.3	4071	3944.86	0.000210979	2.95505e-05
XM_026478240.3	2392	2265.86	0	0
XM_026478241.3	4790	4663.86	20.2207	2.39557
XM_026478243.3	7888	7761.86	41.7175	2.96969
XM_026478244.3	2279	2152.86	0.105204	0.0270007
XM_026478256.3	15206	15079.9	0.000431346	1.58047e-05
XM_026478257.3	2506	2379.86	0	0
XM_026478258.3	2525	2398.86	85.0208	19.583
XM_026478259.3	6504	6377.86	172.72	14.9632
XM_026478260.3	2509	2382.86	11.3169	2.62415
XM_026478261.3	2458	2331.86	68.9315	16.3333
XM_026478262.3	3255	3128.86	14.7418	2.60328
XM_026478263.3	2242	2115.86	7	1.82797
XM_026478265.3	5688	5561.86	18.193	1.80735
XM_026478267.3	6675	6548.86	29.6697	2.50326
XM_026478270.3	1033	906.862	14	8.52992
XM_026478271.3	1861	1734.86	119.025	37.9082
XM_026478272.3	4162	4035.86	81.9577	11.2205
XM_026478273.3	930	803.862	657	451.588
XM_026478274.3	1809	1682.86	17.2694	5.67005
XM_026478276.3	5005	4878.86	0	0
XM_026478278.3	5047	4920.86	0	0
XM_026478279.3	5035	4908.86	11.0642	1.24537
XM_026478280.3	4894	4767.86	0	0
XM_026478282.3	8406	8279.86	10.2097	0.681316
XM_026478283.3	8394	8267.86	0	0
XM_026478284.3	8294	8167.86	67.1438	4.54209
XM_026478285.3	8279	8152.86	0	0
XM_026478290.3	4690	4563.86	159	19.2496
XM_026478291.3	7074	6947.86	22.8392	1.8163
XM_026478292.3	6933	6806.86	44.7673	3.63389
XM_026478293.3	6961	6834.86	58.9624	4.76655
XM_026478295.3	6712	6585.86	11.4311	0.959031
XM_026478296.3	9714	9587.86	0	0
XM_026478297.3	4637	4510.86	0	0
XM_026478298.3	4580	4453.86	2.11578e-06	2.62478e-07
XM_026478299.3	9699	9572.86	1.37071e-08	7.91157e-10
XM_026478300.3	4622	4495.86	0	0
XM_026478303.3	9076	8949.86	25.6107	1.58112
XM_026478308.3	9177	9050.86	134.56	8.21458
XM_026478309.3	1777	1650.86	71	23.7632
XM_026478311.3	1579	1452.86	33.2948	12.6622
XM_026478312.3	2647	2520.86	7	1.53429
XM_026478313.3	513	386.977	0	0
XM_026478317.3	5855	5728.86	0	0
XM_026478318.3	3547	3420.86	61	9.85264
XM_026478320.3	8741	8614.86	195.279	12.5246
XM_026478321.3	3804	3677.86	203	30.4971
XM_026478322.3	2471	2344.86	4.01308	0.945625
XM_026478323.3	2809	2682.86	0	0
XM_026478326.3	5940	5813.86	34.4366	3.27276
XM_026478327.3	2519	2392.86	4.74811	1.09638
XM_026478328.3	9165	9038.86	0	0
XM_026478329.3	6861	6734.86	35.5487	2.91644
XM_026478331.3	1885	1758.86	43.8086	13.7621
XM_026478335.3	2818	2691.86	44	9.03146
XM_026478337.3	3820	3693.86	2	0.299163
XM_026478339.3	11121	10994.9	1.84556e-05	9.27463e-07
XM_026478340.3	11278	11151.9	3.04111	0.150676
XM_026478341.3	6045	5918.86	9.86409	0.920825
XM_026478347.3	3434	3307.86	1	0.167036
XM_026478348.3	907	780.862	152	107.554
XM_026478350.3	3299	3172.86	0	0
XM_026478352.3	1414	1287.86	2.17576e-08	9.33468e-09
XM_026478353.3	1391	1264.86	4	1.74733
XM_026478355.3	1613	1486.86	85.1787	31.6533
