target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1494.69	18.6623	4.33707
XM_026478080.3	6046	5931.69	2	0.11712
XM_026478083.3	2509	2394.69	0	0
XM_026478085.3	2434	2319.69	0	0
XM_026478086.3	2425	2310.69	49.8074	7.48744
XM_026478087.3	2288	2173.69	8.20159	1.31064
XM_026478088.3	2224	2109.69	27.991	4.60873
XM_026478089.3	3098	2983.69	31.9993	3.72536
XM_026478090.3	1357	1242.69	0	0
XM_026478091.3	1312	1197.69	0	0
XM_026478092.3	1300	1185.69	31	9.0818
XM_026478094.3	1697	1582.69	10.9612	2.40572
XM_026478095.3	3596	3481.69	17.0388	1.69993
XM_026478097.3	993	878.689	0	0
XM_026478098.3	10841	10726.7	0	0
XM_026478099.3	2079	1964.69	0.0877806	0.0155198
XM_026478100.3	7847	7732.69	74.2568	3.3357
XM_026478101.3	6255	6140.69	21.7432	1.22995
XM_026478102.3	4900	4785.69	0	0
XM_026478103.3	1628	1513.69	2.43567e-07	5.58936e-08
XM_026478105.3	4341	4226.69	9	0.739645
XM_026478106.1	1359	1244.69	0	0
XM_026478107.1	1359	1244.69	0	0
XM_026478108.3	4405	4290.69	0	0
XM_026478109.3	4078	3963.69	18.1674	1.59211
XM_026478110.3	4041	3926.69	9.83264	0.86981
XM_026478114.3	3144	3029.69	32	3.66888
XM_026478122.3	5800	5685.69	0	0
XM_026478124.3	5185	5070.69	1.14821	0.0786568
XM_026478126.3	4573	4458.69	47	3.66161
XM_026478127.3	1566	1451.69	44	10.5283
XM_026478128.3	1294	1179.69	73	21.495
XM_026478129.3	1343	1228.69	24.2017	6.84202
XM_026478130.3	1386	1271.69	8.79833	2.40326
XM_026478131.3	1762	1647.69	46.9928	9.90688
XM_026478132.3	1759	1644.69	98.0072	20.6993
XM_026478133.2	3175	3060.69	1488.13	168.889
XM_026478135.3	3662	3547.69	0	0
XM_026478136.3	3554	3439.69	78	7.87692
XM_026478139.3	2722	2607.69	23.7263	3.1605
XM_026478140.3	2348	2233.69	34.2308	5.32323
XM_026478142.3	4236	4121.69	10.1577	0.856053
XM_026478143.3	338	223.89	30	46.5445
XM_026478144.3	8601	8486.69	1.79088	0.073301
XM_026478146.3	3833	3718.69	0.141566	0.0132236
XM_026478150.3	2311	2196.69	45	7.11582
XM_026478151.3	6755	6640.69	6.71719	0.351363
XM_026478153.3	7000	6885.69	0	0
XM_026478159.3	2152	2037.69	0	0
XM_026478163.3	9279	9164.69	0.823021	0.0311942
XM_026478165.3	2434	2319.69	283.335	42.4279
XM_026478167.3	1687	1572.69	0	0
XM_026478168.3	2138	2023.69	10	1.71647
XM_026478169.3	9315	9200.69	398.717	15.0531
XM_026478170.3	3852	3737.69	8.29983	0.771342
XM_026478173.3	4464	4349.69	10	0.798588
XM_026478174.3	5197	5082.69	7.74976	0.529634
XM_026478175.3	8598	8483.69	0	0
XM_026478176.3	11857	11742.7	13.8396	0.409389
XM_026478179.3	8427	8312.69	261.427	10.9242
XM_026478180.3	843	728.689	0	0
XM_026478181.3	2987	2872.69	35	4.23215
XM_026478182.3	8430	8315.69	23.5725	0.984666
XM_026478183.3	10477	10362.7	273	9.15106
XM_026478185.3	3015	2900.69	0	0
XM_026478189.3	2391	2276.69	37.3228	5.69444
XM_026478191.3	6588	6473.69	66.0893	3.54618
XM_026478192.3	6767	6652.69	0	0
XM_026478193.3	6597	6482.69	0	0
XM_026478194.3	6585	6470.69	16.6421	0.893384
XM_026478195.3	5023	4908.69	4.78141	0.338354
XM_026478196.3	6484	6369.69	0	0
XM_026478199.3	4589	4474.69	296.262	22.9982
XM_026478200.3	4000	3885.69	80	7.1516
XM_026478202.3	21305	21190.7	0	0
XM_026478203.3	4061	3946.69	38.7922	3.41423
XM_026478206.2	939	824.689	0	0
XM_026478207.3	1835	1720.69	0	0
XM_026478208.3	1465	1350.69	2046	526.177
XM_026478212.3	5507	5392.69	0	0
XM_026478213.3	1113	998.689	0	0
XM_026478215.3	1955	1840.69	10.1761	1.92035
XM_026478216.3	3721	3606.69	65.0721	6.26711
XM_026478217.3	1659	1544.69	0	0
XM_026478218.3	4039	3924.69	13	1.15059
XM_026478219.3	6333	6218.69	109	6.08848
