target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1480.65	2586.37	838.81
XM_026478080.3	6046	5917.65	5.0427	0.409204
XM_026478083.3	2509	2380.65	0	0
XM_026478085.3	2434	2305.65	12	2.49927
XM_026478086.3	2425	2296.65	26.9986	5.64509
XM_026478087.3	2288	2159.65	17.5901	3.91121
XM_026478088.3	2224	2095.65	25.4113	5.82282
XM_026478089.3	3098	2969.65	69.2076	11.1911
XM_026478090.3	1357	1228.65	0	0
XM_026478091.3	1312	1183.65	0	0
XM_026478092.3	1300	1171.65	44	18.0335
XM_026478094.3	1697	1568.65	7.06792	2.16367
XM_026478095.3	3596	3467.65	18.8552	2.61109
XM_026478097.3	993	864.653	3.07686	1.7088
XM_026478098.3	10841	10712.7	0	0
XM_026478099.3	2079	1950.65	5.46848	1.34621
XM_026478100.3	7847	7718.65	143.232	8.91097
XM_026478101.3	6255	6126.65	53.7678	4.2143
XM_026478102.3	4900	4771.65	8.31153	0.836446
XM_026478103.3	1628	1499.65	8.68847	2.78214
XM_026478105.3	4341	4212.65	5	0.569955
XM_026478106.1	1359	1230.65	0	0
XM_026478107.1	1359	1230.65	0	0
XM_026478108.3	4405	4276.65	24.7803	2.78246
XM_026478109.3	4078	3949.65	44.2197	5.37629
XM_026478110.3	4041	3912.65	0	0
XM_026478114.3	3144	3015.65	9.74317	1.55148
XM_026478122.3	5800	5671.65	0	0
XM_026478124.3	5185	5056.65	10.4907	0.996251
XM_026478126.3	4573	4444.65	373.096	40.3097
XM_026478127.3	1566	1437.65	84	28.0576
XM_026478128.3	1294	1165.65	61.8456	25.478
XM_026478129.3	1343	1214.65	41	16.209
XM_026478130.3	1386	1257.65	0	0
XM_026478131.3	1762	1633.65	0	0
XM_026478132.3	1759	1630.65	0	0
XM_026478133.2	3175	3046.65	4434.14	698.896
XM_026478135.3	3662	3533.65	40	5.43578
XM_026478136.3	3554	3425.65	90	12.6161
XM_026478139.3	2722	2593.65	64.265	11.8984
XM_026478140.3	2348	2219.65	0	0
XM_026478142.3	4236	4107.65	20.3842	2.38302
XM_026478143.3	338	209.894	38	86.9381
XM_026478144.3	8601	8472.65	5.39402	0.305717
XM_026478146.3	3833	3704.65	2.83034	0.366874
XM_026478150.3	2311	2182.65	71	15.6207
XM_026478151.3	6755	6626.65	0	0
XM_026478153.3	7000	6871.65	0	0
XM_026478159.3	2152	2023.65	0	0
XM_026478163.3	9279	9150.65	5.99621	0.314667
XM_026478165.3	2434	2305.65	695.167	144.784
XM_026478167.3	1687	1558.65	0	0
XM_026478168.3	2138	2009.65	5	1.19474
XM_026478169.3	9315	9186.65	423.031	22.1126
XM_026478170.3	3852	3723.65	6.87775	0.886958
XM_026478173.3	4464	4335.65	15.0113	1.6626
XM_026478174.3	5197	5068.65	18.9784	1.79801
XM_026478175.3	8598	8469.65	99.1219	5.61992
XM_026478176.3	11857	11728.7	0.723924	0.0296395
XM_026478179.3	8427	8298.65	291.723	16.8806
XM_026478180.3	843	714.653	0	0
XM_026478181.3	2987	2858.65	61	10.2469
