target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1474.94	192.356	11.1558
XM_026478080.3	6046	5911.94	0	0
XM_026478083.3	2509	2374.94	0	0
XM_026478085.3	2434	2299.94	0	0
XM_026478086.3	2425	2290.94	479.04	17.8866
XM_026478087.3	2288	2153.94	23.0114	0.91386
XM_026478088.3	2224	2089.94	32.9486	1.34857
XM_026478089.3	3098	2963.94	191.906	5.53848
XM_026478090.3	1357	1222.94	0	0
XM_026478091.3	1312	1177.94	3.9473	0.286647
XM_026478092.3	1300	1165.94	118.053	8.66103
XM_026478094.3	1697	1562.94	28.9926	1.58677
XM_026478095.3	3596	3461.94	138.007	3.41
XM_026478097.3	993	858.945	0	0
XM_026478098.3	10841	10706.9	6.48734	0.051829
XM_026478099.3	2079	1944.94	0.0974406	0.00428553
XM_026478100.3	7847	7712.94	519.193	5.75812
XM_026478101.3	6255	6120.94	144.807	2.02368
XM_026478102.3	4900	4765.94	39.3228	0.705775
XM_026478103.3	1628	1493.94	67.6772	3.87507
XM_026478105.3	4341	4206.94	60	1.21999
XM_026478106.1	1359	1224.94	0	0
XM_026478107.1	1359	1224.94	0	0
XM_026478108.3	4405	4270.94	49.1998	0.985397
XM_026478109.3	4078	3943.94	97.218	2.10857
XM_026478110.3	4041	3906.94	8.58224	0.187903
XM_026478114.3	3144	3009.94	0	0
XM_026478122.3	5800	5665.94	0	0
XM_026478124.3	5185	5050.94	4.68863	0.0794045
XM_026478126.3	4573	4438.94	29.0068	0.558975
XM_026478127.3	1566	1431.94	257	15.3525
XM_026478128.3	1294	1159.94	543.894	40.1096
XM_026478129.3	1343	1208.94	151.945	10.7511
XM_026478130.3	1386	1251.94	38.0549	2.60014
XM_026478131.3	1762	1627.94	18.6492	0.979925
XM_026478132.3	1759	1624.94	47.3508	2.49264
XM_026478133.2	3175	3040.94	15114.6	425.166
XM_026478135.3	3662	3527.94	26	0.63041
XM_026478136.3	3554	3419.94	720	18.0088
XM_026478139.3	2722	2587.94	31.057	1.02654
XM_026478140.3	2348	2213.94	205.004	7.92077
XM_026478142.3	4236	4101.94	20.357	0.424518
XM_026478143.3	338	206.26	224	92.8974
XM_026478144.3	8601	8466.94	7.49791	0.0757504
XM_026478146.3	3833	3698.94	48.2676	1.11622
XM_026478150.3	2311	2176.94	303	11.906
XM_026478151.3	6755	6620.94	0	0
XM_026478153.3	7000	6865.94	0	0
XM_026478159.3	2152	2017.94	0	0
XM_026478163.3	9279	9144.94	7.23028	0.067631
XM_026478165.3	2434	2299.94	1002.24	37.2757
XM_026478167.3	1687	1552.94	0	0
XM_026478168.3	2138	2003.94	29	1.2379
XM_026478169.3	9315	9180.94	3109.5	28.9717
XM_026478170.3	3852	3717.94	26.1397	0.601409
XM_026478173.3	4464	4329.94	23.0088	0.454551
XM_026478174.3	5197	5062.94	10.6415	0.179793
XM_026478175.3	8598	8463.94	402.332	4.06615
XM_026478176.3	11857	11722.9	119.689	0.87335
XM_026478179.3	8427	8292.94	2237.34	23.0778
XM_026478180.3	843	708.945	0	0
XM_026478181.3	2987	2852.94	206	6.17654
XM_026478182.3	8430	8295.94	337.33	3.47825
XM_026478183.3	10477	10342.9	333	2.75405
XM_026478185.3	3015	2880.94	0	0
XM_026478189.3	2391	2256.94	62.632	2.37381
XM_026478191.3	6588	6453.94	609.595	8.07956
XM_026478192.3	6767	6632.94	53.0543	0.684204
XM_026478193.3	6597	6462.94	171.138	2.2651
XM_026478194.3	6585	6450.94	822.477	10.9062
XM_026478195.3	5023	4888.94	34.7462	0.607944
XM_026478196.3	6484	6349.94	0	0
XM_026478199.3	4589	4454.94	1901.02	36.502
XM_026478200.3	4000	3865.94	204.964	4.53516
XM_026478202.3	21305	21170.9	36.5841	0.147817
XM_026478203.3	4061	3926.94	201	4.37837
XM_026478206.2	939	804.945	0	0
XM_026478207.3	1835	1700.94	3	0.15087
XM_026478208.3	1465	1330.94	11982	770.089
XM_026478212.3	5507	5372.94	2	0.0318412
XM_026478213.3	1113	978.945	0	0
XM_026478215.3	1955	1820.94	0	0
XM_026478216.3	3721	3586.94	0	0
XM_026478217.3	1659	1524.94	16.0668	0.901253
XM_026478218.3	4039	3904.94	47	1.02957
XM_026478219.3	6333	6198.94	847	11.6879
