target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1484.72	34.1402	9.75702
XM_026478080.3	6046	5921.72	0	0
XM_026478083.3	2509	2384.72	0	0
XM_026478085.3	2434	2309.72	0	0
XM_026478086.3	2425	2300.72	13	2.39759
XM_026478087.3	2288	2163.72	0	0
XM_026478088.3	2224	2099.72	0	0
XM_026478089.3	3098	2973.72	6.81974	0.973114
XM_026478090.3	1357	1232.72	0	0
XM_026478091.3	1312	1187.72	2.95199	1.05462
XM_026478092.3	1300	1175.72	12.048	4.34818
XM_026478094.3	1697	1572.72	0.552118	0.148962
XM_026478095.3	3596	3471.72	3.72199	0.454911
XM_026478097.3	993	868.722	2.86684	1.40029
XM_026478098.3	10841	10716.7	0	0
XM_026478099.3	2079	1954.72	1.28997	0.280022
XM_026478100.3	7847	7722.72	45	2.47251
XM_026478101.3	6255	6130.72	0	0
XM_026478102.3	4900	4775.72	1.45026	0.128856
XM_026478103.3	1628	1503.72	2.05519e-07	5.79936e-08
XM_026478105.3	4341	4216.72	4	0.402515
XM_026478106.1	1359	1234.72	0	0
XM_026478107.1	1359	1234.72	0	0
XM_026478108.3	4405	4280.72	23.4164	2.32113
XM_026478109.3	4078	3953.72	5.13569	0.551175
XM_026478110.3	4041	3916.72	4.44789	0.481867
XM_026478114.3	3144	3019.72	0	0
XM_026478122.3	5800	5675.72	0	0
XM_026478124.3	5185	5060.72	1.3219	0.110837
XM_026478126.3	4573	4448.72	3.01362	0.287441
XM_026478127.3	1566	1441.72	72	21.1908
XM_026478128.3	1294	1169.72	22.9605	8.32905
XM_026478129.3	1343	1218.72	39	13.5786
XM_026478130.3	1386	1261.72	0	0
XM_026478131.3	1762	1637.72	0.112594	0.0291724
XM_026478132.3	1759	1634.72	0.887406	0.230343
XM_026478133.2	3175	3050.72	577.028	80.2585
XM_026478135.3	3662	3537.72	2	0.239885
XM_026478136.3	3554	3429.72	38	4.70134
XM_026478139.3	2722	2597.72	0	0
XM_026478140.3	2348	2223.72	67.1432	12.812
XM_026478142.3	4236	4111.72	0	0
XM_026478143.3	338	213.793	102	202.443
XM_026478144.3	8601	8476.72	1.77784	0.0889939
XM_026478146.3	3833	3708.72	33.8826	3.87658
XM_026478150.3	2311	2186.72	129	25.0318
XM_026478151.3	6755	6630.72	0	0
XM_026478153.3	7000	6875.72	17.7662	1.09641
XM_026478159.3	2152	2027.72	0	0
XM_026478163.3	9279	9154.72	0.408611	0.0189392
XM_026478165.3	2434	2309.72	182	33.4355
XM_026478167.3	1687	1562.72	0	0
XM_026478168.3	2138	2013.72	8	1.68573
XM_026478169.3	9315	9190.72	123.411	5.69773
XM_026478170.3	3852	3727.72	13.5838	1.54623
XM_026478173.3	4464	4339.72	1	0.0977765
XM_026478174.3	5197	5072.72	1.5233	0.127421
XM_026478175.3	8598	8473.72	135.538	6.78709
XM_026478176.3	11857	11732.7	21.1398	0.764539
XM_026478179.3	8427	8302.72	959.741	49.049
XM_026478180.3	843	718.722	0	0
XM_026478181.3	2987	2862.72	36	5.33605
XM_026478182.3	8430	8305.72	35.806	1.82926
XM_026478183.3	10477	10352.7	68	2.78709
XM_026478185.3	3015	2890.72	0	0
XM_026478189.3	2391	2266.72	0	0
XM_026478191.3	6588	6463.72	1.90922e-05	1.25334e-06
XM_026478192.3	6767	6642.72	0	0
XM_026478193.3	6597	6472.72	3.98501e-06	2.6124e-07
XM_026478194.3	6585	6460.72	3.22013e-05	2.1149e-06
XM_026478195.3	5023	4898.72	4.67138	0.404631
XM_026478196.3	6484	6359.72	0	0
XM_026478199.3	4589	4464.72	56.4504	5.36499
XM_026478200.3	4000	3875.72	350	38.3188
XM_026478202.3	21305	21180.7	10.5273	0.210899
XM_026478203.3	4061	3936.72	20.4458	2.20377
XM_026478206.2	939	814.722	0	0
XM_026478207.3	1835	1710.72	3	0.744112
XM_026478208.3	1465	1340.72	319	100.96
XM_026478212.3	5507	5382.72	6	0.472983
XM_026478213.3	1113	988.722	0	0
XM_026478215.3	1955	1830.72	4.54838	1.05422
XM_026478216.3	3721	3596.72	0	0
XM_026478217.3	1659	1534.72	14.4105	3.98424
XM_026478218.3	4039	3914.72	1	0.108392
XM_026478219.3	6333	6208.72	134	9.15797
XM_026478220.3	4558	4433.72	4	0.382814
XM_026478221.1	1824	1699.72	0	0
XM_026478223.3	7229	7104.72	112.008	6.68959
XM_026478225.3	4249	4124.72	27.0847	2.78629
XM_026478230.1	882	757.722	0	0
XM_026478231.3	2913	2788.72	0	0
XM_026478232.3	4392	4267.72	123	12.2294
XM_026478237.3	4071	3946.72	22.2989	2.39741
XM_026478240.3	2392	2267.72	0	0
XM_026478241.3	4790	4665.72	0.776998	0.0706639
XM_026478243.3	7888	7763.72	23.3501	1.27619
XM_026478244.3	2279	2154.72	0	0
XM_026478256.3	15206	15081.7	9.85726e-05	2.77333e-06
XM_026478257.3	2506	2381.72	0	0
XM_026478258.3	2525	2400.72	0.231278	0.040878
XM_026478259.3	6504	6379.72	156.645	10.4187
XM_026478260.3	2509	2384.72	0	0
XM_026478261.3	2458	2333.72	27.5419	5.00773
XM_026478262.3	3255	3130.72	0	0
XM_026478263.3	2242	2117.72	24	4.80882
XM_026478265.3	5688	5563.72	7.19526	0.548754
XM_026478267.3	6675	6550.72	0	0
XM_026478270.3	1033	908.722	45	21.0125
XM_026478271.3	1861	1736.72	63.9994	15.6366
XM_026478272.3	4162	4037.72	88.3479	9.28446
XM_026478273.3	930	805.722	183	96.3745
XM_026478274.3	1809	1684.72	6	1.51119
XM_026478276.3	5005	4880.72	0	0
XM_026478278.3	5047	4922.72	0.0015706	0.000135381
XM_026478279.3	5035	4910.72	0	0
XM_026478280.3	4894	4769.72	0	0
XM_026478282.3	8406	8281.72	2.02045e-07	1.0352e-08
XM_026478283.3	8394	8269.72	0	0
XM_026478284.3	8294	8169.72	7.18027e-06	3.72932e-07
XM_026478285.3	8279	8154.72	0	0
XM_026478290.3	4690	4565.72	37	3.43866
XM_026478291.3	7074	6949.72	50.3243	3.07261
XM_026478292.3	6933	6808.72	0	0
XM_026478293.3	6961	6836.72	12.4969	0.775624
XM_026478295.3	6712	6587.72	12.1787	0.784447
XM_026478296.3	9714	9589.72	0	0
XM_026478297.3	4637	4512.72	0.645908	0.0607336
XM_026478298.3	4580	4455.72	35.3987	3.37105
XM_026478299.3	9699	9574.72	0	0
XM_026478300.3	4622	4497.72	27.4369	2.58844
XM_026478303.3	9076	8951.72	4.39888	0.208513
XM_026478308.3	9177	9052.72	24.556	1.151
XM_026478309.3	1777	1652.72	23	5.90506
XM_026478311.3	1579	1454.72	28.0137	8.17121
XM_026478312.3	2647	2522.72	21	3.53221
XM_026478313.3	513	388.769	0	0
XM_026478317.3	5855	5730.72	41.3948	3.06501
XM_026478318.3	3547	3422.72	56	6.94245
XM_026478320.3	8741	8616.72	149.856	7.37953
