target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1430.3	0	0
XM_026478080.3	6046	5867.3	23.1299	1.99089
XM_026478083.3	2509	2330.3	0	0
XM_026478085.3	2434	2255.3	1	0.223927
XM_026478086.3	2425	2246.3	0	0
XM_026478087.3	2288	2109.3	0	0
XM_026478088.3	2224	2045.3	1	0.246919
XM_026478089.3	3098	2919.3	116.182	20.0989
XM_026478090.3	1357	1178.3	5	2.14301
XM_026478091.3	1312	1133.3	0	0
XM_026478092.3	1300	1121.3	0	0
XM_026478094.3	1697	1518.3	0	0
XM_026478095.3	3596	3417.3	9.74979	1.44086
XM_026478097.3	993	814.303	0	0
XM_026478098.3	10841	10662.3	2.73751	0.129663
XM_026478099.3	2079	1900.3	0.309853	0.0823462
XM_026478100.3	7847	7668.3	86.7839	5.71546
XM_026478101.3	6255	6076.3	17.2161	1.43089
XM_026478102.3	4900	4721.3	1	0.106967
XM_026478103.3	1628	1449.3	0	0
XM_026478105.3	4341	4162.3	4	0.485331
XM_026478106.1	1359	1180.3	0	0
XM_026478107.1	1359	1180.3	0	0
XM_026478108.3	4405	4226.3	13.5756	1.62222
XM_026478109.3	4078	3899.3	6.42442	0.832067
XM_026478110.3	4041	3862.3	0	0
XM_026478114.3	3144	2965.3	0	0
XM_026478122.3	5800	5621.3	0	0
XM_026478124.3	5185	5006.3	44.5231	4.49138
XM_026478126.3	4573	4394.3	33.1442	3.80916
XM_026478127.3	1566	1387.3	21	7.64468
XM_026478128.3	1294	1115.3	44	19.9238
XM_026478129.3	1343	1164.3	12	5.20507
XM_026478130.3	1386	1207.3	0	0
XM_026478131.3	1762	1583.3	0	0
XM_026478132.3	1759	1580.3	0	0
XM_026478133.2	3175	2996.3	1513.19	255.047
XM_026478135.3	3662	3483.3	8	1.15987
XM_026478136.3	3554	3375.3	132	19.7502
XM_026478139.3	2722	2543.3	11.8102	2.34516
XM_026478140.3	2348	2169.3	0	0
XM_026478142.3	4236	4057.3	2.92159	0.363658
XM_026478143.3	338	165.02	12	36.7246
XM_026478144.3	8601	8422.3	5.86811	0.351867
XM_026478146.3	3833	3654.3	0	0
XM_026478150.3	2311	2132.3	27	6.39479
XM_026478151.3	6755	6576.3	10.9414	0.84024
XM_026478153.3	7000	6821.3	62.0556	4.59436
XM_026478159.3	2152	1973.3	1.1145	0.285231
XM_026478163.3	9279	9100.3	5.10254	0.283166
XM_026478165.3	2434	2255.3	135.757	30.3996
XM_026478167.3	1687	1508.3	0	0
XM_026478168.3	2138	1959.3	35	9.02148
XM_026478169.3	9315	9136.3	323.342	17.8732
XM_026478170.3	3852	3673.3	26.5297	3.64743
XM_026478173.3	4464	4285.3	5.03347	0.593195
XM_026478174.3	5197	5018.3	55.9625	5.63185
XM_026478175.3	8598	8419.3	26.1822	1.57051
XM_026478176.3	11857	11678.3	0.386002	0.0166925
XM_026478179.3	8427	8248.3	219.128	13.4167
XM_026478180.3	843	664.303	510	387.717
XM_026478181.3	2987	2808.3	18	3.23698
XM_026478182.3	8430	8251.3	53.7313	3.28864
XM_026478183.3	10477	10298.3	41	2.01062
XM_026478185.3	3015	2836.3	0	0
XM_026478189.3	2391	2212.3	220.847	50.4148
XM_026478191.3	6588	6409.3	0	0
XM_026478192.3	6767	6588.3	0	0
XM_026478193.3	6597	6418.3	0	0
XM_026478194.3	6585	6406.3	0	0
XM_026478195.3	5023	4844.3	15.8687	1.65433
XM_026478196.3	6484	6305.3	0	0
XM_026478199.3	4589	4410.3	111.973	12.822
XM_026478200.3	4000	3821.3	140	18.5024
XM_026478202.3	21305	21126.3	0	0
XM_026478203.3	4061	3882.3	31.7481	4.1299
XM_026478206.2	939	760.303	0	0
XM_026478207.3	1835	1656.3	0	0
XM_026478208.3	1465	1286.3	1016	398.898
XM_026478212.3	5507	5328.3	26.9375	2.55317
XM_026478213.3	1113	934.303	0	0
XM_026478215.3	1955	1776.3	0	0
XM_026478216.3	3721	3542.3	0	0
XM_026478217.3	1659	1480.3	0	0
XM_026478218.3	4039	3860.3	0	0
XM_026478219.3	6333	6154.3	172	14.1143
XM_026478220.3	4558	4379.3	4	0.461282
XM_026478221.1	1824	1645.3	0	0
XM_026478223.3	7229	7050.3	24.0923	1.72576
XM_026478225.3	4249	4070.3	0	0
XM_026478230.1	882	703.303	0	0
XM_026478231.3	2913	2734.3	0	0
XM_026478232.3	4392	4213.3	265.946	31.8773
XM_026478237.3	4071	3892.3	5.52361	0.716684
XM_026478240.3	2392	2213.3	2.44204	0.557215
XM_026478241.3	4790	4611.3	18.4721	2.02304
XM_026478243.3	7888	7709.3	41.7966	2.73802
XM_026478244.3	2279	2100.3	0	0
XM_026478256.3	15206	15027.3	0.0488964	0.00164326
XM_026478257.3	2506	2327.3	18.033	3.91315
XM_026478258.3	2525	2346.3	30.2583	6.51287
XM_026478259.3	6504	6325.3	95.5569	7.62943
XM_026478260.3	2509	2330.3	36.0563	7.81412
XM_026478261.3	2458	2279.3	131.892	29.2231
XM_026478262.3	3255	3076.3	0	0
XM_026478263.3	2242	2063.3	5	1.22382
XM_026478265.3	5688	5509.3	37.6194	3.44847
XM_026478267.3	6675	6496.3	0	0
XM_026478270.3	1033	854.303	40	23.6461
XM_026478271.3	1861	1682.3	70.1248	21.0513
XM_026478272.3	4162	3983.3	54.9285	6.96411
XM_026478273.3	930	751.303	618	415.417
XM_026478274.3	1809	1630.3	4	1.23909
XM_026478276.3	5005	4826.3	0	0
XM_026478278.3	5047	4868.3	0	0
XM_026478279.3	5035	4856.3	9.43887	0.981579
XM_026478280.3	4894	4715.3	4.24799e-08	4.54973e-09
XM_026478282.3	8406	8227.3	3.17758	0.195052
XM_026478283.3	8394	8215.3	0.000171163	1.0522e-05
XM_026478284.3	8294	8115.3	15.2536	0.949248
XM_026478285.3	8279	8100.3	0.00111494	6.95123e-05
XM_026478290.3	4690	4511.3	22	2.46282
XM_026478291.3	7074	6895.3	16.5729	1.21382
XM_026478292.3	6933	6754.3	10.541	0.788153
XM_026478293.3	6961	6782.3	21.8864	1.6297
XM_026478295.3	6712	6533.3	4.99975	0.38648
XM_026478296.3	9714	9535.3	0	0
XM_026478297.3	4637	4458.3	0	0
XM_026478298.3	4580	4401.3	83.6612	9.59962
XM_026478299.3	9699	9520.3	24.1458	1.28086
XM_026478300.3	4622	4443.3	0	0
XM_026478303.3	9076	8897.3	19.6368	1.11461
XM_026478308.3	9177	8998.3	23.8532	1.33874
XM_026478309.3	1777	1598.3	76	24.0141
XM_026478311.3	1579	1400.3	19	6.8524
XM_026478312.3	2647	2468.3	10	2.04603
XM_026478313.3	513	334.501	0	0
