target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1487.16	14.408	3.98672
XM_026478080.3	6046	5924.16	0	0
XM_026478083.3	2509	2387.16	0	0
XM_026478085.3	2434	2312.16	5	0.889859
XM_026478086.3	2425	2303.16	30	5.36002
XM_026478087.3	2288	2166.16	0	0
XM_026478088.3	2224	2102.16	0	0
XM_026478089.3	3098	2976.16	15.0305	2.07819
XM_026478090.3	1357	1235.16	0	0
XM_026478091.3	1312	1190.16	0	0
XM_026478092.3	1300	1178.16	35	12.2245
XM_026478094.3	1697	1575.16	0	0
XM_026478095.3	3596	3474.16	4.95601	0.587017
XM_026478097.3	993	871.16	0	0
XM_026478098.3	10841	10719.2	8.75178	0.335973
XM_026478099.3	2079	1957.16	0.332409	0.0698901
XM_026478100.3	7847	7725.16	29.7595	1.58521
XM_026478101.3	6255	6133.16	8.24046	0.552887
XM_026478102.3	4900	4778.16	7.25503	0.624809
XM_026478103.3	1628	1506.16	4.03716e-06	1.103e-06
XM_026478105.3	4341	4219.16	4	0.390124
XM_026478106.1	1359	1237.16	0	0
XM_026478107.1	1359	1237.16	0	0
XM_026478108.3	4405	4283.16	20	1.92147
XM_026478109.3	4078	3956.16	0	0
XM_026478110.3	4041	3919.16	0	0
XM_026478114.3	3144	3022.16	2.13736	0.291024
XM_026478122.3	5800	5678.16	0	0
XM_026478124.3	5185	5063.16	4.76015	0.386872
XM_026478126.3	4573	4451.16	22.2343	2.05551
XM_026478127.3	1566	1444.16	135	38.4669
XM_026478128.3	1294	1172.16	48.963	17.189
XM_026478129.3	1343	1221.16	53.7506	18.1126
XM_026478130.3	1386	1264.16	11.2494	3.66181
XM_026478131.3	1762	1640.16	0	0
XM_026478132.3	1759	1637.16	0	0
XM_026478133.2	3175	3053.16	713.856	96.2122
XM_026478135.3	3662	3540.16	2	0.232475
XM_026478136.3	3554	3432.16	28	3.35706
XM_026478139.3	2722	2600.16	13.749	2.1759
XM_026478140.3	2348	2226.16	49.0945	9.07498
XM_026478142.3	4236	4114.16	0	0
XM_026478143.3	338	216.549	106	201.427
XM_026478144.3	8601	8479.16	3.55669	0.172609
XM_026478146.3	3833	3711.16	26.5238	2.941
XM_026478150.3	2311	2189.16	270	50.7522
XM_026478151.3	6755	6633.16	0	0
XM_026478153.3	7000	6878.16	1.28079e-08	7.66259e-10
XM_026478159.3	2152	2030.16	0	0
XM_026478163.3	9279	9157.16	0.415403	0.0186671
XM_026478165.3	2434	2312.16	133.817	23.8156
XM_026478167.3	1687	1565.16	0	0
XM_026478168.3	2138	2016.16	6	1.2246
XM_026478169.3	9315	9193.16	109	4.879
XM_026478170.3	3852	3730.16	11.0441	1.21835
XM_026478173.3	4464	4342.16	0	0
XM_026478174.3	5197	5075.16	2.07749	0.168445
XM_026478175.3	8598	8476.16	379.157	18.4073
XM_026478176.3	11857	11735.2	12.8916	0.452051
XM_026478179.3	8427	8305.16	997.815	49.4392
XM_026478180.3	843	721.16	0	0
XM_026478181.3	2987	2865.16	22	3.15968
XM_026478182.3	8430	8308.16	0.0275454	0.00136431
XM_026478183.3	10477	10355.2	27	1.07294
XM_026478185.3	3015	2893.16	0	0
XM_026478189.3	2391	2269.16	0	0
XM_026478191.3	6588	6466.16	0	0
XM_026478192.3	6767	6645.16	0	0
XM_026478193.3	6597	6475.16	0	0
XM_026478194.3	6585	6463.16	15.7006	0.999634
XM_026478195.3	5023	4901.16	1.5579	0.130801
XM_026478196.3	6484	6362.16	0	0
XM_026478199.3	4589	4467.16	64.8494	5.9737
XM_026478200.3	4000	3878.16	277	29.3916
XM_026478202.3	21305	21183.2	0	0
XM_026478203.3	4061	3939.16	15.6861	1.63863
XM_026478206.2	939	817.16	0	0
XM_026478207.3	1835	1713.16	3	0.720597
XM_026478208.3	1465	1343.16	226	69.2388
XM_026478212.3	5507	5385.16	1.01187	0.0773203
XM_026478213.3	1113	991.16	0	0
XM_026478215.3	1955	1833.16	0	0
XM_026478216.3	3721	3599.16	135.591	15.5024
XM_026478217.3	1659	1537.16	13.4094	3.5897
XM_026478218.3	4039	3917.16	2	0.210101
XM_026478219.3	6333	6211.16	95	6.2939
XM_026478220.3	4558	4436.16	2	0.18552
XM_026478221.1	1824	1702.16	0	0
XM_026478223.3	7229	7107.16	73.1653	4.23621
XM_026478225.3	4249	4127.16	105.962	10.5649
XM_026478230.1	882	760.16	0	0
XM_026478231.3	2913	2791.16	0	0
XM_026478232.3	4392	4270.16	79	7.61293
XM_026478237.3	4071	3949.16	1.98248	0.206573
XM_026478240.3	2392	2270.16	0	0
XM_026478241.3	4790	4668.16	6.02519	0.531121
XM_026478243.3	7888	7766.16	7.93402	0.420393
XM_026478244.3	2279	2157.16	0	0
XM_026478256.3	15206	15084.2	4.53172e-06	1.23626e-07
XM_026478257.3	2506	2384.16	0	0
XM_026478258.3	2525	2403.16	7.08897	1.21386
XM_026478259.3	6504	6382.16	171.779	11.0757
XM_026478260.3	2509	2387.16	0	0
XM_026478261.3	2458	2336.16	0	0
XM_026478262.3	3255	3133.16	0	0
XM_026478263.3	2242	2120.16	16	3.10542
XM_026478265.3	5688	5566.16	3.00406	0.222087
XM_026478267.3	6675	6553.16	36.7747	2.30923
XM_026478270.3	1033	911.16	32	14.4519
XM_026478271.3	1861	1739.16	89.3018	21.1295
XM_026478272.3	4162	4040.16	59.6982	6.08039
XM_026478273.3	930	808.16	138	70.2669
XM_026478274.3	1809	1687.16	0	0
XM_026478276.3	5005	4883.16	0	0
