target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1431.88	403.329	28.4444
XM_026478080.3	6046	5868.88	8.10364	0.139434
XM_026478083.3	2509	2331.88	0	0
XM_026478085.3	2434	2256.88	0	0
XM_026478086.3	2425	2247.88	482.86	21.6917
XM_026478087.3	2288	2110.88	14.3211	0.685103
XM_026478088.3	2224	2046.88	79.8187	3.93783
XM_026478089.3	3098	2920.88	216.761	7.49396
XM_026478090.3	1357	1179.88	18.6049	1.59234
XM_026478091.3	1312	1134.88	0	0
XM_026478092.3	1300	1122.88	80.3951	7.23005
XM_026478094.3	1697	1519.88	0	0
XM_026478095.3	3596	3418.88	171.057	5.05243
XM_026478097.3	993	815.877	0	0
XM_026478098.3	10841	10663.9	9.4221	0.089223
XM_026478099.3	2079	1901.88	3.12328	0.165834
XM_026478100.3	7847	7669.88	368.533	4.85212
XM_026478101.3	6255	6077.88	88.4673	1.46986
XM_026478102.3	4900	4722.88	28.2088	0.603146
XM_026478103.3	1628	1450.88	23.7912	1.65588
XM_026478105.3	4341	4163.88	89	2.15842
XM_026478106.1	1359	1181.88	0	0
XM_026478107.1	1359	1181.88	0	0
XM_026478108.3	4405	4227.88	66.9077	1.59808
XM_026478109.3	4078	3900.88	92.9543	2.40631
XM_026478110.3	4041	3863.88	52.1381	1.36262
XM_026478114.3	3144	2966.88	24.3427	0.82854
XM_026478122.3	5800	5622.88	0	0
XM_026478124.3	5185	5007.88	4.65646	0.0938958
XM_026478126.3	4573	4395.88	46.2935	1.06345
XM_026478127.3	1566	1388.88	573	41.6615
XM_026478128.3	1294	1116.88	714.821	64.6303
XM_026478129.3	1343	1165.88	140.829	12.1979
XM_026478130.3	1386	1208.88	90.1708	7.5323
XM_026478131.3	1762	1584.88	133.872	8.5298
XM_026478132.3	1759	1581.88	41.1278	2.62547
XM_026478133.2	3175	2997.88	27200.2	916.226
XM_026478135.3	3662	3484.88	22	0.637499
XM_026478136.3	3554	3376.88	803	24.0129
XM_026478139.3	2722	2544.88	76.3412	3.02926
XM_026478140.3	2348	2170.88	83.6568	3.89144
XM_026478142.3	4236	4058.88	0	0
XM_026478143.3	338	168.357	286	171.545
XM_026478144.3	8601	8423.88	12.3745	0.148341
XM_026478146.3	3833	3655.88	80.4972	2.22348
XM_026478150.3	2311	2133.88	336	15.9006
XM_026478151.3	6755	6577.88	13.9097	0.213538
XM_026478153.3	7000	6822.88	12	0.177606
