target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1477.63	0	0
XM_026478080.3	6046	5914.63	0	0
XM_026478083.3	2509	2377.63	0	0
XM_026478085.3	2434	2302.63	2	0.382381
XM_026478086.3	2425	2293.63	31	5.95016
XM_026478087.3	2288	2156.63	0	0
XM_026478088.3	2224	2092.63	0	0
XM_026478089.3	3098	2966.63	9.57523	1.42094
XM_026478090.3	1357	1225.63	0	0
XM_026478091.3	1312	1180.63	0	0
XM_026478092.3	1300	1168.63	38	14.3151
XM_026478094.3	1697	1565.63	0	0
XM_026478095.3	3596	3464.63	0	0
XM_026478097.3	993	861.635	2.18794	1.1179
XM_026478098.3	10841	10709.6	12.4783	0.512944
XM_026478099.3	2079	1947.63	0.283492	0.0640803
XM_026478100.3	7847	7715.63	30	1.71175
XM_026478101.3	6255	6123.63	0	0
XM_026478102.3	4900	4768.63	4.10039	0.378549
XM_026478103.3	1628	1496.63	6.89961	2.02955
XM_026478105.3	4341	4209.63	3	0.313738
XM_026478106.1	1359	1227.63	0	0
XM_026478107.1	1359	1227.63	0	0
XM_026478108.3	4405	4273.63	4.83054	0.49761
XM_026478109.3	4078	3946.63	14.153	1.57874
XM_026478110.3	4041	3909.63	15.0165	1.69092
XM_026478114.3	3144	3012.63	0	0
XM_026478122.3	5800	5668.63	0	0
XM_026478124.3	5185	5053.63	2.3776	0.207121
XM_026478126.3	4573	4441.63	28	2.77528
XM_026478127.3	1566	1434.63	129	39.5858
XM_026478128.3	1294	1162.63	64.963	24.5988
XM_026478129.3	1343	1211.63	31.5805	11.4746
XM_026478130.3	1386	1254.63	15.4195	5.41059
XM_026478131.3	1762	1630.63	0	0
XM_026478132.3	1759	1627.63	0	0
XM_026478133.2	3175	3043.63	520.902	75.3449
XM_026478135.3	3662	3530.63	3	0.374076
XM_026478136.3	3554	3422.63	16	2.05802
XM_026478139.3	2722	2590.63	25.5032	4.3339
XM_026478140.3	2348	2216.63	47.6174	9.4572
XM_026478142.3	4236	4104.63	6.44154	0.690886
XM_026478143.3	338	208.438	84	177.416
XM_026478144.3	8601	8469.63	5.09359	0.264759
XM_026478146.3	3833	3701.63	31.6092	3.75933
XM_026478150.3	2311	2179.63	201	40.5979
XM_026478151.3	6755	6623.63	0	0
XM_026478153.3	7000	6868.63	45.7909	2.93494
XM_026478159.3	2152	2020.63	0	0
XM_026478163.3	9279	9147.63	0.394236	0.0189731
XM_026478165.3	2434	2302.63	130	24.8547
XM_026478167.3	1687	1555.63	0	0
XM_026478168.3	2138	2006.63	4	0.877572
XM_026478169.3	9315	9183.63	189	9.06021
XM_026478170.3	3852	3720.63	10.8002	1.27793
XM_026478173.3	4464	4332.63	3	0.304832
XM_026478174.3	5197	5065.63	1	0.0869075
XM_026478175.3	8598	8466.63	502.314	26.1189
XM_026478176.3	11857	11725.6	13.9118	0.522321
XM_026478179.3	8427	8295.63	924.686	49.0722
XM_026478180.3	843	711.635	0	0
XM_026478181.3	2987	2855.63	31	4.77914
XM_026478182.3	8430	8298.63	4.64892e-05	2.46625e-06
XM_026478183.3	10477	10345.6	46	1.95745
XM_026478185.3	3015	2883.63	0	0
XM_026478189.3	2391	2259.63	0	0
XM_026478191.3	6588	6456.63	0	0
XM_026478192.3	6767	6635.63	0	0
XM_026478193.3	6597	6465.63	0	0
XM_026478194.3	6585	6453.63	0	0
XM_026478195.3	5023	4891.63	5.14248	0.462817
XM_026478196.3	6484	6352.63	0.119166	0.00825829
XM_026478199.3	4589	4457.63	63.3107	6.25264
XM_026478200.3	4000	3868.63	206	23.4423
XM_026478202.3	21305	21173.6	0	0
XM_026478203.3	4061	3929.63	23.9992	2.68866
XM_026478206.2	939	807.635	0	0
XM_026478207.3	1835	1703.63	0	0
XM_026478208.3	1465	1333.63	201	66.3514
XM_026478212.3	5507	5375.63	1	0.0818957
XM_026478213.3	1113	981.635	0	0
XM_026478215.3	1955	1823.63	0	0
XM_026478216.3	3721	3589.63	141.971	17.4116
XM_026478217.3	1659	1527.63	0	0
XM_026478218.3	4039	3907.63	2	0.225324
XM_026478219.3	6333	6201.63	101	7.16978
XM_026478220.3	4558	4426.63	0	0
XM_026478221.1	1824	1692.63	0	0
XM_026478223.3	7229	7097.63	55.9862	3.47263
XM_026478225.3	4249	4117.63	55.1709	5.89866
XM_026478230.1	882	750.635	0	0
XM_026478231.3	2913	2781.63	0	0
XM_026478232.3	4392	4260.63	58.0408	5.99722
XM_026478237.3	4071	3939.63	40.0327	4.47352
XM_026478240.3	2392	2260.63	0	0
XM_026478241.3	4790	4658.63	1.14738	0.108428
XM_026478243.3	7888	7756.63	9.75368	0.553587
