target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1479.13	0	0
XM_026478080.3	6046	5916.13	0	0
XM_026478083.3	2509	2379.13	0	0
XM_026478085.3	2434	2304.13	0	0
XM_026478086.3	2425	2295.13	0	0
XM_026478087.3	2288	2158.13	0	0
XM_026478088.3	2224	2094.13	17	3.59193
XM_026478089.3	3098	2968.13	8.70496	1.29768
XM_026478090.3	1357	1227.13	0	0
XM_026478091.3	1312	1182.13	0	0
XM_026478092.3	1300	1170.13	39	14.7474
XM_026478094.3	1697	1567.13	0	0
XM_026478095.3	3596	3466.13	3	0.382965
XM_026478097.3	993	863.126	0	0
XM_026478098.3	10841	10711.1	0	0
XM_026478099.3	2079	1949.13	0.33697	0.0764952
XM_026478100.3	7847	7717.13	0	0
XM_026478101.3	6255	6125.13	15	1.08357
XM_026478102.3	4900	4770.13	2.7622	0.256217
XM_026478103.3	1628	1498.13	8.2378	2.43302
XM_026478105.3	4341	4211.13	4	0.420285
XM_026478106.1	1359	1229.13	0	0
XM_026478107.1	1359	1229.13	0	0
XM_026478108.3	4405	4275.13	4.56528	0.472498
XM_026478109.3	4078	3948.13	19.4347	2.17806
XM_026478110.3	4041	3911.13	0	0
XM_026478114.3	3144	3014.13	6.18788	0.908369
XM_026478122.3	5800	5670.13	0	0
XM_026478124.3	5185	5055.13	1.33316	0.116689
XM_026478126.3	4573	4443.13	11.9981	1.19483
XM_026478127.3	1566	1436.13	149	45.9067
XM_026478128.3	1294	1164.13	28.8777	10.976
XM_026478129.3	1343	1213.13	44.7105	16.3074
XM_026478130.3	1386	1256.13	8.28953	2.91997
XM_026478131.3	1762	1632.13	0	0
XM_026478132.3	1759	1629.13	0	0
XM_026478133.2	3175	3045.13	192.094	27.9119
XM_026478135.3	3662	3532.13	0	0
XM_026478136.3	3554	3424.13	9	1.16299
XM_026478139.3	2722	2592.13	0	0
XM_026478140.3	2348	2218.13	54.0312	10.7781
XM_026478142.3	4236	4106.13	0	0
XM_026478143.3	338	208.726	112	237.423
XM_026478144.3	8601	8471.13	0	0
XM_026478146.3	3833	3703.13	5.75763	0.687951
XM_026478150.3	2311	2181.13	245	49.7013
XM_026478151.3	6755	6625.13	0	0
XM_026478153.3	7000	6870.13	91.6016	5.89957
XM_026478159.3	2152	2022.13	0	0
XM_026478163.3	9279	9149.13	0	0
XM_026478165.3	2434	2304.13	162	31.1093
XM_026478167.3	1687	1557.13	0	0
XM_026478168.3	2138	2008.13	10	2.20339
XM_026478169.3	9315	9185.13	62	2.98668
XM_026478170.3	3852	3722.13	10.6347	1.2642
XM_026478173.3	4464	4334.13	0	0
XM_026478174.3	5197	5067.13	0	0
XM_026478175.3	8598	8468.13	321.928	16.8211
XM_026478176.3	11857	11727.1	17.842	0.673185
XM_026478179.3	8427	8297.13	885.425	47.2179
XM_026478180.3	843	713.206	0	0
XM_026478181.3	2987	2857.13	56	8.67243
XM_026478182.3	8430	8300.13	436.647	23.277
XM_026478183.3	10477	10347.1	42	1.79602
XM_026478185.3	3015	2885.13	0	0
XM_026478189.3	2391	2261.13	0	0
XM_026478191.3	6588	6458.13	0	0
XM_026478192.3	6767	6637.13	0	0
XM_026478193.3	6597	6467.13	0	0
XM_026478194.3	6585	6455.13	0	0
XM_026478195.3	5023	4893.13	1.55535	0.140645
XM_026478196.3	6484	6354.13	0	0
XM_026478199.3	4589	4459.13	0.0917105	0.00910021
XM_026478200.3	4000	3870.13	279	31.8978
XM_026478202.3	21305	21175.1	0	0
XM_026478203.3	4061	3931.13	10.0785	1.13439
XM_026478206.2	939	809.126	0	0
XM_026478207.3	1835	1705.13	1	0.259493
XM_026478208.3	1465	1335.13	179	59.3216
XM_026478212.3	5507	5377.13	0	0
XM_026478213.3	1113	983.126	0	0
XM_026478215.3	1955	1825.13	0	0
XM_026478216.3	3721	3591.13	8.09599	0.99752
XM_026478217.3	1659	1529.13	0	0
XM_026478218.3	4039	3909.13	2	0.226377
XM_026478219.3	6333	6203.13	72	5.13575
XM_026478220.3	4558	4428.13	2	0.199844
XM_026478221.1	1824	1694.13	0	0
XM_026478223.3	7229	7099.13	1.76105e-08	1.09761e-09
XM_026478225.3	4249	4119.13	100.695	10.8164
XM_026478230.1	882	752.206	0	0
XM_026478231.3	2913	2783.13	0	0
XM_026478232.3	4392	4262.13	55.0342	5.71332
XM_026478237.3	4071	3941.13	53.2541	5.97881
XM_026478240.3	2392	2262.13	0	0
XM_026478241.3	4790	4660.13	8.91103	0.846082
XM_026478243.3	7888	7758.13	12.4575	0.710488
XM_026478244.3	2279	2149.13	2.49084	0.51282
XM_026478256.3	15206	15076.1	0.00814815	0.00023914
XM_026478257.3	2506	2376.13	0	0
XM_026478258.3	2525	2395.13	15.0236	2.77542
XM_026478259.3	6504	6374.13	146.633	10.1787
XM_026478260.3	2509	2379.13	0	0
XM_026478261.3	2458	2328.13	0	0
XM_026478262.3	3255	3125.13	0	0
XM_026478263.3	2242	2112.13	10	2.0949
XM_026478265.3	5688	5558.13	11.5665	0.920777
XM_026478267.3	6675	6545.13	28.3486	1.91644
XM_026478270.3	1033	903.126	40	19.5972
XM_026478271.3	1861	1731.13	56.2103	14.3671
XM_026478272.3	4162	4032.13	29.7897	3.269
XM_026478273.3	930	800.206	117	64.6943
XM_026478274.3	1809	1679.13	2	0.527022
XM_026478276.3	5005	4875.13	0	0
XM_026478278.3	5047	4917.13	0	0
XM_026478279.3	5035	4905.13	0	0
XM_026478280.3	4894	4764.13	2.19261	0.203639
