target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1476.32	0	0
XM_026478080.3	6046	5913.32	0	0
XM_026478083.3	2509	2376.32	0	0
XM_026478085.3	2434	2301.32	2	0.384472
XM_026478086.3	2425	2292.32	17	3.28084
XM_026478087.3	2288	2155.32	0	0
XM_026478088.3	2224	2091.32	0	0
XM_026478089.3	3098	2965.32	19.075	2.8458
XM_026478090.3	1357	1224.32	0	0
XM_026478091.3	1312	1179.32	0	0
XM_026478092.3	1300	1167.32	14	5.3058
XM_026478094.3	1697	1564.32	3.25818	0.921428
XM_026478095.3	3596	3463.32	2.62827	0.335729
XM_026478097.3	993	860.316	0.742451	0.381786
XM_026478098.3	10841	10708.3	3.7589	0.155293
XM_026478099.3	2079	1946.32	0.726061	0.165033
XM_026478100.3	7847	7714.32	26	1.49103
XM_026478101.3	6255	6122.32	0	0
XM_026478102.3	4900	4767.32	5.46603	0.507234
XM_026478103.3	1628	1495.32	1.04929e-07	3.10436e-08
XM_026478105.3	4341	4208.32	3	0.315373
XM_026478106.1	1359	1226.32	0	0
XM_026478107.1	1359	1226.32	0	0
XM_026478108.3	4405	4272.32	21.031	2.17774
XM_026478109.3	4078	3945.32	13.969	1.56638
XM_026478110.3	4041	3908.32	0	0
XM_026478114.3	3144	3011.32	0	0
XM_026478122.3	5800	5667.32	0	0
XM_026478124.3	5185	5052.32	0	0
XM_026478126.3	4573	4440.32	5.24591	0.522659
XM_026478127.3	1566	1433.32	67	20.6797
XM_026478128.3	1294	1161.32	33	12.5711
XM_026478129.3	1343	1210.32	39.9087	14.5875
XM_026478130.3	1386	1253.32	12.0913	4.26799
XM_026478131.3	1762	1629.32	0	0
XM_026478132.3	1759	1626.32	0	0
XM_026478133.2	3175	3042.32	609.432	88.62
XM_026478135.3	3662	3529.32	2	0.250698
XM_026478136.3	3554	3421.32	24	3.10334
XM_026478139.3	2722	2589.32	10.2573	1.75251
XM_026478140.3	2348	2215.32	74.4001	14.8576
XM_026478142.3	4236	4103.32	0	0
XM_026478143.3	338	205.82	75	161.207
XM_026478144.3	8601	8468.32	5.32822	0.278353
XM_026478146.3	3833	3700.32	22.131	2.6459
XM_026478150.3	2311	2178.32	135	27.4172
XM_026478151.3	6755	6622.32	0	0
XM_026478153.3	7000	6867.32	45.7821	2.94931
XM_026478159.3	2152	2019.32	0	0
XM_026478163.3	9279	9146.32	0.396564	0.0191813
XM_026478165.3	2434	2301.32	110	21.146
XM_026478167.3	1687	1554.32	0	0
XM_026478168.3	2138	2005.32	4	0.882446
XM_026478169.3	9315	9182.32	126	6.07057
XM_026478170.3	3852	3719.32	17.8946	2.12848
XM_026478173.3	4464	4331.32	0	0
XM_026478174.3	5197	5064.32	5.52516	0.482653
XM_026478175.3	8598	8465.32	363.435	18.9931
XM_026478176.3	11857	11724.3	24.9783	0.942511
XM_026478179.3	8427	8294.32	535.756	28.5757
XM_026478180.3	843	710.316	0	0
XM_026478181.3	2987	2854.32	21	3.25483
XM_026478182.3	8430	8297.32	127.809	6.81449
XM_026478183.3	10477	10344.3	50	2.13835
XM_026478185.3	3015	2882.32	0	0
XM_026478189.3	2391	2258.32	0	0
XM_026478191.3	6588	6455.32	0	0
XM_026478192.3	6767	6634.32	0	0
XM_026478193.3	6597	6464.32	0	0
XM_026478194.3	6585	6452.32	0	0
XM_026478195.3	5023	4890.32	13.9901	1.2656
XM_026478196.3	6484	6351.32	0.160145	0.0111548
XM_026478199.3	4589	4456.32	0.310057	0.0307805
XM_026478200.3	4000	3867.32	266	30.4287
XM_026478202.3	21305	21172.3	16.1217	0.336862
XM_026478203.3	4061	3928.32	28.2918	3.18614
XM_026478206.2	939	806.316	0	0
XM_026478207.3	1835	1702.32	4	1.03951
XM_026478208.3	1465	1332.32	203	67.4062
XM_026478212.3	5507	5374.32	5	0.411583
XM_026478213.3	1113	980.316	0	0
XM_026478215.3	1955	1822.32	0	0
XM_026478216.3	3721	3588.32	50.4661	6.22186
XM_026478217.3	1659	1526.32	8.53387	2.4735
XM_026478218.3	4039	3906.32	0	0
XM_026478219.3	6333	6200.32	114	8.13396
XM_026478220.3	4558	4425.32	1	0.0999693
XM_026478221.1	1824	1691.32	0	0
XM_026478223.3	7229	7096.32	59.7464	3.72469
XM_026478225.3	4249	4116.32	41.3068	4.4394
XM_026478230.1	882	749.316	0	0
XM_026478231.3	2913	2780.32	0	0
XM_026478232.3	4392	4259.32	99.396	10.3238
XM_026478237.3	4071	3938.32	0	0
XM_026478240.3	2392	2259.32	6.00249	1.17535
XM_026478241.3	4790	4657.32	0	0
XM_026478243.3	7888	7755.32	23.2839	1.32821
XM_026478244.3	2279	2146.32	0	0
XM_026478256.3	15206	15073.3	8.39992e-05	2.46534e-06
XM_026478257.3	2506	2373.32	29.6175	5.52082
XM_026478258.3	2525	2392.32	0	0
XM_026478259.3	6504	6371.32	175.793	12.2062
XM_026478260.3	2509	2376.32	0	0
XM_026478261.3	2458	2325.32	0.0464301	0.00883341
XM_026478262.3	3255	3122.32	4.81817	0.682678
XM_026478263.3	2242	2109.32	26	5.45309
XM_026478265.3	5688	5555.32	0	0
XM_026478267.3	6675	6542.32	0	0
XM_026478270.3	1033	900.316	48	23.5862
XM_026478271.3	1861	1728.32	78.711	20.1476
XM_026478272.3	4162	4029.32	61.289	6.72918
XM_026478273.3	930	797.316	134	74.3507
XM_026478274.3	1809	1676.32	2	0.527819
XM_026478276.3	5005	4872.32	0	0
XM_026478278.3	5047	4914.32	0	0
XM_026478279.3	5035	4902.32	0	0
XM_026478280.3	4894	4761.32	4.39619	0.40847
XM_026478282.3	8406	8273.32	0	0
XM_026478283.3	8394	8261.32	0	0
XM_026478284.3	8294	8161.32	7.92735e-08	4.29713e-09
XM_026478285.3	8279	8146.32	1.63175e-07	8.8614e-09
XM_026478290.3	4690	4557.32	28	2.71807
XM_026478291.3	7074	6941.32	68	4.33389
XM_026478292.3	6933	6800.32	0	0
XM_026478293.3	6961	6828.32	0	0
XM_026478295.3	6712	6579.32	0	0
XM_026478296.3	9714	9581.32	0	0
XM_026478297.3	4637	4504.32	0.931305	0.091469
XM_026478298.3	4580	4447.32	0.0119328	0.00118701
XM_026478299.3	9699	9566.32	0	0
XM_026478300.3	4622	4489.32	66.3661	6.53999
XM_026478303.3	9076	8943.32	3	0.1484
XM_026478308.3	9177	9044.32	21.7278	1.0628
XM_026478309.3	1777	1644.32	13	3.49759
XM_026478311.3	1579	1446.32	20.2909	6.20653
XM_026478312.3	2647	2514.32	6	1.0557
XM_026478313.3	513	380.478	0	0
XM_026478317.3	5855	5722.32	45.3966	3.50964
XM_026478318.3	3547	3414.32	26	3.36884
XM_026478320.3	8741	8608.32	209.085	10.7452
XM_026478321.3	3804	3671.32	414	49.8872
XM_026478322.3	2471	2338.32	0	0
XM_026478323.3	2809	2676.32	0	0
XM_026478326.3	5940	5807.32	0	0
XM_026478327.3	2519	2386.32	0	0
XM_026478328.3	9165	9032.32	0	0
XM_026478329.3	6861	6728.32	0	0
XM_026478331.3	1885	1752.32	21	5.30173
XM_026478335.3	2818	2685.32	26	4.2834
XM_026478337.3	3820	3687.32	0	0
XM_026478339.3	11121	10988.3	6.91535	0.278416
XM_026478340.3	11278	11145.3	0	0
XM_026478341.3	6045	5912.32	0	0
XM_026478347.3	3434	3301.32	0	0
XM_026478348.3	907	774.316	92	52.563
XM_026478350.3	3299	3166.32	0	0
XM_026478352.3	1414	1281.32	0	0
XM_026478353.3	1391	1258.32	8	2.81262
XM_026478355.3	1613	1480.32	64	19.1265
XM_026478356.3	1219	1086.32	0	0
XM_026478358.3	1976	1843.32	30.3342	7.2802
XM_026478361.3	335	202.84	1.66582	3.63316
XM_026478362.3	1440	1307.32	4110	1390.82
XM_026478365.3	1806	1673.32	0	0
