target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1488.92	12	3.47434
XM_026478080.3	6046	5925.92	2.00087	0.145554
XM_026478083.3	2509	2388.92	7	1.26316
XM_026478085.3	2434	2313.92	0	0
XM_026478086.3	2425	2304.92	25	4.6757
XM_026478087.3	2288	2167.92	0	0
XM_026478088.3	2224	2103.92	0	0
XM_026478089.3	3098	2977.92	17.2746	2.50068
XM_026478090.3	1357	1236.92	0	0
XM_026478091.3	1312	1191.92	0	0
XM_026478092.3	1300	1179.92	35	12.7873
XM_026478094.3	1697	1576.92	0.723816	0.19787
XM_026478095.3	3596	3475.92	3.34861	0.415296
XM_026478097.3	993	872.923	2.22119	1.09692
XM_026478098.3	10841	10720.9	0	0
XM_026478099.3	2079	1958.92	0	0
XM_026478100.3	7847	7726.92	33.9752	1.89548
XM_026478101.3	6255	6134.92	4.02484	0.282815
XM_026478102.3	4900	4779.92	4.35462	0.392729
XM_026478103.3	1628	1507.92	2.22382e-08	6.35746e-09
XM_026478105.3	4341	4220.92	2	0.204261
XM_026478106.1	1359	1238.92	0	0
XM_026478107.1	1359	1238.92	0	0
XM_026478108.3	4405	4284.92	8.20642	0.825608
XM_026478109.3	4078	3957.92	0	0
XM_026478110.3	4041	3920.92	24.7936	2.72593
XM_026478114.3	3144	3023.92	0	0
XM_026478122.3	5800	5679.92	0	0
XM_026478124.3	5185	5064.92	1.27195	0.108258
XM_026478126.3	4573	4452.92	37.404	3.62107
XM_026478127.3	1566	1445.92	174	51.8761
XM_026478128.3	1294	1173.92	61.9618	22.7535
XM_026478129.3	1343	1222.92	54.8398	19.3312
XM_026478130.3	1386	1265.92	7.16022	2.43827
XM_026478131.3	1762	1641.92	0	0
XM_026478132.3	1759	1638.92	0	0
XM_026478133.2	3175	3054.92	946.109	133.507
XM_026478135.3	3662	3541.92	2	0.243419
XM_026478136.3	3554	3433.92	53	6.65348
XM_026478139.3	2722	2601.92	11.7398	1.94505
XM_026478140.3	2348	2227.92	14.2153	2.75054
XM_026478142.3	4236	4115.92	0	0
XM_026478143.3	338	218.042	107	211.547
XM_026478144.3	8601	8480.92	5.33615	0.271237
XM_026478146.3	3833	3712.92	16.6388	1.93183
XM_026478150.3	2311	2190.92	176	34.6297
XM_026478151.3	6755	6634.92	0	0
XM_026478153.3	7000	6879.92	0	0
XM_026478159.3	2152	2031.92	0	0
XM_026478163.3	9279	9158.92	0	0
XM_026478165.3	2434	2313.92	40.5402	7.55266
XM_026478167.3	1687	1566.92	0	0
XM_026478168.3	2138	2017.92	8	1.70903
XM_026478169.3	9315	9194.92	110	5.15713
XM_026478170.3	3852	3731.92	3.60519	0.416446
XM_026478173.3	4464	4343.92	1	0.0992387
XM_026478174.3	5197	5076.92	3.73394	0.317051
XM_026478175.3	8598	8477.92	526.403	26.7665
XM_026478176.3	11857	11736.9	28.7813	1.05711
XM_026478179.3	8427	8306.92	670.793	34.8106
XM_026478180.3	843	722.923	0	0
XM_026478181.3	2987	2866.92	20	3.0073
XM_026478182.3	8430	8309.92	92.6558	4.80661
XM_026478183.3	10477	10356.9	229	9.53165
XM_026478185.3	3015	2894.92	0	0
XM_026478189.3	2391	2270.92	23	4.36605
XM_026478191.3	6588	6467.92	0	0
XM_026478192.3	6767	6646.92	0	0
XM_026478193.3	6597	6476.92	0	0
XM_026478194.3	6585	6464.92	0.124834	0.00832404
XM_026478195.3	5023	4902.92	6.23385	0.548106
XM_026478196.3	6484	6363.92	0	0
XM_026478199.3	4589	4468.92	145.901	14.074
XM_026478200.3	4000	3879.92	257	28.5544
XM_026478202.3	21305	21184.9	0	0
XM_026478203.3	4061	3940.92	12.6956	1.38874
XM_026478206.2	939	818.923	0	0
XM_026478207.3	1835	1714.92	1	0.251373
XM_026478208.3	1465	1344.92	342	109.621
XM_026478212.3	5507	5386.92	1	0.0800244
XM_026478213.3	1113	992.923	0	0
XM_026478215.3	1955	1834.92	0	0
XM_026478216.3	3721	3600.92	73.3852	8.78533
XM_026478217.3	1659	1538.92	18.0041	5.04334
XM_026478218.3	4039	3918.92	3	0.330003
XM_026478219.3	6333	6212.92	98	6.79976
XM_026478220.3	4558	4437.92	2	0.194273
XM_026478221.1	1824	1703.92	0	0
XM_026478223.3	7229	7108.92	123	7.45872
XM_026478225.3	4249	4128.92	78.473	8.19307
XM_026478230.1	882	761.923	0	0
XM_026478231.3	2913	2792.92	0	0
XM_026478232.3	4392	4271.92	53.1963	5.3681
XM_026478237.3	4071	3950.92	0	0
XM_026478240.3	2392	2271.92	0	0
XM_026478241.3	4790	4669.92	2.63848	0.243561
XM_026478243.3	7888	7767.92	17.6987	0.9822
XM_026478244.3	2279	2158.92	0	0
XM_026478256.3	15206	15085.9	0.0803588	0.00229628
XM_026478257.3	2506	2385.92	0	0
XM_026478258.3	2525	2404.92	0	0
XM_026478259.3	6504	6383.92	181.709	12.2702
XM_026478260.3	2509	2388.92	0	0
XM_026478261.3	2458	2337.92	14.8229	2.73317
XM_026478262.3	3255	3134.92	2.24075	0.308127
XM_026478263.3	2242	2121.92	11	2.23474
XM_026478265.3	5688	5567.92	8.40961	0.651098
XM_026478267.3	6675	6554.92	0	0
XM_026478270.3	1033	912.923	41	19.3603
XM_026478271.3	1861	1740.92	57.2411	14.174
XM_026478272.3	4162	4041.92	45.8745	4.89267
XM_026478273.3	930	809.923	192	102.193
XM_026478274.3	1809	1688.92	1.67386	0.42724
XM_026478276.3	5005	4884.92	0	0
XM_026478278.3	5047	4926.92	0	0
XM_026478279.3	5035	4914.92	0	0
XM_026478280.3	4894	4773.92	0	0
XM_026478282.3	8406	8285.92	0	0
XM_026478283.3	8394	8273.92	0	0
XM_026478284.3	8294	8173.92	0	0
XM_026478285.3	8279	8158.92	0	0
XM_026478290.3	4690	4569.92	52	4.90521
XM_026478291.3	7074	6953.92	44.8022	2.77736
XM_026478292.3	6933	6812.92	14.1978	0.898364
XM_026478293.3	6961	6840.92	0	0
XM_026478295.3	6712	6591.92	0	0
XM_026478296.3	9714	9593.92	0	0
XM_026478297.3	4637	4516.92	2.99821e-06	2.86143e-07
XM_026478298.3	4580	4459.92	40.0557	3.87168
XM_026478299.3	9699	9578.92	0	0
XM_026478300.3	4622	4501.92	0.000220454	2.11097e-05
XM_026478303.3	9076	8955.92	4.41776	0.212645
XM_026478308.3	9177	9056.92	12.2351	0.582359
XM_026478309.3	1777	1656.92	13	3.38224
XM_026478311.3	1579	1458.92	30.3942	8.98094
XM_026478312.3	2647	2526.92	29	4.94731
XM_026478313.3	513	392.923	0	0
XM_026478317.3	5855	5734.92	55.133	4.14426
XM_026478318.3	3547	3426.92	40	5.03175
XM_026478320.3	8741	8620.92	335.972	16.8001
XM_026478321.3	3804	3683.92	466	54.5304
XM_026478322.3	2471	2350.92	0	0
XM_026478323.3	2809	2688.92	0	0
XM_026478326.3	5940	5819.92	3.06187e-07	2.26795e-08
XM_026478327.3	2519	2398.92	0	0
XM_026478328.3	9165	9044.92	0	0
XM_026478329.3	6861	6740.92	0	0
XM_026478331.3	1885	1764.92	21	5.12928
XM_026478335.3	2818	2697.92	20	3.19568
XM_026478337.3	3820	3699.92	0	0
XM_026478339.3	11121	11000.9	11.2966	0.442672
XM_026478340.3	11278	11157.9	6.66778	0.257609
XM_026478341.3	6045	5924.92	0	0
XM_026478347.3	3434	3313.92	0	0
XM_026478348.3	907	786.923	107	58.6158
XM_026478350.3	3299	3178.92	24.8211	3.36592
XM_026478352.3	1414	1293.92	0	0
XM_026478353.3	1391	1270.92	14	4.74867
XM_026478355.3	1613	1492.92	54.2764	15.6725
XM_026478356.3	1219	1098.92	59.7236	23.4284
XM_026478358.3	1976	1855.92	18.6076	4.32209
XM_026478361.3	335	215.042	1.3924	2.79128
XM_026478362.3	1440	1319.92	3654	1193.39
XM_026478365.3	1806	1685.92	0	0
XM_026478366.3	2953	2832.92	15	2.28255
XM_026478368.3	1990	1869.92	27.1009	6.24774
XM_026478371.3	2783	2662.92	33.6215	5.4428
XM_026478372.3	2782	2661.92	118.378	19.1708
XM_026478373.3	3090	2969.92	0	0
XM_026478374.3	2298	2177.92	0	0
XM_026478375.3	2175	2054.92	0	0
XM_026478376.3	1983	1862.92	0	0
XM_026478377.2	1899	1778.92	0	0
XM_026478378.2	1782	1661.92	0	0
XM_026478379.3	1764	1643.92	0	0
XM_026478380.3	605	484.923	44	39.115
XM_026478382.3	1944	1823.92	14.7091	3.47649
XM_026478383.3	1914	1793.92	0	0
XM_026478386.3	2059	1938.92	35.3311	7.85525
XM_026478387.3	5606	5485.92	5	0.392901
XM_026478388.3	5437	5316.92	0	0
XM_026478389.3	4186	4065.92	14	1.48434
XM_026478391.3	7161	7040.92	237	14.5105
XM_026478392.3	4871	4750.92	43	3.9017
XM_026478393.3	2107	1986.92	14	3.03746
XM_026478394.3	3354	3233.92	23	3.06592
XM_026478396.3	1980	1859.92	123	28.5084
XM_026478397.3	1470	1349.92	1	0.319341
XM_026478400.3	5098	4977.92	60	5.19597
XM_026478401.3	4206	4085.92	0	0
XM_026478403.2	1315	1194.92	0	0
XM_026478413.3	527	406.923	4701	4980.14
XM_026478414.3	5797	5676.92	0	0
XM_026478415.3	5787	5666.92	0	0
XM_026478417.3	5782	5661.92	0	0
XM_026478418.3	5772	5651.92	0	0
XM_026478419.3	5766	5645.92	28	2.13789
XM_026478420.3	5757	5636.92	0	0
XM_026478421.3	5752	5631.92	0	0
XM_026478422.3	5742	5621.92	0	0
XM_026478423.3	14639	14518.9	306.989	9.11489
XM_026478424.3	12168	12047.9	543.011	19.4294
XM_026478426.3	2725	2604.92	28	4.63368
XM_026478427.3	3132	3011.92	14	2.00377
XM_026478429.3	2934	2813.92	0	0
XM_026478431.2	1706	1585.92	0	0
XM_026478432.3	4236	4115.92	64.8018	6.78708
XM_026478433.3	9958	9837.92	18	0.788737
XM_026478435.3	11864	11743.9	28.6961	1.05335
XM_026478436.3	11736	11615.9	0	0
XM_026478437.2	1170	1049.92	0	0
XM_026478438.3	3358	3237.92	17	2.26332
XM_026478440.3	11861	11740.9	39.9187	1.46567
XM_026478443.3	1892	1771.92	23	5.59559
XM_026478445.2	996	875.923	1	0.49215
XM_026478446.3	8351	8230.92	0	0
XM_026478448.3	8322	8201.92	3.50882	0.18442
XM_026478449.3	8343	8222.92	0	0
XM_026478450.3	8347	8226.92	13.8427	0.725351
XM_026478451.3	9211	9090.92	0	0
XM_026478452.3	9208	9087.92	20.933	0.992958
XM_026478453.3	2394	2273.92	2882.1	546.383
XM_026478454.3	2401	2280.92	149.896	28.3297
XM_026478455.2	4157	4036.92	4	0.427143
XM_026478456.3	3058	2937.92	158.041	23.1895
XM_026478458.3	18169	18048.9	194.787	4.65233
XM_026478459.3	17911	17790.9	8.55165	0.207212
XM_026478460.3	2874	2753.92	0	0
XM_026478461.3	5383	5262.92	518	42.4293
XM_026478462.3	2452	2331.92	70.7557	13.0801
XM_026478463.3	6859	6738.92	40.7661	2.60779
XM_026478464.3	7383	7262.92	0	0
XM_026478465.3	7567	7446.92	0	0
XM_026478466.3	7394	7273.92	72.9834	4.32532
XM_026478467.3	7382	7261.92	0	0
XM_026478468.3	7283	7162.92	0	0
XM_026478469.3	7190	7069.92	0	0
XM_026478470.3	7223	7102.92	0	0
XM_026478471.3	3606	3485.92	0	0
XM_026478472.3	789	668.923	0	0
XM_026478473.3	1807	1686.92	0	0
XM_026478474.3	705	584.923	0	0
XM_026478476.3	2229	2108.92	44.8778	9.17348
XM_026478478.3	2422	2301.92	42	7.86542
XM_026478479.3	3922	3801.92	20.8802	2.36752
XM_026478480.3	3897	3776.92	0	0
XM_026478481.3	3784	3663.92	0	0
XM_026478482.3	3759	3638.92	0	0
XM_026478483.3	6695	6574.92	14.912	0.977708
XM_026478485.3	6655	6534.92	0	0
XM_026478492.3	5348	5227.92	2.6511	0.218605
XM_026478494.3	29744	29623.9	217.027	3.15816
XM_026478495.3	4099	3978.92	0	0
XM_026478496.3	4071	3950.92	0	0
XM_026478508.2	1563	1442.92	0	0
XM_026478509.3	3378	3257.92	127	16.8045
XM_026478510.3	1249	1128.92	72	27.4936
XM_026478514.3	4197	4076.92	47	4.96968
XM_026478515.3	1793	1672.92	20.0531	5.16736
XM_026478517.3	3331	3210.92	13	1.74533
XM_026478518.3	3328	3207.92	0	0
XM_026478521.3	2895	2774.92	7.35635	1.14281
XM_026478522.3	804	683.923	35.6199	22.4517
XM_026478524.3	2946	2825.92	17	2.59329
XM_026478527.3	2690	2569.92	0	0
XM_026478528.3	2552	2431.92	87	15.4217
XM_026478529.3	2662	2541.92	0	0
XM_026478531.3	1315	1194.92	178.968	64.5653
XM_026478532.3	714	593.923	57.3801	41.648
XM_026478534.3	1354	1233.92	0	0
XM_026478535.3	3220	3099.92	32.7959	4.5607
XM_026478536.3	3226	3105.92	27.1578	3.76935
XM_026478539.3	752	631.923	1424	971.424
XM_026478540.3	1929	1808.92	0	0
XM_026478541.3	5671	5550.92	0	0
XM_026478543.3	3350	3229.92	3	0.400398
XM_026478544.3	4146	4025.92	26.8874	2.87903
XM_026478545.3	8428	8307.92	17.8152	0.924402
XM_026478546.3	4180	4059.92	0	0
XM_026478548.3	4847	4726.92	11.1126	1.01344
XM_026478549.3	8569	8448.92	3	0.153068
XM_026478553.3	5480	5359.92	42.0977	3.38582
XM_026478554.3	8413	8292.92	20.0876	1.0442
XM_026478555.3	5414	5293.92	4.90228	0.399194
XM_026478556.3	6915	6794.92	23.8917	1.51574
XM_026478557.3	3410	3289.92	36	4.71715
XM_026478564.3	10082	9961.92	67	2.89931
XM_026478565.3	1446	1325.92	9.91635e-05	3.22401e-05
XM_026478566.3	4481	4360.92	35	3.45982
XM_026478568.3	1447	1326.92	93.1905	30.2753
XM_026478569.3	1580	1459.92	0	0
XM_026478570.3	10374	10253.9	48	2.01797
XM_026478572.3	14600	14479.9	62.2714	1.8539
XM_026478573.3	2048	1927.92	0	0
XM_026478575.3	4220	4099.92	10.8183	1.13749
XM_026478577.3	4109	3988.92	0	0
XM_026478578.3	3990	3869.92	8.00166e-08	8.91335e-09
XM_026478583.3	3888	3767.92	9.1766	1.04989
XM_026478584.3	4007	3886.92	0	0
XM_026478585.3	10399	10278.9	0	0
XM_026478586.3	10271	10150.9	0.354657	0.0150614
XM_026478587.3	10344	10223.9	0	0
XM_026478589.3	10096	9975.92	0	0
XM_026478592.3	8688	8567.92	650	32.704
XM_026478593.3	1678	1557.92	0	0
XM_026478594.3	1877	1756.92	12	2.94437
XM_026478596.3	4810	4689.92	8.81226	0.809999
XM_026478597.3	1820	1699.92	50.1877	12.7272
XM_026478599.3	20719	20598.9	133.299	2.78963
XM_026478605.3	6295	6174.92	43	3.00193
XM_026478606.1	813	692.923	0	0
XM_026478608.3	3258	3137.92	29	3.984
XM_026478609.1	2889	2768.92	0	0
XM_026478610.3	16630	16509.9	0.000680322	1.77637e-05
XM_026478611.2	1239	1118.92	0	0
XM_026478612.2	1011	890.923	0	0
XM_026478613.3	16618	16497.9	0.00174059	4.5481e-05
XM_026478615.2	477	356.923	0	0
XM_026478616.3	866	745.923	0	0
XM_026478617.3	16613	16492.9	0.0386907	0.00101128
XM_026478618.3	16604	16483.9	2.48441	0.0649719
XM_026478619.3	6465	6344.92	0	0
XM_026478620.3	5155	5034.92	0	0
XM_026478621.3	5149	5028.92	0	0
XM_026478622.3	5226	5105.92	0	0
XM_026478623.3	5138	5017.92	25.4628	2.18748
XM_026478624.3	5229	5108.92	0	0
XM_026478625.3	5233	5112.92	0	0
XM_026478626.3	5201	5080.92	15.8288	1.34297
XM_026478627.3	16588	16467.9	0.0164702	0.000431144
XM_026478629.3	4929	4808.92	0	0
XM_026478630.3	16562	16441.9	60.4419	1.58471
XM_026478631.3	16453	16332.9	20	0.527873
XM_026478633.3	1072	951.923	11.4887	5.20273
XM_026478634.3	4866	4745.92	0	0
XM_026478635.3	4792	4671.92	21	1.9377
XM_026478636.3	16549	16428.9	2.32514e-07	6.10104e-09
XM_026478637.2	3923	3802.92	28.0309	3.17748
XM_026478639.3	7898	7777.92	12.2959	0.681493
XM_026478640.3	2896	2775.92	19.6116	3.04557
XM_026478641.3	1901	1780.92	17	4.11497
XM_026478642.3	1253	1132.92	120	45.6609
XM_026478645.3	16531	16410.9	1.61239	0.0423546
XM_026478647.3	2006	1885.92	0.0341505	0.00780614
XM_026478648.3	7220	7099.92	24	1.45721
