target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1479.79	49	8.67847
XM_026478080.3	6046	5916.79	2	0.0885913
XM_026478083.3	2509	2379.79	0	0
XM_026478085.3	2434	2304.79	0	0
XM_026478086.3	2425	2295.79	63.1893	7.21371
XM_026478087.3	2288	2158.79	0	0
XM_026478088.3	2224	2094.79	25.8107	3.22928
XM_026478089.3	3098	2968.79	69.0426	6.09516
XM_026478090.3	1357	1227.79	5.16158	1.10181
XM_026478091.3	1312	1182.79	0	0
XM_026478092.3	1300	1170.79	38.8384	8.69419
XM_026478094.3	1697	1567.79	0	0
XM_026478095.3	3596	3466.79	45.9693	3.47526
XM_026478097.3	993	863.791	13.6262	4.1344
XM_026478098.3	10841	10711.8	0	0
XM_026478099.3	2079	1949.79	0.238076	0.0320018
XM_026478100.3	7847	7717.79	191.83	6.51436
XM_026478101.3	6255	6125.79	52.1697	2.23205
XM_026478102.3	4900	4770.79	18.6228	1.02306
XM_026478103.3	1628	1498.79	51.3772	8.98414
XM_026478105.3	4341	4211.79	14	0.871181
XM_026478106.1	1359	1229.79	0	0
XM_026478107.1	1359	1229.79	0	0
XM_026478108.3	4405	4275.79	5.00803	0.306971
XM_026478109.3	4078	3948.79	14.992	0.995043
XM_026478110.3	4041	3911.79	0	0
XM_026478114.3	3144	3014.79	0	0
XM_026478122.3	5800	5670.79	0	0
XM_026478124.3	5185	5055.79	1.21894	0.063189
XM_026478126.3	4573	4443.79	21	1.23855
XM_026478127.3	1566	1436.79	129	23.5312
XM_026478128.3	1294	1164.79	407	91.5785
XM_026478129.3	1343	1213.79	94.1192	20.3227
XM_026478130.3	1386	1256.79	20.8808	4.35442
XM_026478131.3	1762	1632.79	1.78154	0.285965
XM_026478132.3	1759	1629.79	12.2185	1.96486
XM_026478133.2	3175	3045.79	7797.82	670.997
XM_026478135.3	3662	3532.79	5	0.370936
XM_026478136.3	3554	3424.79	293	22.4223
XM_026478139.3	2722	2592.79	14.8063	1.49667
XM_026478140.3	2348	2218.79	113.033	13.3517
XM_026478142.3	4236	4106.79	22.4034	1.42974
XM_026478143.3	338	209.933	118	147.316
XM_026478144.3	8601	8471.79	3.55775	0.110065
XM_026478146.3	3833	3703.79	7.57738	0.536191
XM_026478150.3	2311	2181.79	169	20.3012
XM_026478151.3	6755	6625.79	0	0
XM_026478153.3	7000	6870.79	0	0
XM_026478159.3	2152	2022.79	0	0
XM_026478163.3	9279	9149.79	0	0
XM_026478165.3	2434	2304.79	349.328	39.7237
XM_026478167.3	1687	1557.79	0	0
