target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1486.05	1023.31	331.999
XM_026478080.3	6046	5923.05	0	0
XM_026478083.3	2509	2386.05	0	0
XM_026478085.3	2434	2311.05	5	1.0431
XM_026478086.3	2425	2302.05	74	15.4982
XM_026478087.3	2288	2165.05	0	0
XM_026478088.3	2224	2101.05	0	0
XM_026478089.3	3098	2975.05	49.3986	8.00541
XM_026478090.3	1357	1234.05	5.9192	2.31257
XM_026478091.3	1312	1189.05	0	0
XM_026478092.3	1300	1177.05	31.0808	12.731
XM_026478094.3	1697	1574.05	6.19587	1.89779
XM_026478095.3	3596	3473.05	30.7277	4.26563
XM_026478097.3	993	870.049	0.0764003	0.0423365
XM_026478098.3	10841	10718	5.86691	0.263911
XM_026478099.3	2079	1956.05	0.148596	0.0366262
XM_026478100.3	7847	7724.05	191.812	11.9728
XM_026478101.3	6255	6132.05	14.188	1.11552
XM_026478102.3	4900	4777.05	10.1055	1.01991
XM_026478103.3	1628	1505.05	8.85792	2.83756
XM_026478105.3	4341	4218.05	12	1.37162
XM_026478106.1	1359	1236.05	0	0
XM_026478107.1	1359	1236.05	0	0
XM_026478108.3	4405	4282.05	19.5143	2.19717
XM_026478109.3	4078	3955.05	9.08595	1.1076
XM_026478110.3	4041	3918.05	14.3998	1.77194
XM_026478114.3	3144	3021.05	0	0
XM_026478122.3	5800	5677.05	0	0
XM_026478124.3	5185	5062.05	20.6033	1.96234
XM_026478126.3	4573	4450.05	448.008	48.5383
XM_026478127.3	1566	1443.05	73	24.3896
XM_026478128.3	1294	1171.05	99	40.759
XM_026478129.3	1343	1220.05	62	24.5007
XM_026478130.3	1386	1263.05	0	0
XM_026478131.3	1762	1639.05	0	0
XM_026478132.3	1759	1636.05	0	0
XM_026478133.2	3175	3052.05	5048.73	797.544
XM_026478135.3	3662	3539.05	29	3.95071
XM_026478136.3	3554	3431.05	170	23.8883
XM_026478139.3	2722	2599.05	13.7785	2.55594
XM_026478140.3	2348	2225.05	15.9752	3.46154
XM_026478142.3	4236	4113.05	24.1645	2.83255
XM_026478143.3	338	215.157	42	94.1147
XM_026478144.3	8601	8478.05	18.4461	1.04899
XM_026478146.3	3833	3710.05	4.70536	0.611472
XM_026478150.3	2311	2188.05	72	15.865
XM_026478151.3	6755	6632.05	0	0
XM_026478153.3	7000	6877.05	11.269	0.790034
XM_026478159.3	2152	2029.05	0	0
XM_026478163.3	9279	9156.05	2.22549	0.117188
XM_026478165.3	2434	2311.05	275.654	57.5067
XM_026478167.3	1687	1564.05	0	0
