target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1489.86	65.7829	20.6398
XM_026478080.3	6046	5926.86	0	0
XM_026478083.3	2509	2389.86	24.9999	4.88993
XM_026478085.3	2434	2314.86	9.08333e-05	1.83424e-05
XM_026478086.3	2425	2305.86	25	5.06809
XM_026478087.3	2288	2168.86	0	0
XM_026478088.3	2224	2104.86	0	0
XM_026478089.3	3098	2978.86	47.5087	7.45521
XM_026478090.3	1357	1237.86	4.78531	1.80707
XM_026478091.3	1312	1192.86	22.5732	8.84589
XM_026478092.3	1300	1180.86	31.6415	12.5255
XM_026478094.3	1697	1577.86	3.78535	1.12144
XM_026478095.3	3596	3476.86	16.3916	2.20379
XM_026478097.3	993	873.859	1.05907	0.566525
XM_026478098.3	10841	10721.9	14.4788	0.631246
XM_026478099.3	2079	1959.86	2.63236	0.627851
XM_026478100.3	7847	7727.86	171.485	10.373
XM_026478101.3	6255	6135.86	25.515	1.94383
XM_026478102.3	4900	4780.86	16.6928	1.63215
XM_026478103.3	1628	1508.86	18.3072	5.67167
XM_026478105.3	4341	4221.86	10	1.10722
XM_026478106.1	1359	1239.86	0	0
XM_026478107.1	1359	1239.86	0	0
XM_026478108.3	4405	4285.86	29.579	3.22613
XM_026478109.3	4078	3958.86	15.6736	1.85069
XM_026478110.3	4041	3921.86	12.7475	1.51939
XM_026478114.3	3144	3024.86	0	0
XM_026478122.3	5800	5680.86	0	0
XM_026478124.3	5185	5065.86	17.3652	1.60237
XM_026478126.3	4573	4453.86	161.315	16.9307
XM_026478127.3	1566	1446.86	75	24.231
XM_026478128.3	1294	1174.86	121.925	48.5115
XM_026478129.3	1343	1223.86	63	24.0628
XM_026478130.3	1386	1266.86	0	0
XM_026478131.3	1762	1642.86	0.198082	0.0563613
XM_026478132.3	1759	1639.86	1.80192	0.513648
XM_026478133.2	3175	3055.86	6015.82	920.234
XM_026478135.3	3662	3542.86	18	2.37496
XM_026478136.3	3554	3434.86	229	31.1647
XM_026478139.3	2722	2602.86	24.325	4.36857
XM_026478140.3	2348	2228.86	0.00112717	0.000236397
XM_026478142.3	4236	4116.86	13.5869	1.54273
XM_026478143.3	338	219.15	32	68.2566
XM_026478144.3	8601	8481.86	38.93	2.14551
XM_026478146.3	3833	3713.86	0	0
XM_026478150.3	2311	2191.86	105	22.3931
XM_026478151.3	6755	6635.86	0	0
