target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1446.94	394.641	149.568
XM_026478080.3	6046	5883.94	3.21255	0.299411
XM_026478083.3	2509	2346.94	0	0
XM_026478085.3	2434	2271.94	12	2.89648
XM_026478086.3	2425	2262.94	44.83	10.8638
XM_026478087.3	2288	2125.94	3.16996	0.817691
XM_026478088.3	2224	2061.94	0	0
XM_026478089.3	3098	2935.94	81.6214	15.2455
XM_026478090.3	1357	1194.94	0	0
XM_026478091.3	1312	1149.94	0	0
XM_026478092.3	1300	1137.94	23	11.084
XM_026478094.3	1697	1534.94	12.4025	4.43104
XM_026478095.3	3596	3433.94	17.5975	2.81024
XM_026478097.3	993	830.938	0	0
XM_026478098.3	10841	10678.9	3.83027	0.196692
XM_026478099.3	2079	1916.94	2.82936	0.809405
XM_026478100.3	7847	7684.94	219.228	15.6438
XM_026478101.3	6255	6092.94	42.5639	3.83089
XM_026478102.3	4900	4737.94	12.1327	1.40429
XM_026478103.3	1628	1465.94	35.1596	13.1527
XM_026478105.3	4341	4178.94	7	0.918582
XM_026478106.1	1359	1196.94	0	0
XM_026478107.1	1359	1196.94	0	0
XM_026478108.3	4405	4242.94	0	0
XM_026478109.3	4078	3915.94	45	6.30177
XM_026478110.3	4041	3878.94	0	0
XM_026478114.3	3144	2981.94	0	0
XM_026478122.3	5800	5637.94	0	0
XM_026478124.3	5185	5022.94	23.4129	2.55613
XM_026478126.3	4573	4410.94	371.508	46.1874
XM_026478127.3	1566	1403.94	109	42.576
XM_026478128.3	1294	1131.94	138.907	67.2959
XM_026478129.3	1343	1180.94	42.5983	19.7811
XM_026478130.3	1386	1223.94	19.4017	8.69294
XM_026478131.3	1762	1599.94	0.390447	0.133827
XM_026478132.3	1759	1596.94	3.60955	1.23951
XM_026478133.2	3175	3012.94	6183.81	1125.52
XM_026478135.3	3662	3499.94	18	2.82032
XM_026478136.3	3554	3391.94	195	31.5263
XM_026478139.3	2722	2559.94	61.8895	13.2579
XM_026478140.3	2348	2185.94	13.603	3.41259
XM_026478142.3	4236	4073.94	20.8352	2.80459
XM_026478143.3	338	183.461	40	119.564
XM_026478144.3	8601	8438.94	19.7566	1.28384
XM_026478146.3	3833	3670.94	0	0
XM_026478150.3	2311	2148.94	78	19.9047
XM_026478151.3	6755	6592.94	0	0
XM_026478153.3	7000	6837.94	0	0
XM_026478159.3	2152	1989.94	1.0036	0.276573
XM_026478163.3	9279	9116.94	1.61447	0.0971104
XM_026478165.3	2434	2271.94	287.643	69.4293
XM_026478167.3	1687	1524.94	0	0
XM_026478168.3	2138	1975.94	8	2.22025
