target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1487.85	3	1.17674
XM_026478080.3	6046	5924.85	9.91571	0.976708
XM_026478083.3	2509	2387.85	0	0
XM_026478085.3	2434	2312.85	0	0
XM_026478086.3	2425	2303.85	0	0
XM_026478087.3	2288	2166.85	0	0
XM_026478088.3	2224	2102.85	0	0
XM_026478089.3	3098	2976.85	114.382	22.4243
XM_026478090.3	1357	1235.85	0	0
XM_026478091.3	1312	1190.85	0	0
XM_026478092.3	1300	1178.85	6	2.97037
XM_026478094.3	1697	1575.85	4.85084	1.79647
XM_026478095.3	3596	3474.85	9.14916	1.53661
XM_026478097.3	993	871.851	0	0
XM_026478098.3	10841	10719.9	0	0
XM_026478099.3	2079	1957.85	0.166275	0.049564
XM_026478100.3	7847	7725.85	39.2741	2.96673
XM_026478101.3	6255	6133.85	10.7259	1.02051
XM_026478102.3	4900	4778.85	1.45121	0.177226
XM_026478103.3	1628	1506.85	2.58401e-07	1.00079e-07
XM_026478105.3	4341	4219.85	6	0.829798
XM_026478106.1	1359	1237.85	0	0
XM_026478107.1	1359	1237.85	0	0
XM_026478108.3	4405	4283.85	2.73685	0.372851
XM_026478109.3	4078	3956.85	9.4735e-05	1.39727e-05
XM_026478110.3	4041	3919.85	3.26305	0.485817
XM_026478114.3	3144	3022.85	4.33191	0.836336
XM_026478122.3	5800	5678.85	0	0
XM_026478124.3	5185	5063.85	21.0275	2.4234
XM_026478126.3	4573	4451.85	21.3843	2.80333
XM_026478127.3	1566	1444.85	20	8.0784
XM_026478128.3	1294	1172.85	28.9795	14.4201
XM_026478129.3	1343	1221.85	10	4.77639
XM_026478130.3	1386	1264.85	0	0
XM_026478131.3	1762	1640.85	0	0
XM_026478132.3	1759	1637.85	0	0
XM_026478133.2	3175	3053.85	1338.04	255.706
XM_026478135.3	3662	3540.85	1	0.16482
XM_026478136.3	3554	3432.85	93	15.8105
XM_026478139.3	2722	2600.85	17.6343	3.95695
XM_026478140.3	2348	2226.85	0	0
XM_026478142.3	4236	4114.85	0	0
XM_026478143.3	338	217.308	4	10.7424
XM_026478144.3	8601	8479.85	8.18438	0.563269
XM_026478146.3	3833	3711.85	2.2784	0.358226
XM_026478150.3	2311	2189.85	20	5.33008
XM_026478151.3	6755	6633.85	0	0
XM_026478153.3	7000	6878.85	0	0
XM_026478159.3	2152	2030.85	1.00008	0.287393
XM_026478163.3	9279	9157.85	38.2463	2.43733
XM_026478165.3	2434	2312.85	71.1424	17.9514
XM_026478167.3	1687	1565.85	12.0504	4.49127
XM_026478168.3	2138	2016.85	19	5.49792
XM_026478169.3	9315	9193.85	157.851	10.02
XM_026478170.3	3852	3730.85	13.7168	2.14567
XM_026478173.3	4464	4342.85	2.00043	0.268824
XM_026478174.3	5197	5075.85	48.9047	5.62289
XM_026478175.3	8598	8476.85	0	0
XM_026478176.3	11857	11735.9	86.518	4.30239
XM_026478179.3	8427	8305.85	138.472	9.72965
XM_026478180.3	843	721.851	427	345.222
XM_026478181.3	2987	2865.85	12	2.44369
XM_026478182.3	8430	8308.85	0	0
XM_026478183.3	10477	10355.9	69	3.88849
XM_026478185.3	3015	2893.85	0	0
XM_026478189.3	2391	2269.85	273	70.1914
XM_026478191.3	6588	6466.85	7.6953e-07	6.94466e-08
XM_026478192.3	6767	6645.85	0	0
XM_026478193.3	6597	6475.85	1.63902e-07	1.47709e-08
XM_026478194.3	6585	6463.85	1.53031	0.138168
XM_026478195.3	5023	4901.85	7.85638	0.935364
XM_026478196.3	6484	6362.85	0	0
XM_026478199.3	4589	4467.85	139.319	18.1982
XM_026478200.3	4000	3878.85	95	14.2935
XM_026478202.3	21305	21183.9	0.0112066	0.000308735
XM_026478203.3	4061	3939.85	27.4956	4.07287
XM_026478206.2	939	817.851	0	0
XM_026478207.3	1835	1713.85	1	0.340522
XM_026478208.3	1465	1343.85	966	419.512
