target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1465.42	124.621	7.00508
XM_026478080.3	6046	5902.42	4	0.0558231
XM_026478083.3	2509	2365.42	0	0
XM_026478085.3	2434	2290.42	0	0
XM_026478086.3	2425	2281.42	230.343	8.31674
XM_026478087.3	2288	2144.42	14.1131	0.542122
XM_026478088.3	2224	2080.42	14.5444	0.575876
XM_026478089.3	3098	2954.42	107.039	2.98437
XM_026478090.3	1357	1213.42	0	0
XM_026478091.3	1312	1168.42	0	0
XM_026478092.3	1300	1156.42	97	6.9094
XM_026478094.3	1697	1553.42	0	0
XM_026478095.3	3596	3452.42	261.024	6.22789
XM_026478097.3	993	849.42	0	0
XM_026478098.3	10841	10697.4	0	0
XM_026478099.3	2079	1935.42	0	0
XM_026478100.3	7847	7703.42	581.949	6.22279
XM_026478101.3	6255	6111.42	161.051	2.17073
XM_026478102.3	4900	4756.42	50.307	0.87123
XM_026478103.3	1628	1484.42	112.693	6.25352
XM_026478105.3	4341	4197.42	59	1.15785
XM_026478106.1	1359	1215.42	0	0
XM_026478107.1	1359	1215.42	0	0
XM_026478108.3	4405	4261.42	37.9124	0.732843
XM_026478109.3	4078	3934.42	101.925	2.13394
XM_026478110.3	4041	3897.42	9.16295	0.193661
XM_026478114.3	3144	3000.42	20.9975	0.576459
XM_026478122.3	5800	5656.42	0	0
XM_026478124.3	5185	5041.42	1.16666	0.0190623
XM_026478126.3	4573	4429.42	48.9363	0.910057
XM_026478127.3	1566	1422.42	291	16.8519
XM_026478128.3	1294	1150.42	514.011	36.8044
XM_026478129.3	1343	1199.42	102.414	7.03349
XM_026478130.3	1386	1242.42	69.5863	4.6136
XM_026478131.3	1762	1618.42	19	0.967045
XM_026478132.3	1759	1615.42	0	0
XM_026478133.2	3175	3031.42	10399.5	282.586
XM_026478135.3	3662	3518.42	25	0.585297
XM_026478136.3	3554	3410.42	690	16.6658
XM_026478139.3	2722	2578.42	129.458	4.13581
XM_026478140.3	2348	2204.42	92.3335	3.45024
XM_026478142.3	4236	4092.42	10.155	0.204401
XM_026478143.3	338	196.549	137	57.416
XM_026478144.3	8601	8457.42	0	0
XM_026478146.3	3833	3689.42	36.129	0.806644
XM_026478150.3	2311	2167.42	244	9.27323
XM_026478151.3	6755	6611.42	0	0
XM_026478153.3	7000	6856.42	0	0
XM_026478159.3	2152	2008.42	0	0
XM_026478163.3	9279	9135.42	0	0
XM_026478165.3	2434	2290.42	1695.54	60.9787
XM_026478167.3	1687	1543.42	0	0
XM_026478168.3	2138	1994.42	56	2.31289
XM_026478169.3	9315	9171.42	3278.99	29.4501
XM_026478170.3	3852	3708.42	27.1885	0.603922
XM_026478173.3	4464	4320.42	12.0056	0.228898
XM_026478174.3	5197	5053.42	7.0858	0.115502
XM_026478175.3	8598	8454.42	772.484	7.52644
XM_026478176.3	11857	11713.4	87.0636	0.612262
XM_026478179.3	8427	8283.42	2947.34	29.3092
XM_026478180.3	843	699.42	0	0
XM_026478181.3	2987	2843.42	276	7.99562
XM_026478182.3	8430	8286.42	670.135	6.66162
XM_026478183.3	10477	10333.4	561	4.47201
XM_026478185.3	3015	2871.42	0	0
XM_026478189.3	2391	2247.42	110.529	4.05113
XM_026478191.3	6588	6444.42	361.405	4.6195
XM_026478192.3	6767	6623.42	42.1997	0.524822
XM_026478193.3	6597	6453.42	50.8705	0.649322
XM_026478194.3	6585	6441.42	471.207	6.0258
XM_026478195.3	5023	4879.42	32.6497	0.551183
XM_026478196.3	6484	6340.42	0	0
XM_026478199.3	4589	4445.42	1824.93	33.8156
XM_026478200.3	4000	3856.42	106	2.26415
XM_026478202.3	21305	21161.4	0	0
XM_026478203.3	4061	3917.42	141.131	2.9676
XM_026478206.2	939	795.42	1	0.103559
XM_026478207.3	1835	1691.42	1	0.0487004
XM_026478208.3	1465	1321.42	10509	655.096
XM_026478212.3	5507	5363.42	2	0.0307165
XM_026478213.3	1113	969.42	0	0
XM_026478215.3	1955	1811.42	11.7184	0.532886
XM_026478216.3	3721	3577.42	22.1707	0.510499
XM_026478217.3	1659	1515.42	29.1849	1.58639
XM_026478218.3	4039	3895.42	43.7364	0.924853
XM_026478219.3	6333	6189.42	879	11.6983
XM_026478220.3	4558	4414.42	0	0
XM_026478221.1	1824	1680.42	0	0
XM_026478223.3	7229	7085.42	368.121	4.27966
XM_026478225.3	4249	4105.42	41.8428	0.839552
XM_026478230.1	882	738.42	0	0
XM_026478231.3	2913	2769.42	0	0
XM_026478232.3	4392	4248.42	988.592	19.1679
XM_026478237.3	4071	3927.42	11.3774	0.238627
XM_026478240.3	2392	2248.42	0	0
XM_026478241.3	4790	4646.42	1.87642	0.0332656
XM_026478243.3	7888	7744.42	14.5697	0.154969
XM_026478244.3	2279	2135.42	0	0
XM_026478256.3	15206	15062.4	34.8117	0.190377
XM_026478257.3	2506	2362.42	0	0
XM_026478258.3	2525	2381.42	0	0
XM_026478259.3	6504	6360.42	927.154	12.0074
XM_026478260.3	2509	2365.42	14.6466	0.510049
XM_026478261.3	2458	2314.42	244.945	8.71787
XM_026478262.3	3255	3111.42	8.32998	0.220531
XM_026478263.3	2242	2098.42	7	0.274783
XM_026478265.3	5688	5544.42	60.4369	0.897905
XM_026478267.3	6675	6531.42	0	0
XM_026478270.3	1033	889.42	131	12.1325
XM_026478271.3	1861	1717.42	334.847	16.0603
XM_026478272.3	4162	4018.42	288.153	5.90679
XM_026478273.3	930	786.42	6543	685.341
XM_026478274.3	1809	1665.42	7	0.346225
XM_026478276.3	5005	4861.42	0	0
XM_026478278.3	5047	4903.42	0	0
XM_026478279.3	5035	4891.42	41.0264	0.690897
XM_026478280.3	4894	4750.42	0	0
XM_026478282.3	8406	8262.42	5.15786	0.0514217
XM_026478283.3	8394	8250.42	0.0137135	0.000136917
XM_026478284.3	8294	8150.42	148.849	1.50436
XM_026478285.3	8279	8135.42	0.589935	0.00597322
XM_026478290.3	4690	4546.42	758	13.7336
XM_026478291.3	7074	6930.42	314.048	3.73268
XM_026478292.3	6933	6789.42	44.6943	0.542256
XM_026478293.3	6961	6817.42	83.029	1.00322
XM_026478295.3	6712	6568.42	16.2284	0.203516
XM_026478296.3	9714	9570.42	1.31277	0.011299
XM_026478297.3	4637	4493.42	1.07701e-05	1.97436e-07
XM_026478298.3	4580	4436.42	64.184	1.19173
XM_026478299.3	9699	9555.42	5.7757e-06	4.97897e-08
XM_026478300.3	4622	4478.42	0	0
XM_026478303.3	9076	8932.42	17.5576	0.161912
XM_026478308.3	9177	9033.42	427.904	3.90192
XM_026478309.3	1777	1633.42	236	11.9014
XM_026478311.3	1579	1435.42	166.601	9.56054
XM_026478312.3	2647	2503.42	147	4.83691
XM_026478313.3	513	369.551	0	0
XM_026478317.3	5855	5711.42	257.3	3.7109
XM_026478318.3	3547	3403.42	75.9591	1.83843
XM_026478320.3	8741	8597.42	0	0
XM_026478321.3	3804	3660.42	2101	47.2802
XM_026478322.3	2471	2327.42	40.546	1.43502
XM_026478323.3	2809	2665.42	24.1329	0.74581
XM_026478326.3	5940	5796.42	13.1913	0.187461
XM_026478327.3	2519	2375.42	0	0
