target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1473.61	407.92	23.9119
XM_026478080.3	6046	5910.61	4.73553	0.0692083
XM_026478083.3	2509	2373.61	0	0
XM_026478085.3	2434	2298.61	0	0
XM_026478086.3	2425	2289.61	751.407	28.3489
XM_026478087.3	2288	2152.61	24.1602	0.96952
XM_026478088.3	2224	2088.61	38.4325	1.58951
XM_026478089.3	3098	2962.61	220.183	6.41994
XM_026478090.3	1357	1221.61	6.85782	0.484925
XM_026478091.3	1312	1176.61	0	0
XM_026478092.3	1300	1164.61	96.1422	7.13107
XM_026478094.3	1697	1561.61	41.4105	2.29065
XM_026478095.3	3596	3460.61	271.251	6.77081
XM_026478097.3	993	857.613	0.346812	0.0349321
XM_026478098.3	10841	10705.6	6.48023	0.0522879
XM_026478099.3	2079	1943.61	0.311503	0.0138444
XM_026478100.3	7847	7711.61	746.746	8.36469
XM_026478101.3	6255	6119.61	31.2544	0.441173
XM_026478102.3	4900	4764.61	74.2443	1.34604
XM_026478103.3	1628	1492.61	124.957	7.23161
XM_026478105.3	4341	4205.61	99	2.03343
XM_026478106.1	1359	1223.61	0	0
XM_026478107.1	1359	1223.61	0	0
XM_026478108.3	4405	4269.61	92.2234	1.86584
XM_026478109.3	4078	3942.61	119.3	2.61384
XM_026478110.3	4041	3905.61	46.4763	1.02793
XM_026478114.3	3144	3008.61	12.4449	0.357313
XM_026478122.3	5800	5664.61	0	0
XM_026478124.3	5185	5049.61	2.2928	0.039222
XM_026478126.3	4573	4437.61	21.2978	0.414579
XM_026478127.3	1566	1430.61	583	35.2021
XM_026478128.3	1294	1158.61	1350.9	100.718
XM_026478129.3	1343	1207.61	217.209	15.5372
XM_026478130.3	1386	1250.61	86.791	5.99479
XM_026478131.3	1762	1626.61	63.2375	3.35825
XM_026478132.3	1759	1623.61	48.7625	2.59433
XM_026478133.2	3175	3039.61	33130.3	941.52
XM_026478135.3	3662	3526.61	25	0.612357
XM_026478136.3	3554	3418.61	1142	28.8562
XM_026478139.3	2722	2586.61	68.3479	2.28253
XM_026478140.3	2348	2212.61	149.671	5.84325
XM_026478142.3	4236	4100.61	8.07904	0.17019
XM_026478143.3	338	205.547	340	142.886
XM_026478144.3	8601	8465.61	1.7374	0.0177282
XM_026478146.3	3833	3697.61	106.09	2.47843
XM_026478150.3	2311	2175.61	420	16.6759
XM_026478151.3	6755	6619.61	0	0
XM_026478153.3	7000	6864.61	0	0
XM_026478159.3	2152	2016.61	0	0
XM_026478163.3	9279	9143.61	0	0
XM_026478165.3	2434	2298.61	1895.03	71.2153
XM_026478167.3	1687	1551.61	0	0
XM_026478168.3	2138	2002.61	10	0.431346
XM_026478169.3	9315	9179.61	5121.98	48.1988
XM_026478170.3	3852	3716.61	37.1386	0.863179
XM_026478173.3	4464	4328.61	20.0072	0.399264
XM_026478174.3	5197	5061.61	6.03583	0.103008
XM_026478175.3	8598	8462.61	574.673	5.86595
XM_026478176.3	11857	11721.6	94.8087	0.698688
XM_026478179.3	8427	8291.61	3878.4	40.4051
XM_026478180.3	843	707.613	0	0
XM_026478181.3	2987	2851.61	235	7.11868
XM_026478182.3	8430	8294.61	341.81	3.55968
XM_026478183.3	10477	10341.6	827	6.9078
XM_026478185.3	3015	2879.61	0	0
XM_026478189.3	2391	2255.61	348	13.3271
XM_026478191.3	6588	6452.61	20.0522	0.26844
XM_026478192.3	6767	6631.61	0.574727	0.00748626
XM_026478193.3	6597	6461.61	1.90287	0.0254384
XM_026478194.3	6585	6449.61	1047.3	14.0268
XM_026478195.3	5023	4887.61	25.3639	0.448273
XM_026478196.3	6484	6348.61	0	0
XM_026478199.3	4589	4453.61	3211.4	62.2879
XM_026478200.3	4000	3864.61	240	5.36448
XM_026478202.3	21305	21169.6	30.1949	0.123209
XM_026478203.3	4061	3925.61	172.384	3.79326
XM_026478206.2	939	803.613	0	0
XM_026478207.3	1835	1699.61	0	0
XM_026478208.3	1465	1329.61	11328	735.953
XM_026478212.3	5507	5371.61	1	0.0160812
XM_026478213.3	1113	977.613	0	0
XM_026478215.3	1955	1819.61	42.6875	2.02649
XM_026478216.3	3721	3585.61	285.18	6.87033
XM_026478217.3	1659	1523.61	42.9538	2.43528
XM_026478218.3	4039	3903.61	0.12074	0.00267181
XM_026478219.3	6333	6197.61	1012	14.1052
XM_026478220.3	4558	4422.61	0	0
XM_026478221.1	1824	1688.61	0	0
XM_026478223.3	7229	7093.61	968.793	11.7974
XM_026478225.3	4249	4113.61	64.6117	1.35678
XM_026478230.1	882	746.613	0	0
XM_026478231.3	2913	2777.61	0	0
XM_026478232.3	4392	4256.61	1507.89	30.6005
XM_026478237.3	4071	3935.61	1.99138e-05	4.37082e-07
XM_026478240.3	2392	2256.61	24.1329	0.923794
XM_026478241.3	4790	4654.61	8.75805	0.162535
XM_026478243.3	7888	7752.61	20.3897	0.227188
XM_026478244.3	2279	2143.61	2.26632	0.0913266
XM_026478256.3	15206	15070.6	0.00092114	5.2798e-06
XM_026478257.3	2506	2370.61	13.6882	0.498778
XM_026478258.3	2525	2389.61	6.01636e-08	2.17485e-09
XM_026478259.3	6504	6368.61	1225.83	16.6268
