target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1455.01	484.886	20.1631
XM_026478080.3	6046	5892.01	10	0.102688
XM_026478083.3	2509	2355.01	0	0
XM_026478085.3	2434	2280.01	0	0
XM_026478086.3	2425	2271.01	887.936	23.6562
XM_026478087.3	2288	2134.01	41.1842	1.16766
XM_026478088.3	2224	2070.01	38.8798	1.13641
XM_026478089.3	3098	2944.01	192.01	3.94609
XM_026478090.3	1357	1203.01	0	0
XM_026478091.3	1312	1158.01	9.34808	0.48842
XM_026478092.3	1300	1146.01	130.652	6.8978
XM_026478094.3	1697	1543.01	7.55754	0.296343
XM_026478095.3	3596	3442.01	268.23	4.71496
XM_026478097.3	993	839.011	12.2107	0.880554
XM_026478098.3	10841	10687	6.53497	0.0369973
XM_026478099.3	2079	1925.01	0.0696943	0.00219052
XM_026478100.3	7847	7693.01	847.466	6.66514
XM_026478101.3	6255	6101.01	112.518	1.11584
XM_026478102.3	4900	4746.01	41.0596	0.523443
XM_026478103.3	1628	1474.01	97.9404	4.02017
XM_026478105.3	4341	4187.01	93	1.34389
XM_026478106.1	1359	1205.01	0	0
XM_026478107.1	1359	1205.01	0	0
XM_026478108.3	4405	4251.01	34.865	0.496227
XM_026478109.3	4078	3924.01	136.031	2.09744
XM_026478110.3	4041	3887.01	34.1045	0.530859
XM_026478114.3	3144	2990.01	24.7367	0.500555
XM_026478122.3	5800	5646.01	0	0
XM_026478124.3	5185	5031.01	3.5185	0.0423142
XM_026478126.3	4573	4419.01	36.7408	0.503045
XM_026478127.3	1566	1412.01	494	21.1676
XM_026478128.3	1294	1140.01	800.97	42.51
XM_026478129.3	1343	1189.01	216.112	10.9971
XM_026478130.3	1386	1232.01	58.888	2.89199
XM_026478131.3	1762	1608.01	34.8933	1.31292
XM_026478132.3	1759	1605.01	53.1067	2.00196
XM_026478133.2	3175	3021.01	25351.4	507.731
XM_026478135.3	3662	3508.01	14	0.241463
XM_026478136.3	3554	3400.01	1093	19.4502
XM_026478139.3	2722	2568.01	121.446	2.86134
XM_026478140.3	2348	2194.01	150.199	4.14202
XM_026478142.3	4236	4082.01	24.4026	0.361697
XM_026478143.3	338	187.377	449	144.982
XM_026478144.3	8601	8447.01	5.2104	0.0373209
XM_026478146.3	3833	3679.01	111.673	1.83653
XM_026478150.3	2311	2157.01	343	9.62111
XM_026478151.3	6755	6601.01	0	0
XM_026478153.3	7000	6846.01	11.0136	0.0973365
XM_026478159.3	2152	1998.01	0	0
XM_026478163.3	9279	9125.01	0	0
XM_026478165.3	2434	2280.01	2194.75	58.2413
XM_026478167.3	1687	1533.01	0	0
XM_026478168.3	2138	1984.01	30	0.914873
XM_026478169.3	9315	9161.01	5020.39	33.1572
XM_026478170.3	3852	3698.01	60.004	0.981737
XM_026478173.3	4464	4310.01	26.0108	0.365139
XM_026478174.3	5197	5043.01	17.5759	0.210868
XM_026478175.3	8598	8444.01	1394.63	9.99295
XM_026478176.3	11857	11703	170.278	0.880328
XM_026478179.3	8427	8273.01	3486.45	25.4978
XM_026478180.3	843	689.011	0	0
XM_026478181.3	2987	2833.01	270	5.76632
XM_026478182.3	8430	8276.01	669.374	4.89363
XM_026478183.3	10477	10323	1654	9.69421
XM_026478185.3	3015	2861.01	0	0
XM_026478189.3	2391	2237.01	336.709	9.10688
XM_026478191.3	6588	6434.01	301.611	2.83628
XM_026478192.3	6767	6613.01	20.9387	0.191573
XM_026478193.3	6597	6443.01	50.2501	0.47188
XM_026478194.3	6585	6431.01	809.819	7.61889
XM_026478195.3	5023	4869.01	43.3351	0.538496
XM_026478196.3	6484	6330.01	0	0
XM_026478199.3	4589	4435.01	3069.14	41.8702
XM_026478200.3	4000	3846.01	199	3.13059
XM_026478202.3	21305	21151	9.90251	0.0283268
XM_026478203.3	4061	3907.01	144.305	2.23471
XM_026478206.2	939	785.011	2	0.154148
XM_026478207.3	1835	1681.01	1	0.0359926
XM_026478208.3	1465	1311.01	14224	656.446
XM_026478212.3	5507	5353.01	3	0.0339083
XM_026478213.3	1113	959.011	0	0
XM_026478215.3	1955	1801.01	36.7055	1.2331
XM_026478216.3	3721	3567.01	23.2898	0.395043
XM_026478217.3	1659	1505.01	16.3147	0.655879
XM_026478218.3	4039	3885.01	24.0781	0.374985
XM_026478219.3	6333	6179.01	1193	11.6817
XM_026478220.3	4558	4404.01	0	0
XM_026478221.1	1824	1670.01	0	0
XM_026478223.3	7229	7075.01	1018.87	8.71319
XM_026478225.3	4249	4095.01	74.8971	1.10661
XM_026478230.1	882	728.011	0	0
XM_026478231.3	2913	2759.01	7.41337	0.162572
XM_026478232.3	4392	4238.01	1808.66	25.8213
XM_026478237.3	4071	3917.01	45.307	0.699832
XM_026478240.3	2392	2238.01	32.6538	0.882786
XM_026478241.3	4790	4636.01	12.0783	0.157632
XM_026478243.3	7888	7734.01	16.3579	0.12797
XM_026478244.3	2279	2125.01	10.6791	0.30406
XM_026478256.3	15206	15052	0.000365223	1.46807e-06
XM_026478257.3	2506	2352.01	0	0
XM_026478258.3	2525	2371.01	21.5631	0.550252
XM_026478259.3	6504	6350.01	1534.26	14.6187
XM_026478260.3	2509	2355.01	7.29106	0.187319
XM_026478261.3	2458	2304.01	327.77	8.60733
XM_026478262.3	3255	3101.01	24.1201	0.470608
XM_026478263.3	2242	2088.01	10	0.289768
XM_026478265.3	5688	5534.01	47.7115	0.521635
XM_026478267.3	6675	6521.01	48.2599	0.44777
XM_026478270.3	1033	879.011	242	16.6573
XM_026478271.3	1861	1707.01	580.777	20.5853
XM_026478272.3	4162	4008.01	491.44	7.41866
XM_026478273.3	930	776.011	10609	827.161
XM_026478274.3	1809	1655.01	6	0.219348
XM_026478276.3	5005	4851.01	29.0554	0.362392
XM_026478278.3	5047	4893.01	11.7541	0.145344
XM_026478279.3	5035	4881.01	1.32153e-05	1.63814e-07
XM_026478280.3	4894	4740.01	0.212297	0.00270987
XM_026478282.3	8406	8252.01	13.5282	0.0991887
XM_026478283.3	8394	8240.01	1.11838	0.00821194
XM_026478284.3	8294	8140.01	316.063	2.34927
XM_026478285.3	8279	8125.01	40.4258	0.301036
XM_026478290.3	4690	4536.01	1871	24.9565
XM_026478291.3	7074	6920.01	302.694	2.64655
XM_026478292.3	6933	6779.01	58.2646	0.520022
XM_026478293.3	6961	6807.01	198.698	1.76612
XM_026478295.3	6712	6558.01	30.3428	0.279941
XM_026478296.3	9714	9560.01	0	0
XM_026478297.3	4637	4483.01	18.0843	0.244071
XM_026478298.3	4580	4426.01	35.7766	0.489069
XM_026478299.3	9699	9545.01	0	0
XM_026478300.3	4622	4468.01	64.5292	0.873827
XM_026478303.3	9076	8922.01	13.5428	0.0918396
XM_026478308.3	9177	9023.01	595.918	3.99593
XM_026478309.3	1777	1623.01	420	15.6571
XM_026478311.3	1579	1425.01	231.799	9.84187
XM_026478312.3	2647	2493.01	248	6.01881
XM_026478313.3	513	359.091	0	0
XM_026478317.3	5855	5701.01	572.547	6.07635
XM_026478318.3	3547	3393.01	119	2.122
XM_026478320.3	8741	8587.01	0	0
XM_026478321.3	3804	3650.01	2951	48.9169
XM_026478322.3	2471	2317.01	36.3637	0.949562
XM_026478323.3	2809	2655.01	15.8033	0.360135
XM_026478326.3	5940	5786.01	44.3023	0.463266
XM_026478327.3	2519	2365.01	20.148	0.515445
XM_026478328.3	9165	9011.01	0	0
XM_026478329.3	6861	6707.01	92.5664	0.835041
XM_026478331.3	1885	1731.01	187.495	6.5535
XM_026478335.3	2818	2664.01	705	16.0117
XM_026478337.3	3820	3666.01	0	0
XM_026478339.3	11121	10967	41.9257	0.2313
XM_026478340.3	11278	11124	224.472	1.22091
XM_026478341.3	6045	5891.01	92.9379	0.954523
XM_026478347.3	3434	3280.01	0	0
XM_026478348.3	907	753.011	949	76.2515
XM_026478350.3	3299	3145.01	139.162	2.67721
XM_026478352.3	1414	1260.01	20.6192	0.990107
XM_026478353.3	1391	1237.01	97.3808	4.76303
XM_026478355.3	1613	1459.01	377.713	15.6634
XM_026478356.3	1219	1065.01	16.2865	0.925248
XM_026478358.3	1976	1822.01	113.722	3.77638
XM_026478361.3	335	184.452	0	0
XM_026478362.3	1440	1286.01	33737	1587.25
XM_026478365.3	1806	1652.01	0	0
XM_026478366.3	2953	2799.01	70	1.51313
XM_026478368.3	1990	1836.01	43.2874	1.42649
XM_026478371.3	2783	2629.01	303.534	6.98551
XM_026478372.3	2782	2628.01	331.466	7.63125
XM_026478373.3	3090	2936.01	1	0.0206075
XM_026478374.3	2298	2144.01	0	0
XM_026478375.3	2175	2021.01	0	0
XM_026478376.3	1983	1829.01	0	0
XM_026478377.2	1899	1745.01	0	0
XM_026478378.2	1782	1628.01	0	0
XM_026478379.3	1764	1610.01	0	0
XM_026478380.3	605	451.011	18	2.41473
XM_026478382.3	1944	1790.01	104.451	3.53053
XM_026478383.3	1914	1760.01	41.9527	1.44221
XM_026478386.3	2059	1905.01	208.271	6.61478
XM_026478387.3	5606	5452.01	0	0
XM_026478388.3	5437	5283.01	0.00146578	1.6787e-05
XM_026478389.3	4186	4032.01	72	1.08042
XM_026478391.3	7161	7007.01	2308	19.929
XM_026478392.3	4871	4717.01	3656	46.8946
XM_026478393.3	2107	1953.01	0	0
XM_026478394.3	3354	3200.01	16.5101	0.312163
XM_026478396.3	1980	1826.01	642	21.2723
XM_026478397.3	1470	1316.01	13	0.597678
XM_026478400.3	5098	4944.01	366.964	4.49084
XM_026478401.3	4206	4052.01	7	0.104523
XM_026478403.2	1315	1161.01	0	0
XM_026478413.3	527	373.055	18057	2928.58
XM_026478414.3	5797	5643.01	26.5905	0.285102
XM_026478415.3	5787	5633.01	92.6738	0.995405
XM_026478417.3	5782	5628.01	8.593	0.092379
XM_026478418.3	5772	5618.01	30.5034	0.32851
XM_026478419.3	5766	5612.01	94.7077	1.02106
XM_026478420.3	5757	5603.01	265.523	2.86724
XM_026478421.3	5752	5598.01	25.0389	0.270623
XM_026478422.3	5742	5588.01	88.3235	0.956318
XM_026478423.3	14639	14485	87.8158	0.366807
XM_026478424.3	12168	12014	1190.18	5.9939
XM_026478426.3	2725	2571.01	1439	33.8642
XM_026478427.3	3132	2978.01	196.207	3.98632
XM_026478429.3	2934	2780.01	0	0
XM_026478431.2	1706	1552.01	0	0
XM_026478432.3	4236	4082.01	296.133	4.38931
XM_026478433.3	9958	9804.01	27.3131	0.168558
XM_026478435.3	11864	11710	2.5414e-06	1.3131e-08
XM_026478436.3	11736	11582	0	0
XM_026478437.2	1170	1016.01	0	0
XM_026478438.3	3358	3204.01	59	1.11414
XM_026478440.3	11861	11707	614.592	3.17632
XM_026478443.3	1892	1738.01	132	4.59521
XM_026478445.2	996	842.011	26	1.86827
XM_026478446.3	8351	8197.01	0	0
XM_026478448.3	8322	8168.01	19.9965	0.148122
XM_026478449.3	8343	8189.01	0	0
XM_026478450.3	8347	8193.01	13.3362	0.0984857
XM_026478451.3	9211	9057.01	0	0
XM_026478452.3	9208	9054.01	143.075	0.956103
XM_026478453.3	2394	2240.01	524.363	14.1633
XM_026478454.3	2401	2247.01	18276.6	492.124
XM_026478455.2	4157	4003.01	21	0.317407
XM_026478456.3	3058	2904.01	1211.8	25.2474
XM_026478458.3	18169	18015	1088.86	3.65698
XM_026478459.3	17911	17757	24.2409	0.0825965
XM_026478460.3	2874	2720.01	20.9654	0.466354
XM_026478461.3	5383	5229.01	1354	15.6669
XM_026478462.3	2452	2298.01	426.642	11.233
XM_026478463.3	6859	6705.01	909.079	8.20324
XM_026478464.3	7383	7229.01	189.932	1.58965
XM_026478465.3	7567	7413.01	40.6964	0.332158
XM_026478466.3	7394	7240.01	353.618	2.95515
XM_026478467.3	7382	7228.01	0	0
XM_026478468.3	7283	7129.01	0	0
XM_026478469.3	7190	7036.01	0	0
XM_026478470.3	7223	7069.01	0	0
XM_026478471.3	3606	3452.01	0	0
XM_026478472.3	789	635.011	0	0
XM_026478473.3	1807	1653.01	1	0.0366022
XM_026478474.3	705	551.011	0	0
XM_026478476.3	2229	2075.01	79.5875	2.32064
XM_026478478.3	2422	2268.01	676	18.0337
XM_026478479.3	3922	3768.01	104.23	1.67364
XM_026478480.3	3897	3743.01	57.9898	0.937376
XM_026478481.3	3784	3630.01	46.7864	0.779821
XM_026478482.3	3759	3605.01	0	0
XM_026478483.3	6695	6541.01	0	0
XM_026478485.3	6655	6501.01	19.3098	0.179714
XM_026478492.3	5348	5194.01	12.606	0.146845
XM_026478494.3	29744	29590	960.228	1.96342
XM_026478495.3	4099	3945.01	0	0
XM_026478496.3	4071	3917.01	0	0
XM_026478508.2	1563	1409.01	0	0
XM_026478509.3	3378	3224.01	142	2.66487
XM_026478510.3	1249	1095.01	252	13.9241
XM_026478514.3	4197	4043.01	231.268	3.46093
XM_026478515.3	1793	1639.01	468.198	17.2835
XM_026478517.3	3331	3177.01	411.323	7.83335
XM_026478518.3	3328	3174.01	272.604	5.19646
XM_026478521.3	2895	2741.01	148.338	3.27436
XM_026478522.3	804	650.011	124.95	11.6305
XM_026478524.3	2946	2792.01	123.012	2.66572
XM_026478527.3	2690	2536.01	22.988	0.548445
XM_026478528.3	2552	2398.01	904.854	22.8303
XM_026478529.3	2662	2508.01	21.1461	0.510134
XM_026478531.3	1315	1161.01	879.178	45.8167
XM_026478532.3	714	560.011	368.05	39.7643
XM_026478534.3	1354	1200.01	229.465	11.5695
XM_026478535.3	3220	3066.01	142.032	2.80282
XM_026478536.3	3226	3072.01	36.071	0.710426
XM_026478539.3	752	598.011	2149	217.426
XM_026478540.3	1929	1775.01	5	0.170433
XM_026478541.3	5671	5517.01	3.74116	0.0410285
XM_026478543.3	3350	3196.01	15.2588	0.288866
XM_026478544.3	4146	3992.01	107.676	1.63196
XM_026478545.3	8428	8274.01	241.375	1.76506
XM_026478546.3	4180	4026.01	44.1697	0.663793
XM_026478548.3	4847	4693.01	33.1545	0.42744
XM_026478549.3	8569	8415.01	91	0.65429
XM_026478553.3	5480	5326.01	404.465	4.59475
XM_026478554.3	8413	8259.01	176.374	1.29208
XM_026478555.3	5414	5260.01	28.5354	0.328232
XM_026478556.3	6915	6761.01	0	0
XM_026478557.3	3410	3256.01	184.815	3.43428
XM_026478564.3	10082	9928.01	585	3.56514
XM_026478565.3	1446	1292.01	224.528	10.5145
XM_026478566.3	4481	4327.01	574	8.02615
XM_026478568.3	1447	1293.01	89.5554	4.19057
XM_026478569.3	1580	1426.01	47.616	2.02029
XM_026478570.3	10374	10220	494.408	2.92696
XM_026478572.3	14600	14446	797.191	3.33886
XM_026478573.3	2048	1894.01	4	0.127779
XM_026478575.3	4220	4066.01	0	0
XM_026478577.3	4109	3955.01	0	0
XM_026478578.3	3990	3836.01	25.7193	0.405661
XM_026478583.3	3888	3734.01	39.99	0.647976
