target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1466.35	0	0
XM_026478080.3	6046	5903.35	2.53223	0.0842633
XM_026478083.3	2509	2366.35	0	0
XM_026478085.3	2434	2291.35	0	0
XM_026478086.3	2425	2282.35	255.408	21.983
XM_026478087.3	2288	2145.35	8.86703	0.811921
XM_026478088.3	2224	2081.35	58.7249	5.54257
XM_026478089.3	3098	2955.35	91.493	6.08153
XM_026478090.3	1357	1214.35	8.23552	1.33224
XM_026478091.3	1312	1169.35	5.16615	0.867874
XM_026478092.3	1300	1157.35	47.5983	8.07907
XM_026478094.3	1697	1554.35	15.6893	1.98284
XM_026478095.3	3596	3453.35	131.146	7.46016
XM_026478097.3	993	850.348	2.40691e-08	5.56029e-09
XM_026478098.3	10841	10698.3	3.52179	0.0646667
XM_026478099.3	2079	1936.35	3.47986	0.35303
XM_026478100.3	7847	7704.35	221.601	5.65027
XM_026478101.3	6255	6112.35	17.3991	0.55918
XM_026478102.3	4900	4757.35	17.9338	0.740527
XM_026478103.3	1628	1485.35	42.0662	5.56338
XM_026478105.3	4341	4198.35	55	2.57346
XM_026478106.1	1359	1216.35	0	0
XM_026478107.1	1359	1216.35	0	0
XM_026478108.3	4405	4262.35	26.0872	1.2023
XM_026478109.3	4078	3935.35	40.1614	2.00474
XM_026478110.3	4041	3898.35	4.75141	0.239428
XM_026478114.3	3144	3001.35	10.6773	0.698844
XM_026478122.3	5800	5657.35	0	0
XM_026478124.3	5185	5042.35	3.5872	0.139751
XM_026478126.3	4573	4430.35	30.7787	1.36473
XM_026478127.3	1566	1423.35	390	53.8254
XM_026478128.3	1294	1151.35	535.657	91.3933
XM_026478129.3	1343	1200.35	57.4046	9.39448
XM_026478130.3	1386	1243.35	117.595	18.5794
XM_026478131.3	1762	1619.35	14.3185	1.73697
XM_026478132.3	1759	1616.35	14.6815	1.7843
XM_026478133.2	3175	3032.35	20205	1308.92
XM_026478135.3	3662	3519.35	12	0.669812
XM_026478136.3	3554	3411.35	574	33.0537
XM_026478139.3	2722	2579.35	25.0981	1.91146
XM_026478140.3	2348	2205.35	90.0642	8.02249
XM_026478142.3	4236	4093.35	0	0
XM_026478143.3	338	196.492	272	271.93
XM_026478144.3	8601	8458.35	1.7759	0.0412446
XM_026478146.3	3833	3690.35	50.214	2.67295
XM_026478150.3	2311	2168.35	246	22.2864
XM_026478151.3	6755	6612.35	0	0
XM_026478153.3	7000	6857.35	0	0
XM_026478159.3	2152	2009.35	0	0
XM_026478163.3	9279	9136.35	1.20815	0.0259766
XM_026478165.3	2434	2291.35	215.377	18.4647
XM_026478167.3	1687	1544.35	0	0
XM_026478168.3	2138	1995.35	4	0.393799
XM_026478169.3	9315	9172.35	1489	31.8895
XM_026478170.3	3852	3709.35	25.8672	1.36989
XM_026478173.3	4464	4321.35	2.0026	0.0910351
XM_026478174.3	5197	5054.35	4.74395	0.184378
XM_026478175.3	8598	8455.35	177.598	4.12609
XM_026478176.3	11857	11714.3	83.0353	1.39245
XM_026478179.3	8427	8284.35	370.689	8.78992
XM_026478180.3	843	700.348	0	0
XM_026478181.3	2987	2844.35	95	6.56107
XM_026478182.3	8430	8287.35	946.463	22.4348
XM_026478183.3	10477	10334.3	91	1.72978
XM_026478185.3	3015	2872.35	0	0
XM_026478189.3	2391	2248.35	220.962	19.3058
XM_026478191.3	6588	6445.35	81.864	2.49506
XM_026478192.3	6767	6624.35	0	0
