target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1477.27	369.892	23.3434
XM_026478080.3	6046	5914.27	0	0
XM_026478083.3	2509	2377.27	0	0
XM_026478085.3	2434	2302.27	0	0
XM_026478086.3	2425	2293.27	221.477	9.00374
XM_026478087.3	2288	2156.27	12.8378	0.555057
XM_026478088.3	2224	2092.27	45.6851	2.03566
XM_026478089.3	3098	2966.27	89.7453	2.82066
XM_026478090.3	1357	1225.27	3.49671e-05	2.66059e-06
XM_026478091.3	1312	1180.27	7.32544	0.578631
XM_026478092.3	1300	1168.27	101.675	8.11369
XM_026478094.3	1697	1565.27	34.37	2.0471
XM_026478095.3	3596	3464.27	22.63	0.609006
XM_026478097.3	993	861.27	0	0
XM_026478098.3	10841	10709.3	0	0
XM_026478099.3	2079	1947.27	0	0
XM_026478100.3	7847	7715.27	283.709	3.42825
XM_026478101.3	6255	6123.27	97.2905	1.48128
XM_026478102.3	4900	4768.27	42.0022	0.821222
XM_026478103.3	1628	1496.27	56.6599	3.53033
XM_026478105.3	4341	4209.27	35	0.775194
XM_026478106.1	1359	1227.27	0	0
XM_026478107.1	1359	1227.27	0	0
XM_026478108.3	4405	4273.27	45.8011	0.999228
XM_026478109.3	4078	3946.27	54.4325	1.28594
XM_026478110.3	4041	3909.27	14.7665	0.352152
XM_026478114.3	3144	3012.27	0	0
XM_026478122.3	5800	5668.27	0	0
XM_026478124.3	5185	5053.27	10.499	0.193698
XM_026478126.3	4573	4441.27	7.50826	0.157609
XM_026478127.3	1566	1434.27	114	7.41009
XM_026478128.3	1294	1162.27	335.081	26.8777
XM_026478129.3	1343	1211.27	120.839	9.30073
XM_026478130.3	1386	1254.27	12.1605	0.903879
XM_026478131.3	1762	1630.27	11.6803	0.667953
XM_026478132.3	1759	1627.27	95.3197	5.461
XM_026478133.2	3175	3043.27	17356.9	531.718
XM_026478135.3	3662	3530.27	13	0.343309
XM_026478136.3	3554	3422.27	483	13.1578
XM_026478139.3	2722	2590.27	130.002	4.679
XM_026478140.3	2348	2216.27	64.3765	2.70803
XM_026478142.3	4236	4104.27	0	0
XM_026478143.3	338	207.697	232	104.137
XM_026478144.3	8601	8469.27	8.88136	0.0977649
XM_026478146.3	3833	3701.27	36.7677	0.926115
XM_026478150.3	2311	2179.27	178	7.6148
XM_026478151.3	6755	6623.27	0	0
XM_026478153.3	7000	6868.27	0	0
XM_026478159.3	2152	2020.27	0	0
XM_026478163.3	9279	9147.27	0	0
XM_026478165.3	2434	2302.27	864.245	34.9969
XM_026478167.3	1687	1555.27	0	0
XM_026478168.3	2138	2006.27	33	1.53346
XM_026478169.3	9315	9183.27	2182	22.1517
XM_026478170.3	3852	3720.27	27.5332	0.689973
XM_026478173.3	4464	4332.27	24.1633	0.519984
XM_026478174.3	5197	5065.27	24.1901	0.44523
XM_026478175.3	8598	8466.27	387.498	4.26704
XM_026478176.3	11857	11725.3	87.8749	0.6987
XM_026478179.3	8427	8295.27	1068.4	12.0075
XM_026478180.3	843	711.27	0	0
XM_026478181.3	2987	2855.27	169	5.51809
XM_026478182.3	8430	8298.27	137.103	1.54032
XM_026478183.3	10477	10345.3	5420	48.8435
XM_026478185.3	3015	2883.27	0	0
XM_026478189.3	2391	2259.27	274.214	11.3154
XM_026478191.3	6588	6456.27	151.551	2.1884
XM_026478192.3	6767	6635.27	0	0
XM_026478193.3	6597	6465.27	0	0
XM_026478194.3	6585	6453.27	184.382	2.66371
XM_026478195.3	5023	4891.27	4.66427	0.088902
XM_026478196.3	6484	6352.27	0	0
XM_026478199.3	4589	4457.27	2961.95	61.9524
XM_026478200.3	4000	3868.27	159	3.83204
XM_026478202.3	21305	21173.3	0	0
XM_026478203.3	4061	3929.27	99.1428	2.35233
XM_026478206.2	939	807.27	1	0.115486
XM_026478207.3	1835	1703.27	0	0
XM_026478208.3	1465	1333.27	6714	469.475
XM_026478212.3	5507	5375.27	2	0.034688
XM_026478213.3	1113	981.27	0	0
XM_026478215.3	1955	1823.27	9.98097	0.510353
XM_026478216.3	3721	3589.27	22.1227	0.574622
XM_026478217.3	1659	1527.27	0	0
XM_026478218.3	4039	3907.27	14.3485	0.342358
XM_026478219.3	6333	6201.27	430	6.46453
XM_026478220.3	4558	4426.27	0	0
XM_026478221.1	1824	1692.27	0	0
XM_026478223.3	7229	7097.27	907.758	11.9242
XM_026478225.3	4249	4117.27	0	0
XM_026478230.1	882	750.27	0	0
XM_026478231.3	2913	2781.27	0.00459822	0.000154133
XM_026478232.3	4392	4260.27	427	9.34415
XM_026478237.3	4071	3939.27	20.8086	0.492466
XM_026478240.3	2392	2260.27	8.53271	0.351946
XM_026478241.3	4790	4658.27	0	0
XM_026478243.3	7888	7756.27	4.85669	0.0583763
XM_026478244.3	2279	2147.27	0	0
XM_026478256.3	15206	15074.3	122.448	0.757295
XM_026478257.3	2506	2374.27	6.62365	0.260086
XM_026478258.3	2525	2393.27	2.10737e-05	8.20914e-07
XM_026478259.3	6504	6372.27	728.446	10.6574
XM_026478260.3	2509	2377.27	0	0
XM_026478261.3	2458	2326.27	179.835	7.20716
XM_026478262.3	3255	3123.27	5.34418	0.159522
XM_026478263.3	2242	2110.27	7	0.30925
XM_026478265.3	5688	5556.27	5.00516	0.0839816
XM_026478267.3	6675	6543.27	37.1189	0.528871
XM_026478270.3	1033	901.27	142	14.6887
XM_026478271.3	1861	1729.27	314.439	16.9521
XM_026478272.3	4162	4030.27	240.561	5.56469
XM_026478273.3	930	798.27	7441	869.022
XM_026478274.3	1809	1677.27	7	0.389085
XM_026478276.3	5005	4873.27	0	0
XM_026478278.3	5047	4915.27	0	0
XM_026478279.3	5035	4903.27	24.6732	0.469126
XM_026478280.3	4894	4762.27	0.0522729	0.00102332
XM_026478282.3	8406	8274.27	5.61977	0.0633196
XM_026478283.3	8394	8262.27	5.64134	0.0636549
XM_026478284.3	8294	8162.27	9.21354	0.105236
XM_026478285.3	8279	8147.27	14.2091	0.162594
XM_026478290.3	4690	4558.27	1101	22.5183
XM_026478291.3	7074	6942.27	141.687	1.90273
XM_026478292.3	6933	6801.27	39.8083	0.545673
XM_026478293.3	6961	6829.27	88.5537	1.20888
XM_026478295.3	6712	6580.27	11.951	0.169321
XM_026478296.3	9714	9582.27	53.9437	0.524833
XM_026478297.3	4637	4505.27	6.45651	0.133606
XM_026478298.3	4580	4448.27	7.07979e-05	1.48381e-06
XM_026478299.3	9699	9567.27	0.0250361	0.000243965
XM_026478300.3	4622	4490.27	87.2132	1.81075
XM_026478303.3	9076	8944.27	4.39522	0.0458126
XM_026478308.3	9177	9045.27	376.615	3.88173
XM_026478309.3	1777	1645.27	179	10.143
XM_026478311.3	1579	1447.27	87.4392	5.63256
XM_026478312.3	2647	2515.27	75	2.77988
XM_026478313.3	513	381.459	0	0
XM_026478317.3	5855	5723.27	333.912	5.43923
XM_026478318.3	3547	3415.27	72	1.96543
XM_026478320.3	8741	8609.27	29.7197	0.32183
XM_026478321.3	3804	3672.27	682	17.3141
XM_026478322.3	2471	2339.27	53.4596	2.13056
XM_026478323.3	2809	2677.27	13.387	0.466166
XM_026478326.3	5940	5808.27	3.39074e-06	5.44247e-08
XM_026478327.3	2519	2387.27	0	0
XM_026478328.3	9165	9033.27	9.55928	0.0986573
XM_026478329.3	6861	6729.27	30.2683	0.419343
XM_026478331.3	1885	1753.27	92.4119	4.91392
XM_026478335.3	2818	2686.27	324	11.2446
XM_026478337.3	3820	3688.27	0	0
XM_026478339.3	11121	10989.3	61.2469	0.519595
XM_026478340.3	11278	11146.3	43.8204	0.366518
XM_026478341.3	6045	5913.27	21.7004	0.342128
XM_026478347.3	3434	3302.27	0	0
XM_026478348.3	907	775.27	601	72.2721
XM_026478350.3	3299	3167.27	17.1669	0.505309
XM_026478352.3	1414	1282.27	82.1708	5.9743
XM_026478353.3	1391	1259.27	17.8292	1.31997
XM_026478355.3	1613	1481.27	206.479	12.9955
XM_026478356.3	1219	1087.27	89.5207	7.67601
XM_026478358.3	1976	1844.27	50.2362	2.53946
XM_026478361.3	335	204.78	4.76381	2.16878
XM_026478362.3	1440	1308.27	17036	1214
XM_026478365.3	1806	1674.27	0	0
XM_026478366.3	2953	2821.27	27	0.892213
XM_026478368.3	1990	1858.27	61.8908	3.10504
XM_026478371.3	2783	2651.27	193.054	6.78851
XM_026478372.3	2782	2650.27	158.946	5.59124
XM_026478373.3	3090	2958.27	0	0
XM_026478374.3	2298	2166.27	0	0
XM_026478375.3	2175	2043.27	0	0
XM_026478376.3	1983	1851.27	0	0
XM_026478377.2	1899	1767.27	0	0
XM_026478378.2	1782	1650.27	0	0
XM_026478379.3	1764	1632.27	0	0
XM_026478380.3	605	473.369	7	1.37863
XM_026478382.3	1944	1812.27	99.1633	5.10126
XM_026478383.3	1914	1782.27	0	0
XM_026478386.3	2059	1927.27	167.785	8.11636
XM_026478387.3	5606	5474.27	3	0.051091
XM_026478388.3	5437	5305.27	0	0
XM_026478389.3	4186	4054.27	93	2.13855
XM_026478391.3	7161	7029.27	684	9.07183
XM_026478392.3	4871	4739.27	2531	49.7886
XM_026478393.3	2107	1975.27	2	0.0943958
XM_026478394.3	3354	3222.27	38.9462	1.12681
XM_026478396.3	1980	1848.27	480	24.2117
XM_026478397.3	1470	1338.27	5	0.348318
XM_026478400.3	5098	4966.27	176	3.30394
XM_026478401.3	4206	4074.27	2	0.0457646
XM_026478403.2	1315	1183.27	0	0
XM_026478413.3	527	395.459	13356	3148.65
XM_026478414.3	5797	5665.27	0	0
XM_026478415.3	5787	5655.27	1.42941e-07	2.35641e-09
XM_026478417.3	5782	5650.27	1.95767e-08	3.23012e-10
XM_026478418.3	5772	5640.27	1.04142e-07	1.72138e-09
XM_026478419.3	5766	5634.27	0.036542	0.000604649
XM_026478420.3	5757	5625.27	172.099	2.85222
XM_026478421.3	5752	5620.27	24.9701	0.414203
XM_026478422.3	5742	5610.27	133.202	2.21348
XM_026478423.3	14639	14507.3	129.868	0.834574
XM_026478424.3	12168	12036.3	745.132	5.77153
XM_026478426.3	2725	2593.27	1135	40.8035
XM_026478427.3	3132	3000.27	266.847	8.29184
XM_026478429.3	2934	2802.27	0	0
XM_026478431.2	1706	1574.27	5.15331	0.30518
XM_026478432.3	4236	4104.27	122.268	2.77733
XM_026478433.3	9958	9826.27	16	0.151803
