target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1474.68	0	0
XM_026478080.3	6046	5911.68	20.6714	1.78836
XM_026478083.3	2509	2374.68	0	0
XM_026478085.3	2434	2299.68	2	0.444793
XM_026478086.3	2425	2290.68	0	0
XM_026478087.3	2288	2153.68	0	0
XM_026478088.3	2224	2089.68	0	0
XM_026478089.3	3098	2963.68	119.206	20.5714
XM_026478090.3	1357	1222.68	4.3579	1.82289
XM_026478091.3	1312	1177.68	1.066e-06	4.6294e-07
XM_026478092.3	1300	1165.68	15.6421	6.86296
XM_026478094.3	1697	1562.68	0	0
XM_026478095.3	3596	3461.68	0	0
XM_026478097.3	993	858.677	0	0
XM_026478098.3	10841	10706.7	8.47331	0.404756
XM_026478099.3	2079	1944.68	0.125438	0.0329895
XM_026478100.3	7847	7712.68	50.6495	3.35865
XM_026478101.3	6255	6120.68	45.3505	3.78946
XM_026478102.3	4900	4765.68	1.44721	0.155311
XM_026478103.3	1628	1493.68	9.17205e-08	3.14054e-08
XM_026478105.3	4341	4206.68	2	0.243156
XM_026478106.1	1359	1224.68	0	0
XM_026478107.1	1359	1224.68	0	0
XM_026478108.3	4405	4270.68	0	0
XM_026478109.3	4078	3943.68	14	1.81561
XM_026478110.3	4041	3906.68	0	0
XM_026478114.3	3144	3009.68	6.86103	1.16591
XM_026478122.3	5800	5665.68	0	0
XM_026478124.3	5185	5050.68	16.4859	1.66939
XM_026478126.3	4573	4438.68	20.5466	2.36745
XM_026478127.3	1566	1431.68	30	10.7169
XM_026478128.3	1294	1159.68	39	17.1998
XM_026478129.3	1343	1208.68	0	0
XM_026478130.3	1386	1251.68	11	4.49464
XM_026478131.3	1762	1627.68	0.0930875	0.0292495
XM_026478132.3	1759	1624.68	0.906913	0.285492
XM_026478133.2	3175	3040.68	1445.86	243.193
XM_026478135.3	3662	3527.68	3	0.434938
XM_026478136.3	3554	3419.68	100	14.9558
XM_026478139.3	2722	2587.68	0	0
XM_026478140.3	2348	2213.68	0	0
XM_026478142.3	4236	4101.68	0	0
XM_026478143.3	338	204.65	8	19.9928
XM_026478144.3	8601	8466.68	0	0
XM_026478146.3	3833	3698.68	1.05656	0.146098
XM_026478150.3	2311	2176.68	28	6.57898
XM_026478151.3	6755	6620.68	0	0
XM_026478153.3	7000	6865.68	0	0
XM_026478159.3	2152	2017.68	8	2.02784
XM_026478163.3	9279	9144.68	53.7522	3.00623
XM_026478165.3	2434	2299.68	26.6472	5.92625
XM_026478167.3	1687	1552.68	23.9971	7.90446
XM_026478168.3	2138	2003.68	24	6.12602
XM_026478169.3	9315	9180.68	137.055	7.63512
XM_026478170.3	3852	3717.68	7.94581	1.0931
XM_026478173.3	4464	4329.68	14.026	1.65682
XM_026478174.3	5197	5062.68	53.5447	5.40918
XM_026478175.3	8598	8463.68	0	0
XM_026478176.3	11857	11722.7	35.7049	1.55774
XM_026478179.3	8427	8292.68	128.058	7.89779
XM_026478180.3	843	708.677	1570	1133.04
XM_026478181.3	2987	2852.68	14	2.50998
XM_026478182.3	8430	8295.68	0.00231135	0.000142498
XM_026478183.3	10477	10342.7	54	2.67027
XM_026478185.3	3015	2880.68	0	0
XM_026478189.3	2391	2256.68	258.958	58.6887
XM_026478191.3	6588	6453.68	17.8201	1.41221
XM_026478192.3	6767	6632.68	0	0
XM_026478193.3	6597	6462.68	4.09322e-08	3.23927e-09
XM_026478194.3	6585	6450.68	93.0835	7.38009
XM_026478195.3	5023	4888.68	7.98909	0.835796
XM_026478196.3	6484	6349.68	0	0
XM_026478199.3	4589	4454.68	163.146	18.7308
XM_026478200.3	4000	3865.68	173.879	23.0047
XM_026478202.3	21305	21170.7	34.9116	0.843393
XM_026478203.3	4061	3926.68	33.8422	4.40787
XM_026478206.2	939	804.677	0	0
XM_026478207.3	1835	1700.68	0	0
XM_026478208.3	1465	1330.68	1047	402.41
XM_026478212.3	5507	5372.68	11.0896	1.05565
XM_026478213.3	1113	978.677	0	0
XM_026478215.3	1955	1820.68	0	0
XM_026478216.3	3721	3586.68	74.5071	10.6243
XM_026478217.3	1659	1524.68	0	0
XM_026478218.3	4039	3904.68	42.6659	5.58843
XM_026478219.3	6333	6198.68	125	10.3135
XM_026478220.3	4558	4423.68	2	0.231228
XM_026478221.1	1824	1689.68	0	0
XM_026478223.3	7229	7094.68	23.4394	1.6897
XM_026478225.3	4249	4114.68	0	0
XM_026478230.1	882	747.677	0	0
XM_026478231.3	2913	2778.68	0	0
XM_026478232.3	4392	4257.68	106.994	12.8523
XM_026478237.3	4071	3936.68	7.13887	0.927458
XM_026478240.3	2392	2257.68	4.55469	1.03179
XM_026478241.3	4790	4655.68	3.06452	0.336646
XM_026478243.3	7888	7753.68	25.4128	1.67625
XM_026478244.3	2279	2144.68	0	0
XM_026478256.3	15206	15071.7	0	0
XM_026478257.3	2506	2371.68	0	0
XM_026478258.3	2525	2390.68	7.3095	1.56373
XM_026478259.3	6504	6369.68	106.778	8.57349
XM_026478260.3	2509	2374.68	29.408	6.33367
XM_026478261.3	2458	2323.68	90.6867	19.9601
XM_026478262.3	3255	3120.68	18.4166	3.01826
XM_026478263.3	2242	2107.68	3	0.727967
XM_026478265.3	5688	5553.68	35.6437	3.28244
XM_026478267.3	6675	6540.68	68.0311	5.31961
XM_026478270.3	1033	898.677	32	18.2113
XM_026478271.3	1861	1726.68	40.5676	12.0161
XM_026478272.3	4162	4027.68	46.474	5.90133
XM_026478273.3	930	795.677	715	459.583
XM_026478274.3	1809	1674.68	4.55648	1.39153
XM_026478276.3	5005	4870.68	0	0
XM_026478278.3	5047	4912.68	0	0
XM_026478279.3	5035	4900.68	0	0
XM_026478280.3	4894	4759.68	0.194484	0.0208978
XM_026478282.3	8406	8271.68	2.57694	0.159333
XM_026478283.3	8394	8259.68	15.4577	0.957144
XM_026478284.3	8294	8159.68	0.591168	0.0370538
XM_026478285.3	8279	8144.68	5.72536	0.35952
XM_026478290.3	4690	4555.68	15	1.68397
XM_026478291.3	7074	6939.68	0.0242827	0.00178959
XM_026478292.3	6933	6798.68	16.8871	1.27035
XM_026478293.3	6961	6826.68	22.0887	1.65483
XM_026478295.3	6712	6577.68	0	0
XM_026478296.3	9714	9579.68	0.00169432	9.04564e-05
XM_026478297.3	4637	4502.68	5.60824e-06	6.37017e-07
XM_026478298.3	4580	4445.68	37.7061	4.33779
XM_026478299.3	9699	9564.68	0	0
XM_026478300.3	4622	4487.68	0.000344464	3.92569e-05
XM_026478303.3	9076	8941.68	18.8362	1.07738
XM_026478308.3	9177	9042.68	36.0606	2.03953
XM_026478309.3	1777	1642.68	68	21.1715
XM_026478311.3	1579	1444.68	31.8796	11.2859
XM_026478312.3	2647	2512.68	6	1.22126
XM_026478313.3	513	378.757	0	0
XM_026478317.3	5855	5720.68	89.5029	8.00174
XM_026478318.3	3547	3412.68	18	2.69757
XM_026478320.3	8741	8606.68	0	0
XM_026478321.3	3804	3669.68	448	62.4374
XM_026478322.3	2471	2336.68	0.626362	0.137095
XM_026478323.3	2809	2674.68	19.635	3.75452
XM_026478326.3	5940	5805.68	28.6997	2.52825
XM_026478327.3	2519	2384.68	0	0
XM_026478328.3	9165	9030.68	1.36455e-05	7.72792e-07
XM_026478329.3	6861	6726.68	6.70008e-06	5.09418e-07
XM_026478331.3	1885	1750.68	23	6.71919
XM_026478335.3	2818	2683.68	215	40.9735
XM_026478337.3	3820	3685.68	0	0
XM_026478339.3	11121	10986.7	0	0
XM_026478340.3	11278	11143.7	65.5227	3.00717
XM_026478341.3	6045	5910.68	34.7973	3.01095
XM_026478347.3	3434	3299.68	0	0
XM_026478348.3	907	772.677	108	71.486
XM_026478350.3	3299	3164.68	47.2373	7.63397
XM_026478352.3	1414	1279.68	0	0
XM_026478353.3	1391	1256.68	4	1.62791
XM_026478355.3	1613	1478.68	33.7646	11.6784
XM_026478356.3	1219	1084.68	0.235432	0.111009
XM_026478358.3	1976	1841.68	23	6.38718
XM_026478361.3	335	201.67	0	0
XM_026478362.3	1440	1305.68	1711	670.207
XM_026478365.3	1806	1671.68	0	0
XM_026478366.3	2953	2818.68	21	3.81038
XM_026478368.3	1990	1855.68	23.8172	6.56422
XM_026478371.3	2783	2648.68	49	9.46154
XM_026478372.3	2782	2647.68	0	0
XM_026478373.3	3090	2955.68	0	0
XM_026478374.3	2298	2163.68	0	0
XM_026478375.3	2175	2040.68	0	0
XM_026478376.3	1983	1848.68	0	0
XM_026478377.2	1899	1764.68	0	0
XM_026478378.2	1782	1647.68	0	0
XM_026478379.3	1764	1629.68	0	0
XM_026478380.3	605	470.677	8	8.69285
XM_026478382.3	1944	1809.68	22.4216	6.33665
XM_026478383.3	1914	1779.68	0	0
XM_026478386.3	2059	1924.68	38.4959	10.2294
XM_026478387.3	5606	5471.68	22.7554	2.12696
XM_026478388.3	5437	5302.68	0	0
XM_026478389.3	4186	4051.68	15	1.89344
XM_026478391.3	7161	7026.68	135	9.82604
XM_026478392.3	4871	4736.68	7	0.755821
XM_026478393.3	2107	1972.68	0	0
XM_026478394.3	3354	3219.68	3.1534	0.500913
XM_026478396.3	1980	1845.68	49	13.578
XM_026478397.3	1470	1335.68	2	0.765814
XM_026478400.3	5098	4963.68	108.345	11.1635
XM_026478401.3	4206	4071.68	4	0.502437
XM_026478403.2	1315	1180.68	0	0
XM_026478413.3	527	392.757	1005	1308.69
XM_026478414.3	5797	5662.68	7.63727e-05	6.89781e-06
XM_026478415.3	5787	5652.68	0.000676365	6.11958e-05
XM_026478417.3	5782	5647.68	0.00201573	0.000182539
XM_026478418.3	5772	5637.68	0.0179553	0.00162887
XM_026478419.3	5766	5631.68	0.0668126	0.00606758
XM_026478420.3	5757	5622.68	0.480837	0.043737
XM_026478421.3	5752	5617.68	1.44138	0.131225
