target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1481.53	0	0
XM_026478080.3	6046	5918.53	0	0
XM_026478083.3	2509	2381.53	0	0
XM_026478085.3	2434	2306.53	3	0.516469
XM_026478086.3	2425	2297.53	22.861	3.95109
XM_026478087.3	2288	2160.53	0	0
XM_026478088.3	2224	2096.53	9.13896	1.73092
XM_026478089.3	3098	2970.53	15.4322	2.06289
XM_026478090.3	1357	1229.53	0	0
XM_026478091.3	1312	1184.53	0	0
XM_026478092.3	1300	1172.53	30	10.1596
XM_026478094.3	1697	1569.53	3.7159	0.940105
XM_026478095.3	3596	3468.53	1.64346	0.188146
XM_026478097.3	993	865.534	0.494883	0.227039
XM_026478098.3	10841	10713.5	5.90661	0.218921
XM_026478099.3	2079	1951.53	0.148596	0.0302353
XM_026478100.3	7847	7719.53	23.5064	1.20914
XM_026478101.3	6255	6127.53	4.4936	0.2912
XM_026478102.3	4900	4772.53	8.69578	0.723506
XM_026478103.3	1628	1500.53	6.95783e-08	1.84124e-08
XM_026478105.3	4341	4213.53	1	0.0942402
XM_026478106.1	1359	1231.53	0	0
XM_026478107.1	1359	1231.53	0	0
XM_026478108.3	4405	4277.53	0	0
XM_026478109.3	4078	3950.53	23.7587	2.38808
XM_026478110.3	4041	3913.53	13.2413	1.34352
XM_026478114.3	3144	3016.53	6.01775	0.792152
XM_026478122.3	5800	5672.53	0	0
XM_026478124.3	5185	5057.53	1.26063	0.0989767
XM_026478126.3	4573	4445.53	18	1.6078
XM_026478127.3	1566	1438.53	210	57.9671
XM_026478128.3	1294	1166.53	54.9839	18.7163
XM_026478129.3	1343	1215.53	62	20.2538
XM_026478130.3	1386	1258.53	0	0
XM_026478131.3	1762	1634.53	0	0
XM_026478132.3	1759	1631.53	0	0
XM_026478133.2	3175	3047.53	622.131	81.0618
XM_026478135.3	3662	3534.53	2	0.224688
XM_026478136.3	3554	3426.53	29	3.36067
XM_026478139.3	2722	2594.53	0	0
XM_026478140.3	2348	2220.53	35.3296	6.31777
XM_026478142.3	4236	4108.53	0	0
XM_026478143.3	338	211.278	148	278.157
XM_026478144.3	8601	8473.53	0	0
XM_026478146.3	3833	3705.53	16.7705	1.79712
XM_026478150.3	2311	2183.53	227	41.2808
XM_026478151.3	6755	6627.53	0	0
XM_026478153.3	7000	6872.53	0	0
XM_026478159.3	2152	2024.53	0	0
XM_026478163.3	9279	9151.53	0.394982	0.0171382
XM_026478165.3	2434	2306.53	17.9779	3.09501
XM_026478167.3	1687	1559.53	0	0
XM_026478168.3	2138	2010.53	2	0.395004
XM_026478169.3	9315	9187.53	86	3.71691
XM_026478170.3	3852	3724.53	20.4721	2.18259
XM_026478173.3	4464	4336.53	2	0.183134
XM_026478174.3	5197	5069.53	0.280847	0.0219981
XM_026478175.3	8598	8470.53	424.454	19.8977
XM_026478176.3	11857	11729.5	6.53219	0.221136
XM_026478179.3	8427	8299.53	727.223	34.7934
XM_026478180.3	843	715.608	0	0
XM_026478181.3	2987	2859.53	22	3.05499
XM_026478182.3	8430	8302.53	232.322	11.1112
XM_026478183.3	10477	10349.5	94	3.60653
XM_026478185.3	3015	2887.53	0	0
XM_026478189.3	2391	2263.53	0	0
XM_026478191.3	6588	6460.53	1.70038e-07	1.04511e-08
XM_026478192.3	6767	6639.53	0	0
XM_026478193.3	6597	6469.53	2.78349e-08	1.70844e-09
XM_026478194.3	6585	6457.53	0	0
XM_026478195.3	5023	4895.53	1.55611	0.126219
XM_026478196.3	6484	6356.53	0	0
XM_026478199.3	4589	4461.53	91.6752	8.15925
XM_026478200.3	4000	3872.53	250	25.6346
XM_026478202.3	21305	21177.5	0	0
XM_026478203.3	4061	3933.53	12.1884	1.2304
XM_026478206.2	939	811.534	0	0
XM_026478207.3	1835	1707.53	2	0.465097
XM_026478208.3	1465	1337.53	206	61.1568
XM_026478212.3	5507	5379.53	0	0
XM_026478213.3	1113	985.534	0	0
XM_026478215.3	1955	1827.53	0	0
XM_026478216.3	3721	3593.53	32.2573	3.56442
XM_026478217.3	1659	1531.53	19.6162	5.08594
XM_026478218.3	4039	3911.53	1	0.101516
XM_026478219.3	6333	6205.53	105	6.71882
XM_026478220.3	4558	4430.53	0	0
XM_026478221.1	1824	1696.53	0	0
XM_026478223.3	7229	7101.53	62.82	3.5126
XM_026478225.3	4249	4121.53	51.5434	4.96589
XM_026478230.1	882	754.534	0	0
XM_026478231.3	2913	2785.53	5.77303	0.822958
XM_026478232.3	4392	4264.53	103	9.59065
XM_026478237.3	4071	3943.53	59.1104	5.95197
XM_026478240.3	2392	2264.53	8.33003	1.46066
XM_026478241.3	4790	4662.53	1.26827	0.108012
XM_026478243.3	7888	7760.53	11.0687	0.566353
XM_026478244.3	2279	2151.53	4.55323	0.840338
XM_026478256.3	15206	15078.5	0.0129213	0.000340274
XM_026478257.3	2506	2378.53	0	0
XM_026478258.3	2525	2397.53	0	0
XM_026478259.3	6504	6376.53	183.261	11.4122
