target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1446.73	196.252	15.2433
XM_026478080.3	6046	5883.73	4	0.0763939
XM_026478083.3	2509	2346.73	0	0
XM_026478085.3	2434	2271.73	0	0
XM_026478086.3	2425	2262.73	652.766	32.4172
XM_026478087.3	2288	2125.73	16.6688	0.881146
XM_026478088.3	2224	2061.73	107.565	5.86262
XM_026478089.3	3098	2935.73	248.952	9.52909
XM_026478090.3	1357	1194.73	6.60514	0.621246
XM_026478091.3	1312	1149.73	0	0
XM_026478092.3	1300	1137.73	119.395	11.7923
XM_026478094.3	1697	1534.73	21.6797	1.58735
XM_026478095.3	3596	3433.73	173.32	5.67197
XM_026478097.3	993	830.731	1.50631e-08	2.03754e-09
XM_026478098.3	10841	10678.7	6.52362	0.0686468
XM_026478099.3	2079	1916.73	0.397947	0.0233301
XM_026478100.3	7847	7684.73	645.034	9.43203
XM_026478101.3	6255	6092.73	229.966	4.24133
XM_026478102.3	4900	4737.73	5.39864	0.128046
XM_026478103.3	1628	1465.73	24.6014	1.88606
XM_026478105.3	4341	4178.73	25	0.672275
XM_026478106.1	1359	1196.73	0	0
XM_026478107.1	1359	1196.73	0	0
XM_026478108.3	4405	4242.73	59.8812	1.58598
XM_026478109.3	4078	3915.73	110.777	3.17899
XM_026478110.3	4041	3878.73	29.3414	0.850045
XM_026478114.3	3144	2981.73	12.3117	0.463981
XM_026478122.3	5800	5637.73	0	0
XM_026478124.3	5185	5022.73	5.81788	0.13016
XM_026478126.3	4573	4410.73	163.278	4.15975
XM_026478127.3	1566	1403.73	417	33.3813
XM_026478128.3	1294	1131.73	678.501	67.3688
XM_026478129.3	1343	1180.73	207.054	19.7053
XM_026478130.3	1386	1223.73	32.9461	3.0253
XM_026478131.3	1762	1599.73	280.108	19.6757
XM_026478132.3	1759	1596.73	559.892	39.4025
XM_026478133.2	3175	3012.73	13051.1	486.788
XM_026478135.3	3662	3499.73	8	0.256866
XM_026478136.3	3554	3391.73	503	16.6647
XM_026478139.3	2722	2559.73	36.5888	1.60622
XM_026478140.3	2348	2185.73	181.587	9.33555
XM_026478142.3	4236	4073.73	10.1085	0.278834
XM_026478143.3	338	178.607	223	140.3
XM_026478144.3	8601	8438.73	5.31451	0.0707681
XM_026478146.3	3833	3670.73	24.2933	0.74368
XM_026478150.3	2311	2148.73	452	23.6378
XM_026478151.3	6755	6592.73	0	0
XM_026478153.3	7000	6837.73	0	0
XM_026478159.3	2152	1989.73	0	0
XM_026478163.3	9279	9116.73	0	0
XM_026478165.3	2434	2271.73	1042.9	51.5867
XM_026478167.3	1687	1524.73	0	0
XM_026478168.3	2138	1975.73	50	2.84376
XM_026478169.3	9315	9152.73	1828.62	22.4504
XM_026478170.3	3852	3689.73	46.2159	1.4075
XM_026478173.3	4464	4301.73	24.0026	0.626998
XM_026478174.3	5197	5034.73	8.8418	0.19734
XM_026478175.3	8598	8435.73	228.232	3.04022
XM_026478176.3	11857	11694.7	76.6078	0.736095
XM_026478179.3	8427	8264.73	1747.72	23.7626
XM_026478180.3	843	680.731	0	0
XM_026478181.3	2987	2824.73	137	5.44998
XM_026478182.3	8430	8267.73	328.064	4.45885
XM_026478183.3	10477	10314.7	267	2.90874
XM_026478185.3	3015	2852.73	0	0
XM_026478189.3	2391	2228.73	218.994	11.0414
XM_026478191.3	6588	6425.73	506.661	8.86025
XM_026478192.3	6767	6604.73	77.0178	1.31035
XM_026478193.3	6597	6434.73	94.8666	1.65666
XM_026478194.3	6585	6422.73	672.978	11.7742
XM_026478195.3	5023	4860.73	31.0099	0.716885
XM_026478196.3	6484	6321.73	0	0
XM_026478199.3	4589	4426.73	1406.56	35.7049
XM_026478200.3	4000	3837.73	313	9.16476
XM_026478202.3	21305	21142.7	0	0
XM_026478203.3	4061	3898.73	230	6.62912
XM_026478206.2	939	776.731	2	0.289342
XM_026478207.3	1835	1672.73	2	0.134355
XM_026478208.3	1465	1302.73	11946	1030.43
XM_026478212.3	5507	5344.73	0	0
XM_026478213.3	1113	950.731	0	0
XM_026478215.3	1955	1792.73	8.05661	0.504997
XM_026478216.3	3721	3558.73	16.1249	0.509158
XM_026478217.3	1659	1496.73	7.72722	0.580137
XM_026478218.3	4039	3876.73	46.6308	1.35163
XM_026478219.3	6333	6170.73	961	17.5
XM_026478220.3	4558	4395.73	0	0
XM_026478221.1	1824	1661.73	0	0
XM_026478223.3	7229	7066.73	1356.84	21.5755
XM_026478225.3	4249	4086.73	87.1449	2.39617
XM_026478230.1	882	719.731	0	0
XM_026478231.3	2913	2750.73	0	0
XM_026478232.3	4392	4229.73	648.96	17.2408
XM_026478237.3	4071	3908.73	44.5542	1.28087
XM_026478240.3	2392	2229.73	60.0932	3.02847
XM_026478241.3	4790	4627.73	3.84252	0.0933037
XM_026478243.3	7888	7725.73	19.1804	0.278978
XM_026478244.3	2279	2116.73	4.79777	0.254698
XM_026478256.3	15206	15043.7	0.0442026	0.000330174
XM_026478257.3	2506	2343.73	0	0
XM_026478258.3	2525	2362.73	5.12298e-05	2.43646e-06
XM_026478259.3	6504	6341.73	828.878	14.687
XM_026478260.3	2509	2346.73	0	0
XM_026478261.3	2458	2295.73	270.084	13.2199
XM_026478262.3	3255	3092.73	7.85162	0.285278
XM_026478263.3	2242	2079.73	12	0.648374
XM_026478265.3	5688	5525.73	72.9943	1.4844
XM_026478267.3	6675	6512.73	126.132	2.17627
XM_026478270.3	1033	870.731	195	25.1653
XM_026478271.3	1861	1698.73	479.148	31.6954
XM_026478272.3	4162	3999.73	348.852	9.80081
XM_026478273.3	930	767.731	8502	1244.41
XM_026478274.3	1809	1646.73	10.0814	0.687941
XM_026478276.3	5005	4842.73	0.0295746	0.000686245
XM_026478278.3	5047	4884.73	0	0
XM_026478279.3	5035	4872.73	8.71773e-07	2.0104e-08
XM_026478280.3	4894	4731.73	6.79121	0.161279
XM_026478282.3	8406	8243.73	6.77541	0.0923555
XM_026478283.3	8394	8231.73	3.47095	0.0473814
XM_026478284.3	8294	8131.73	165.679	2.28947
XM_026478285.3	8279	8116.73	126.54	1.75185
XM_026478290.3	4690	4527.73	1579	39.188
XM_026478291.3	7074	6911.73	245.855	3.99709
XM_026478292.3	6933	6770.73	23.0607	0.382726
XM_026478293.3	6961	6798.73	86.2223	1.42509
XM_026478295.3	6712	6549.73	10.8621	0.186355
XM_026478296.3	9714	9551.73	0	0
XM_026478297.3	4637	4474.73	9.16357e-05	2.30117e-06
XM_026478298.3	4580	4417.73	86.3316	2.19595
XM_026478299.3	9699	9536.73	0	0
XM_026478300.3	4622	4459.73	0.00336347	8.47481e-05
XM_026478303.3	9076	8913.73	14.1251	0.178067
XM_026478308.3	9177	9014.73	673.607	8.39664
XM_026478309.3	1777	1614.73	406	28.2538
XM_026478311.3	1579	1416.73	277.132	21.9812
XM_026478312.3	2647	2484.73	29	1.31151
XM_026478313.3	513	350.936	0	0
XM_026478317.3	5855	5692.73	328.177	6.47796
XM_026478318.3	3547	3384.73	121	4.0171
XM_026478320.3	8741	8578.73	118.312	1.54973
XM_026478321.3	3804	3641.73	1451	44.7725
XM_026478322.3	2471	2308.73	44.8354	2.18222
XM_026478323.3	2809	2646.73	20.2368	0.859177
XM_026478326.3	5940	5777.73	74.2759	1.44458
XM_026478327.3	2519	2356.73	0.000966411	4.6079e-05
XM_026478328.3	9165	9002.73	0	0
XM_026478329.3	6861	6698.73	52.8718	0.886917
XM_026478331.3	1885	1722.73	163.291	10.6512
XM_026478335.3	2818	2655.73	732	30.9726
XM_026478337.3	3820	3657.73	3	0.0921639
XM_026478339.3	11121	10958.7	17.69	0.181392
XM_026478340.3	11278	11115.7	27.6133	0.279146
XM_026478341.3	6045	5882.73	71.572	1.36715
XM_026478347.3	3434	3271.73	0	0
XM_026478348.3	907	744.731	888	133.988
XM_026478350.3	3299	3136.73	43.4983	1.55828
XM_026478352.3	1414	1251.73	83.9596	7.53721
XM_026478353.3	1391	1228.73	0.0404464	0.00369892
XM_026478355.3	1613	1450.73	287	22.2304
XM_026478356.3	1219	1056.73	1.01065e-08	1.0747e-09
XM_026478358.3	1976	1813.73	205.69	12.7436
XM_026478361.3	335	175.625	0	0
XM_026478362.3	1440	1277.73	28025	2464.66
XM_026478365.3	1806	1643.73	0	0
XM_026478366.3	2953	2790.73	49	1.97301
XM_026478368.3	1990	1827.73	50.326	3.09408
XM_026478371.3	2783	2620.73	329.625	14.1335
XM_026478372.3	2782	2619.73	102.375	4.39125
XM_026478373.3	3090	2927.73	0	0
XM_026478374.3	2298	2135.73	0	0
XM_026478375.3	2175	2012.73	0	0
XM_026478376.3	1983	1820.73	0	0
XM_026478377.2	1899	1736.73	0	0
XM_026478378.2	1782	1619.73	0	0
XM_026478379.3	1764	1601.73	0	0
XM_026478380.3	605	442.777	39	9.89761
XM_026478382.3	1944	1781.73	39.7547	2.50725
XM_026478383.3	1914	1751.73	75.8348	4.86466
XM_026478386.3	2059	1896.73	123.565	7.32053
XM_026478387.3	5606	5443.73	0	0
XM_026478388.3	5437	5274.73	0	0
XM_026478389.3	4186	4023.73	80	2.23415
XM_026478391.3	7161	6998.73	1587	25.4806
XM_026478392.3	4871	4708.73	1452	34.6509
XM_026478393.3	2107	1944.73	1	0.0577819
XM_026478394.3	3354	3191.73	29.2624	1.03023
XM_026478396.3	1980	1817.73	242	14.9602
XM_026478397.3	1470	1307.73	15	1.28891
XM_026478400.3	5098	4935.73	119.248	2.71487
XM_026478401.3	4206	4043.73	0	0
XM_026478403.2	1315	1152.73	0	0
XM_026478413.3	527	364.9	17702	5451.29
XM_026478414.3	5797	5634.73	21.0331	0.41945
XM_026478415.3	5787	5624.73	97.3584	1.94502
XM_026478417.3	5782	5619.73	5.80028e-06	1.15981e-07
XM_026478418.3	5772	5609.73	57.3302	1.1484
XM_026478419.3	5766	5603.73	43.8616	0.879546
XM_026478420.3	5757	5594.73	167.217	3.35856
XM_026478421.3	5752	5589.73	9.32162e-06	1.87392e-07
XM_026478422.3	5742	5579.73	98.7651	1.98903
XM_026478423.3	14639	14476.7	62.3669	0.4841
XM_026478424.3	12168	12005.7	856.633	8.01784
XM_026478426.3	2725	2562.73	809	35.4729
XM_026478427.3	3132	2969.73	195.806	7.40901
XM_026478429.3	2934	2771.73	0	0
XM_026478431.2	1706	1543.73	7.48169	0.544602
XM_026478432.3	4236	4073.73	413.826	11.415
XM_026478433.3	9958	9795.73	30	0.34414
XM_026478435.3	11864	11701.7	0.0104636	0.00010048
XM_026478436.3	11736	11573.7	6.38747e-06	6.20165e-08
XM_026478437.2	1170	1007.73	0	0
XM_026478438.3	3358	3195.73	53.5364	1.88248
XM_026478440.3	11861	11698.7	534.537	5.13441
XM_026478443.3	1892	1729.73	120	7.79568
XM_026478445.2	996	833.731	15	2.0217
XM_026478446.3	8351	8188.73	0	0
XM_026478448.3	8322	8159.73	25.6197	0.352817
XM_026478449.3	8343	8180.73	3.63514	0.0499322
XM_026478450.3	8347	8184.73	60.3325	0.82832
XM_026478451.3	9211	9048.73	0	0
XM_026478452.3	9208	9045.73	56.6295	0.703478
XM_026478453.3	2394	2231.73	260.418	13.1124
XM_026478454.3	2401	2238.73	6425.58	322.524
XM_026478455.2	4157	3994.73	16	0.450074
XM_026478456.3	3058	2895.73	1436.94	55.7611
XM_026478458.3	18169	18006.7	775.814	4.84143
XM_026478459.3	17911	17748.7	15.0959	0.0955749
XM_026478460.3	2874	2711.73	16.6994	0.692
XM_026478461.3	5383	5220.73	735	15.82
XM_026478462.3	2452	2289.73	351.432	17.2468
