target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1495.95	0	0
XM_026478080.3	6046	5932.95	20.326	1.75968
XM_026478083.3	2509	2395.95	0	0
XM_026478085.3	2434	2320.95	3	0.663908
XM_026478086.3	2425	2311.95	0	0
XM_026478087.3	2288	2174.95	0	0
XM_026478088.3	2224	2110.95	0	0
XM_026478089.3	3098	2984.95	131.162	22.5697
XM_026478090.3	1357	1243.95	7.4433	3.07337
XM_026478091.3	1312	1198.95	0	0
XM_026478092.3	1300	1186.95	21.5567	9.32828
XM_026478094.3	1697	1583.95	0.202283	0.0655948
XM_026478095.3	3596	3482.95	4.51893	0.66641
XM_026478097.3	993	879.953	6.1858	3.61068
XM_026478098.3	10841	10728	0	0
XM_026478099.3	2079	1965.95	0.27483	0.0718034
XM_026478100.3	7847	7733.95	47.4374	3.15045
XM_026478101.3	6255	6141.95	50.5626	4.2284
XM_026478102.3	4900	4786.95	1.45368	0.155977
XM_026478103.3	1628	1514.95	1.8069e-07	6.12614e-08
XM_026478105.3	4341	4227.95	1	0.121485
XM_026478106.1	1359	1245.95	0	0
XM_026478107.1	1359	1245.95	0	0
XM_026478108.3	4405	4291.95	4.86309	0.581984
XM_026478109.3	4078	3964.95	7.13691	0.924539
XM_026478110.3	4041	3927.95	0	0
XM_026478114.3	3144	3030.95	0	0
XM_026478122.3	5800	5686.95	0	0
XM_026478124.3	5185	5071.95	18.3586	1.85916
XM_026478126.3	4573	4459.95	29.6844	3.41862
XM_026478127.3	1566	1452.95	27	9.54477
XM_026478128.3	1294	1180.95	55.9462	24.3328
XM_026478129.3	1343	1229.95	21	8.76968
XM_026478130.3	1386	1272.95	0	0
XM_026478131.3	1762	1648.95	3	0.934471
XM_026478132.3	1759	1645.95	0	0
XM_026478133.2	3175	3061.95	1718.72	288.311
XM_026478135.3	3662	3548.95	2	0.289456
XM_026478136.3	3554	3440.95	126	18.8081
XM_026478139.3	2722	2608.95	0	0
XM_026478140.3	2348	2234.95	19.4962	4.48059
XM_026478142.3	4236	4122.95	0	0
XM_026478143.3	338	225.045	6	13.6942
XM_026478144.3	8601	8487.95	5.48153	0.331705
XM_026478146.3	3833	3719.95	0	0
XM_026478150.3	2311	2197.95	33	7.71167
XM_026478151.3	6755	6641.95	0	0
XM_026478153.3	7000	6886.95	0	0
XM_026478159.3	2152	2038.95	3.00031	0.755808
XM_026478163.3	9279	9165.95	23.7229	1.32936
XM_026478165.3	2434	2320.95	105.911	23.4384
XM_026478167.3	1687	1573.95	0	0
XM_026478168.3	2138	2024.95	13	3.29747
XM_026478169.3	9315	9201.95	277.013	15.4622
XM_026478170.3	3852	3738.95	8.29153	1.13904
XM_026478173.3	4464	4350.95	8.07299	0.953022
XM_026478174.3	5197	5083.95	26.1231	2.63922
XM_026478175.3	8598	8484.95	0	0
XM_026478176.3	11857	11744	83.3117	3.64372
XM_026478179.3	8427	8313.95	217.824	13.4571
XM_026478180.3	843	729.953	130	91.4748
XM_026478181.3	2987	2873.95	19	3.39568
XM_026478182.3	8430	8316.95	2.27159e-05	1.40287e-06
XM_026478183.3	10477	10364	32	1.58591
XM_026478185.3	3015	2901.95	0	0
XM_026478189.3	2391	2277.95	251.367	56.6782
XM_026478191.3	6588	6474.95	32.7731	2.59976
XM_026478192.3	6767	6653.95	0	0
XM_026478193.3	6597	6483.95	37.1674	2.94425
XM_026478194.3	6585	6471.95	11.3237	0.898686
XM_026478195.3	5023	4909.95	17.979	1.8808
