target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1502.31	0	0
XM_026478080.3	6046	5939.31	19.0368	1.50153
XM_026478083.3	2509	2402.31	0	0
XM_026478085.3	2434	2327.31	1	0.20129
XM_026478086.3	2425	2318.31	0	0
XM_026478087.3	2288	2181.31	0	0
XM_026478088.3	2224	2117.31	1	0.221254
XM_026478089.3	3098	2991.31	103.765	16.2504
XM_026478090.3	1357	1250.31	0	0
XM_026478091.3	1312	1205.31	0	0
XM_026478092.3	1300	1193.31	17	6.67378
XM_026478094.3	1697	1590.31	3.98258	1.17317
XM_026478095.3	3596	3489.31	6.14065	0.824424
XM_026478097.3	993	886.309	1.30387	0.68917
XM_026478098.3	10841	10734.3	0	0
XM_026478099.3	2079	1972.31	0.0869945	0.020663
XM_026478100.3	7847	7740.31	74.1109	4.48538
XM_026478101.3	6255	6148.31	26.8891	2.04879
XM_026478102.3	4900	4793.31	2	0.195466
XM_026478103.3	1628	1521.31	1	0.307935
XM_026478105.3	4341	4234.31	1	0.110635
XM_026478106.1	1359	1252.31	0	0
XM_026478107.1	1359	1252.31	0	0
XM_026478108.3	4405	4298.31	2.67349	0.291378
XM_026478109.3	4078	3971.31	0	0
XM_026478110.3	4041	3934.31	6.32651	0.753307
XM_026478114.3	3144	3037.31	6.69757	1.03301
XM_026478122.3	5800	5693.31	0	0
XM_026478124.3	5185	5078.31	25.9168	2.39077
XM_026478126.3	4573	4466.31	13.6187	1.42845
XM_026478127.3	1566	1459.31	23	7.3834
XM_026478128.3	1294	1187.31	28.8738	11.3924
XM_026478129.3	1343	1236.31	13	4.92598
XM_026478130.3	1386	1279.31	0	0
XM_026478131.3	1762	1655.31	0	0
XM_026478132.3	1759	1652.31	0	0
XM_026478133.2	3175	3068.31	1526.13	233.006
XM_026478135.3	3662	3555.31	1	0.131765
XM_026478136.3	3554	3447.31	95	12.9098
XM_026478139.3	2722	2615.31	0	0
XM_026478140.3	2348	2241.31	44	9.19659
XM_026478142.3	4236	4129.31	2.46006	0.27909
XM_026478143.3	338	231.572	4	8.09187
XM_026478144.3	8601	8494.31	2.83696	0.156459
XM_026478146.3	3833	3726.31	0	0
XM_026478150.3	2311	2204.31	27	5.73809
XM_026478151.3	6755	6648.31	0	0
XM_026478153.3	7000	6893.31	47.0137	3.19501
XM_026478159.3	2152	2045.31	1.00439	0.230049
XM_026478163.3	9279	9172.31	4.7363	0.2419
XM_026478165.3	2434	2327.31	48.3879	9.74
XM_026478167.3	1687	1580.31	3.35955	0.995898
XM_026478168.3	2138	2031.31	12	2.76746
XM_026478169.3	9315	9208.31	174.67	8.88618
XM_026478170.3	3852	3745.31	19.3159	2.41603
XM_026478173.3	4464	4357.31	10.0459	1.08005
XM_026478174.3	5197	5090.31	44.7334	4.11684
XM_026478175.3	8598	8491.31	0	0
XM_026478176.3	11857	11750.3	67.7282	2.7002
XM_026478179.3	8427	8320.31	115.963	6.52916
XM_026478180.3	843	736.309	4144	2636.55
XM_026478181.3	2987	2880.31	12	1.95172
XM_026478182.3	8430	8323.31	0.00351945	0.000198087
XM_026478183.3	10477	10370.3	28	1.26486
XM_026478185.3	3015	2908.31	0	0
XM_026478189.3	2391	2284.31	114.546	23.4909
XM_026478191.3	6588	6481.31	0	0
XM_026478192.3	6767	6660.31	0	0
XM_026478193.3	6597	6490.31	0	0
XM_026478194.3	6585	6478.31	1.69803	0.122789
XM_026478195.3	5023	4916.31	6.03077	0.574658
XM_026478196.3	6484	6377.31	0	0
XM_026478199.3	4589	4482.31	103.749	10.8432
XM_026478200.3	4000	3893.31	92	11.0699
XM_026478202.3	21305	21198.3	9.17907e-05	2.02849e-06
XM_026478203.3	4061	3954.31	37	4.38336
XM_026478206.2	939	832.309	0	0
XM_026478207.3	1835	1728.31	7	1.89737
XM_026478208.3	1465	1358.31	935	322.47
XM_026478212.3	5507	5400.31	14.7343	1.27816
XM_026478213.3	1113	1006.31	0	0
XM_026478215.3	1955	1848.31	3.10968	0.788164
XM_026478216.3	3721	3614.31	0	0
XM_026478217.3	1659	1552.31	0	0
XM_026478218.3	4039	3932.31	24	2.85917
XM_026478219.3	6333	6226.31	150	11.2859
XM_026478220.3	4558	4451.31	2	0.210484
XM_026478221.1	1824	1717.31	0	0
XM_026478223.3	7229	7122.31	0.000953669	6.27268e-05
XM_026478225.3	4249	4142.31	16.2656	1.83952
XM_026478230.1	882	775.309	0	0
XM_026478231.3	2913	2806.31	0	0
XM_026478232.3	4392	4285.31	109.659	11.9878
XM_026478237.3	4071	3964.31	0	0
XM_026478240.3	2392	2285.31	0	0
XM_026478241.3	4790	4683.31	11.1396	1.11427
XM_026478243.3	7888	7781.31	36.5788	2.20218
XM_026478244.3	2279	2172.31	0	0
XM_026478256.3	15206	15099.3	0.155966	0.00483893
XM_026478257.3	2506	2399.31	5.58256	1.08999
XM_026478258.3	2525	2418.31	2.49462	0.483247
XM_026478259.3	6504	6397.31	122.355	8.95986
XM_026478260.3	2509	2402.31	6.55205	1.27769
XM_026478261.3	2458	2351.31	89.9499	17.9212
XM_026478262.3	3255	3148.31	15.2235	2.26523
XM_026478263.3	2242	2135.31	1	0.219389
XM_026478265.3	5688	5581.31	17.5715	1.47486
XM_026478267.3	6675	6568.31	0	0
XM_026478270.3	1033	926.309	21	10.6204
XM_026478271.3	1861	1754.31	53.2083	14.2085
XM_026478272.3	4162	4055.31	44.2715	5.11419
XM_026478273.3	930	823.309	576	327.745
XM_026478274.3	1809	1702.31	3	0.825579
XM_026478276.3	5005	4898.31	4.09687	0.391816
XM_026478278.3	5047	4940.31	3.24032	0.307263
XM_026478279.3	5035	4928.31	0.00621785	0.000591042
XM_026478280.3	4894	4787.31	2.87838	0.281665
XM_026478282.3	8406	8299.31	2.37896	0.134283
XM_026478283.3	8394	8287.31	11.0759	0.626097
XM_026478284.3	8294	8187.31	2.17878	0.124666
XM_026478285.3	8279	8172.31	15.3035	0.877245
XM_026478290.3	4690	4583.31	13	1.32874
XM_026478291.3	7074	6967.31	0	0
XM_026478292.3	6933	6826.31	9.63365	0.661121
XM_026478293.3	6961	6854.31	42.8901	2.93136
XM_026478295.3	6712	6605.31	4.47628	0.317468
XM_026478296.3	9714	9607.31	30.1373	1.46953
XM_026478297.3	4637	4530.31	2.28282e-05	2.36059e-06
XM_026478298.3	4580	4473.31	15.9894	1.67447
XM_026478299.3	9699	9592.31	0	0
XM_026478300.3	4622	4515.31	0	0
XM_026478303.3	9076	8969.31	12.3368	0.644347
XM_026478308.3	9177	9070.31	14.2881	0.73795
XM_026478309.3	1777	1670.31	61	17.1084
XM_026478311.3	1579	1472.31	28.5719	9.09108
XM_026478312.3	2647	2540.31	1	0.184412
XM_026478313.3	513	406.505	0	0
XM_026478317.3	5855	5748.31	120.998	9.86087
XM_026478318.3	3547	3440.31	25	3.40423
XM_026478320.3	8741	8634.31	0	0
XM_026478321.3	3804	3697.31	469	59.4242
XM_026478322.3	2471	2364.31	14.9997	2.97203
XM_026478323.3	2809	2702.31	0	0
XM_026478326.3	5940	5833.31	0	0
XM_026478327.3	2519	2412.31	0	0
XM_026478328.3	9165	9058.31	0	0
XM_026478329.3	6861	6754.31	0	0
XM_026478331.3	1885	1778.31	12.6005	3.31939
XM_026478335.3	2818	2711.31	310	53.5622
XM_026478337.3	3820	3713.31	0	0
XM_026478339.3	11121	11014.3	1.91534	0.0814638
XM_026478340.3	11278	11171.3	0	0
XM_026478341.3	6045	5938.31	0	0
XM_026478347.3	3434	3327.31	0	0
XM_026478348.3	907	800.309	122	71.4131
XM_026478350.3	3299	3192.31	0	0
XM_026478352.3	1414	1307.31	0	0
XM_026478353.3	1391	1284.31	9	3.28283
XM_026478355.3	1613	1506.31	3.82312	1.18899
XM_026478356.3	1219	1112.31	17.1769	7.23427
XM_026478358.3	1976	1869.31	19	4.76155
XM_026478361.3	335	228.572	0	0
XM_026478362.3	1440	1333.31	2217	778.952
XM_026478365.3	1806	1699.31	0	0
XM_026478366.3	2953	2846.31	14	2.30421
XM_026478368.3	1990	1883.31	10.4719	2.60483
XM_026478371.3	2783	2676.31	17.6867	3.09589
XM_026478372.3	2782	2675.31	26.3133	4.60763
XM_026478373.3	3090	2983.31	0	0
XM_026478374.3	2298	2191.31	0	0
XM_026478375.3	2175	2068.31	0	0
XM_026478376.3	1983	1876.31	0	0
XM_026478377.2	1899	1792.31	0	0
XM_026478378.2	1782	1675.31	0	0
XM_026478379.3	1764	1657.31	0	0
XM_026478380.3	605	498.363	6	5.64003
XM_026478382.3	1944	1837.31	0.000199615	5.08964e-05
XM_026478383.3	1914	1807.31	0	0
XM_026478386.3	2059	1952.31	28.0013	6.71901
XM_026478387.3	5606	5499.31	0	0
XM_026478388.3	5437	5330.31	12	1.05464
XM_026478389.3	4186	4079.31	9	1.03355
XM_026478391.3	7161	7054.31	152	10.094
XM_026478392.3	4871	4764.31	2	0.196655
XM_026478393.3	2107	2000.31	0	0
XM_026478394.3	3354	3247.31	2	0.288524
XM_026478396.3	1980	1873.31	26	6.50189
XM_026478397.3	1470	1363.31	1	0.343623
XM_026478400.3	5098	4991.31	148.365	13.9249
XM_026478401.3	4206	4099.31	3	0.342836
XM_026478403.2	1315	1208.31	0	0
XM_026478413.3	527	420.505	1183	1317.92
XM_026478414.3	5797	5690.31	0.0834266	0.00686823
XM_026478415.3	5787	5680.31	0.541151	0.0446296
XM_026478417.3	5782	5675.31	1.37995	0.113906
XM_026478418.3	5772	5665.31	8.99548	0.743835
XM_026478419.3	5766	5659.31	0	0
XM_026478420.3	5757	5650.31	0	0
XM_026478421.3	5752	5645.31	0	0
XM_026478422.3	5742	5635.31	0	0
XM_026478423.3	14639	14532.3	13.1793	0.424848
XM_026478424.3	12168	12061.3	28.8207	1.1194
XM_026478426.3	2725	2618.31	0	0
XM_026478427.3	3132	3025.31	0	0
XM_026478429.3	2934	2827.31	0	0
XM_026478431.2	1706	1599.31	0	0
XM_026478432.3	4236	4129.31	219.808	24.9369
XM_026478433.3	9958	9851.31	3	0.14266
XM_026478435.3	11864	11757.3	0	0
XM_026478436.3	11736	11629.3	0.869501	0.0350261
XM_026478437.2	1170	1063.31	0	0
XM_026478438.3	3358	3251.31	74.9805	10.8035
XM_026478440.3	11861	11754.3	0	0
XM_026478443.3	1892	1785.31	1	0.262399
XM_026478445.2	996	889.309	0	0
XM_026478446.3	8351	8244.31	0	0
XM_026478448.3	8322	8215.31	0	0
XM_026478449.3	8343	8236.31	0	0
XM_026478450.3	8347	8240.31	0	0
XM_026478451.3	9211	9104.31	0	0
XM_026478452.3	9208	9101.31	15.9885	0.82296
XM_026478453.3	2394	2287.31	0	0
XM_026478454.3	2401	2294.31	21	4.28789
XM_026478455.2	4157	4050.31	2	0.231322
XM_026478456.3	3058	2951.31	156	24.762
XM_026478458.3	18169	18062.3	174.156	4.51691
XM_026478459.3	17911	17804.3	0	0
XM_026478460.3	2874	2767.31	41.982	7.10692
XM_026478461.3	5383	5276.31	522	46.3464
XM_026478462.3	2452	2345.31	86.4665	17.2712
XM_026478463.3	6859	6752.31	66.9997	4.64833
XM_026478464.3	7383	7276.31	13.8861	0.894015
XM_026478465.3	7567	7460.31	0	0
XM_026478466.3	7394	7287.31	47.9746	3.08404
XM_026478467.3	7382	7275.31	0	0
XM_026478468.3	7283	7176.31	0	0
XM_026478469.3	7190	7083.31	0	0
XM_026478470.3	7223	7116.31	0	0
XM_026478471.3	3606	3499.31	0	0
XM_026478472.3	789	682.309	0	0
XM_026478473.3	1807	1700.31	0	0
XM_026478474.3	705	598.309	0	0
XM_026478476.3	2229	2122.31	38.1955	8.431
XM_026478478.3	2422	2315.31	6	1.214
XM_026478479.3	3922	3815.31	0.0147485	0.0018109
XM_026478480.3	3897	3790.31	15.9853	1.9757
XM_026478481.3	3784	3677.31	0	0
XM_026478482.3	3759	3652.31	0	0
XM_026478483.3	6695	6588.31	13.6439	0.970154
XM_026478485.3	6655	6548.31	0	0
XM_026478492.3	5348	5241.31	4.14991	0.370915
XM_026478494.3	29744	29637.3	78.38	1.23892
XM_026478495.3	4099	3992.31	0	0
XM_026478496.3	4071	3964.31	0	0
XM_026478508.2	1563	1456.31	0	0
XM_026478509.3	3378	3271.31	6	0.859223
XM_026478510.3	1249	1142.31	23	9.43236
XM_026478514.3	4197	4090.31	21	2.40513
XM_026478515.3	1793	1686.31	43	11.9456
XM_026478517.3	3331	3224.31	364.592	52.9721
XM_026478518.3	3328	3221.31	218.611	31.7919
XM_026478521.3	2895	2788.31	9.25801	1.55544
XM_026478522.3	804	697.309	0	0
XM_026478524.3	2946	2839.31	29	4.78477
XM_026478527.3	2690	2583.31	0	0
XM_026478528.3	2552	2445.31	106	20.3071
XM_026478529.3	2662	2555.31	0	0
XM_026478531.3	1315	1208.31	0	0
XM_026478532.3	714	607.309	33	25.4554
XM_026478534.3	1354	1247.31	0	0
XM_026478535.3	3220	3113.31	0	0
XM_026478536.3	3226	3119.31	0	0
XM_026478539.3	752	645.309	166	120.508
XM_026478540.3	1929	1822.31	0	0
XM_026478541.3	5671	5564.31	0	0
XM_026478543.3	3350	3243.31	5	0.7222
XM_026478544.3	4146	4039.31	12.385	1.43636
XM_026478545.3	8428	8321.31	86.6289	4.87694
XM_026478546.3	4180	4073.31	0	0
XM_026478548.3	4847	4740.31	4.61503	0.456083
XM_026478549.3	8569	8462.31	10	0.553589
XM_026478553.3	5480	5373.31	24.0714	2.09863
XM_026478554.3	8413	8306.31	0.00118957	6.70903e-05
XM_026478555.3	5414	5307.31	10.108	0.892211
XM_026478556.3	6915	6808.31	0	0
XM_026478557.3	3410	3303.31	31.7605	4.50416
XM_026478564.3	10082	9975.31	121	5.68244
XM_026478565.3	1446	1339.31	0	0
XM_026478566.3	4481	4374.31	51	5.46181
XM_026478568.3	1447	1340.31	33.3637	11.6613
XM_026478569.3	1580	1473.31	0	0
XM_026478570.3	10374	10267.3	97.1289	4.43167
XM_026478572.3	14600	14493.3	5	0.161614
XM_026478573.3	2048	1941.31	0	0
XM_026478575.3	4220	4113.31	3.32461e-05	3.78639e-06
XM_026478577.3	4109	4002.31	0	0
XM_026478578.3	3990	3883.31	0	0
XM_026478583.3	3888	3781.31	0.881023	0.109149
XM_026478584.3	4007	3900.31	14.9694	1.79796
XM_026478585.3	10399	10292.3	0	0
XM_026478586.3	10271	10164.3	0	0
XM_026478587.3	10344	10237.3	8.07586	0.369555
XM_026478589.3	10096	9989.31	0	0
XM_026478592.3	8688	8581.31	66.7231	3.64249
XM_026478593.3	1678	1571.31	0	0
XM_026478594.3	1877	1770.31	0	0
XM_026478596.3	4810	4703.31	7.86507	0.783384
XM_026478597.3	1820	1713.31	25.1349	6.87255
XM_026478599.3	20719	20612.3	219.962	4.99916
XM_026478605.3	6295	6188.31	0	0
XM_026478606.1	813	706.309	0	0
XM_026478608.3	3258	3151.31	0	0
XM_026478609.1	2889	2782.31	0	0
XM_026478610.3	16630	16523.3	4.69927e-06	1.33232e-07
XM_026478611.2	1239	1132.31	0	0
XM_026478612.2	1011	904.309	0	0
XM_026478613.3	16618	16511.3	1.00279e-06	2.84515e-08
XM_026478615.2	477	370.546	0	0
XM_026478616.3	866	759.309	0	0
XM_026478617.3	16613	16506.3	56.3316	1.59874
XM_026478618.3	16604	16497.3	3.76751e-05	1.06984e-06
XM_026478619.3	6465	6358.31	0	0
XM_026478620.3	5155	5048.31	0.106467	0.00987975
XM_026478621.3	5149	5042.31	0.376901	0.0350166
XM_026478622.3	5226	5119.31	0	0
XM_026478623.3	5138	5031.31	3.84102	0.357636
XM_026478624.3	5229	5122.31	0	0
XM_026478625.3	5233	5126.31	0	0
XM_026478626.3	5201	5094.31	0	0
XM_026478627.3	16588	16481.3	1.06272	0.0302066
XM_026478629.3	4929	4822.31	0	0
XM_026478630.3	16562	16455.3	8.52227	0.242619
XM_026478631.3	16453	16346.3	64.5708	1.85052
XM_026478633.3	1072	965.309	47.8859	23.239
XM_026478634.3	4866	4759.31	56.6253	5.57368
XM_026478635.3	4792	4685.31	149.375	14.9353
XM_026478636.3	16549	16442.3	1.98572	0.0565758
XM_026478637.2	3923	3816.31	0	0
XM_026478639.3	7898	7791.31	191.325	11.5037
XM_026478640.3	2896	2789.31	164.752	27.6701
XM_026478641.3	1901	1794.31	7.17329	1.87282
XM_026478642.3	1253	1146.31	82	33.5111
XM_026478645.3	16531	16424.3	7.14957e-05	2.03924e-06
XM_026478647.3	2006	1899.31	43	10.6059
XM_026478648.3	7220	7113.31	13	0.856146
XM_026478649.3	13711	13604.3	35.3331	1.21669
XM_026478650.3	16498	16391.3	41.2328	1.17843
XM_026478651.3	1970	1863.31	0.0345209	0.00867907
