target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1429.92	0	0
XM_026478080.3	6046	5866.92	0	0
XM_026478083.3	2509	2329.92	0	0
XM_026478085.3	2434	2254.92	1	0.109907
XM_026478086.3	2425	2245.92	17.5851	1.94047
XM_026478087.3	2288	2108.92	10.4149	1.22391
XM_026478088.3	2224	2044.92	0	0
XM_026478089.3	3098	2918.92	25.778	2.18868
XM_026478090.3	1357	1177.92	0	0
XM_026478091.3	1312	1132.92	0	0
XM_026478092.3	1300	1120.92	25	5.52741
XM_026478094.3	1697	1517.92	1.86105	0.303855
XM_026478095.3	3596	3416.92	0	0
XM_026478097.3	993	813.919	0	0
XM_026478098.3	10841	10661.9	33.5189	0.779131
XM_026478099.3	2079	1899.92	20.5055	2.6748
XM_026478100.3	7847	7667.92	28.8992	0.934037
XM_026478101.3	6255	6075.92	13.1008	0.53437
XM_026478102.3	4900	4720.92	10.0354	0.52682
XM_026478103.3	1628	1448.92	1.95671e-08	3.34686e-09
XM_026478105.3	4341	4161.92	6	0.357284
XM_026478106.1	1359	1179.92	0	0
XM_026478107.1	1359	1179.92	0	0
XM_026478108.3	4405	4225.92	0	0
XM_026478109.3	4078	3898.92	17	1.08059
XM_026478110.3	4041	3861.92	0	0
XM_026478114.3	3144	2964.92	0	0
XM_026478122.3	5800	5620.92	0	0
XM_026478124.3	5185	5005.92	3.64505	0.180458
XM_026478126.3	4573	4393.92	2.97691	0.167907
XM_026478127.3	1566	1386.92	281	50.2124
XM_026478128.3	1294	1114.92	46.9706	10.4409
XM_026478129.3	1343	1163.92	87.5779	18.6478
XM_026478130.3	1386	1206.92	7.42213	1.52407
XM_026478131.3	1762	1582.92	0	0
XM_026478132.3	1759	1579.92	0	0
XM_026478133.2	3175	2995.92	738.584	61.0978
XM_026478135.3	3662	3482.92	2	0.142312
XM_026478136.3	3554	3374.92	48	3.5248
XM_026478139.3	2722	2542.92	30.4092	2.96366
XM_026478140.3	2348	2168.92	88.6806	10.1331
XM_026478142.3	4236	4056.92	0	0
XM_026478143.3	338	163.989	132	199.487
XM_026478144.3	8601	8421.92	5.29903	0.155934
XM_026478146.3	3833	3653.92	25.8956	1.7564
XM_026478150.3	2311	2131.92	394	45.8017
XM_026478151.3	6755	6575.92	0	0
XM_026478153.3	7000	6820.92	85.374	3.10198
XM_026478159.3	2152	1972.92	0	0
XM_026478163.3	9279	9099.92	0.397389	0.0108227
XM_026478165.3	2434	2254.92	140.363	15.4269
XM_026478167.3	1687	1507.92	0	0
XM_026478168.3	2138	1958.92	6	0.759086
XM_026478169.3	9315	9135.92	85.3938	2.31649
XM_026478170.3	3852	3672.92	21.6075	1.45797
XM_026478173.3	4464	4284.92	0	0
XM_026478174.3	5197	5017.92	1.71419	0.0846628
XM_026478175.3	8598	8418.92	902.952	26.5806
XM_026478176.3	11857	11677.9	46.2864	0.982301
XM_026478179.3	8427	8247.92	2390.87	71.8403
XM_026478180.3	843	663.919	0	0
XM_026478181.3	2987	2807.92	20	1.76523
XM_026478182.3	8430	8250.92	633.808	19.0376
XM_026478183.3	10477	10297.9	24	0.577587
XM_026478185.3	3015	2835.92	0	0
XM_026478189.3	2391	2211.92	0	0
XM_026478191.3	6588	6408.92	0	0
XM_026478192.3	6767	6587.92	0	0
XM_026478193.3	6597	6417.92	0	0
XM_026478194.3	6585	6405.92	0	0
XM_026478195.3	5023	4843.92	21.5559	1.10287
XM_026478196.3	6484	6304.92	0.0668648	0.0026283
XM_026478199.3	4589	4409.92	46.6138	2.61963
XM_026478200.3	4000	3820.92	466.979	30.289
XM_026478202.3	21305	21125.9	5.94244	0.0697116
XM_026478203.3	4061	3881.92	10.2017	0.6513
XM_026478206.2	939	759.919	0	0
XM_026478207.3	1835	1655.92	1	0.149664
XM_026478208.3	1465	1285.92	261	50.3017
XM_026478212.3	5507	5327.92	8.10369	0.376948
XM_026478213.3	1113	933.919	0	0
XM_026478215.3	1955	1775.92	0	0
XM_026478216.3	3721	3541.92	57.15	3.99883
XM_026478217.3	1659	1479.92	16.4672	2.75763
XM_026478218.3	4039	3859.92	3	0.192619
XM_026478219.3	6333	6153.92	175	7.04762
XM_026478220.3	4558	4378.92	0	0
XM_026478221.1	1824	1644.92	0	0
XM_026478223.3	7229	7049.92	77.6535	2.72981
XM_026478225.3	4249	4069.92	64.691	3.93926
XM_026478230.1	882	702.919	0	0
XM_026478231.3	2913	2733.92	0	0
XM_026478232.3	4392	4212.92	326	19.1774
XM_026478237.3	4071	3891.92	33.2288	2.11596
XM_026478240.3	2392	2212.92	6.36114	0.712403
