target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1461.28	142	51.6714
XM_026478080.3	6046	5898.28	6.53317	0.588972
XM_026478083.3	2509	2361.28	23.1197	5.20632
XM_026478085.3	2434	2286.28	9.88028	2.29792
XM_026478086.3	2425	2277.28	41.7586	9.75046
XM_026478087.3	2288	2140.28	5.24137	1.30218
XM_026478088.3	2224	2076.28	0	0
XM_026478089.3	3098	2950.28	28.9312	5.21433
XM_026478090.3	1357	1209.28	14.5963	6.41819
XM_026478091.3	1312	1164.28	0	0
XM_026478092.3	1300	1152.28	42.4037	19.5677
XM_026478094.3	1697	1549.28	1.68319	0.577694
XM_026478095.3	3596	3448.28	36.3168	5.60016
XM_026478097.3	993	845.281	0	0
XM_026478098.3	10841	10693.3	4.65991	0.231719
XM_026478099.3	2079	1931.28	0.0573069	0.0157782
XM_026478100.3	7847	7699.28	197.952	13.6712
XM_026478101.3	6255	6107.28	13.0477	1.136
XM_026478102.3	4900	4752.28	28.2889	3.16526
XM_026478103.3	1628	1480.28	33.7111	12.1095
XM_026478105.3	4341	4193.28	16	2.0289
XM_026478106.1	1359	1211.28	0	0
XM_026478107.1	1359	1211.28	0	0
XM_026478108.3	4405	4257.28	36.4879	4.55735
XM_026478109.3	4078	3930.28	0	0
XM_026478110.3	4041	3893.28	20.5121	2.8015
XM_026478114.3	3144	2996.28	9.68274	1.71835
XM_026478122.3	5800	5652.28	0	0
XM_026478124.3	5185	5037.28	26.5054	2.79791
XM_026478126.3	4573	4425.28	432.506	51.9694
XM_026478127.3	1566	1418.28	75	28.1187
XM_026478128.3	1294	1146.28	88.5936	41.0967
XM_026478129.3	1343	1195.28	20.4819	9.11161
XM_026478130.3	1386	1238.28	46.5181	19.9755
XM_026478131.3	1762	1614.28	0.578468	0.190544
XM_026478132.3	1759	1611.28	5.42153	1.78915
XM_026478133.2	3175	3027.28	3511.17	616.73
XM_026478135.3	3662	3514.28	16	2.42091
XM_026478136.3	3554	3406.28	180	28.0988
XM_026478139.3	2722	2574.28	63.6228	13.1417
XM_026478140.3	2348	2200.28	0	0
XM_026478142.3	4236	4088.28	13.6196	1.77141
XM_026478143.3	338	194.687	21	57.3558
XM_026478144.3	8601	8453.28	23.5285	1.48001
XM_026478146.3	3833	3685.28	0	0
XM_026478150.3	2311	2163.28	64	15.7312
XM_026478151.3	6755	6607.28	6.15527	0.495359
XM_026478153.3	7000	6852.28	16	1.2416
XM_026478159.3	2152	2004.28	0	0
XM_026478163.3	9279	9131.28	1.62663	0.0947227
XM_026478165.3	2434	2286.28	340.241	79.1322
XM_026478167.3	1687	1539.28	0	0
XM_026478168.3	2138	1990.28	9	2.40449
XM_026478169.3	9315	9167.28	426.144	24.7179
XM_026478170.3	3852	3704.28	16.3217	2.34292
XM_026478173.3	4464	4316.28	4.01971	0.4952
XM_026478174.3	5197	5049.28	38.0736	4.0095
XM_026478175.3	8598	8450.28	61.022	3.83982
XM_026478176.3	11857	11709.3	79.6803	3.6184
XM_026478179.3	8427	8279.28	259.459	16.6637
XM_026478180.3	843	695.281	0	0
XM_026478181.3	2987	2839.28	82	15.3568
XM_026478182.3	8430	8282.28	21.4613	1.37785
