target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1496.32	0	0
XM_026478080.3	6046	5933.32	11.8883	1.06447
XM_026478083.3	2509	2396.32	0	0
XM_026478085.3	2434	2321.32	0	0
XM_026478086.3	2425	2312.32	0	0
XM_026478087.3	2288	2175.32	1	0.244224
XM_026478088.3	2224	2111.32	0	0
XM_026478089.3	3098	2985.32	118.39	21.0686
XM_026478090.3	1357	1244.32	0	0
XM_026478091.3	1312	1199.32	0	0
XM_026478092.3	1300	1187.32	3	1.34235
XM_026478094.3	1697	1584.32	4.66284	1.56358
XM_026478095.3	3596	3483.32	7.33716	1.11904
XM_026478097.3	993	880.318	0	0
XM_026478098.3	10841	10728.3	3.10474	0.153746
XM_026478099.3	2079	1966.32	0.161733	0.0436975
XM_026478100.3	7847	7734.32	92	6.31942
XM_026478101.3	6255	6142.32	0	0
XM_026478102.3	4900	4787.32	2.90757	0.322664
XM_026478103.3	1628	1515.32	2.98261e-07	1.04569e-07
XM_026478105.3	4341	4228.32	1	0.125645
XM_026478106.1	1359	1246.32	0	0
XM_026478107.1	1359	1246.32	0	0
XM_026478108.3	4405	4292.32	0	0
XM_026478109.3	4078	3965.32	3.98744	0.53423
XM_026478110.3	4041	3928.32	2.01256	0.272178
XM_026478114.3	3144	3031.32	0	0
XM_026478122.3	5800	5687.32	0	0
XM_026478124.3	5185	5072.32	43.6801	4.57498
XM_026478126.3	4573	4460.32	18.1314	2.15962
XM_026478127.3	1566	1453.32	20	7.31107
XM_026478128.3	1294	1181.32	29.9802	13.4828
XM_026478129.3	1343	1230.32	11	4.74993
XM_026478130.3	1386	1273.32	0	0
XM_026478131.3	1762	1649.32	0	0
XM_026478132.3	1759	1646.32	0	0
XM_026478133.2	3175	3062.32	1178.96	204.531
XM_026478135.3	3662	3549.32	5	0.748405
XM_026478136.3	3554	3441.32	100	15.4379
XM_026478139.3	2722	2609.32	0	0
XM_026478140.3	2348	2235.32	0	0
XM_026478142.3	4236	4123.32	1.30695	0.168393
XM_026478143.3	338	225.349	6	14.1451
XM_026478144.3	8601	8488.32	4.56459	0.285688
XM_026478146.3	3833	3720.32	0	0
XM_026478150.3	2311	2198.32	18	4.35004
XM_026478151.3	6755	6642.32	0	0
XM_026478153.3	7000	6887.32	3.3742e-07	2.60275e-08
XM_026478159.3	2152	2039.32	4	1.04205
XM_026478163.3	9279	9166.32	15.8378	0.917933
