target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1492.01	10	2.53573
XM_026478080.3	6046	5929.01	0	0
XM_026478083.3	2509	2392.01	0	0
XM_026478085.3	2434	2317.01	2	0.32657
XM_026478086.3	2425	2308.01	26	4.26197
XM_026478087.3	2288	2171.01	0	0
XM_026478088.3	2224	2107.01	0	0
XM_026478089.3	3098	2981.01	9.53494	1.21012
XM_026478090.3	1357	1240.01	0	0
XM_026478091.3	1312	1195.01	0	0
XM_026478092.3	1300	1183.01	45	14.3913
XM_026478094.3	1697	1580.01	1.09713	0.262708
XM_026478095.3	3596	3479.01	2.52967	0.275095
XM_026478097.3	993	876.008	1.46942	0.634618
XM_026478098.3	10841	10724	5.38016e-05	1.89807e-06
XM_026478099.3	2079	1962.01	0.137932	0.0265974
XM_026478100.3	7847	7730.01	47	2.30034
XM_026478101.3	6255	6138.01	0	0
XM_026478102.3	4900	4783.01	4.35743	0.34467
XM_026478103.3	1628	1511.01	3.31524e-07	8.30084e-08
XM_026478105.3	4341	4224.01	1	0.0895673
XM_026478106.1	1359	1242.01	0	0
XM_026478107.1	1359	1242.01	0	0
XM_026478108.3	4405	4288.01	6.07384	0.535898
XM_026478109.3	4078	3961.01	10.4518	0.998294
XM_026478110.3	4041	3924.01	11.4744	1.1063
XM_026478114.3	3144	3027.01	0	0
XM_026478122.3	5800	5683.01	0	0
XM_026478124.3	5185	5068.01	4.7434	0.3541
XM_026478126.3	4573	4456.01	7.68734	0.652686
XM_026478127.3	1566	1449.01	153	39.948
XM_026478128.3	1294	1177.01	52	16.7147
XM_026478129.3	1343	1226.01	52.1011	16.0778
XM_026478130.3	1386	1269.01	7.89888	2.35492
XM_026478131.3	1762	1645.01	0	0
XM_026478132.3	1759	1642.01	0	0
XM_026478133.2	3175	3058.01	683.313	84.5387
XM_026478135.3	3662	3545.01	3	0.320168
XM_026478136.3	3554	3437.01	44	4.84335
XM_026478139.3	2722	2605.01	69.0062	10.022
XM_026478140.3	2348	2231.01	18.7785	3.18444
XM_026478142.3	4236	4119.01	0	0
XM_026478143.3	338	221.266	161	275.287
XM_026478144.3	8601	8484.01	0	0
XM_026478146.3	3833	3716.01	28.7692	2.92904
XM_026478150.3	2311	2194.01	249	42.9374
XM_026478151.3	6755	6638.01	0	0
XM_026478153.3	7000	6883.01	0	0
XM_026478159.3	2152	2035.01	0	0
XM_026478163.3	9279	9162.01	1.20073	0.0495825
XM_026478165.3	2434	2317.01	101.501	16.5736
XM_026478167.3	1687	1570.01	0	0
XM_026478168.3	2138	2021.01	23	4.3056
XM_026478169.3	9315	9198.01	200	8.22641
XM_026478170.3	3852	3735.01	9.67053	0.979564
XM_026478173.3	4464	4347.01	0	0
XM_026478174.3	5197	5080.01	0	0
XM_026478175.3	8598	8481.01	354.845	15.8295
XM_026478176.3	11857	11740	24.8688	0.80142
XM_026478179.3	8427	8310.01	863.468	39.3114
XM_026478180.3	843	726.008	0	0
XM_026478181.3	2987	2870.01	61	8.0412
XM_026478182.3	8430	8313.01	149.687	6.81239
XM_026478183.3	10477	10360	91	3.32319
XM_026478185.3	3015	2898.01	0	0
XM_026478189.3	2391	2274.01	24	3.99295
XM_026478191.3	6588	6471.01	0	0
XM_026478192.3	6767	6650.01	0	0
XM_026478193.3	6597	6480.01	0	0
XM_026478194.3	6585	6468.01	0	0
XM_026478195.3	5023	4906.01	0	0
XM_026478196.3	6484	6367.01	0.213	0.0126567
XM_026478199.3	4589	4472.01	104.879	8.87276
XM_026478200.3	4000	3883.01	307	29.9119
XM_026478202.3	21305	21188	0	0
XM_026478203.3	4061	3944.01	12.788	1.2267
XM_026478206.2	939	822.008	0	0
XM_026478207.3	1835	1718.01	1	0.220216
XM_026478208.3	1465	1348.01	307	86.1629
XM_026478212.3	5507	5390.01	2	0.140383
XM_026478213.3	1113	996.008	0	0
XM_026478215.3	1955	1838.01	0	0
XM_026478216.3	3721	3604.01	77.2935	8.11394
XM_026478217.3	1659	1542.01	11.1841	2.74402
XM_026478218.3	4039	3922.01	0	0
XM_026478219.3	6333	6216.01	117	7.12112
XM_026478220.3	4558	4441.01	0	0
XM_026478221.1	1824	1707.01	0	0
XM_026478223.3	7229	7112.01	133.028	7.07661
XM_026478225.3	4249	4132.01	24.6989	2.26147
XM_026478230.1	882	765.008	0	0
XM_026478231.3	2913	2796.01	0	0
XM_026478232.3	4392	4275.01	81	7.1684
XM_026478237.3	4071	3954.01	98.8497	9.45827
