target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1455.33	147.341	10.312
XM_026478080.3	6046	5892.33	6.25675	0.108154
XM_026478083.3	2509	2355.33	0	0
XM_026478085.3	2434	2280.33	0	0
XM_026478086.3	2425	2271.33	462.595	20.7444
XM_026478087.3	2288	2134.33	17.0415	0.813257
XM_026478088.3	2224	2070.33	68.3636	3.3633
XM_026478089.3	3098	2944.33	201.809	6.98127
XM_026478090.3	1357	1203.33	20.6872	1.75105
XM_026478091.3	1312	1158.33	0	0
XM_026478092.3	1300	1146.33	107.313	9.53505
XM_026478094.3	1697	1543.33	11.3584	0.749617
XM_026478095.3	3596	3442.33	133.642	3.9543
XM_026478097.3	993	839.33	0	0
XM_026478098.3	10841	10687.3	0	0
XM_026478099.3	2079	1925.33	0.168612	0.00891999
XM_026478100.3	7847	7693.33	367.109	4.86029
XM_026478101.3	6255	6101.33	34.8908	0.582461
XM_026478102.3	4900	4746.33	11.1769	0.239852
XM_026478103.3	1628	1474.33	7.01125e-07	4.84375e-08
XM_026478105.3	4341	4187.33	57	1.3865
XM_026478106.1	1359	1205.33	0	0
XM_026478107.1	1359	1205.33	0	0
XM_026478108.3	4405	4251.33	33.4721	0.801934
XM_026478109.3	4078	3924.33	112.825	2.92833
XM_026478110.3	4041	3887.33	18.7032	0.490055
XM_026478114.3	3144	2990.33	0	0
XM_026478122.3	5800	5646.33	0	0
XM_026478124.3	5185	5031.33	5.08782	0.102998
XM_026478126.3	4573	4419.33	28.8052	0.663888
XM_026478127.3	1566	1412.33	417	30.0733
XM_026478128.3	1294	1140.33	410.534	36.6691
XM_026478129.3	1343	1189.33	62.8738	5.38453
XM_026478130.3	1386	1232.33	74.1262	6.12669
XM_026478131.3	1762	1608.33	48.1905	3.05188
XM_026478132.3	1759	1605.33	73.8095	4.68305
XM_026478133.2	3175	3021.33	14247.5	480.31
XM_026478135.3	3662	3508.33	20	0.580645
XM_026478136.3	3554	3400.33	672	20.1293
XM_026478139.3	2722	2568.33	53.0316	2.10312
XM_026478140.3	2348	2194.33	155.712	7.22772
XM_026478142.3	4236	4082.33	10.13	0.252745
XM_026478143.3	338	187.647	245	132.986
XM_026478144.3	8601	8447.33	7.52079	0.0906828
XM_026478146.3	3833	3679.33	34.2939	0.949356
XM_026478150.3	2311	2157.33	269	12.7004
XM_026478151.3	6755	6601.33	0	0
XM_026478153.3	7000	6846.33	0	0
XM_026478159.3	2152	1998.33	1.00005	0.0509726
XM_026478163.3	9279	9125.33	0	0
XM_026478165.3	2434	2280.33	953.419	42.586
XM_026478167.3	1687	1533.33	1	0.0664271
XM_026478168.3	2138	1984.33	10	0.513295
XM_026478169.3	9315	9161.33	2537.75	28.2144
XM_026478170.3	3852	3698.33	11.7177	0.322715
XM_026478173.3	4464	4310.33	22.0124	0.52016
XM_026478174.3	5197	5043.33	13.0217	0.262986
XM_026478175.3	8598	8444.33	589.492	7.11039
XM_026478176.3	11857	11703.3	87.6679	0.762978
XM_026478179.3	8427	8273.33	2095.82	25.8021
XM_026478180.3	843	689.33	0	0
XM_026478181.3	2987	2833.33	142	5.10472
XM_026478182.3	8430	8276.33	368.47	4.53466
XM_026478183.3	10477	10323.3	463	4.56817
