target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1482.28	149	46.1107
XM_026478080.3	6046	5919.28	0	0
XM_026478083.3	2509	2382.28	8.59232	1.65449
XM_026478085.3	2434	2307.28	11.4077	2.268
XM_026478086.3	2425	2298.28	40.9827	8.17981
XM_026478087.3	2288	2161.28	4.47076	0.94889
XM_026478088.3	2224	2097.28	6.54654	1.43186
XM_026478089.3	3098	2971.28	45.7018	7.05563
XM_026478090.3	1357	1230.28	7.46521	2.78346
XM_026478091.3	1312	1185.28	0	0
XM_026478092.3	1300	1173.28	43.5348	17.0208
XM_026478094.3	1697	1570.28	4.42344	1.2922
XM_026478095.3	3596	3469.28	25.5766	3.3818
XM_026478097.3	993	866.278	0	0
XM_026478098.3	10841	10714.3	8.52636	0.365045
XM_026478099.3	2079	1952.28	0.210293	0.0494116
XM_026478100.3	7847	7720.28	179.493	10.665
XM_026478101.3	6255	6128.28	9.50706	0.711628
XM_026478102.3	4900	4773.28	19.0734	1.83297
XM_026478103.3	1628	1501.28	25.9266	7.92191
XM_026478105.3	4341	4214.28	10	1.08848
XM_026478106.1	1359	1232.28	0	0
XM_026478107.1	1359	1232.28	0	0
XM_026478108.3	4405	4278.28	4.18192	0.448386
XM_026478109.3	4078	3951.28	0	0
XM_026478110.3	4041	3914.28	17.8181	2.08812
XM_026478114.3	3144	3017.28	17.2828	2.6275
XM_026478122.3	5800	5673.28	0	0
XM_026478124.3	5185	5058.28	21.7494	1.97237
XM_026478126.3	4573	4446.28	54.692	5.64251
XM_026478127.3	1566	1439.28	54	17.2105
XM_026478128.3	1294	1167.28	90	35.3683
XM_026478129.3	1343	1216.28	30	11.3145
XM_026478130.3	1386	1259.28	0	0
XM_026478131.3	1762	1635.28	0	0
XM_026478132.3	1759	1632.28	0	0
XM_026478133.2	3175	3048.28	4836.71	727.849
XM_026478135.3	3662	3535.28	21	2.72484
XM_026478136.3	3554	3427.28	190	25.4302
XM_026478139.3	2722	2595.28	0	0
XM_026478140.3	2348	2221.28	44.0506	9.09691
XM_026478142.3	4236	4109.28	0	0
XM_026478143.3	338	211.929	25	54.1123
XM_026478144.3	8601	8474.28	14.6326	0.792073
XM_026478146.3	3833	3706.28	3.93466	0.486983
XM_026478150.3	2311	2184.28	66	13.8606
XM_026478151.3	6755	6628.28	8.13454	0.56296
XM_026478153.3	7000	6873.28	19	1.26805
XM_026478159.3	2152	2025.28	0	0
XM_026478163.3	9279	9152.28	1.66169	0.0832851
XM_026478165.3	2434	2307.28	165.471	32.8978
XM_026478167.3	1687	1560.28	2	0.587995
XM_026478168.3	2138	2011.28	8	1.82458
XM_026478169.3	9315	9188.28	492.862	24.6058
XM_026478170.3	3852	3725.28	21.2088	2.61158
XM_026478173.3	4464	4337.28	9.4791	1.00253
XM_026478174.3	5197	5070.28	35.2427	3.18848
XM_026478175.3	8598	8471.28	96.1807	5.20816
XM_026478176.3	11857	11730.3	0.00359106	0.00014043
XM_026478179.3	8427	8300.28	356.12	19.6811
XM_026478180.3	843	716.354	0	0
XM_026478181.3	2987	2860.28	86	13.7923
XM_026478182.3	8430	8303.28	0.000475004	2.62418e-05
XM_026478183.3	10477	10350.3	400	17.7277
XM_026478185.3	3015	2888.28	0	0
XM_026478189.3	2391	2264.28	74.2386	15.0399
XM_026478191.3	6588	6461.28	208.957	14.8349
XM_026478192.3	6767	6640.28	0	0
XM_026478193.3	6597	6470.28	89.8625	6.3709
XM_026478194.3	6585	6458.28	45.7549	3.24987
XM_026478195.3	5023	4896.28	12.7383	1.19341
XM_026478196.3	6484	6357.28	0.433274	0.0312634
XM_026478199.3	4589	4462.28	525.157	53.9856
XM_026478200.3	4000	3873.28	121	14.3302
XM_026478202.3	21305	21178.3	31.6571	0.685688
XM_026478203.3	4061	3934.28	46.5779	5.43075
XM_026478206.2	939	812.278	0	0
XM_026478207.3	1835	1708.28	12	3.22232
XM_026478208.3	1465	1338.28	838	287.239
XM_026478212.3	5507	5380.28	15.4245	1.31508
XM_026478213.3	1113	986.278	0	0
XM_026478215.3	1955	1828.28	16.3851	4.11105
XM_026478216.3	3721	3594.28	20.2198	2.58054
XM_026478217.3	1659	1532.28	8.2052	2.45639
XM_026478218.3	4039	3912.28	21.8946	2.56716
XM_026478219.3	6333	6206.28	188	13.8954
XM_026478220.3	4558	4431.28	2	0.207036
XM_026478221.1	1824	1697.28	0	0
XM_026478223.3	7229	7102.28	609.813	39.3862
XM_026478225.3	4249	4122.28	4.42734	0.492664
XM_026478230.1	882	755.354	0	0
XM_026478231.3	2913	2786.28	0	0
XM_026478232.3	4392	4265.28	275.324	29.6103
XM_026478237.3	4071	3944.28	11.2522	1.30862
XM_026478240.3	2392	2265.28	5.63946	1.14199
XM_026478241.3	4790	4663.28	14.8371	1.4595
XM_026478243.3	7888	7761.28	51.8473	3.06435
XM_026478244.3	2279	2152.28	3.83838	0.818078
XM_026478256.3	15206	15079.3	0.165721	0.0050413
XM_026478257.3	2506	2379.28	5.16232	0.99528
XM_026478258.3	2525	2398.28	15.6545	2.99423
XM_026478259.3	6504	6377.28	184.668	13.2832
XM_026478260.3	2509	2382.28	12.0046	2.31154
XM_026478261.3	2458	2331.28	106.075	20.872
XM_026478262.3	3255	3128.28	12.367	1.81345
XM_026478263.3	2242	2115.28	3	0.650578
XM_026478265.3	5688	5561.28	29.4568	2.42972
XM_026478267.3	6675	6548.28	0.00118276	8.28544e-05
XM_026478270.3	1033	906.278	23	11.6416
XM_026478271.3	1861	1734.28	146.746	38.8144
XM_026478272.3	4162	4035.28	109.605	12.4596
XM_026478273.3	930	803.278	808	461.414
XM_026478274.3	1809	1682.28	28.0562	7.65027
XM_026478276.3	5005	4878.28	0	0
XM_026478278.3	5047	4920.28	0	0
XM_026478279.3	5035	4908.28	0	0
XM_026478280.3	4894	4767.28	0	0
XM_026478282.3	8406	8279.28	0.701848	0.0388862
XM_026478283.3	8394	8267.28	7.43406	0.412486
XM_026478284.3	8294	8167.28	0.626135	0.0351671
XM_026478285.3	8279	8152.28	10.2462	0.576538
XM_026478290.3	4690	4563.28	119	11.9623
XM_026478291.3	7074	6947.28	53.2451	3.51569
XM_026478292.3	6933	6806.28	20.3309	1.37023
XM_026478293.3	6961	6834.28	59.0756	3.96516
XM_026478295.3	6712	6585.28	6.34843	0.442219
