target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1470.15	224.749	16.2301
XM_026478080.3	6046	5907.15	9.18613	0.165097
XM_026478083.3	2509	2370.15	0	0
XM_026478085.3	2434	2295.15	0	0
XM_026478086.3	2425	2286.15	639.828	29.7128
XM_026478087.3	2288	2149.15	21.1685	1.0457
XM_026478088.3	2224	2085.15	0.00368058	0.000187397
XM_026478089.3	3098	2959.15	125.182	4.49118
XM_026478090.3	1357	1218.15	0.321669	0.0280346
XM_026478091.3	1312	1173.15	8.92951	0.80809
XM_026478092.3	1300	1161.15	82.7488	7.56587
XM_026478094.3	1697	1558.15	18.3969	1.25349
XM_026478095.3	3596	3457.15	238.865	7.33531
XM_026478097.3	993	854.145	12.7062	1.57931
XM_026478098.3	10841	10702.1	0	0
XM_026478099.3	2079	1940.15	0.305615	0.0167234
XM_026478100.3	7847	7708.15	797.165	10.9795
XM_026478101.3	6255	6116.15	94.835	1.64617
XM_026478102.3	4900	4761.15	68.3406	1.52388
XM_026478103.3	1628	1489.15	89.6452	6.39107
XM_026478105.3	4341	4202.15	68	1.71799
XM_026478106.1	1359	1220.15	0	0
XM_026478107.1	1359	1220.15	0	0
XM_026478108.3	4405	4266.15	19.0169	0.473246
XM_026478109.3	4078	3939.15	97.1272	2.61771
XM_026478110.3	4041	3902.15	10.856	0.295358
XM_026478114.3	3144	3005.15	7.27466	0.256999
XM_026478122.3	5800	5661.15	0	0
XM_026478124.3	5185	5046.15	4.79343	0.100849
XM_026478126.3	4573	4434.15	15.0244	0.359726
XM_026478127.3	1566	1427.15	388	28.8634
XM_026478128.3	1294	1155.15	895.649	82.3162
XM_026478129.3	1343	1204.15	136.629	12.0461
XM_026478130.3	1386	1247.15	71.3708	6.07557
XM_026478131.3	1762	1623.15	1.28002	0.0837227
XM_026478132.3	1759	1620.15	11.72	0.767992
XM_026478133.2	3175	3036.15	20099.1	702.811
XM_026478135.3	3662	3523.15	21	0.632809
XM_026478136.3	3554	3415.15	866	26.9211
XM_026478139.3	2722	2583.15	44.7199	1.83796
XM_026478140.3	2348	2209.15	143.55	6.89862
XM_026478142.3	4236	4097.15	0	0
XM_026478143.3	338	202.776	340	178.011
XM_026478144.3	8601	8462.15	7.10709	0.0891652
XM_026478146.3	3833	3694.15	40.0368	1.15061
XM_026478150.3	2311	2172.15	336	16.4223
XM_026478151.3	6755	6616.15	0	0
XM_026478153.3	7000	6861.15	0	0
XM_026478159.3	2152	2013.15	0	0
XM_026478163.3	9279	9140.15	0	0
XM_026478165.3	2434	2295.15	1413.43	65.3803
XM_026478167.3	1687	1548.15	0	0
XM_026478168.3	2138	1999.15	23	1.22143
XM_026478169.3	9315	9176.15	3018.71	34.9257
XM_026478170.3	3852	3713.15	32.9813	0.942995
XM_026478173.3	4464	4325.15	19.007	0.466548
XM_026478174.3	5197	5058.15	6.52259	0.136903
XM_026478175.3	8598	8459.15	911.192	11.4358
XM_026478176.3	11857	11718.1	111.655	1.01158
XM_026478179.3	8427	8288.15	3392.1	43.4505
XM_026478180.3	843	704.145	0	0
XM_026478181.3	2987	2848.15	224	8.34967
XM_026478182.3	8430	8291.15	375.137	4.80352
XM_026478183.3	10477	10338.1	402	4.12826
XM_026478185.3	3015	2876.15	0	0
XM_026478189.3	2391	2252.15	338.936	15.9773
XM_026478191.3	6588	6449.15	15.2018	0.250251
XM_026478192.3	6767	6628.15	2.46632	0.039504
XM_026478193.3	6597	6458.15	4.64731e-05	7.63973e-07
XM_026478194.3	6585	6446.15	352.072	5.79849
XM_026478195.3	5023	4884.15	42.6971	0.928098
XM_026478196.3	6484	6345.15	0	0
XM_026478199.3	4589	4450.15	2102.83	50.1666
XM_026478200.3	4000	3861.15	124	3.40949
XM_026478202.3	21305	21166.1	0	0
XM_026478203.3	4061	3922.15	111.024	3.00522
XM_026478206.2	939	800.145	1	0.132683
XM_026478207.3	1835	1696.15	0	0
XM_026478208.3	1465	1326.15	11393	912.075
XM_026478212.3	5507	5368.15	0	0
XM_026478213.3	1113	974.145	0	0
XM_026478215.3	1955	1816.15	16.71	0.976808
XM_026478216.3	3721	3582.15	0	0
XM_026478217.3	1659	1520.15	50.5727	3.53195
XM_026478218.3	4039	3900.15	39	1.06162
XM_026478219.3	6333	6194.15	782	13.4032
XM_026478220.3	4558	4419.15	0	0
XM_026478221.1	1824	1685.15	0	0
XM_026478223.3	7229	7090.15	731.242	10.9494
XM_026478225.3	4249	4110.15	119.3	3.08154
XM_026478230.1	882	743.145	0	0
XM_026478231.3	2913	2774.15	7.17568	0.274611
XM_026478232.3	4392	4253.15	1360.99	33.9727
XM_026478237.3	4071	3932.15	0	0
XM_026478240.3	2392	2253.15	17.9947	0.847887
XM_026478241.3	4790	4651.15	12.281	0.280323
XM_026478243.3	7888	7749.15	8.40012	0.115084
XM_026478244.3	2279	2140.15	2.50355	0.124193
XM_026478256.3	15206	15067.1	0.000316711	2.2316e-06
XM_026478257.3	2506	2367.15	6.44649	0.289123
XM_026478258.3	2525	2386.15	0.00167944	7.47227e-05
XM_026478259.3	6504	6365.15	1427.63	23.8118
XM_026478260.3	2509	2370.15	0	0
XM_026478261.3	2458	2319.15	312.415	14.3017
XM_026478262.3	3255	3116.15	8.35852	0.284771
XM_026478263.3	2242	2103.15	6	0.302877
XM_026478265.3	5688	5549.15	51.7058	0.989228
XM_026478267.3	6675	6536.15	136.204	2.21233
XM_026478270.3	1033	894.145	139	16.504
XM_026478271.3	1861	1722.15	448.176	27.6288
XM_026478272.3	4162	4023.15	358.616	9.46341
XM_026478273.3	930	791.145	8098	1086.69
XM_026478274.3	1809	1670.15	16	1.01707
XM_026478276.3	5005	4866.15	0	0
XM_026478278.3	5047	4908.15	0	0
XM_026478279.3	5035	4896.15	0	0
XM_026478280.3	4894	4755.15	37.5628	0.838644
XM_026478282.3	8406	8267.15	87.0261	1.11758
XM_026478283.3	8394	8255.15	0	0
XM_026478284.3	8294	8155.15	156.303	2.03479
XM_026478285.3	8279	8140.15	0	0
XM_026478290.3	4690	4551.15	877	20.458
XM_026478291.3	7074	6935.15	178.08	2.7261
XM_026478292.3	6933	6794.15	32.0361	0.500597
XM_026478293.3	6961	6822.15	115.431	1.79633
XM_026478295.3	6712	6573.15	24.453	0.39495
XM_026478296.3	9714	9575.15	0	0
XM_026478297.3	4637	4498.15	1.59315e-05	3.76016e-07
XM_026478298.3	4580	4441.15	67.8951	1.62303
XM_026478299.3	9699	9560.15	0	0
XM_026478300.3	4622	4483.15	0	0
XM_026478303.3	9076	8937.15	5.48965	0.0652123
XM_026478308.3	9177	9038.15	418.679	4.91797
XM_026478309.3	1777	1638.15	317	20.5443
XM_026478311.3	1579	1440.15	232.778	17.1601
XM_026478312.3	2647	2508.15	152	6.4339
XM_026478313.3	513	374.477	0	0
XM_026478317.3	5855	5716.15	127.373	2.3657
XM_026478318.3	3547	3408.15	73	2.27399
XM_026478320.3	8741	8602.15	0	0
XM_026478321.3	3804	3665.15	2161	62.5961
XM_026478322.3	2471	2332.15	22.6642	1.03173
XM_026478323.3	2809	2670.15	24.8142	0.986617
XM_026478326.3	5940	5801.15	0	0
XM_026478327.3	2519	2380.15	0	0
XM_026478328.3	9165	9026.15	12.1544	0.14296
