target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1503.87	451.234	134.816
XM_026478080.3	6046	5940.87	2.45405	0.185602
XM_026478083.3	2509	2403.87	14	2.61678
XM_026478085.3	2434	2328.87	0	0
XM_026478086.3	2425	2319.87	22.4744	4.35286
XM_026478087.3	2288	2182.87	4.52561	0.931537
XM_026478088.3	2224	2118.87	0	0
XM_026478089.3	3098	2992.87	51.8745	7.78784
XM_026478090.3	1357	1251.87	12.7808	4.58723
XM_026478091.3	1312	1206.87	4.87899	1.81644
XM_026478092.3	1300	1194.87	14.3402	5.39243
XM_026478094.3	1697	1591.87	13.0914	3.69513
XM_026478095.3	3596	3490.87	17.0191	2.19055
XM_026478097.3	993	887.869	4.86991	2.46446
XM_026478098.3	10841	10735.9	13.3095	0.557024
XM_026478099.3	2079	1973.87	0.0717107	0.0163236
XM_026478100.3	7847	7741.87	175.559	10.1889
XM_026478101.3	6255	6149.87	37.4411	2.73547
XM_026478102.3	4900	4794.87	28.9771	2.71536
XM_026478103.3	1628	1522.87	30.0229	8.85811
XM_026478105.3	4341	4235.87	17	1.80325
XM_026478106.1	1359	1253.87	0	0
XM_026478107.1	1359	1253.87	0	0
XM_026478108.3	4405	4299.87	13.1494	1.37405
XM_026478109.3	4078	3972.87	21.6938	2.45347
XM_026478110.3	4041	3935.87	7.15676	0.817007
XM_026478114.3	3144	3038.87	16.476	2.43607
XM_026478122.3	5800	5694.87	0	0
XM_026478124.3	5185	5079.87	11.1228	0.983808
XM_026478126.3	4573	4467.87	181.931	18.296
XM_026478127.3	1566	1460.87	89	27.3734
XM_026478128.3	1294	1188.87	122.787	46.4053
XM_026478129.3	1343	1237.87	67	24.3193
XM_026478130.3	1386	1280.87	0	0
XM_026478131.3	1762	1656.87	0	0
XM_026478132.3	1759	1653.87	0	0
XM_026478133.2	3175	3069.87	5043.75	738.217
XM_026478135.3	3662	3556.87	16	2.02117
XM_026478136.3	3554	3448.87	231	30.0944
XM_026478139.3	2722	2616.87	45.8429	7.87119
XM_026478140.3	2348	2242.87	0	0
XM_026478142.3	4236	4130.87	10.0951	1.09804
XM_026478143.3	338	233.122	40	77.095
XM_026478144.3	8601	8495.87	19.82	1.0482
XM_026478146.3	3833	3727.87	0.0805756	0.00971165
XM_026478150.3	2311	2205.87	81	16.4989
XM_026478151.3	6755	6649.87	6.11435	0.413131
XM_026478153.3	7000	6894.87	0	0
XM_026478159.3	2152	2046.87	1.07733	0.236488
XM_026478163.3	9279	9173.87	1.22778	0.060134
XM_026478165.3	2434	2328.87	506.026	97.6288
XM_026478167.3	1687	1581.87	0	0
XM_026478168.3	2138	2032.87	12	2.6523
XM_026478169.3	9315	9209.87	543.426	26.5117
XM_026478170.3	3852	3746.87	25.2606	3.02919
XM_026478173.3	4464	4358.87	9.52661	0.982007
XM_026478174.3	5197	5091.87	29.2673	2.58259
XM_026478175.3	8598	8492.87	0	0
XM_026478176.3	11857	11751.9	0.253818	0.00970434
XM_026478179.3	8427	8321.87	393.852	21.2648
XM_026478180.3	843	737.869	0	0
XM_026478181.3	2987	2881.87	50	7.79554
XM_026478182.3	8430	8324.87	6.81672e-05	3.67916e-06
XM_026478183.3	10477	10371.9	251	10.8734
XM_026478185.3	3015	2909.87	0	0
XM_026478189.3	2391	2285.87	165	32.4327
XM_026478191.3	6588	6482.87	0.0805195	0.00558064
XM_026478192.3	6767	6661.87	3.4622	0.23351
XM_026478193.3	6597	6491.87	1.71418	0.118642
XM_026478194.3	6585	6479.87	3.6745	0.25479
XM_026478195.3	5023	4917.87	15.7793	1.44166
XM_026478196.3	6484	6378.87	0.0125326	0.000882769
XM_026478199.3	4589	4483.87	528.444	52.9537
XM_026478200.3	4000	3894.87	104	11.9975
XM_026478202.3	21305	21199.9	3.30677e-06	7.00843e-08
XM_026478203.3	4061	3955.87	56.0329	6.36431
XM_026478206.2	939	833.869	0	0
XM_026478207.3	1835	1729.87	0	0
XM_026478208.3	1465	1359.87	1463	483.39
XM_026478212.3	5507	5401.87	10.1462	0.843932
