target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1445.8	11.2641	1.25474
XM_026478080.3	6046	5882.8	0	0
XM_026478083.3	2509	2345.8	0	0
XM_026478085.3	2434	2270.8	0	0
XM_026478086.3	2425	2261.8	774.122	55.1217
XM_026478087.3	2288	2124.8	10.6274	0.805524
XM_026478088.3	2224	2060.8	89.2509	6.975
XM_026478089.3	3098	2934.8	92.2619	5.06304
XM_026478090.3	1357	1193.8	15.9442	2.15099
XM_026478091.3	1312	1148.8	0	0
XM_026478092.3	1300	1136.8	98.0558	13.8917
XM_026478094.3	1697	1533.8	43.6926	4.58782
XM_026478095.3	3596	3432.8	166.307	7.80245
XM_026478097.3	993	829.802	0	0
XM_026478098.3	10841	10677.8	0	0
XM_026478099.3	2079	1915.8	0.0597873	0.00502604
XM_026478100.3	7847	7683.8	459.122	9.62322
XM_026478101.3	6255	6091.8	287.878	7.6108
XM_026478102.3	4900	4736.8	8.68607	0.295329
XM_026478103.3	1628	1464.8	1.70031	0.186947
XM_026478105.3	4341	4177.8	20	0.770993
XM_026478106.1	1359	1195.8	0	0
XM_026478107.1	1359	1195.8	0	0
XM_026478108.3	4405	4241.8	52.6365	1.9985
XM_026478109.3	4078	3914.8	98.5805	4.05555
XM_026478110.3	4041	3877.8	38.783	1.61073
XM_026478114.3	3144	2980.8	16.7516	0.905091
XM_026478122.3	5800	5636.8	0	0
XM_026478124.3	5185	5021.8	2.28011	0.0731247
XM_026478126.3	4573	4409.8	26.8358	0.980083
XM_026478127.3	1566	1402.8	372	42.7085
XM_026478128.3	1294	1130.8	910.575	129.687
XM_026478129.3	1343	1179.8	123.637	16.8774
XM_026478130.3	1386	1222.8	146.363	19.2772
XM_026478131.3	1762	1598.8	275.226	27.7245
XM_026478132.3	1759	1595.8	549.774	55.4847
XM_026478133.2	3175	3011.8	15067.6	805.721
XM_026478135.3	3662	3498.8	7	0.322216
XM_026478136.3	3554	3390.8	575	27.3107
