target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1491.3	1604.95	520.406
XM_026478080.3	6046	5928.3	2.8196	0.229987
XM_026478083.3	2509	2391.3	7	1.4155
XM_026478085.3	2434	2316.3	0	0
XM_026478086.3	2425	2307.3	65	13.6224
XM_026478087.3	2288	2170.3	0	0
XM_026478088.3	2224	2106.3	0	0
XM_026478089.3	3098	2980.3	64.7156	10.5001
XM_026478090.3	1357	1239.3	25	9.75457
XM_026478091.3	1312	1194.3	0	0
XM_026478092.3	1300	1182.3	0	0
XM_026478094.3	1697	1579.3	16.9855	5.20065
XM_026478095.3	3596	3478.3	15.0145	2.08732
XM_026478097.3	993	875.299	0	0
XM_026478098.3	10841	10723.3	3.27648	0.147749
XM_026478099.3	2079	1961.3	0	0
XM_026478100.3	7847	7729.3	182	11.3861
XM_026478101.3	6255	6137.3	0	0
XM_026478102.3	4900	4782.3	14.1415	1.42989
XM_026478103.3	1628	1510.3	16.8585	5.39761
XM_026478105.3	4341	4223.3	6	0.68698
XM_026478106.1	1359	1241.3	0	0
XM_026478107.1	1359	1241.3	0	0
XM_026478108.3	4405	4287.3	25.7085	2.89959
XM_026478109.3	4078	3960.3	23.2915	2.8439
XM_026478110.3	4041	3923.3	0	0
XM_026478114.3	3144	3026.3	4.86382e-06	7.7716e-07
XM_026478122.3	5800	5682.3	0	0
XM_026478124.3	5185	5067.3	22.8581	2.18126
XM_026478126.3	4573	4455.3	509.961	55.3483
XM_026478127.3	1566	1448.3	92	30.7167
XM_026478128.3	1294	1176.3	103.964	42.7377
XM_026478129.3	1343	1225.3	0.140504	0.0554487
XM_026478130.3	1386	1268.3	54.8595	20.9158
XM_026478131.3	1762	1644.3	0	0
XM_026478132.3	1759	1641.3	0	0
XM_026478133.2	3175	3057.3	3586.5	567.253
XM_026478135.3	3662	3544.3	23	3.13792
XM_026478136.3	3554	3436.3	131	18.4342
XM_026478139.3	2722	2604.3	46.3956	8.61451
XM_026478140.3	2348	2230.3	14.1325	3.06409
XM_026478142.3	4236	4118.3	13.4598	1.58039
XM_026478143.3	338	220.498	24	52.6322
XM_026478144.3	8601	8483.3	19.0155	1.0839
XM_026478146.3	3833	3715.3	0	0
XM_026478150.3	2311	2193.3	62	13.6691
XM_026478151.3	6755	6637.3	5.74779	0.418749
XM_026478153.3	7000	6882.3	0	0
XM_026478159.3	2152	2034.3	0	0
XM_026478163.3	9279	9161.3	9.57036e-05	5.05145e-06
XM_026478165.3	2434	2316.3	386.179	80.6192
XM_026478167.3	1687	1569.3	0	0
XM_026478168.3	2138	2020.3	13	3.11152
XM_026478169.3	9315	9197.3	706.675	37.1539
XM_026478170.3	3852	3734.3	25.521	3.30471
XM_026478173.3	4464	4346.3	7.22291	0.803595
XM_026478174.3	5197	5079.3	26.089	2.48369
XM_026478175.3	8598	8480.3	0	0
XM_026478176.3	11857	11739.3	0.119535	0.00492378
XM_026478179.3	8427	8309.3	328.14	19.0959
XM_026478180.3	843	725.299	0	0
XM_026478181.3	2987	2869.3	66	11.1228
XM_026478182.3	8430	8312.3	107.301	6.24204
XM_026478183.3	10477	10359.3	830	38.7429
XM_026478185.3	3015	2897.3	0	0
XM_026478189.3	2391	2273.3	197	41.9038
XM_026478191.3	6588	6470.3	23.0939	1.72591
XM_026478192.3	6767	6649.3	1.53377	0.11154
XM_026478193.3	6597	6479.3	2.08842	0.15586
XM_026478194.3	6585	6467.3	816.404	61.0417
XM_026478195.3	5023	4905.3	1.88233	0.185556
XM_026478196.3	6484	6366.3	0	0
