target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1437.57	444.48	36.7803
XM_026478080.3	6046	5874.57	2.40735	0.0487479
XM_026478083.3	2509	2337.57	0	0
XM_026478085.3	2434	2262.57	0	0
XM_026478086.3	2425	2253.57	1297.2	68.4745
XM_026478087.3	2288	2116.57	38.5848	2.16858
XM_026478088.3	2224	2052.57	103.214	5.98179
XM_026478089.3	3098	2926.57	134.86	5.48171
XM_026478090.3	1357	1185.57	14.8696	1.49198
XM_026478091.3	1312	1140.57	0	0
XM_026478092.3	1300	1128.57	99.1304	10.4489
XM_026478094.3	1697	1525.57	43.2801	3.37481
XM_026478095.3	3596	3424.57	161.72	5.61759
XM_026478097.3	993	821.573	0	0
XM_026478098.3	10841	10669.6	6.03897	0.0673301
XM_026478099.3	2079	1907.57	0.25795	0.016086
XM_026478100.3	7847	7675.57	479.928	7.43803
XM_026478101.3	6255	6083.57	329.072	6.43466
XM_026478102.3	4900	4728.57	0	0
XM_026478103.3	1628	1456.57	1.19962e-07	9.79724e-09
XM_026478105.3	4341	4169.57	10	0.2853
XM_026478106.1	1359	1187.57	0	0
XM_026478107.1	1359	1187.57	0	0
XM_026478108.3	4405	4233.57	98.8398	2.77727
XM_026478109.3	4078	3906.57	119.472	3.63801
XM_026478110.3	4041	3869.57	69.6879	2.14234
XM_026478114.3	3144	2972.57	11.0364	0.441659
XM_026478122.3	5800	5628.57	0	0
XM_026478124.3	5185	5013.57	6.83155	0.162093
XM_026478126.3	4573	4401.57	4.57479	0.123639
XM_026478127.3	1566	1394.57	519	44.271
XM_026478128.3	1294	1122.57	1029.62	109.108
XM_026478129.3	1343	1171.57	145.665	14.7903
XM_026478130.3	1386	1214.57	129.335	12.6674
XM_026478131.3	1762	1590.57	321.704	24.0601
XM_026478132.3	1759	1587.57	608.296	45.58
XM_026478133.2	3175	3003.57	21869.8	866.165
XM_026478135.3	3662	3490.57	3	0.102239
XM_026478136.3	3554	3382.57	695	24.4417
XM_026478139.3	2722	2550.57	93.7484	4.37239
XM_026478140.3	2348	2176.57	133.76	7.31046
XM_026478142.3	4236	4064.57	0	0
XM_026478143.3	338	169.251	280	196.797
XM_026478144.3	8601	8429.57	3.45831	0.0488035
XM_026478146.3	3833	3661.57	34.2308	1.1121
XM_026478150.3	2311	2139.57	382	21.2388
XM_026478151.3	6755	6583.57	0	0
XM_026478153.3	7000	6828.57	10	0.174206
XM_026478159.3	2152	1980.57	0	0
XM_026478163.3	9279	9107.57	0	0
XM_026478165.3	2434	2262.57	1674.5	88.0389
XM_026478167.3	1687	1515.57	0	0
XM_026478168.3	2138	1966.57	19	1.14931
XM_026478169.3	9315	9143.57	1586.35	20.6384
XM_026478170.3	3852	3680.57	38.0257	1.22901
XM_026478173.3	4464	4292.57	12.1236	0.335975
XM_026478174.3	5197	5025.57	14.6423	0.34659
XM_026478175.3	8598	8426.57	138.854	1.9602
XM_026478176.3	11857	11685.6	81.8992	0.833725
XM_026478179.3	8427	8255.57	813.176	11.7174
XM_026478180.3	843	671.573	0	0
XM_026478181.3	2987	2815.57	107	4.52075
XM_026478182.3	8430	8258.57	450.222	6.48508
XM_026478183.3	10477	10305.6	385	4.44408
XM_026478185.3	3015	2843.57	0	0
XM_026478189.3	2391	2219.57	164.009	8.79006
XM_026478191.3	6588	6416.57	0	0
XM_026478192.3	6767	6595.57	0	0
XM_026478193.3	6597	6425.57	0	0
XM_026478194.3	6585	6413.57	223.879	4.15246
XM_026478195.3	5023	4851.57	18.5327	0.454411
XM_026478196.3	6484	6312.57	0	0
XM_026478199.3	4589	4417.57	1865.81	50.2431
XM_026478200.3	4000	3828.57	252	7.82991
XM_026478202.3	21305	21133.6	0	0
XM_026478203.3	4061	3889.57	236.159	7.22264
XM_026478206.2	939	767.573	0	0
XM_026478207.3	1835	1663.57	2.07665	0.148496
