target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1481.76	0	0
XM_026478080.3	6046	5918.76	51.743	4.46635
XM_026478083.3	2509	2381.76	0	0
XM_026478085.3	2434	2306.76	1	0.221477
XM_026478086.3	2425	2297.76	0	0
XM_026478087.3	2288	2160.76	0	0
XM_026478088.3	2224	2096.76	2	0.487318
XM_026478089.3	3098	2970.76	90.1843	15.5094
XM_026478090.3	1357	1229.76	4.12959	1.7156
XM_026478091.3	1312	1184.76	0	0
XM_026478092.3	1300	1172.76	4.87041	2.12171
XM_026478094.3	1697	1569.76	0	0
XM_026478095.3	3596	3468.76	14	2.06198
XM_026478097.3	993	865.764	0	0
XM_026478098.3	10841	10713.8	2.52266	0.120295
XM_026478099.3	2079	1951.76	0	0
XM_026478100.3	7847	7719.76	76.5861	5.06848
XM_026478101.3	6255	6127.76	26.4139	2.20223
XM_026478102.3	4900	4772.76	0	0
XM_026478103.3	1628	1500.76	2.56342e-07	8.72648e-08
XM_026478105.3	4341	4213.76	3	0.363733
XM_026478106.1	1359	1231.76	0	0
XM_026478107.1	1359	1231.76	0	0
XM_026478108.3	4405	4277.76	12	1.43317
XM_026478109.3	4078	3950.76	0	0
XM_026478110.3	4041	3913.76	0	0
XM_026478114.3	3144	3016.76	0	0
XM_026478122.3	5800	5672.76	0	0
XM_026478124.3	5185	5057.76	25.1949	2.54499
XM_026478126.3	4573	4445.76	27.1884	3.12442
XM_026478127.3	1566	1438.76	51	18.1097
XM_026478128.3	1294	1166.76	47.9761	21.0075
XM_026478129.3	1343	1215.76	13	5.46293
XM_026478130.3	1386	1258.76	0	0
XM_026478131.3	1762	1634.76	0	0
XM_026478132.3	1759	1631.76	0	0
XM_026478133.2	3175	3047.76	1849.27	309.992
XM_026478135.3	3662	3534.76	1	0.144534
XM_026478136.3	3554	3426.76	97	14.4617
XM_026478139.3	2722	2594.76	7.32534	1.44232
XM_026478140.3	2348	2220.76	13.0694	3.00666
XM_026478142.3	4236	4108.76	2.83031	0.351929
XM_026478143.3	338	210.991	11	26.6355
XM_026478144.3	8601	8473.76	4.43191	0.267206
XM_026478146.3	3833	3705.76	0	0
XM_026478150.3	2311	2183.76	26	6.08274
XM_026478151.3	6755	6627.76	0	0
XM_026478153.3	7000	6872.76	52.6022	3.91025
XM_026478159.3	2152	2024.76	4	1.00929
XM_026478163.3	9279	9151.76	29.323	1.63695
XM_026478165.3	2434	2306.76	34.042	7.53951
XM_026478167.3	1687	1559.76	23.7146	7.76762
XM_026478168.3	2138	2010.76	22	5.58976
XM_026478169.3	9315	9187.76	370.303	20.5911
XM_026478170.3	3852	3724.76	9.39387	1.28848
XM_026478173.3	4464	4336.76	2.0102	0.236813
XM_026478174.3	5197	5069.76	34.3853	3.46511
XM_026478175.3	8598	8470.76	55.4541	3.34459
XM_026478176.3	11857	11729.8	16.8939	0.73582
XM_026478179.3	8427	8299.76	123.412	7.59665
XM_026478180.3	843	715.764	3901	2784.44
XM_026478181.3	2987	2859.76	14	2.50109
XM_026478182.3	8430	8302.76	9.4407e-07	5.80916e-08
XM_026478183.3	10477	10349.8	31	1.53025
XM_026478185.3	3015	2887.76	0	0
XM_026478189.3	2391	2263.76	275.275	62.1251
XM_026478191.3	6588	6460.76	5.28679	0.418061
XM_026478192.3	6767	6639.76	0	0
XM_026478193.3	6597	6469.76	2.56692e-05	2.02701e-06
XM_026478194.3	6585	6457.76	64.2536	5.08332
XM_026478195.3	5023	4895.76	12.8058	1.33634
XM_026478196.3	6484	6356.76	0	0
XM_026478199.3	4589	4461.76	119.365	13.6679
XM_026478200.3	4000	3872.76	92	12.1366
XM_026478202.3	21305	21177.8	13.6002	0.328093
XM_026478203.3	4061	3933.76	18.4346	2.39418
XM_026478206.2	939	811.764	0	0
XM_026478207.3	1835	1707.76	1	0.29916
XM_026478208.3	1465	1337.76	766	292.537
XM_026478212.3	5507	5379.76	14	1.32953
XM_026478213.3	1113	985.764	0	0
XM_026478215.3	1955	1827.76	0	0
XM_026478216.3	3721	3593.76	16.1329	2.29348
XM_026478217.3	1659	1531.76	2.65101	0.884202
XM_026478218.3	4039	3911.76	17.66	2.30649
XM_026478219.3	6333	6205.76	148	12.1842
XM_026478220.3	4558	4430.76	2	0.230613
XM_026478221.1	1824	1696.76	0	0
XM_026478223.3	7229	7101.76	0	0
XM_026478225.3	4249	4121.76	18.5109	2.29444
XM_026478230.1	882	754.764	0	0
XM_026478231.3	2913	2785.76	4.97296	0.912016
XM_026478232.3	4392	4264.76	120.657	14.454
XM_026478237.3	4071	3943.76	0	0
XM_026478240.3	2392	2264.76	0	0
XM_026478241.3	4790	4662.76	9.69728	1.06252
XM_026478243.3	7888	7760.76	25.0036	1.646
XM_026478244.3	2279	2151.76	4.68193	1.11163
