target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1479.71	0	0
XM_026478080.3	6046	5916.71	0	0
XM_026478083.3	2509	2379.71	0	0
XM_026478085.3	2434	2304.71	1	0.198383
XM_026478086.3	2425	2295.71	0	0
XM_026478087.3	2288	2158.71	0	0
XM_026478088.3	2224	2094.71	14	3.0558
XM_026478089.3	3098	2968.71	13.4858	2.07696
XM_026478090.3	1357	1227.71	0	0
XM_026478091.3	1312	1182.71	0	0
XM_026478092.3	1300	1170.71	42	16.4029
XM_026478094.3	1697	1567.71	1.17446	0.342524
XM_026478095.3	3596	3466.71	1.82554	0.240766
XM_026478097.3	993	863.71	0	0
XM_026478098.3	10841	10711.7	9.92912	0.423811
XM_026478099.3	2079	1949.71	0.25409	0.0595851
XM_026478100.3	7847	7717.71	9.69562	0.57439
XM_026478101.3	6255	6125.71	4.30438	0.321273
XM_026478102.3	4900	4770.71	5.79497	0.555378
XM_026478103.3	1628	1498.71	2.18642e-08	6.67014e-09
XM_026478105.3	4341	4211.71	1	0.108558
XM_026478106.1	1359	1229.71	0	0
XM_026478107.1	1359	1229.71	0	0
XM_026478108.3	4405	4275.71	7.51654	0.803767
XM_026478109.3	4078	3948.71	19.4835	2.25596
XM_026478110.3	4041	3911.71	0	0
XM_026478114.3	3144	3014.71	0	0
XM_026478122.3	5800	5670.71	0	0
XM_026478124.3	5185	5055.71	0	0
XM_026478126.3	4573	4443.71	18	1.85203
XM_026478127.3	1566	1436.71	82	26.0955
XM_026478128.3	1294	1164.71	23	9.0288
XM_026478129.3	1343	1213.71	41	15.445
XM_026478130.3	1386	1256.71	0	0
XM_026478131.3	1762	1632.71	0	0
XM_026478132.3	1759	1629.71	0	0
XM_026478133.2	3175	3045.71	271.316	40.7294
XM_026478135.3	3662	3532.71	0	0
XM_026478136.3	3554	3424.71	17	2.26958
XM_026478139.3	2722	2592.71	0	0
XM_026478140.3	2348	2218.71	32.0026	6.59486
XM_026478142.3	4236	4106.71	0	0
XM_026478143.3	338	209.002	104	227.511
XM_026478144.3	8601	8471.71	5.33035	0.287677
XM_026478146.3	3833	3703.71	41.6696	5.14402
XM_026478150.3	2311	2181.71	207	43.3804
XM_026478151.3	6755	6625.71	0	0
XM_026478153.3	7000	6870.71	0	0
XM_026478159.3	2152	2022.71	0	0
XM_026478163.3	9279	9149.71	0	0
XM_026478165.3	2434	2304.71	63.3148	12.5606
XM_026478167.3	1687	1557.71	0	0
XM_026478168.3	2138	2008.71	15	3.41424
XM_026478169.3	9315	9185.71	148	7.36663
XM_026478170.3	3852	3722.71	19.2887	2.36899
XM_026478173.3	4464	4334.71	0	0
XM_026478174.3	5197	5067.71	0	0
XM_026478175.3	8598	8468.71	279.691	15.1001
XM_026478176.3	11857	11727.7	27.941	1.0893
XM_026478179.3	8427	8297.71	607.954	33.499
XM_026478180.3	843	713.71	0	0
XM_026478181.3	2987	2857.71	26	4.15983
XM_026478182.3	8430	8300.71	755.356	41.606
XM_026478183.3	10477	10347.7	31	1.36974
XM_026478185.3	3015	2885.71	0	0
XM_026478189.3	2391	2261.71	8	1.61724
XM_026478191.3	6588	6458.71	4.72586e-07	3.34545e-08
XM_026478192.3	6767	6637.71	0	0
XM_026478193.3	6597	6467.71	7.66782e-08	5.42053e-09
XM_026478194.3	6585	6455.71	8.66951e-07	6.14003e-08
XM_026478195.3	5023	4893.71	10.8887	1.01732
XM_026478196.3	6484	6354.71	0	0
XM_026478199.3	4589	4459.71	0.579836	0.0594454
XM_026478200.3	4000	3870.71	252	29.7667
XM_026478202.3	21305	21175.7	0	0
XM_026478203.3	4061	3931.71	17	1.97691
XM_026478206.2	939	809.71	0	0
XM_026478207.3	1835	1705.71	3	0.804148
XM_026478208.3	1465	1335.71	179	61.2718
XM_026478212.3	5507	5377.71	2.00462	0.170434
XM_026478213.3	1113	983.71	0	0
XM_026478215.3	1955	1825.71	0	0
XM_026478216.3	3721	3591.71	0	0
XM_026478217.3	1659	1529.71	0	0
XM_026478218.3	4039	3909.71	2	0.233887
XM_026478219.3	6333	6203.71	102	7.51742
XM_026478220.3	4558	4428.71	0	0
XM_026478221.1	1824	1694.71	0	0
XM_026478223.3	7229	7099.71	47.6519	3.06874
XM_026478225.3	4249	4119.71	52.3734	5.81251
XM_026478230.1	882	752.71	0	0
XM_026478231.3	2913	2783.71	0	0
XM_026478232.3	4392	4262.71	58	6.22103
XM_026478237.3	4071	3941.71	35.878	4.16163
XM_026478240.3	2392	2262.71	0	0
XM_026478241.3	4790	4660.71	2.55915	0.251052
XM_026478243.3	7888	7758.71	11.988	0.706443
XM_026478244.3	2279	2149.71	0	0
XM_026478256.3	15206	15076.7	3.30873e-06	1.0034e-07
XM_026478257.3	2506	2376.71	0	0
XM_026478258.3	2525	2395.71	7.31038	1.39516
XM_026478259.3	6504	6374.71	148.958	10.6838
XM_026478260.3	2509	2379.71	0	0
XM_026478261.3	2458	2328.71	13.418	2.63447
XM_026478262.3	3255	3125.71	0	0
XM_026478263.3	2242	2112.71	8	1.73129
XM_026478265.3	5688	5558.71	1.77427	0.145937
XM_026478267.3	6675	6545.71	11.8515	0.827819
XM_026478270.3	1033	903.71	44	22.261
XM_026478271.3	1861	1731.71	49.9275	13.1821
XM_026478272.3	4162	4032.71	49.0725	5.56367
XM_026478273.3	930	800.71	83	47.394
XM_026478274.3	1809	1679.71	0	0
XM_026478276.3	5005	4875.71	0	0
XM_026478278.3	5047	4917.71	0	0
XM_026478279.3	5035	4905.71	0	0
XM_026478280.3	4894	4764.71	2.10641	0.202128
XM_026478282.3	8406	8276.71	9.54452e-07	5.2725e-08
XM_026478283.3	8394	8264.71	0	0
XM_026478284.3	8294	8164.71	50.971	2.85432
XM_026478285.3	8279	8149.71	2.01835e-07	1.13233e-08
XM_026478290.3	4690	4560.71	17	1.70426
XM_026478291.3	7074	6944.71	33.1027	2.17936
XM_026478292.3	6933	6803.71	0	0
XM_026478293.3	6961	6831.71	21.8973	1.46549
XM_026478295.3	6712	6582.71	0	0
XM_026478296.3	9714	9584.71	2.99999	0.143107
XM_026478297.3	4637	4507.71	7.90407e-07	8.01705e-08
XM_026478298.3	4580	4450.71	13.0522	1.34083
XM_026478299.3	9699	9569.71	23.1986	1.10836
XM_026478300.3	4622	4492.71	6.14317e-05	6.25179e-06
XM_026478303.3	9076	8946.71	1.01879	0.0520642
XM_026478308.3	9177	9047.71	0	0
XM_026478309.3	1777	1647.71	9	2.49736
XM_026478311.3	1579	1449.71	37.4276	11.8041
XM_026478312.3	2647	2517.71	1	0.181599
XM_026478313.3	513	383.766	0	0
XM_026478317.3	5855	5725.71	19.5205	1.55876
XM_026478318.3	3547	3417.71	32	4.2809
XM_026478320.3	8741	8611.71	7.07422	0.375586
XM_026478321.3	3804	3674.71	520	64.6994
XM_026478322.3	2471	2341.71	0	0
XM_026478323.3	2809	2679.71	0	0
XM_026478326.3	5940	5810.71	0	0
XM_026478327.3	2519	2389.71	0	0
XM_026478328.3	9165	9035.71	0	0
XM_026478329.3	6861	6731.71	0	0
XM_026478331.3	1885	1755.71	13.7327	3.57621
XM_026478335.3	2818	2688.71	13	2.21065
XM_026478337.3	3820	3690.71	0	0
XM_026478339.3	11121	10991.7	55.567	2.31138
XM_026478340.3	11278	11148.7	19.5426	0.801454
XM_026478341.3	6045	5915.71	24.4795	1.89198
XM_026478347.3	3434	3304.71	0	0
XM_026478348.3	907	777.71	89	52.323
XM_026478350.3	3299	3169.71	46.3471	6.68533
XM_026478352.3	1414	1284.71	0	0
XM_026478353.3	1391	1261.71	9	3.26139
XM_026478355.3	1613	1483.71	55.0413	16.9613
XM_026478356.3	1219	1089.71	16.9587	7.11542
XM_026478358.3	1976	1846.71	19	4.70408
XM_026478361.3	335	206.023	0	0
XM_026478362.3	1440	1310.71	3406	1188.11
