target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1498.39	1717.88	494.151
XM_026478080.3	6046	5935.39	2.04351	0.148395
XM_026478083.3	2509	2398.39	16	2.87535
XM_026478085.3	2434	2323.39	0	0
XM_026478086.3	2425	2314.39	92.4705	17.221
XM_026478087.3	2288	2177.39	16.5295	3.27201
XM_026478088.3	2224	2113.39	0	0
XM_026478089.3	3098	2987.39	66.5103	9.59595
XM_026478090.3	1357	1246.39	7.98658	2.76184
XM_026478091.3	1312	1201.39	0	0
XM_026478092.3	1300	1189.39	24.0134	8.70203
XM_026478094.3	1697	1586.39	4.49117	1.22023
XM_026478095.3	3596	3485.39	18.4976	2.28746
XM_026478097.3	993	882.39	0	0
XM_026478098.3	10841	10730.4	5.22079	0.209706
XM_026478099.3	2079	1968.39	0.100429	0.0219908
XM_026478100.3	7847	7736.39	195.194	10.8747
XM_026478101.3	6255	6144.39	41.8062	2.9326
XM_026478102.3	4900	4789.39	11.6353	1.0471
XM_026478103.3	1628	1517.39	4.8757e-07	1.38494e-07
XM_026478105.3	4341	4230.39	6	0.61131
XM_026478106.1	1359	1248.39	0	0
XM_026478107.1	1359	1248.39	0	0
XM_026478108.3	4405	4294.39	14.269	1.43213
XM_026478109.3	4078	3967.39	14.4311	1.56778
XM_026478110.3	4041	3930.39	10.2999	1.12951
XM_026478114.3	3144	3033.39	0	0
XM_026478122.3	5800	5689.39	0	0
XM_026478124.3	5185	5074.39	8.86594	0.753064
XM_026478126.3	4573	4462.39	467.056	45.112
XM_026478127.3	1566	1455.39	71	21.0266
XM_026478128.3	1294	1183.39	82.7397	30.1354
XM_026478129.3	1343	1232.39	65.2424	22.8177
XM_026478130.3	1386	1275.39	10.7576	3.63548
XM_026478131.3	1762	1651.39	0.181019	0.0472461
XM_026478132.3	1759	1648.39	1.81898	0.475619
XM_026478133.2	3175	3064.39	4774.26	671.511
XM_026478135.3	3662	3551.39	25	3.03412
XM_026478136.3	3554	3443.39	166	20.7784
XM_026478139.3	2722	2611.39	63.1494	10.4229
XM_026478140.3	2348	2237.39	29.8544	5.75118
XM_026478142.3	4236	4125.39	10.2367	1.06951
XM_026478143.3	338	227.564	45	85.2313
XM_026478144.3	8601	8490.39	21.5479	1.09388
XM_026478146.3	3833	3722.39	22.6634	2.62418
XM_026478150.3	2311	2200.39	81	15.8663
XM_026478151.3	6755	6644.39	5.83346	0.378409
XM_026478153.3	7000	6889.39	0	0
XM_026478159.3	2152	2041.39	0	0
XM_026478163.3	9279	9168.39	0	0
XM_026478165.3	2434	2323.39	517.558	96.0124
XM_026478167.3	1687	1576.39	0	0
XM_026478168.3	2138	2027.39	13	2.76374
XM_026478169.3	9315	9204.39	915.267	42.8591
XM_026478170.3	3852	3741.39	8.25172	0.950609
XM_026478173.3	4464	4353.39	14.0804	1.39405
XM_026478174.3	5197	5086.39	11.0171	0.933577
XM_026478175.3	8598	8487.39	0	0
XM_026478176.3	11857	11746.4	0.645038	0.0236685
XM_026478179.3	8427	8316.39	357.811	18.5443
XM_026478180.3	843	732.39	0	0
XM_026478181.3	2987	2876.39	85	12.7368
XM_026478182.3	8430	8319.39	0.0857997	0.00444513
XM_026478183.3	10477	10366.4	305	12.6813
XM_026478185.3	3015	2904.39	0	0
XM_026478189.3	2391	2280.39	112.15	21.1974
XM_026478191.3	6588	6477.39	432.897	28.8055
XM_026478192.3	6767	6656.39	11.0815	0.717549
XM_026478193.3	6597	6486.39	14.5953	0.969841
XM_026478194.3	6585	6474.39	653.875	43.5298
XM_026478195.3	5023	4912.39	11.0355	0.968255
XM_026478196.3	6484	6373.39	3.35604	0.226959
XM_026478199.3	4589	4478.39	701.39	67.5038
XM_026478200.3	4000	3889.39	73	8.08969
XM_026478202.3	21305	21194.4	57.3757	1.1668
XM_026478203.3	4061	3950.39	46.3368	5.05565
XM_026478206.2	939	828.39	0	0
XM_026478207.3	1835	1724.39	29	7.24858
XM_026478208.3	1465	1354.39	1715	545.772
XM_026478212.3	5507	5396.39	7.11455	0.568244
XM_026478213.3	1113	1002.39	0	0
XM_026478215.3	1955	1844.39	6.59748	1.54176
XM_026478216.3	3721	3610.39	0	0
XM_026478217.3	1659	1548.39	5.88474	1.63809
XM_026478218.3	4039	3928.39	11	1.20689
XM_026478219.3	6333	6222.39	162	11.2214
XM_026478220.3	4558	4447.39	12	1.16297
XM_026478221.1	1824	1713.39	0	0
XM_026478223.3	7229	7118.39	983.871	59.5726
XM_026478225.3	4249	4138.39	3.61116	0.376102
XM_026478230.1	882	771.39	0	0
XM_026478231.3	2913	2802.39	0	0
XM_026478232.3	4392	4281.39	243.342	24.4975
XM_026478237.3	4071	3960.39	0	0
XM_026478240.3	2392	2281.39	28.2926	5.3452
XM_026478241.3	4790	4679.39	16.4229	1.51269
XM_026478243.3	7888	7777.39	52.6132	2.91576
XM_026478244.3	2279	2168.39	0	0
XM_026478256.3	15206	15095.4	17.7366	0.506426
XM_026478257.3	2506	2395.39	12.3793	2.22746
XM_026478258.3	2525	2414.39	77.5476	13.8437
XM_026478259.3	6504	6393.39	499.9	33.701
XM_026478260.3	2509	2398.39	6.46373	1.16159
XM_026478261.3	2458	2347.39	70.1588	12.8821
XM_026478262.3	3255	3144.39	12.9868	1.78015
XM_026478263.3	2242	2131.39	10	2.02222
XM_026478265.3	5688	5577.39	28.1181	2.17293
XM_026478267.3	6675	6564.39	0	0
XM_026478270.3	1033	922.39	26	12.1493
XM_026478271.3	1861	1750.39	176.881	43.555
XM_026478272.3	4162	4051.39	60.5347	6.44007
XM_026478273.3	930	819.39	961	505.503
XM_026478274.3	1809	1698.39	24.5535	6.23112
XM_026478276.3	5005	4894.39	0	0
XM_026478278.3	5047	4936.39	0	0
XM_026478279.3	5035	4924.39	0	0
XM_026478280.3	4894	4783.39	3.80411	0.342774
XM_026478282.3	8406	8295.39	0	0
XM_026478283.3	8394	8283.39	0	0
XM_026478284.3	8294	8183.39	59.9792	3.15906
XM_026478285.3	8279	8168.39	0	0
XM_026478290.3	4690	4579.39	82	7.71786
XM_026478291.3	7074	6963.39	58.5529	3.62425
XM_026478292.3	6933	6822.39	0	0
XM_026478293.3	6961	6850.39	28.4471	1.78983
XM_026478295.3	6712	6601.39	0	0
XM_026478296.3	9714	9603.39	0.00178114	7.99399e-05
XM_026478297.3	4637	4526.39	0.455276	0.0433524
XM_026478298.3	4580	4469.39	0	0
XM_026478299.3	9699	9588.39	0.0129477	0.000582018
XM_026478300.3	4622	4511.39	30.7371	2.93659
XM_026478303.3	9076	8965.39	12	0.576903
XM_026478308.3	9177	9066.39	89.5169	4.25561
XM_026478309.3	1777	1666.39	99	25.6064
XM_026478311.3	1579	1468.39	64.7829	19.0156
XM_026478312.3	2647	2536.39	12	2.03918
XM_026478313.3	513	402.472	0	0
XM_026478317.3	5855	5744.39	36.5885	2.74531
XM_026478318.3	3547	3436.39	51	6.39674
XM_026478320.3	8741	8630.39	880.773	43.987
XM_026478321.3	3804	3693.39	264	30.8084
XM_026478322.3	2471	2360.39	42.6637	7.7905
XM_026478323.3	2809	2698.39	0	0
XM_026478326.3	5940	5829.39	0	0
XM_026478327.3	2519	2408.39	7.33618	1.31291
XM_026478328.3	9165	9054.39	0.000284452	1.35407e-05
XM_026478329.3	6861	6750.39	0	0
XM_026478331.3	1885	1774.39	28.6235	6.95286
XM_026478335.3	2818	2707.39	54	8.59674
XM_026478337.3	3820	3709.39	1	0.116195
XM_026478339.3	11121	11010.4	0.0975499	0.00381869
XM_026478340.3	11278	11167.4	10.1319	0.391047
XM_026478341.3	6045	5934.39	0	0
XM_026478347.3	3434	3323.39	0	0
