target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1482.23	33	4.58943
XM_026478080.3	6046	5919.23	0	0
XM_026478083.3	2509	2382.23	0	0
XM_026478085.3	2434	2307.23	0	0
XM_026478086.3	2425	2298.23	123.382	11.0667
XM_026478087.3	2288	2161.23	0	0
XM_026478088.3	2224	2097.23	15.6178	1.53509
XM_026478089.3	3098	2971.23	59.1491	4.10366
XM_026478090.3	1357	1230.23	0	0
XM_026478091.3	1312	1185.23	0	0
XM_026478092.3	1300	1173.23	39	6.85239
XM_026478094.3	1697	1570.23	51.0788	6.70559
XM_026478095.3	3596	3469.23	54.7724	3.25453
XM_026478097.3	993	866.228	8.7027	2.07101
XM_026478098.3	10841	10714.2	0	0
XM_026478099.3	2079	1952.23	0	0
XM_026478100.3	7847	7720.23	220.788	5.89528
XM_026478101.3	6255	6128.23	50.2124	1.68902
XM_026478102.3	4900	4773.23	52.0189	2.24651
XM_026478103.3	1628	1501.23	71.4753	9.81452
XM_026478105.3	4341	4214.23	21	1.02721
XM_026478106.1	1359	1232.23	0	0
XM_026478107.1	1359	1232.23	0	0
XM_026478108.3	4405	4278.23	9.59271	0.462207
XM_026478109.3	4078	3951.23	6.99363	0.364863
XM_026478110.3	4041	3914.23	7.41366	0.390433
XM_026478114.3	3144	3017.23	0	0
XM_026478122.3	5800	5673.23	0	0
XM_026478124.3	5185	5058.23	2.63096	0.10722
XM_026478126.3	4573	4446.23	2	0.0927252
XM_026478127.3	1566	1439.23	103	14.7526
XM_026478128.3	1294	1167.23	491	86.7132
XM_026478129.3	1343	1216.23	110.995	18.8126
XM_026478130.3	1386	1259.23	29.0045	4.74811
XM_026478131.3	1762	1635.23	0	0
XM_026478132.3	1759	1632.23	8	1.01034
XM_026478133.2	3175	3048.23	8473.4	573.02
XM_026478135.3	3662	3535.23	6	0.349859
XM_026478136.3	3554	3427.23	333	20.0291
XM_026478139.3	2722	2595.23	44.0855	3.50171
XM_026478140.3	2348	2221.23	31.3362	2.90812
XM_026478142.3	4236	4109.23	0	0
XM_026478143.3	338	211.653	91	88.6293
XM_026478144.3	8601	8474.23	0	0
XM_026478146.3	3833	3706.23	17.7428	0.986848
XM_026478150.3	2311	2184.23	200	18.8752
XM_026478151.3	6755	6628.23	0	0
XM_026478153.3	7000	6873.23	0	0
XM_026478159.3	2152	2025.23	0	0
XM_026478163.3	9279	9152.23	4.00457	0.0901962
XM_026478165.3	2434	2307.23	543.112	48.5242
XM_026478167.3	1687	1560.23	0	0
XM_026478168.3	2138	2011.23	32	3.27981
XM_026478169.3	9315	9188.23	1477.93	33.1574
XM_026478170.3	3852	3725.23	12.4082	0.68662
XM_026478173.3	4464	4337.23	6.01259	0.285765
XM_026478174.3	5197	5070.23	1.91252	0.0777566
XM_026478175.3	8598	8471.23	55.978	1.36217
XM_026478176.3	11857	11730.2	61.7309	1.08482
XM_026478179.3	8427	8300.23	819.541	20.3536
XM_026478180.3	843	716.228	0	0
XM_026478181.3	2987	2860.23	174	12.5403
XM_026478182.3	8430	8303.23	61.6595	1.53078
XM_026478183.3	10477	10350.2	189	3.76419
XM_026478185.3	3015	2888.23	0	0
XM_026478189.3	2391	2264.23	111.355	10.138
XM_026478191.3	6588	6461.23	120.539	3.84567
XM_026478192.3	6767	6640.23	14.6085	0.453506
XM_026478193.3	6597	6470.23	0	0
XM_026478194.3	6585	6458.23	260.409	8.31195
XM_026478195.3	5023	4896.23	11.5357	0.485671
XM_026478196.3	6484	6357.23	0	0
XM_026478199.3	4589	4462.23	856.124	39.5498
XM_026478200.3	4000	3873.23	66	3.51261
XM_026478202.3	21305	21178.2	18.7642	0.182642
XM_026478203.3	4061	3934.23	70.2703	3.6819
XM_026478206.2	939	812.228	1	0.253794
XM_026478207.3	1835	1708.23	0	0
XM_026478208.3	1465	1338.23	3919	603.677
XM_026478212.3	5507	5380.23	1	0.0383141
XM_026478213.3	1113	986.228	0	0
XM_026478215.3	1955	1828.23	0	0
XM_026478216.3	3721	3594.23	59.8597	3.43311
XM_026478217.3	1659	1532.23	23.9131	3.21715
XM_026478218.3	4039	3912.23	0.455061	0.0239776
XM_026478219.3	6333	6206.23	223	7.4069
XM_026478220.3	4558	4431.23	0	0
XM_026478221.1	1824	1697.23	0	0
XM_026478223.3	7229	7102.23	257.076	7.46152
XM_026478225.3	4249	4122.23	35.9706	1.79877
XM_026478230.1	882	755.228	0	0
XM_026478231.3	2913	2786.23	0	0
XM_026478232.3	4392	4265.23	332.981	16.093
XM_026478237.3	4071	3944.23	0	0
XM_026478240.3	2392	2265.23	20.4621	1.86208
XM_026478241.3	4790	4663.23	1.22604	0.0541973
XM_026478243.3	7888	7761.23	7.50103	0.199228
XM_026478244.3	2279	2152.23	0	0
XM_026478256.3	15206	15079.2	7.21953	0.0986937
XM_026478257.3	2506	2379.23	0	0
XM_026478258.3	2525	2398.23	59.1681	5.08577
XM_026478259.3	6504	6377.23	524.64	16.9586
XM_026478260.3	2509	2382.23	14.7503	1.27637
XM_026478261.3	2458	2331.23	107.524	9.50778
XM_026478262.3	3255	3128.23	0	0
XM_026478263.3	2242	2115.23	8	0.779637
XM_026478265.3	5688	5561.23	17.6787	0.655298
XM_026478267.3	6675	6548.23	20.8176	0.65534
XM_026478270.3	1033	906.228	44	10.0086
XM_026478271.3	1861	1734.23	211.446	25.1335
XM_026478272.3	4162	4035.23	134.554	6.87367
XM_026478273.3	930	803.228	3344	858.197
XM_026478274.3	1809	1682.23	2	0.245078
XM_026478276.3	5005	4878.23	0.453026	0.0191435
XM_026478278.3	5047	4920.23	0.084363	0.00353449
XM_026478279.3	5035	4908.23	0	0
XM_026478280.3	4894	4767.23	9.13435	0.394977
XM_026478282.3	8406	8279.23	10.7332	0.267239
XM_026478283.3	8394	8267.23	0.00141787	3.53537e-05
XM_026478284.3	8294	8167.23	68.4817	1.72846
XM_026478285.3	8279	8152.23	0.0128484	0.000324887
XM_026478290.3	4690	4563.23	282	12.739
XM_026478291.3	7074	6947.23	71.4569	2.12028
XM_026478292.3	6933	6806.23	0	0
XM_026478293.3	6961	6834.23	49.5431	1.49435
XM_026478295.3	6712	6585.23	0	0
XM_026478296.3	9714	9587.23	0	0
XM_026478297.3	4637	4510.23	3.11593e-06	1.42413e-07
XM_026478298.3	4580	4453.23	19.3898	0.897548
XM_026478299.3	9699	9572.23	0	0
XM_026478300.3	4622	4495.23	0	0
XM_026478303.3	9076	8949.23	5.01118	0.115429
XM_026478308.3	9177	9050.23	246.607	5.617
XM_026478309.3	1777	1650.23	186	23.2342
XM_026478311.3	1579	1452.23	90.2004	12.8036
XM_026478312.3	2647	2520.23	70	5.72556
XM_026478313.3	513	386.228	0	0
XM_026478317.3	5855	5728.23	0	0
XM_026478318.3	3547	3420.23	9	0.542434
XM_026478320.3	8741	8614.23	0	0
XM_026478321.3	3804	3677.23	389	21.8066
XM_026478322.3	2471	2344.23	5.38877	0.47386
XM_026478323.3	2809	2682.23	4.03281	0.309935
XM_026478326.3	5940	5813.23	42.1135	1.49336
