target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1483.55	0	0
XM_026478080.3	6046	5920.55	44.0943	3.54948
XM_026478083.3	2509	2383.55	0	0
XM_026478085.3	2434	2308.55	2	0.412891
XM_026478086.3	2425	2299.55	0	0
XM_026478087.3	2288	2162.55	0	0
XM_026478088.3	2224	2098.55	0	0
XM_026478089.3	3098	2972.55	90.5365	14.5157
XM_026478090.3	1357	1231.55	8.25622	3.19502
XM_026478091.3	1312	1186.55	0	0
XM_026478092.3	1300	1174.55	12.7438	5.17096
XM_026478094.3	1697	1571.55	5.80363	1.76001
XM_026478095.3	3596	3470.55	11.1962	1.5375
XM_026478097.3	993	867.554	0	0
XM_026478098.3	10841	10715.6	6.00838	0.267232
XM_026478099.3	2079	1953.55	0.0961841	0.0234651
XM_026478100.3	7847	7721.55	78.798	4.86358
XM_026478101.3	6255	6129.55	24.202	1.88177
XM_026478102.3	4900	4774.55	0	0
XM_026478103.3	1628	1502.55	0	0
XM_026478105.3	4341	4215.55	1	0.113055
XM_026478106.1	1359	1233.55	0	0
XM_026478107.1	1359	1233.55	0	0
XM_026478108.3	4405	4279.55	11	1.22501
XM_026478109.3	4078	3952.55	5.56776e-08	6.71349e-09
XM_026478110.3	4041	3915.55	0	0
XM_026478114.3	3144	3018.55	0	0
XM_026478122.3	5800	5674.55	0	0
XM_026478124.3	5185	5059.55	31.7717	2.99277
XM_026478126.3	4573	4447.55	15.3366	1.64344
XM_026478127.3	1566	1440.55	26	8.6018
XM_026478128.3	1294	1168.55	32	13.0511
XM_026478129.3	1343	1217.55	13	5.08863
XM_026478130.3	1386	1260.55	0	0
XM_026478131.3	1762	1636.55	0	0
XM_026478132.3	1759	1633.55	0	0
XM_026478133.2	3175	3049.55	1118.23	174.759
XM_026478135.3	3662	3536.55	2	0.269523
XM_026478136.3	3554	3428.55	144	20.0169
XM_026478139.3	2722	2596.55	0	0
XM_026478140.3	2348	2222.55	0	0
XM_026478142.3	4236	4110.55	0	0
XM_026478143.3	338	212.683	6	13.4451
XM_026478144.3	8601	8475.55	1.31405	0.0738909
XM_026478146.3	3833	3707.55	0	0
XM_026478150.3	2311	2185.55	33	7.19611
XM_026478151.3	6755	6629.55	13.9026	0.999444
XM_026478153.3	7000	6874.55	0	0
XM_026478159.3	2152	2026.55	4	0.940692
XM_026478163.3	9279	9153.55	0	0
XM_026478165.3	2434	2308.55	66.1868	13.664
XM_026478167.3	1687	1561.55	5.36091	1.63616
XM_026478168.3	2138	2012.55	16	3.78894
XM_026478169.3	9315	9189.55	195.084	10.1175
XM_026478170.3	3852	3726.55	13.0896	1.67403
XM_026478173.3	4464	4338.55	14.0414	1.54245
XM_026478174.3	5197	5071.55	48.7846	4.58445
XM_026478175.3	8598	8472.55	2.48393e-08	1.39724e-09
XM_026478176.3	11857	11731.6	22.7136	0.922733
XM_026478179.3	8427	8301.55	83.7654	4.80895
XM_026478180.3	843	717.554	709	470.909
XM_026478181.3	2987	2861.55	30	4.99649
XM_026478182.3	8430	8304.55	56.7836	3.25876
XM_026478183.3	10477	10351.6	48	2.20994
XM_026478185.3	3015	2889.55	0	0
XM_026478189.3	2391	2265.55	366.425	77.0826
XM_026478191.3	6588	6462.55	38.5377	2.84202
XM_026478192.3	6767	6641.55	0	0
XM_026478193.3	6597	6471.55	0	0
XM_026478194.3	6585	6459.55	5.70514e-08	4.20929e-09
XM_026478195.3	5023	4897.55	9.52242	0.926646
XM_026478196.3	6484	6358.55	0	0
XM_026478199.3	4589	4463.55	195.64	20.8892
XM_026478200.3	4000	3874.55	173	21.2799
XM_026478202.3	21305	21179.6	0	0
XM_026478203.3	4061	3935.55	26.0825	3.15856
XM_026478206.2	939	813.554	0	0
XM_026478207.3	1835	1709.55	3	0.836342
XM_026478208.3	1465	1339.55	1118	397.766
XM_026478212.3	5507	5381.55	10.1579	0.899581
XM_026478213.3	1113	987.554	0	0
XM_026478215.3	1955	1829.55	0	0
XM_026478216.3	3721	3595.55	35.2888	4.67753
XM_026478217.3	1659	1533.55	0	0
XM_026478218.3	4039	3913.55	26.7396	3.25633
XM_026478219.3	6333	6207.55	124	9.52021
XM_026478220.3	4558	4432.55	6	0.645123
XM_026478221.1	1824	1698.55	0	0
XM_026478223.3	7229	7103.55	0.000723524	4.85426e-05
XM_026478225.3	4249	4123.55	0	0
XM_026478230.1	882	756.554	0	0
XM_026478231.3	2913	2787.55	0	0
XM_026478232.3	4392	4266.55	103.488	11.56
XM_026478237.3	4071	3945.55	3.73278	0.45089
XM_026478240.3	2392	2266.55	0	0
XM_026478241.3	4790	4664.55	14.9507	1.52756
XM_026478243.3	7888	7762.55	43.7939	2.68878
XM_026478244.3	2279	2153.55	0	0
XM_026478256.3	15206	15080.6	0.000215644	6.81498e-06
XM_026478257.3	2506	2380.55	7.97954	1.59752
XM_026478258.3	2525	2399.55	0	0
XM_026478259.3	6504	6378.55	90.9337	6.79435
XM_026478260.3	2509	2383.55	7.37942	1.47551
XM_026478261.3	2458	2332.55	153.359	31.3346
XM_026478262.3	3255	3129.55	7.85742	1.19658
XM_026478263.3	2242	2116.55	3	0.675519
XM_026478265.3	5688	5562.55	20.5776	1.76306
XM_026478267.3	6675	6549.55	8.04327e-05	5.85284e-06
XM_026478270.3	1033	907.554	45	23.6312
XM_026478271.3	1861	1735.55	43.7358	12.01
XM_026478272.3	4162	4036.55	51.7821	6.11385
XM_026478273.3	930	804.554	740	438.351
XM_026478274.3	1809	1683.55	3	0.849258
XM_026478276.3	5005	4879.55	0	0
XM_026478278.3	5047	4921.55	0	0
XM_026478279.3	5035	4909.55	0	0
XM_026478280.3	4894	4768.55	0	0
XM_026478282.3	8406	8280.55	0	0
XM_026478283.3	8394	8268.55	7.3961e-06	4.26304e-07
XM_026478284.3	8294	8168.55	3.09979e-06	1.80856e-07
XM_026478285.3	8279	8153.55	25.9356	1.51599
XM_026478290.3	4690	4564.55	6	0.626467
XM_026478291.3	7074	6948.55	41.0747	2.81725
XM_026478292.3	6933	6807.55	0	0
XM_026478293.3	6961	6835.55	5.42392	0.378169
XM_026478295.3	6712	6586.55	17.5014	1.26637
XM_026478296.3	9714	9588.55	29.0175	1.44229
XM_026478297.3	4637	4511.55	31.9003	3.36988
XM_026478298.3	4580	4454.55	19.7168	2.10949
XM_026478299.3	9699	9573.55	0.00126139	6.27947e-05
XM_026478300.3	4622	4496.55	1.47979e-08	1.56844e-09
XM_026478303.3	9076	8950.55	12	0.638965
XM_026478308.3	9177	9051.55	10.3703	0.546027
XM_026478309.3	1777	1651.55	83	23.9514
XM_026478311.3	1579	1453.55	20.5546	6.73942
XM_026478312.3	2647	2521.55	2	0.378014
XM_026478313.3	513	387.613	0	0
XM_026478317.3	5855	5729.55	67.5514	5.619
XM_026478318.3	3547	3421.55	27	3.76085
XM_026478320.3	8741	8615.55	0	0
XM_026478321.3	3804	3678.55	511	66.2048
XM_026478322.3	2471	2345.55	7.74098e-07	1.57288e-07
XM_026478323.3	2809	2683.55	11.5883	2.05804
XM_026478326.3	5940	5814.55	62.9854	5.1626
XM_026478327.3	2519	2393.55	0	0
XM_026478328.3	9165	9039.55	0	0
XM_026478329.3	6861	6735.55	0	0
XM_026478331.3	1885	1759.55	20	5.41718
XM_026478335.3	2818	2692.55	187	33.0996
XM_026478337.3	3820	3694.55	0	0
XM_026478339.3	11121	10995.6	6.0403	0.26181
XM_026478340.3	11278	11152.6	11.8767	0.507537
XM_026478341.3	6045	5919.55	20.4382	1.6455
XM_026478347.3	3434	3308.55	0	0
XM_026478348.3	907	781.554	113	68.9073
XM_026478350.3	3299	3173.55	0	0
XM_026478352.3	1414	1288.55	0	0
XM_026478353.3	1391	1265.55	2	0.753173
XM_026478355.3	1613	1487.55	30.2041	9.67697
XM_026478356.3	1219	1093.55	2.79586	1.21849
XM_026478358.3	1976	1850.55	18	4.63571
XM_026478361.3	335	209.683	0	0
XM_026478362.3	1440	1314.55	1945	705.159
XM_026478365.3	1806	1680.55	0	0
XM_026478366.3	2953	2827.55	12	2.02263
XM_026478368.3	1990	1864.55	7	1.78924
XM_026478371.3	2783	2657.55	63	11.2981
XM_026478372.3	2782	2656.55	1.55585e-06	2.79123e-07
XM_026478373.3	3090	2964.55	0	0
XM_026478374.3	2298	2172.55	0	0
XM_026478375.3	2175	2049.55	0	0
XM_026478376.3	1983	1857.55	0	0
XM_026478377.2	1899	1773.55	0	0
XM_026478378.2	1782	1656.55	0	0
XM_026478379.3	1764	1638.55	0	0
XM_026478380.3	605	479.613	4	3.97479
XM_026478382.3	1944	1818.55	11.5299	3.02165
XM_026478383.3	1914	1788.55	0	0
XM_026478386.3	2059	1933.55	48.1977	11.88
XM_026478387.3	5606	5480.55	5.94923e-06	5.17347e-07
XM_026478388.3	5437	5311.55	0	0
XM_026478389.3	4186	4060.55	6	0.704225
XM_026478391.3	7161	7035.55	172	11.6513
XM_026478392.3	4871	4745.55	1	0.100429
XM_026478393.3	2107	1981.55	0	0
XM_026478394.3	3354	3228.55	1.51545	0.223707
XM_026478396.3	1980	1854.55	48	12.3352
XM_026478397.3	1470	1344.55	3	1.06338
XM_026478400.3	5098	4972.55	269.391	25.8196
XM_026478401.3	4206	4080.55	0	0
XM_026478403.2	1315	1189.55	0	0
XM_026478413.3	527	401.613	920	1091.75
XM_026478414.3	5797	5671.55	2.21403	0.186049
XM_026478415.3	5787	5661.55	14.786	1.24469
XM_026478417.3	5782	5656.55	0	0
XM_026478418.3	5772	5646.55	0	0
XM_026478419.3	5766	5640.55	0	0
XM_026478420.3	5757	5631.55	0	0
XM_026478421.3	5752	5626.55	0	0
XM_026478422.3	5742	5616.55	0	0
XM_026478423.3	14639	14513.6	19.6211	0.644311
XM_026478424.3	12168	12042.6	49.3789	1.9542
XM_026478426.3	2725	2599.55	4	0.733342
XM_026478427.3	3132	3006.55	0	0
XM_026478429.3	2934	2808.55	0	0
XM_026478431.2	1706	1580.55	0	0
XM_026478432.3	4236	4110.55	193.476	22.4322
XM_026478433.3	9958	9832.55	11	0.533178
XM_026478435.3	11864	11738.6	0	0
XM_026478436.3	11736	11610.6	64.2333	2.63665
XM_026478437.2	1170	1044.55	0	0
XM_026478438.3	3358	3232.55	159	23.4421
XM_026478440.3	11861	11735.6	0	0
XM_026478443.3	1892	1766.55	3	0.809357
XM_026478445.2	996	870.554	0	0
XM_026478446.3	8351	8225.55	0	0
XM_026478448.3	8322	8196.55	0	0
XM_026478449.3	8343	8217.55	0	0
XM_026478450.3	8347	8221.55	15.5888	0.903657
XM_026478451.3	9211	9085.55	0	0
XM_026478452.3	9208	9082.55	0	0
XM_026478453.3	2394	2268.55	0	0
XM_026478454.3	2401	2275.55	35	7.33038
XM_026478455.2	4157	4031.55	2	0.23643
XM_026478456.3	3058	2932.55	199	32.3409
XM_026478458.3	18169	18043.6	140.758	3.71788
XM_026478459.3	17911	17785.6	18.1505	0.486369
XM_026478460.3	2874	2748.55	10.5579	1.83071
XM_026478461.3	5383	5257.55	689	62.457
XM_026478462.3	2452	2326.55	94.3236	19.322
XM_026478463.3	6859	6733.55	77.6897	5.49876
XM_026478464.3	7383	7257.55	10.4074	0.683436
XM_026478465.3	7567	7441.55	30.4597	1.95078
XM_026478466.3	7394	7268.55	0.174494	0.0114413
XM_026478467.3	7382	7256.55	14.1676	0.930489
XM_026478468.3	7283	7157.55	37.4675	2.4948
XM_026478469.3	7190	7064.55	0	0
XM_026478470.3	7223	7097.55	5.63396	0.378312
XM_026478471.3	3606	3480.55	0	0
XM_026478472.3	789	663.554	0	0
XM_026478473.3	1807	1681.55	1	0.283423
XM_026478474.3	705	579.613	0	0
XM_026478476.3	2229	2103.55	41.6284	9.43153
XM_026478478.3	2422	2296.55	13	2.69782
XM_026478479.3	3922	3796.55	10.6958	1.34266
XM_026478480.3	3897	3771.55	0	0
XM_026478481.3	3784	3658.55	0	0
XM_026478482.3	3759	3633.55	0	0
XM_026478483.3	6695	6569.55	12.521	0.908339
XM_026478485.3	6655	6529.55	0	0
XM_026478492.3	5348	5222.55	13.4055	1.22333
XM_026478494.3	29744	29618.6	92.8487	1.49402
XM_026478495.3	4099	3973.55	0	0
XM_026478496.3	4071	3945.55	0	0
XM_026478508.2	1563	1437.55	0	0
XM_026478509.3	3378	3252.55	2	0.293056
XM_026478510.3	1249	1123.55	41	17.3914
XM_026478514.3	4197	4071.55	25.9648	3.03928
XM_026478515.3	1793	1667.55	27.0638	7.73488
XM_026478517.3	3331	3205.55	545.05	81.0362
XM_026478518.3	3328	3202.55	333.21	49.5869
XM_026478521.3	2895	2769.55	14.7781	2.54304
XM_026478522.3	804	678.554	17.7457	12.4639
XM_026478524.3	2946	2820.55	26	4.39324
XM_026478527.3	2690	2564.55	0	0
XM_026478528.3	2552	2426.55	187.408	36.8081
XM_026478529.3	2662	2536.55	10.5919	1.99011
XM_026478531.3	1315	1189.55	0	0
XM_026478532.3	714	588.613	23.2543	18.8286
XM_026478534.3	1354	1228.55	0	0
XM_026478535.3	3220	3094.55	0	0
XM_026478536.3	3226	3100.55	0	0
XM_026478539.3	752	626.554	210	159.737
XM_026478540.3	1929	1803.55	1	0.264251
XM_026478541.3	5671	5545.55	2.3893	0.205339
XM_026478543.3	3350	3224.55	4.6107	0.681465
XM_026478544.3	4146	4020.55	19.2708	2.28433
XM_026478545.3	8428	8302.55	66.308	3.80627
XM_026478546.3	4180	4054.55	8.98477	1.05611
XM_026478548.3	4847	4721.55	3.74446	0.377964
XM_026478549.3	8569	8443.55	21	1.18533
XM_026478553.3	5480	5354.55	30	2.6702
XM_026478554.3	8413	8287.55	22.9804	1.32153
XM_026478555.3	5414	5288.55	0	0
XM_026478556.3	6915	6789.55	0	0
XM_026478557.3	3410	3284.55	61	8.85114
XM_026478564.3	10082	9956.55	160	7.65873
XM_026478565.3	1446	1320.55	20.2653	7.31378
XM_026478566.3	4481	4355.55	42	4.5957
XM_026478568.3	1447	1321.55	8.97468	3.23653
XM_026478569.3	1580	1454.55	21.7601	7.12977
XM_026478570.3	10374	10248.6	106.225	4.93981
XM_026478572.3	14600	14474.6	1.03963	0.0342308
XM_026478573.3	2048	1922.55	0	0
XM_026478575.3	4220	4094.55	0	0
XM_026478577.3	4109	3983.55	0	0
XM_026478578.3	3990	3864.55	0.410257	0.0505944
XM_026478583.3	3888	3762.55	0	0
XM_026478584.3	4007	3881.55	0	0
XM_026478585.3	10399	10273.6	0	0
XM_026478586.3	10271	10145.6	0	0
XM_026478587.3	10344	10218.6	24.6825	1.15119
XM_026478589.3	10096	9970.55	0	0
XM_026478592.3	8688	8562.55	96.5379	5.37329
XM_026478593.3	1678	1552.55	3	0.920916
XM_026478594.3	1877	1751.55	0	0
XM_026478596.3	4810	4684.55	1.49162	0.151753
XM_026478597.3	1820	1694.55	22.5084	6.33045
XM_026478599.3	20719	20593.6	175.299	4.05689
XM_026478605.3	6295	6169.55	0	0
XM_026478606.1	813	687.554	0	0
XM_026478608.3	3258	3132.55	0	0
XM_026478609.1	2889	2763.55	0	0
XM_026478610.3	16630	16504.6	0	0
XM_026478611.2	1239	1113.55	0	0
XM_026478612.2	1011	885.554	0	0
XM_026478613.3	16618	16492.6	0	0
XM_026478615.2	477	351.613	0	0
XM_026478616.3	866	740.554	0	0
XM_026478617.3	16613	16487.6	0	0
XM_026478618.3	16604	16478.6	0	0
XM_026478619.3	6465	6339.55	0.10944	0.00822742
XM_026478620.3	5155	5029.55	0	0
XM_026478621.3	5149	5023.55	0	0
XM_026478622.3	5226	5100.55	0	0
XM_026478623.3	5138	5012.55	0	0
XM_026478624.3	5229	5103.55	0	0
XM_026478625.3	5233	5107.55	0	0
XM_026478626.3	5201	5075.55	0	0
XM_026478627.3	16588	16462.6	6.54106e-07	1.89364e-08
XM_026478629.3	4929	4803.55	6.95327	0.689877
XM_026478630.3	16562	16436.6	0	0
XM_026478631.3	16453	16327.6	58.0584	1.69469
XM_026478633.3	1072	946.554	131.683	66.3024
XM_026478634.3	4866	4740.55	57.6913	5.79999
XM_026478635.3	4792	4666.55	103.309	10.5508
XM_026478636.3	16549	16423.6	0.026622	0.000772536
XM_026478637.2	3923	3797.55	4.10341e-08	5.14975e-09
XM_026478639.3	7898	7772.55	315.608	19.3522
XM_026478640.3	2896	2770.55	276.13	47.4999
XM_026478641.3	1901	1775.55	7.60408	2.04107
XM_026478642.3	1253	1127.55	87	36.7729
XM_026478645.3	16531	16405.6	0	0
XM_026478647.3	2006	1880.55	40	10.1372
XM_026478648.3	7220	7094.55	20	1.34354
XM_026478649.3	13711	13585.6	32.0534	1.12445
XM_026478650.3	16498	16372.6	1.45787e-06	4.24373e-08
XM_026478651.3	1970	1844.55	35.4649	9.16332
XM_026478652.3	5439	5313.55	10.6339	0.953787
XM_026478654.3	1958	1832.55	8.64525e-08	2.24836e-08
XM_026478656.3	2908	2782.55	5	0.856391
XM_026478658.3	843	717.554	0	0
XM_026478659.3	7402	7276.55	76.596	5.01679
XM_026478660.3	455	329.613	0	0
XM_026478662.3	9669	9543.55	0	0
XM_026478663.3	9657	9531.55	0	0
XM_026478664.3	9647	9521.55	0	0
XM_026478665.3	9692	9566.55	0	0
XM_026478666.3	9638	9512.55	84.453	4.2312
XM_026478667.3	9631	9505.55	0	0
XM_026478669.3	9501	9375.55	1.94605	0.0989242
XM_026478670.3	9469	9343.55	0	0
XM_026478671.3	9424	9298.55	5.08145	0.260446
XM_026478672.3	9357	9231.55	0.105441	0.00544352
XM_026478673.3	8059	7933.55	14.4583	0.868549
XM_026478674.3	8023	7897.55	17.1309	1.03379
XM_026478675.3	7889	7763.55	24.235	1.48775
XM_026478676.3	7855	7729.55	21.8707	1.34851
XM_026478678.3	13725	13599.6	84.8219	2.97255
XM_026478679.3	3183	3057.55	0	0
XM_026478680.3	3171	3045.55	142	22.2212
XM_026478681.3	7162	7036.55	68.423	4.63434
XM_026478682.3	7262	7136.55	0	0
XM_026478683.3	7160	7034.55	0.000103292	6.99805e-06
XM_026478685.3	3512	3386.55	245	34.4789
XM_026478686.3	2737	2611.55	5	0.912466
XM_026478687.3	3818	3692.55	454	58.5969
XM_026478689.3	1691	1565.55	96	29.2246
XM_026478690.3	1226	1100.55	60	25.9828
XM_026478691.3	1588	1462.55	0	0
XM_026478692.3	5228	5102.55	311.197	29.0666
XM_026478693.3	5364	5238.55	8.80277	0.800854
XM_026478695.3	1355	1229.55	0	0
XM_026478696.3	5565	5439.55	104	9.11204
XM_026478697.3	9650	9524.55	98.445	4.926
XM_026478703.3	3773	3647.55	454	59.3198
XM_026478705.3	9255	9129.55	74.7999	3.90478
XM_026478707.3	3452	3326.55	99.7488	14.2909
XM_026478708.3	3227	3101.55	3.62959	0.557729
XM_026478710.3	2478	2352.55	0	0
XM_026478713.3	11262	11136.6	41.796	1.78867
XM_026478717.3	9030	8904.55	40.149	2.14886
XM_026478719.3	3296	3170.55	0	0
XM_026478720.3	4448	4322.55	7.71885	0.851055
XM_026478721.3	3122	2996.55	12.9949	2.06678
XM_026478723.3	8345	8219.55	0.000237779	1.3787e-05
XM_026478724.3	8904	8778.55	6.07853e-06	3.30006e-07
XM_026478726.3	13027	12901.6	5.59298	0.206608
XM_026478728.3	13088	12962.6	0.0349461	0.00128485
XM_026478731.3	8871	8745.55	12.0111	0.654549
XM_026478732.3	3683	3557.55	6	0.803795
XM_026478733.3	3244	3118.55	6690	1022.39
XM_026478734.3	8021	7895.55	44	2.65592
XM_026478735.3	1187	1061.55	39.5357	17.7498
XM_026478736.3	912	786.554	59.3929	35.9875
XM_026478737.3	1186	1060.55	286.071	128.554
XM_026478738.3	8567	8441.55	0	0
XM_026478739.3	1006	880.554	0	0
XM_026478740.3	7106	6980.55	8.82687	0.602646
XM_026478742.3	3186	3060.55	1	0.15572
XM_026478748.3	8407	8281.55	0	0
XM_026478749.1	333	207.683	0	0
XM_026478750.3	6150	6024.55	0	0
XM_026478754.2	3984	3858.55	0	0
XM_026478756.3	7104	6978.55	0	0
XM_026478757.1	1326	1200.55	0	0
XM_026478758.3	4272	4146.55	14.564	1.67394
XM_026478759.3	381	255.613	0	0
XM_026478762.3	2951	2825.55	51.4217	8.67337
XM_026478765.2	645	519.613	0	0
XM_026478766.3	1119	993.554	0	0
XM_026478767.2	3327	3201.55	0	0
XM_026478768.2	414	288.613	0	0
XM_026478769.3	4217	4091.55	1	0.116482
XM_026478771.3	3942	3816.55	39	4.87011
XM_026478772.2	906	780.554	0	0
XM_026478773.3	2942	2816.55	4	0.676842
