target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1471.46	119.26	9.9166
XM_026478080.3	6046	5908.46	5.04449	0.104462
XM_026478083.3	2509	2371.46	0	0
XM_026478085.3	2434	2296.46	1	0.0532793
XM_026478086.3	2425	2287.46	293.748	15.7123
XM_026478087.3	2288	2150.46	16.871	0.959905
XM_026478088.3	2224	2086.46	41.381	2.42665
XM_026478089.3	3098	2960.46	168.188	6.95109
XM_026478090.3	1357	1219.46	8.77271	0.880206
XM_026478091.3	1312	1174.46	0	0
XM_026478092.3	1300	1162.46	99.2273	10.4441
XM_026478094.3	1697	1559.46	9.01695e-06	7.07462e-07
XM_026478095.3	3596	3458.46	177.61	6.28349
XM_026478097.3	993	855.456	3.04539	0.435574
XM_026478098.3	10841	10703.5	0	0
XM_026478099.3	2079	1941.46	0.0793222	0.00499901
XM_026478100.3	7847	7709.46	590.249	9.36759
XM_026478101.3	6255	6117.46	155.751	3.11514
XM_026478102.3	4900	4762.46	38.5713	0.990945
XM_026478103.3	1628	1490.46	72.4287	5.94577
XM_026478105.3	4341	4203.46	77	2.2413
XM_026478106.1	1359	1221.46	0	0
XM_026478107.1	1359	1221.46	0	0
XM_026478108.3	4405	4267.46	65.4845	1.87753
XM_026478109.3	4078	3940.46	70.7549	2.19698
XM_026478110.3	4041	3903.46	7.76056	0.243254
XM_026478114.3	3144	3006.46	0	0
XM_026478122.3	5800	5662.46	0	0
XM_026478124.3	5185	5047.46	4.79051	0.116125
XM_026478126.3	4573	4435.46	15.2556	0.420831
XM_026478127.3	1566	1428.46	407	34.8613
XM_026478128.3	1294	1156.46	644.446	68.1827
XM_026478129.3	1343	1205.46	159.946	16.2345
XM_026478130.3	1386	1248.46	61.0542	5.98355
XM_026478131.3	1762	1624.46	1.92118	0.144702
XM_026478132.3	1759	1621.46	17.0788	1.28875
XM_026478133.2	3175	3037.46	15359.6	618.708
XM_026478135.3	3662	3524.46	42	1.45805
XM_026478136.3	3554	3416.46	750	26.8598
XM_026478139.3	2722	2584.46	79.0195	3.74095
XM_026478140.3	2348	2210.46	96.4944	5.34118
XM_026478142.3	4236	4098.46	8.52878	0.254615
XM_026478143.3	338	203.282	205	123.388
XM_026478144.3	8601	8463.46	5.23994	0.0757522
XM_026478146.3	3833	3695.46	47.6562	1.57786
XM_026478150.3	2311	2173.46	356	20.0408
XM_026478151.3	6755	6617.46	0	0
XM_026478153.3	7000	6862.46	0	0
XM_026478159.3	2152	2014.46	0	0
XM_026478163.3	9279	9141.46	7.98858	0.106923
XM_026478165.3	2434	2296.46	935.863	49.8621
XM_026478167.3	1687	1549.46	0	0
