target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1496	1334.49	389.307
XM_026478080.3	6046	5933	5.01458	0.368866
XM_026478083.3	2509	2396	16	2.91435
XM_026478085.3	2434	2321	0	0
XM_026478086.3	2425	2312	46.0037	8.68387
XM_026478087.3	2288	2175	0	0
XM_026478088.3	2224	2111	20.9963	4.34074
XM_026478089.3	3098	2985	84.5676	12.3643
XM_026478090.3	1357	1244	0	0
XM_026478091.3	1312	1199	3.89121	1.41636
XM_026478092.3	1300	1187	52.1088	19.1588
XM_026478094.3	1697	1584	3.04605	0.839248
XM_026478095.3	3596	3483	18.0833	2.26586
XM_026478097.3	993	880.002	2.12325	1.05299
XM_026478098.3	10841	10728	0	0
XM_026478099.3	2079	1966	0.104217	0.0231347
XM_026478100.3	7847	7734	132.844	7.4963
XM_026478101.3	6255	6142	27.1559	1.92958
XM_026478102.3	4900	4787	5.81476	0.530124
XM_026478103.3	1628	1515	6.73453e-07	1.94001e-07
XM_026478105.3	4341	4228	11	1.13545
XM_026478106.1	1359	1246	0	0
XM_026478107.1	1359	1246	0	0
XM_026478108.3	4405	4292	16.5669	1.68458
XM_026478109.3	4078	3965	26.421	2.90813
XM_026478110.3	4041	3928	19.0121	2.11236
XM_026478114.3	3144	3031	12.3035	1.77153
XM_026478122.3	5800	5687	0	0
XM_026478124.3	5185	5072	15.0959	1.29894
XM_026478126.3	4573	4460	231.407	22.6439
XM_026478127.3	1566	1453	86	25.831
XM_026478128.3	1294	1181	92.9605	34.3524
XM_026478129.3	1343	1230	38.6226	13.7039
XM_026478130.3	1386	1273	18.3774	6.30033
XM_026478131.3	1762	1649	0.448751	0.118766
XM_026478132.3	1759	1646	3.55125	0.941585
XM_026478133.2	3175	3062	3809.28	542.933
XM_026478135.3	3662	3549	22	2.70536
XM_026478136.3	3554	3441	105	13.3172
XM_026478139.3	2722	2609	21.9151	3.66588
XM_026478140.3	2348	2235	23.6494	4.61797
XM_026478142.3	4236	4123	25.3315	2.68137
XM_026478143.3	338	225.002	39	75.6461
XM_026478144.3	8601	8488	8.5141	0.437766
XM_026478146.3	3833	3720	0	0
XM_026478150.3	2311	2198	93	18.4656
XM_026478151.3	6755	6642	0	0
XM_026478153.3	7000	6887	0	0
XM_026478159.3	2152	2039	1.04563	0.223804
XM_026478163.3	9279	9166	2.44763	0.11654
XM_026478165.3	2434	2321	339.048	63.7522
XM_026478167.3	1687	1574	0	0
XM_026478168.3	2138	2025	3	0.646554
XM_026478169.3	9315	9202	486.517	23.0741
XM_026478170.3	3852	3739	6.78536	0.792002
XM_026478173.3	4464	4351	11.0012	1.10347
XM_026478174.3	5197	5084	18.1072	1.55437
XM_026478175.3	8598	8485	64.1924	3.30172
XM_026478176.3	11857	11744	52.932	1.96703
XM_026478179.3	8427	8314	356.206	18.6982
XM_026478180.3	843	730.002	0	0
XM_026478181.3	2987	2874	55	8.35188
XM_026478182.3	8430	8317	0.000290489	1.52431e-05
XM_026478183.3	10477	10364	888	37.3933
XM_026478185.3	3015	2902	0	0
XM_026478189.3	2391	2278	97.8934	18.7546
XM_026478191.3	6588	6475	31.3199	2.11101
XM_026478192.3	6767	6654	0	0
XM_026478193.3	6597	6484	1.80577	0.121543
XM_026478194.3	6585	6472	746.036	50.3072
XM_026478195.3	5023	4910	4.77215	0.424172
XM_026478196.3	6484	6371	0	0
XM_026478199.3	4589	4476	824.517	80.393
XM_026478200.3	4000	3887	54	6.063
XM_026478202.3	21305	21192	18.8052	0.38727
XM_026478203.3	4061	3948	28.0229	3.09774
XM_026478206.2	939	826.002	0	0
XM_026478207.3	1835	1722	30	7.6032
XM_026478208.3	1465	1352	2369	764.71
XM_026478212.3	5507	5394	7.10164	0.574588
XM_026478213.3	1113	1000	0	0
XM_026478215.3	1955	1842	6.51368	1.54328
XM_026478216.3	3721	3608	0	0
XM_026478217.3	1659	1546	0	0
XM_026478218.3	4039	3926	16.3784	1.82066
XM_026478219.3	6333	6220	113	7.92861
XM_026478220.3	4558	4445	6	0.589099
XM_026478221.1	1824	1711	0	0
XM_026478223.3	7229	7116	582.003	35.6942
XM_026478225.3	4249	4136	10	1.05518
XM_026478230.1	882	769.002	1	0.56752
XM_026478231.3	2913	2800	0	0
XM_026478232.3	4392	4279	226.286	23.0794
XM_026478237.3	4071	3958	0	0
XM_026478240.3	2392	2279	0	0
XM_026478241.3	4790	4677	15.8406	1.47813
XM_026478243.3	7888	7775	21.7693	1.22195
XM_026478244.3	2279	2166	0	0
XM_026478256.3	15206	15093	0.341972	0.00988835
XM_026478257.3	2506	2393	14.9211	2.72124
XM_026478258.3	2525	2412	0	0
XM_026478259.3	6504	6391	352.101	24.044
XM_026478260.3	2509	2396	0	0
XM_026478261.3	2458	2345	95.7043	17.8114
XM_026478262.3	3255	3142	0	0
XM_026478263.3	2242	2129	4	0.81996
XM_026478265.3	5688	5575	37.0225	2.89821
XM_026478267.3	6675	6562	0	0
XM_026478270.3	1033	920.002	27	12.8081
XM_026478271.3	1861	1748	123.45	30.8218
XM_026478272.3	4162	4049	107.55	11.5924
XM_026478273.3	930	817.002	1037	553.942
XM_026478274.3	1809	1696	12	3.0879
XM_026478276.3	5005	4892	0	0
XM_026478278.3	5047	4934	0	0
XM_026478279.3	5035	4922	13.5599	1.20233
XM_026478280.3	4894	4781	0	0
XM_026478282.3	8406	8293	0.696735	0.0366661
XM_026478283.3	8394	8281	0	0
XM_026478284.3	8294	8181	15.322	0.817371
XM_026478285.3	8279	8166	0	0
XM_026478290.3	4690	4577	89	8.48629
XM_026478291.3	7074	6961	9.04924	0.567348
XM_026478292.3	6933	6820	7.18392	0.459712
XM_026478293.3	6961	6848	71.8979	4.58207
XM_026478295.3	6712	6599	6.86892	0.454275
XM_026478296.3	9714	9601	0	0
XM_026478297.3	4637	4524	1.68943	0.162977
