target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1472.66	0	0
XM_026478080.3	6046	5909.66	2.39291	0.0477517
XM_026478083.3	2509	2372.66	0	0
XM_026478085.3	2434	2297.66	0	0
XM_026478086.3	2425	2288.66	403	20.7658
XM_026478087.3	2288	2151.66	0	0
XM_026478088.3	2224	2087.66	0	0
XM_026478089.3	3098	2961.66	169.211	6.7378
XM_026478090.3	1357	1220.66	0	0
XM_026478091.3	1312	1175.66	0	0
XM_026478092.3	1300	1163.66	78	7.90484
XM_026478094.3	1697	1560.66	40.8535	3.08707
XM_026478095.3	3596	3459.66	156.704	5.34159
XM_026478097.3	993	856.66	2.48996	0.342775
XM_026478098.3	10841	10704.7	8.53641	0.0940431
XM_026478099.3	2079	1942.66	0.127973	0.00776866
XM_026478100.3	7847	7710.66	455.435	6.96561
XM_026478101.3	6255	6118.66	88.5653	1.70699
XM_026478102.3	4900	4763.66	49.9879	1.23751
XM_026478103.3	1628	1491.66	94.0121	7.43256
XM_026478105.3	4341	4204.66	74	2.07551
XM_026478106.1	1359	1222.66	0	0
XM_026478107.1	1359	1222.66	0	0
XM_026478108.3	4405	4268.66	23.0864	0.637807
XM_026478109.3	4078	3941.66	80.5964	2.41136
XM_026478110.3	4041	3904.66	31.3172	0.945854
XM_026478114.3	3144	3007.66	15.0349	0.589516
XM_026478122.3	5800	5663.66	0	0
XM_026478124.3	5185	5048.66	3.49144	0.0815554
XM_026478126.3	4573	4436.66	17.7911	0.472902
XM_026478127.3	1566	1429.66	441	36.3773
XM_026478128.3	1294	1157.66	903.427	92.0315
XM_026478129.3	1343	1206.66	173.649	16.9712
XM_026478130.3	1386	1249.66	84.351	7.96018
XM_026478131.3	1762	1625.66	44.1068	3.19964
XM_026478132.3	1759	1622.66	45.8932	3.33538
XM_026478133.2	3175	3038.66	23344.7	906.004
XM_026478135.3	3662	3525.66	10	0.334491
XM_026478136.3	3554	3417.66	1020	35.1962
XM_026478139.3	2722	2585.66	48.9636	2.23319
XM_026478140.3	2348	2211.66	139.765	7.45256
XM_026478142.3	4236	4099.66	10.6727	0.307009
XM_026478143.3	338	204.228	362	209.035
XM_026478144.3	8601	8464.66	1.74493	0.0243104
XM_026478146.3	3833	3696.66	43.0205	1.37243
XM_026478150.3	2311	2174.66	395	21.4205
XM_026478151.3	6755	6618.66	0	0
XM_026478153.3	7000	6863.66	0	0
XM_026478159.3	2152	2015.66	0	0
XM_026478163.3	9279	9142.66	4.81367	0.0620909
XM_026478165.3	2434	2297.66	473.071	24.2809
XM_026478167.3	1687	1550.66	0	0
XM_026478168.3	2138	2001.66	12	0.706994
XM_026478169.3	9315	9178.66	2797	35.9367
XM_026478170.3	3852	3715.66	23.3776	0.741973
XM_026478173.3	4464	4327.66	10	0.272503
XM_026478174.3	5197	5060.66	7.29778	0.170062
XM_026478175.3	8598	8461.66	504.165	7.02654
XM_026478176.3	11857	11720.7	105.429	1.06079
XM_026478179.3	8427	8290.66	1960.37	27.8851
XM_026478180.3	843	706.66	0	0
XM_026478181.3	2987	2850.66	230	9.51496
XM_026478182.3	8430	8293.66	371.072	5.27638
XM_026478183.3	10477	10340.7	200	2.2809
XM_026478185.3	3015	2878.66	0	0
XM_026478189.3	2391	2254.66	347.987	18.2015
XM_026478191.3	6588	6451.66	5.83786	0.10671
XM_026478192.3	6767	6630.66	0	0
XM_026478193.3	6597	6460.66	0.677	0.0123577
XM_026478194.3	6585	6448.66	810.655	14.8249
XM_026478195.3	5023	4886.66	29.3881	0.709224
XM_026478196.3	6484	6347.66	0	0
XM_026478199.3	4589	4452.66	1804.86	47.8024
XM_026478200.3	4000	3863.66	208	6.34876
XM_026478202.3	21305	21168.7	0	0
XM_026478203.3	4061	3924.66	82.7639	2.48693
XM_026478206.2	939	802.66	0	0
XM_026478207.3	1835	1698.66	3	0.208276
XM_026478208.3	1465	1328.66	9927	881.107
XM_026478212.3	5507	5370.66	1	0.0219582
XM_026478213.3	1113	976.66	0	0
XM_026478215.3	1955	1818.66	21.5682	1.39858
XM_026478216.3	3721	3584.66	114.694	3.77325
XM_026478217.3	1659	1522.66	56.9842	4.41343
XM_026478218.3	4039	3902.66	32.9326	0.995153
XM_026478219.3	6333	6196.66	663	12.6177
XM_026478220.3	4558	4421.66	0	0
XM_026478221.1	1824	1687.66	0	0
XM_026478223.3	7229	7092.66	475.084	7.89925
XM_026478225.3	4249	4112.66	55.625	1.59504
XM_026478230.1	882	745.66	0	0
XM_026478231.3	2913	2776.66	0	0
XM_026478232.3	4392	4255.66	891.868	24.7149
XM_026478237.3	4071	3934.66	0	0
XM_026478240.3	2392	2255.66	17.5789	0.919055
XM_026478241.3	4790	4653.66	7.19935	0.182441
XM_026478243.3	7888	7751.66	6.79895	0.103436
XM_026478244.3	2279	2142.66	2.96195	0.163023
XM_026478256.3	15206	15069.7	37.3686	0.292434
XM_026478257.3	2506	2369.66	0	0
XM_026478258.3	2525	2388.66	0	0
XM_026478259.3	6504	6367.66	864.371	16.0083
XM_026478260.3	2509	2372.66	7.3457	0.365109
XM_026478261.3	2458	2321.66	205.776	10.4525
XM_026478262.3	3255	3118.66	10.3977	0.393182
XM_026478263.3	2242	2105.66	8	0.44805
XM_026478265.3	5688	5551.66	10.9031	0.231607
XM_026478267.3	6675	6538.66	50.4221	0.909404
XM_026478270.3	1033	896.66	153	20.1228
XM_026478271.3	1861	1724.66	403.311	27.5779
XM_026478272.3	4162	4025.66	309.689	9.07222
XM_026478273.3	930	793.66	6243	927.648
XM_026478274.3	1809	1672.66	11	0.77555
XM_026478276.3	5005	4868.66	15.3884	0.372742
XM_026478278.3	5047	4910.66	0	0
XM_026478279.3	5035	4898.66	0	0
XM_026478280.3	4894	4757.66	12.2359	0.303297
XM_026478282.3	8406	8269.66	1.07811	0.0153744
XM_026478283.3	8394	8257.66	0	0
XM_026478284.3	8294	8157.66	230.612	3.33381
XM_026478285.3	8279	8142.66	0	0
XM_026478290.3	4690	4553.66	787	20.3816
XM_026478291.3	7074	6937.66	203.504	3.45927
XM_026478292.3	6933	6796.66	19.4787	0.337979
XM_026478293.3	6961	6824.66	119.188	2.05957
XM_026478295.3	6712	6575.66	5.82934	0.104545
XM_026478296.3	9714	9577.66	0	0
XM_026478297.3	4637	4500.66	7.62596e-06	1.99822e-07
XM_026478298.3	4580	4443.66	43.1979	1.14643
XM_026478299.3	9699	9562.66	0	0
XM_026478300.3	4622	4485.66	0.000447832	1.17737e-05
XM_026478303.3	9076	8939.66	7.69493	0.10151
XM_026478308.3	9177	9040.66	365.282	4.76489
XM_026478309.3	1777	1640.66	266	19.12
XM_026478311.3	1579	1442.66	241.567	19.7469
XM_026478312.3	2647	2510.66	182	8.54886
XM_026478313.3	513	376.751	0	0
XM_026478317.3	5855	5718.66	74.4811	1.53595
XM_026478318.3	3547	3410.66	52	1.798
XM_026478320.3	8741	8604.66	0	0
XM_026478321.3	3804	3667.66	1691	54.3725
XM_026478322.3	2471	2334.66	3.0438	0.153751
XM_026478323.3	2809	2672.66	4.36139	0.192445
XM_026478326.3	5940	5803.66	1.13415e-06	2.30458e-08
XM_026478327.3	2519	2382.66	9.91362	0.490676
XM_026478328.3	9165	9028.66	0	0
XM_026478329.3	6861	6724.66	0	0
XM_026478331.3	1885	1748.66	146.31	9.86716
XM_026478335.3	2818	2681.66	574	25.2425
XM_026478337.3	3820	3683.66	2	0.0640288
XM_026478339.3	11121	10984.7	0.916616	0.00984069
XM_026478340.3	11278	11141.7	0.356631	0.0037748
XM_026478341.3	6045	5908.66	0	0
XM_026478347.3	3434	3297.66	0	0
XM_026478348.3	907	770.66	656	100.384
XM_026478350.3	3299	3162.66	25.0736	0.934949
XM_026478352.3	1414	1277.66	114.292	10.5494
XM_026478353.3	1391	1254.66	22.7078	2.13439
XM_026478355.3	1613	1476.66	236.116	18.8568
XM_026478356.3	1219	1082.66	17.8843	1.94807
XM_026478358.3	1976	1839.66	70.9433	4.54777
XM_026478361.3	335	201.392	1.71815	1.00611
XM_026478362.3	1440	1303.66	25885	2341.58
XM_026478365.3	1806	1669.66	0	0
XM_026478366.3	2953	2816.66	48	2.0097
XM_026478368.3	1990	1853.66	20.0723	1.277
XM_026478371.3	2783	2646.66	183.307	8.16779
XM_026478372.3	2782	2645.66	225.693	10.0603
XM_026478373.3	3090	2953.66	0	0
XM_026478374.3	2298	2161.66	0	0
XM_026478375.3	2175	2038.66	0	0
XM_026478376.3	1983	1846.66	0	0
XM_026478377.2	1899	1762.66	0	0
XM_026478378.2	1782	1645.66	0	0
XM_026478379.3	1764	1627.66	0	0
XM_026478380.3	605	468.712	11	2.76765
XM_026478382.3	1944	1807.66	22.0818	1.4406
XM_026478383.3	1914	1777.66	17.7071	1.17469
XM_026478386.3	2059	1922.66	124.36	7.62788
XM_026478387.3	5606	5469.66	1	0.0215608
XM_026478388.3	5437	5300.66	0	0
XM_026478389.3	4186	4049.66	46	1.33957
XM_026478391.3	7161	7024.66	1167	19.5916
XM_026478392.3	4871	4734.66	1939	48.2963
XM_026478393.3	2107	1970.66	6	0.359058
XM_026478394.3	3354	3217.66	0	0
XM_026478396.3	1980	1843.66	405	25.9059
XM_026478397.3	1470	1333.66	10	0.884259
XM_026478400.3	5098	4961.66	70.4175	1.6737
XM_026478401.3	4206	4069.66	2	0.0579557
XM_026478403.2	1315	1178.66	0	0
XM_026478413.3	527	390.751	14696	4435.31
XM_026478414.3	5797	5660.66	11.2013	0.233359
XM_026478415.3	5787	5650.66	42.6185	0.889455
XM_026478417.3	5782	5645.66	1.7589e-06	3.6741e-08
XM_026478418.3	5772	5635.66	27.842	0.582613
XM_026478419.3	5766	5629.66	67.8904	1.42217
XM_026478420.3	5757	5620.66	202.959	4.25839
XM_026478421.3	5752	5615.66	8.19636e-06	1.72125e-07
XM_026478422.3	5742	5605.66	134.268	2.82468
XM_026478423.3	14639	14502.7	83.4026	0.678198
XM_026478424.3	12168	12031.7	618.597	6.06327
XM_026478426.3	2725	2588.66	666	30.3406
XM_026478427.3	3132	2995.66	112.69	4.43625
XM_026478429.3	2934	2797.66	0	0
XM_026478431.2	1706	1569.66	6.3103	0.474099
XM_026478432.3	4236	4099.66	221.819	6.38081
XM_026478433.3	9958	9821.66	6	0.0720429
XM_026478435.3	11864	11727.7	6.10616	0.0614019
XM_026478436.3	11736	11599.7	0.00975697	9.9196e-05
XM_026478437.2	1170	1033.66	1	0.11409
XM_026478438.3	3358	3221.66	58	2.12311
XM_026478440.3	11861	11724.7	319.369	3.21231
XM_026478443.3	1892	1755.66	72	4.83634
XM_026478445.2	996	859.66	20	2.74364
XM_026478446.3	8351	8214.66	0	0
XM_026478448.3	8322	8185.66	0	0
XM_026478449.3	8343	8206.66	0	0
XM_026478450.3	8347	8210.66	20.8598	0.299611
XM_026478451.3	9211	9074.66	0	0
XM_026478452.3	9208	9071.66	62.8512	0.817055
XM_026478453.3	2394	2257.66	385.462	20.1348
XM_026478454.3	2401	2264.66	10031.5	522.383
XM_026478455.2	4157	4020.66	17	0.498627
XM_026478456.3	3058	2921.66	940.254	37.9525
XM_026478458.3	18169	18032.7	607.77	3.9747
XM_026478459.3	17911	17774.7	16.2074	0.107532
XM_026478460.3	2874	2737.66	10.3325	0.445094
XM_026478461.3	5383	5246.66	381	8.5638
XM_026478462.3	2452	2315.66	364.802	18.5783
XM_026478463.3	6859	6722.66	734.479	12.8844
XM_026478464.3	7383	7246.66	135.319	2.20215
XM_026478465.3	7567	7430.66	22.3689	0.355012
XM_026478466.3	7394	7257.66	188.084	3.05618
XM_026478467.3	7382	7245.66	1.79567e-07	2.92263e-09
XM_026478468.3	7283	7146.66	0	0
XM_026478469.3	7190	7053.66	0	0
XM_026478470.3	7223	7086.66	0	0
XM_026478471.3	3606	3469.66	0	0
XM_026478472.3	789	652.66	0	0
XM_026478473.3	1807	1670.66	2	0.141178
XM_026478474.3	705	568.66	0	0
XM_026478476.3	2229	2092.66	99.6193	5.61396
XM_026478478.3	2422	2285.66	561	28.9452
XM_026478479.3	3922	3785.66	108.174	3.3698
XM_026478480.3	3897	3760.66	1.06458	0.0333842
XM_026478481.3	3784	3647.66	28.2234	0.912472
XM_026478482.3	3759	3622.66	24.2916	0.790776
XM_026478483.3	6695	6558.66	0.00193247	3.47474e-05
XM_026478485.3	6655	6518.66	3.36817	0.0609341
XM_026478492.3	5348	5211.66	4.63225	0.104819
XM_026478494.3	29744	29607.7	623.359	2.4829
XM_026478495.3	4099	3962.66	0	0
XM_026478496.3	4071	3934.66	0	0
XM_026478508.2	1563	1426.66	0	0
XM_026478509.3	3378	3241.66	144	5.23865
XM_026478510.3	1249	1112.66	147	15.5804
XM_026478514.3	4197	4060.66	182	5.28566
XM_026478515.3	1793	1656.66	280.468	19.9652
XM_026478517.3	3331	3194.66	282.402	10.4248
XM_026478518.3	3328	3191.66	135.535	5.00796
XM_026478521.3	2895	2758.66	49.2772	2.10656
XM_026478522.3	804	667.66	120.468	21.2786
XM_026478524.3	2946	2809.66	67.2384	2.8222
XM_026478527.3	2690	2553.66	7.76161	0.358437
XM_026478528.3	2552	2415.66	598	29.1938
XM_026478529.3	2662	2525.66	0	0
XM_026478531.3	1315	1178.66	803.118	80.3554
XM_026478532.3	714	577.66	220.532	45.0218
XM_026478534.3	1354	1217.66	128.453	12.4407
XM_026478535.3	3220	3083.66	74.2154	2.83826
XM_026478536.3	3226	3089.66	16.464	0.628419
XM_026478539.3	752	615.66	876	167.798
XM_026478540.3	1929	1792.66	7	0.460495
XM_026478541.3	5671	5534.66	3.06458	0.0652987
XM_026478543.3	3350	3213.66	14.9354	0.548078
XM_026478544.3	4146	4009.66	161	4.73525
XM_026478545.3	8428	8291.66	226.909	3.22727
XM_026478546.3	4180	4043.66	0	0
XM_026478548.3	4847	4710.66	0	0
XM_026478549.3	8569	8432.66	18	0.251729
XM_026478553.3	5480	5343.66	301.07	6.64435
XM_026478554.3	8413	8276.66	15.7998	0.225124
XM_026478555.3	5414	5277.66	5.93033	0.132514
XM_026478556.3	6915	6778.66	0	0
XM_026478557.3	3410	3273.66	132.523	4.77402
XM_026478564.3	10082	9945.66	429	5.08684
XM_026478565.3	1446	1309.66	262.516	23.6386
XM_026478566.3	4481	4344.66	442	11.9975
XM_026478568.3	1447	1310.66	0.531154	0.047792
XM_026478569.3	1580	1443.66	28.4046	2.32032
XM_026478570.3	10374	10237.7	226.836	2.61298
XM_026478572.3	14600	14463.7	226	1.8427
XM_026478573.3	2048	1911.66	0	0
XM_026478575.3	4220	4083.66	0	0
XM_026478577.3	4109	3972.66	0	0
XM_026478578.3	3990	3853.66	0	0
XM_026478583.3	3888	3751.66	94.6215	2.97434
XM_026478584.3	4007	3870.66	1.30234	0.0396793
XM_026478585.3	10399	10262.7	0.109142	0.00125418
XM_026478586.3	10271	10134.7	17.9655	0.209052
XM_026478587.3	10344	10207.7	224.783	2.59694
XM_026478589.3	10096	9959.66	0	0
XM_026478592.3	8688	8551.66	1543.45	21.2847
XM_026478593.3	1678	1541.66	0	0
XM_026478594.3	1877	1740.66	0	0
XM_026478596.3	4810	4673.66	56.3554	1.42201
XM_026478597.3	1820	1683.66	354.645	24.8407
XM_026478599.3	20719	20582.7	725.258	4.15542
XM_026478605.3	6295	6158.66	17	0.325527
XM_026478606.1	813	676.66	0	0
XM_026478608.3	3258	3121.66	0	0
XM_026478609.1	2889	2752.66	0	0
XM_026478610.3	16630	16493.7	0	0
XM_026478611.2	1239	1102.66	0	0
XM_026478612.2	1011	874.66	0	0
XM_026478613.3	16618	16481.7	0.000111589	7.98447e-07
XM_026478615.2	477	340.898	0	0
XM_026478616.3	866	729.66	0	0
XM_026478617.3	16613	16476.7	2.84285e-05	2.03474e-07
XM_026478618.3	16604	16467.7	0	0
XM_026478619.3	6465	6328.66	0	0
XM_026478620.3	5155	5018.66	0	0
XM_026478621.3	5149	5012.66	5.53335	0.13018
XM_026478622.3	5226	5089.66	2.6474e-08	6.13416e-10
XM_026478623.3	5138	5001.66	51.0259	1.2031
XM_026478624.3	5229	5092.66	50.8959	1.17859
XM_026478625.3	5233	5096.66	12.445	0.287961
XM_026478626.3	5201	5064.66	0	0
XM_026478627.3	16588	16451.7	7.40015e-05	5.30464e-07
XM_026478629.3	4929	4792.66	0	0
XM_026478630.3	16562	16425.7	4.86932e-05	3.49599e-07
XM_026478631.3	16453	16316.7	328	2.37065
XM_026478633.3	1072	935.66	23.9723	3.02146
XM_026478634.3	4866	4729.66	3.97073e-08	9.90069e-10
XM_026478635.3	4792	4655.66	9	0.227974
XM_026478636.3	16549	16412.7	72.8275	0.523289
XM_026478637.2	3923	3786.66	110.001	3.42583
XM_026478639.3	7898	7761.66	41.899	0.63661
XM_026478640.3	2896	2759.66	49.1028	2.09834
XM_026478641.3	1901	1764.66	37.1368	2.4818
XM_026478642.3	1253	1116.66	416	43.9336
XM_026478645.3	16531	16394.7	0	0
XM_026478647.3	2006	1869.66	220.286	13.8947
XM_026478648.3	7220	7083.66	35	0.582686
XM_026478649.3	13711	13574.7	10.5908	0.0920076
XM_026478650.3	16498	16361.7	4.7987e-05	3.45877e-07
