target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1463.87	85.1896	7.18658
XM_026478080.3	6046	5900.87	4.72637	0.0989124
XM_026478083.3	2509	2363.87	0	0
XM_026478085.3	2434	2288.87	0	0
XM_026478086.3	2425	2279.87	171.68	9.29924
XM_026478087.3	2288	2142.87	0	0
XM_026478088.3	2224	2078.87	35.3203	2.09815
XM_026478089.3	3098	2952.87	74.5637	3.11833
XM_026478090.3	1357	1211.87	6.13431	0.625097
XM_026478091.3	1312	1166.87	0	0
XM_026478092.3	1300	1154.87	32.8657	3.51437
XM_026478094.3	1697	1551.87	4.19653	0.333943
XM_026478095.3	3596	3450.87	83.4527	2.98642
XM_026478097.3	993	847.874	4.94897	0.720814
XM_026478098.3	10841	10695.9	0	0
XM_026478099.3	2079	1933.87	0.0648436	0.00414074
XM_026478100.3	7847	7701.87	335.839	5.38486
XM_026478101.3	6255	6109.87	70.1607	1.41808
XM_026478102.3	4900	4754.87	29.2474	0.759603
XM_026478103.3	1628	1482.87	41.7526	3.47711
XM_026478105.3	4341	4195.87	48	1.41273
XM_026478106.1	1359	1213.87	0	0
XM_026478107.1	1359	1213.87	0	0
XM_026478108.3	4405	4259.87	35.1632	1.01937
XM_026478109.3	4078	3932.87	45.9675	1.44338
XM_026478110.3	4041	3895.87	26.8693	0.851709
XM_026478114.3	3144	2998.87	0	0
XM_026478122.3	5800	5654.87	0	0
XM_026478124.3	5185	5039.87	4.52216	0.110806
XM_026478126.3	4573	4427.87	8	0.223118
XM_026478127.3	1566	1420.87	224	19.4685
XM_026478128.3	1294	1148.87	391	42.0285
XM_026478129.3	1343	1197.87	65.1968	6.72132
XM_026478130.3	1386	1240.87	36.8032	3.66266
XM_026478131.3	1762	1616.87	20.1289	1.53739
XM_026478132.3	1759	1613.87	20.8711	1.59703
XM_026478133.2	3175	3029.87	7120.83	290.232
XM_026478135.3	3662	3516.87	5	0.175571
XM_026478136.3	3554	3408.87	410	14.8529
XM_026478139.3	2722	2576.87	14.5322	0.696428
XM_026478140.3	2348	2202.87	59.3512	3.3272
XM_026478142.3	4236	4090.87	0	0
XM_026478143.3	338	196.291	115	72.3498
XM_026478144.3	8601	8455.87	8.86731	0.129501
