target_id	length	eff_length	est_counts	tpm
XM_026478077.3	1609	1444.12	0	0
XM_026478080.3	6046	5881.12	37.9407	4.49111
XM_026478083.3	2509	2344.12	0	0
XM_026478085.3	2434	2269.12	0	0
XM_026478086.3	2425	2260.12	0	0
XM_026478087.3	2288	2123.12	0	0
XM_026478088.3	2224	2059.12	2	0.676172
XM_026478089.3	3098	2933.12	80.9323	19.2088
XM_026478090.3	1357	1192.12	0	0
XM_026478091.3	1312	1147.12	0	0
XM_026478092.3	1300	1135.12	5	3.06646
XM_026478094.3	1697	1532.12	1.54559	0.702279
XM_026478095.3	3596	3431.12	14.4544	2.93274
XM_026478097.3	993	828.116	0	0
XM_026478098.3	10841	10676.1	0.672626	0.0438599
XM_026478099.3	2079	1914.12	0.295415	0.107442
XM_026478100.3	7847	7682.12	51.6039	4.67638
XM_026478101.3	6255	6090.12	4.39612	0.502518
XM_026478102.3	4900	4735.12	4	0.588081
XM_026478103.3	1628	1463.12	0	0
XM_026478105.3	4341	4176.12	3	0.5001
XM_026478106.1	1359	1194.12	0	0
XM_026478107.1	1359	1194.12	0	0
XM_026478108.3	4405	4240.12	4.35075	0.714322
XM_026478109.3	4078	3913.12	9.64925	1.71664
XM_026478110.3	4041	3876.12	0	0
XM_026478114.3	3144	2979.12	0	0
XM_026478122.3	5800	5635.12	0	0
XM_026478124.3	5185	5020.12	30.9309	4.2893
XM_026478126.3	4573	4408.12	30	4.73779
XM_026478127.3	1566	1401.12	38	18.8807
XM_026478128.3	1294	1129.12	33	20.3462
XM_026478129.3	1343	1178.12	8	4.72726
XM_026478130.3	1386	1221.12	0	0
XM_026478131.3	1762	1597.12	0	0
XM_026478132.3	1759	1594.12	0	0
XM_026478133.2	3175	3010.12	1089.77	252.034
XM_026478135.3	3662	3497.12	2	0.398133
XM_026478136.3	3554	3389.12	77	15.8166
XM_026478139.3	2722	2557.12	0	0
XM_026478140.3	2348	2183.12	0	0
XM_026478142.3	4236	4071.12	0	0
XM_026478143.3	338	176.258	4	15.7987
XM_026478144.3	8601	8436.12	10.5124	0.867499
XM_026478146.3	3833	3668.12	0	0
XM_026478150.3	2311	2146.12	26	8.43389
XM_026478151.3	6755	6590.12	0	0
XM_026478153.3	7000	6835.12	48.8836	4.9788
XM_026478159.3	2152	1987.12	0	0
XM_026478163.3	9279	9114.12	68.5605	5.23682
XM_026478165.3	2434	2269.12	22.8791	7.01925
XM_026478167.3	1687	1522.12	9.196	4.2059
XM_026478168.3	2138	1973.12	29	10.2318
XM_026478169.3	9315	9150.12	77.512	5.89726
XM_026478170.3	3852	3687.12	12.2636	2.31548
XM_026478173.3	4464	4299.12	4.20102	0.680273
XM_026478174.3	5197	5032.12	46.7762	6.47117
XM_026478175.3	8598	8433.12	38.0749	3.1431
XM_026478176.3	11857	11692.1	96.3491	5.7367
XM_026478179.3	8427	8262.12	163.523	13.7783
XM_026478180.3	843	678.116	81	83.1551
XM_026478181.3	2987	2822.12	17	4.19355
XM_026478182.3	8430	8265.12	0.114057	0.00960681
XM_026478183.3	10477	10312.1	17	1.14765
XM_026478185.3	3015	2850.12	0	0
XM_026478189.3	2391	2226.12	218.359	68.2858
XM_026478191.3	6588	6423.12	0	0
XM_026478192.3	6767	6602.12	0	0
XM_026478193.3	6597	6432.12	0	0
XM_026478194.3	6585	6420.12	0.628746	0.0681774
XM_026478195.3	5023	4858.12	20.1334	2.88507
XM_026478196.3	6484	6319.12	0	0
XM_026478199.3	4589	4424.12	7.7367e-06	1.21741e-06
XM_026478200.3	4000	3835.12	87	15.7924
XM_026478202.3	21305	21140.1	0	0
XM_026478203.3	4061	3896.12	16.3809	2.92694
XM_026478206.2	939	774.116	1	0.899294
XM_026478207.3	1835	1670.12	5	2.08416
XM_026478208.3	1465	1300.12	626	335.197
XM_026478212.3	5507	5342.12	21.0943	2.74891
XM_026478213.3	1113	948.116	0	0
XM_026478215.3	1955	1790.12	2.18431	0.849457
XM_026478216.3	3721	3556.12	10.56	2.06727
XM_026478217.3	1659	1494.12	0	0
XM_026478218.3	4039	3874.12	20	3.59389
XM_026478219.3	6333	6168.12	169	19.074
XM_026478220.3	4558	4393.12	6	0.950794
XM_026478221.1	1824	1659.12	0	0
XM_026478223.3	7229	7064.12	0.0282634	0.00278531
XM_026478225.3	4249	4084.12	15.4039	2.62568
XM_026478230.1	882	717.116	0	0
XM_026478231.3	2913	2748.12	4.74956e-07	1.20317e-07
XM_026478232.3	4392	4227.12	211.318	34.8016
XM_026478237.3	4071	3906.12	2.30937	0.411582
XM_026478240.3	2392	2227.12	3.40364	1.06392
XM_026478241.3	4790	4625.12	15.5163	2.33547
XM_026478243.3	7888	7723.12	46.1359	4.15867
XM_026478244.3	2279	2114.12	0	0
XM_026478256.3	15206	15041.1	0.000178581	8.2654e-06
XM_026478257.3	2506	2341.12	12.3089	3.66019
XM_026478258.3	2525	2360.12	0	0
XM_026478259.3	6504	6339.12	81.6223	8.96372
XM_026478260.3	2509	2344.12	25.662	7.62113
XM_026478261.3	2458	2293.12	130.802	39.7095
XM_026478262.3	3255	3090.12	23.2275	5.23282
XM_026478263.3	2242	2077.12	2	0.670312
XM_026478265.3	5688	5523.12	40.4368	5.09683
XM_026478267.3	6675	6510.12	0	0
XM_026478270.3	1033	868.116	19	15.2364
XM_026478271.3	1861	1696.12	55.5711	22.8088
XM_026478272.3	4162	3997.12	31.6468	5.51178
XM_026478273.3	930	765.116	454	413.082
XM_026478274.3	1809	1644.12	0	0
XM_026478276.3	5005	4840.12	0	0
XM_026478278.3	5047	4882.12	0	0
XM_026478279.3	5035	4870.12	10.7068	1.53049
XM_026478280.3	4894	4729.12	0	0
XM_026478282.3	8406	8241.12	0	0
XM_026478283.3	8394	8229.12	0	0
XM_026478284.3	8294	8129.12	4.23285e-08	3.62491e-09
XM_026478285.3	8279	8114.12	2.72369e-07	2.33682e-08
XM_026478290.3	4690	4525.12	13	1.99996
XM_026478291.3	7074	6909.12	59	5.9448
XM_026478292.3	6933	6768.12	0	0
XM_026478293.3	6961	6796.12	0	0
XM_026478295.3	6712	6547.12	0	0
XM_026478296.3	9714	9549.12	0	0
XM_026478297.3	4637	4472.12	2.71226e-05	4.22208e-06
XM_026478298.3	4580	4415.12	11.1903	1.76444
XM_026478299.3	9699	9534.12	0	0
XM_026478300.3	4622	4457.12	0	0
XM_026478303.3	9076	8911.12	15.3416	1.19852
XM_026478308.3	9177	9012.12	25.0767	1.9371
XM_026478309.3	1777	1612.12	47	20.296
XM_026478311.3	1579	1414.12	31.2988	15.4082
XM_026478312.3	2647	2482.12	6	1.68282
XM_026478313.3	513	348.116	0	0
XM_026478317.3	5855	5690.12	42.0407	5.14347
XM_026478318.3	3547	3382.12	26	5.35171
XM_026478320.3	8741	8576.12	0	0
XM_026478321.3	3804	3639.12	468	89.5278
XM_026478322.3	2471	2306.12	0	0
XM_026478323.3	2809	2644.12	0	0
XM_026478326.3	5940	5775.12	26.2091	3.15936
XM_026478327.3	2519	2354.12	0	0
XM_026478328.3	9165	9000.12	0.00665853	0.000515037
XM_026478329.3	6861	6696.12	0	0
XM_026478331.3	1885	1720.12	26.9014	10.8874
XM_026478335.3	2818	2653.12	324	85.0152
XM_026478337.3	3820	3655.12	0	0
XM_026478339.3	11121	10956.1	6.57336e-05	4.17675e-06
XM_026478340.3	11278	11113.1	8.21529e-05	5.1463e-06
XM_026478341.3	6045	5880.12	0	0
XM_026478347.3	3434	3269.12	0	0
XM_026478348.3	907	742.116	96	90.0549
XM_026478350.3	3299	3134.12	1.23758e-06	2.74894e-07
XM_026478352.3	1414	1249.12	4.38907e-08	2.44612e-08
XM_026478353.3	1391	1226.12	6	3.40665
XM_026478355.3	1613	1448.12	23.3432	11.2219
XM_026478356.3	1219	1054.12	4.65682	3.07545
XM_026478358.3	1976	1811.12	18.775	7.21673
XM_026478361.3	335	173.364	0	0
XM_026478362.3	1440	1275.12	1813	989.819
XM_026478365.3	1806	1641.12	0	0
XM_026478366.3	2953	2788.12	19	4.74407
XM_026478368.3	1990	1825.12	2.7551	1.05089
XM_026478371.3	2783	2618.12	0	0
XM_026478372.3	2782	2617.12	35	9.31007
XM_026478373.3	3090	2925.12	0	0
XM_026478374.3	2298	2133.12	0	0
XM_026478375.3	2175	2010.12	0	0
XM_026478376.3	1983	1818.12	0	0
XM_026478377.2	1899	1734.12	0	0
XM_026478378.2	1782	1617.12	0	0
XM_026478379.3	1764	1599.12	0	0
XM_026478380.3	605	440.116	7	11.0723
XM_026478382.3	1944	1779.12	14.3477	5.61418
XM_026478383.3	1914	1749.12	0	0
XM_026478386.3	2059	1894.12	46.3726	17.0437
XM_026478387.3	5606	5441.12	2.21112e-05	2.82899e-06
XM_026478388.3	5437	5272.12	0	0
XM_026478389.3	4186	4021.12	7.32557	1.26824
XM_026478391.3	7161	6996.12	171	17.0156
XM_026478392.3	4871	4706.12	2	0.295853
XM_026478393.3	2107	1942.12	0	0
XM_026478394.3	3354	3189.12	2.59518	0.566507
XM_026478396.3	1980	1815.12	57	21.8614
XM_026478397.3	1470	1305.12	1	0.533407
XM_026478400.3	5098	4933.12	77.148	10.8871
XM_026478401.3	4206	4041.12	9	1.55042
XM_026478403.2	1315	1150.12	0	0
XM_026478413.3	527	362.116	953	1832.11
XM_026478414.3	5797	5632.12	0.000566592	7.00337e-05
XM_026478415.3	5787	5622.12	0.00339808	0.000420767
XM_026478417.3	5782	5617.12	0.00833172	0.00103259
XM_026478418.3	5772	5607.12	0.0502085	0.00623369
XM_026478419.3	5766	5601.12	0.147731	0.0183613
XM_026478420.3	5757	5592.12	0.747228	0.0930219
XM_026478421.3	5752	5587.12	1.84096	0.229385
XM_026478422.3	5742	5577.12	11.2016	1.39823
XM_026478423.3	14639	14474.1	20.7134	0.99625
XM_026478424.3	12168	12003.1	43.4057	2.51745
